cluster_a	cluster_b	name_a	name_b	type_a	type_b	settlements_a	settlements_b	db_a	db_b	db_name_a	db_name_b	decision_a	decision_b	shared_hosts	jaccard	idf_score	shared_host_headings	pair_review_decision	flag
ORG-C00184_Q01	ORG-C04620	מאָסקווער יידישן מלוכה-טעאַטער	מאָסקווער אוניווערזיטעט	Theatre	Education	באַקו | באַקוו | טאַשקענט | לענינגראָד | מאָסקווע | מאָסקווער | קיעוו	מאָסקווער	412	1101	The Russian State Theatre	מאָסקווער אוניווערזיטעט	ALIGN	NEW	2	0.039	1.0	באַסלאווסקי, אַברהם | זילבערבלאַט, זלמן		
ORG-C00579	ORG-C01011	לאָדזשער סקאַלאַ-טעאַטער	לאָדזשער גרויסן טעאַטער		Theatre	לאָדזש | לאדזש | לאָדזש	לאָדזש | לאָדזשער | לאדזש | לאָדזש	604	263	לאָדזשער סקאַלאַ-טעאַטער	גרויסע טעאַטער	NEW	NEW	3	0.056	0.964	ביאַלקאָוויטש,ישראל | האַמבורגער, דוד-גדליה | זילבּערצווייג, זלמן		
ORG-C00557	ORG-C01010	וואַרשעווער צענטראָל-טעאַטער	וואַרשעווער זשאַרדען ד'היווער	Theatre	Theatre	וואַרשע | וואַרשעווער	וואַרשע							3	0.115	0.936	וויינטרויבּ, שמחה | נאָזשיק, יצחק | סאַמבערג, א. [יצחק-אייזיק סאָמבאָרק]		
ORG-C02933	ORG-C03391	טרופּע פון לערמאַנקע	טרופּע פון מישוראַט	Traveling Company	Traveling Company		בערעזאָווקע	641	758	לערמאַןס טרופּע	טרופּע פון מישוראַט	ALIGN	NEW	3	0.3	0.81	זאַר, הער [גבריאל זאַרשעווסקי] | לאַמפּע, מאָריס | לאַמפּע, מאָריס		
ORG-C03391	ORG-C03392	טרופּע פון מישוראַט	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	Traveling Company	Traveling Company	בערעזאָווקע		758	851	טרופּע פון מישוראַט	טרופּע פון קאַניעווסקאַ-כאַרלאַמפּ	NEW	NEW	3	0.333	0.765	לאַמפּע, מאָריס | לאַמפּע, מאָריס | סווערדלאָוו, יצחק		
ORG-C02689	ORG-C02690	רומענישער אָפּערעטע פֿון ניקאַ פּאַיענאָרו	רומענישער אָפּערן און אָפּערעטן-טרופּע פֿון גריגאָריאַ	Theatre	Non-Yiddish Theatre									2	1.0	0.743	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ] | וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]		
ORG-C02689	ORG-C02691	רומענישער אָפּערעטע פֿון ניקאַ פּאַיענאָרו	צירק פֿון טרוצי	Theatre	Circus				644		צירק פֿון טרוצי		NEW	2	1.0	0.743	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ] | וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]		
ORG-C02690	ORG-C02691	רומענישער אָפּערן און אָפּערעטן-טרופּע פֿון גריגאָריאַ	צירק פֿון טרוצי	Non-Yiddish Theatre	Circus				644		צירק פֿון טרוצי		NEW	2	1.0	0.743	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ] | וויינגאָלד שלמה [ספירידיאָן וואיק (צ) אַ]		
ORG-C00160_Q01	ORG-C00179	יידישער קונסט טעאַטער	קונסט-רינג	Theatre	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק	ניו יאָרק | ניו-יאָרק	443	306	Yiddish Art Theatre	קונסט-רינג	ALIGN	ALIGN	2	0.044	0.731	טייטעלבוים, אַברהם (=שלום, סעם) | קאַץ, בן-ציון		
ORG-C00702	ORG-C01387_Q01	לעקסיקאָן פון יידישן טעאַטער	יידישן טעאַטער	Publisher	Theatre		לינץ | לינץ (עסטרייך) | לעמבער | לעמבערג | קאָנאַטאָפּ | קייפּטאָן | פֿראַנקפורט	310		לעקסיקאָן פון יידישן טעאַטער		ALIGN	SPLIT	2	0.019	0.693	חיהלע אָש (פֿורמאַן) | קעשיר איזידאָר [זישע קאַסירער]		
ORG-C01124	ORG-C02720	ווילנער פֿאָלקס-טעאַטער	ווילנער אָפּערעטן-טרופּע		Traveling Company	ווילנע | ווילנער | קאָוונע	ווילנע | ריגע	541	435	ווילנער יידישן פֿאָלקס-טעאַטער	ווילנער אָפּערעטע	NEW	ALIGN	2	0.118	0.672	חאַש, יוסף | כאַש, יוסף		
ORG-C02717	ORG-C02718	גראָדנער כאָר-שול	גראָדנער רוסישן שטאָטטעאַטער	Education	Theatre	גראָדנע	גראָדנע							2	1.0	0.672	חאַש, יוסף | כאַש, יוסף		
ORG-C02779	ORG-C02782	ווינער יידישן טעאַטער רעקלאַם	יידישן קינצלער-קאָבאַרעט	Theatre	Theatre	ווין		1756		רעקלאַם		ALIGN		2	0.667	0.649	הערשקאָוויטש, מלך | הערשקאָוויטש, מלך		
ORG-C00103	ORG-C02161_Q02	ווילנער טרופּע	ווילנער יידישן טעאַטער	Company on Tour	Theatre	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע | ווילנער	551		ווילנער טרופּע		ALIGN		2	0.011	0.631	לוּבאָצקי, יעקב | קאַמיען, יוסף [אָסיאַ]		
ORG-C00702	ORG-C02943	לעקסיקאָן פון יידישן טעאַטער	דראַמאַטישער שול א'פ פֿון פֿראַנטשישעק וויסאָצקי	Publisher	Education			310		לעקסיקאָן פון יידישן טעאַטער		ALIGN		2	0.053	0.622	סטאַוו, ליאָנעק [לייבעלע הערבסט] | סטאַוו, לעאָן [הערבסט]		
ORG-C00702	ORG-C02945	לעקסיקאָן פון יידישן טעאַטער	קראָקעווער יידישן טעאַטער	Publisher	Theatre		קראָקע | קראָקעוו	310	675	לעקסיקאָן פון יידישן טעאַטער	קראָקעווער יידישער טעאַטער	ALIGN	NEW	2	0.043	0.622	סטאַוו, ליאָנעק [לייבעלע הערבסט] | סטאַוו, לעאָן [הערבסט]		
ORG-C00198_Q01	ORG-C01762	אַרבעטער-רינג	אַרבעטער-קאָמיטעט	Jewish political bodies	Jewish political bodies	וואלדהיים | ניו יאָרק | ניו-יאָרק						SPLIT		2	0.074	0.616	דר. וועלוול אַסטראָווסקי | יודל (יוליוס) באָרענשטיין		
ORG-C00308	ORG-C01855	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	מלוכהשן יידישן באַוועגלעכן טעאַטער פֿון אוקראינע		Theatre	ביראָ בידזשאַנער | ביראָ בידזשאָן | ביראָבידזשאַן | ביראָבידזשאָן		506		ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער		ALIGN		2	0.4	0.612	פֿרידמאַן, מיכל | פֿרידמאַן, סאַראַ [שרה גלעוויצקאַ]		
ORG-C03713	ORG-C03715	אָדעסער שטאָטישער שול פֿון אַפרתי	ערשטער יידישער קאָנסערוואַטאָריע פֿון פּיניע מינקאָווסקי	Education	Education	אָדעס		1573		אָדעסער שטאָטישער שול פֿון אַפרתי		NEW		2	1.0	0.612	נאַאומאָוו, שלמה | נאַאומאָוו, שלמה [זאַסלאַווסקי]		
ORG-C00592	ORG-C05206	ברוקלינער ליבערטי-טעאַטער	ברוקלינער ראָלאַנד-טעאַטער	Theatre	Theatre	בּרוּקלינער | ברוקלין | ברוקלינער	ברוקלין | ברוקלינער	1773		ברוקלינער ליבערטי-טעאַטער		ALIGN		2	0.118	0.612	סקולניק, משה | סקולניק, שרה (קוטנער]		
ORG-C00579	ORG-C01000	לאָדזשער סקאַלאַ-טעאַטער	לאָדזשער יידישן טעאַטער			לאָדזש | לאדזש | לאָדזש	לאָדזש | לאדזש | לאָדזש	604	664	לאָדזשער סקאַלאַ-טעאַטער	לאָדזשער יידישן טעאַטער	NEW	NEW	2	0.05	0.605	לובאַרטאָווסקאַ, צלבה | קעניג דינה		
ORG-C00103	ORG-C02734	ווילנער טרופּע	ווילנער העברעאישער גימנאַזיע	Company on Tour	Education	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551	1081	ווילנער טרופּע	ווילנער העברעאישער גימנאַזיע	ALIGN	NEW	2	0.011	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C00108	ORG-C00840_Q01	יידישן אַרטיסטן-פֿאַריין אין פּוילן	יידישן פֿאָלקס-טעאַטער	Theatre-related Society/ Union	Theatre	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	ווילנע | פעלדאַפינג	442	541	Yiddish artists union	ווילנער יידישן פֿאָלקס-טעאַטער	ALIGN	ALIGN	2	0.033	0.59	ליפּאָווסקי, סאַשאַ (שמחה) | ליפּאָווסקי, סאַשאַ [שמחה זשעלאַזאָ]		
ORG-C01305	ORG-C03415	לאָדזער טאַגעבלאַט	נייעם לאָדזער מאָרגענבלאַט	Journals/ Newspapers	Journals/ Newspapers	לאָדז | לאָדזער | לאָדזש	לאָדזש	1523		לאָדזער טאַגעבלאַט		NEW		2	0.167	0.589	אַבאָזשאַנעק, יעקב | קאַהאַן ישראל [אַברהם]		
ORG-C00635_Q01	ORG-C01323_Q01	פּאָבליק-טעאַטער	פּאָבליק און האָי-סקול	Theatre	Education	ניו יאָרק | ניו יאָָרק | ניו-יאָרק | ניו-יאָרקער		365		Public Theatre (Folks Theatre)		ALIGN		2	0.037	0.586	בליי העלען [יונה] | גראָלל, טשאַרלס וו.		
ORG-C00108	ORG-C01519	יידישן אַרטיסטן-פֿאַריין אין פּוילן	יידישן וויסנשאַפֿטלעכן אינסטיטוט	Theatre-related Society/ Union	Publisher	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	ווילנע	442	1077	Yiddish artists union	"ייוו""אָ"	ALIGN	ALIGN	2	0.034	0.583	"טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א. | פרילוצקי, נח"		
ORG-C01689	ORG-C01692_Q01	טאַליאַ מוזיק-האָל	פּיפּלס מוזיק-האָל	Theatre	Theatre	ניו יאָרק | ניו-יאָרק	ניו יאָרק							2	0.125	0.58	סאַמאָלעסקאָ, דעיוו | קרעמער לואיס		
ORG-C00103	ORG-C04398	ווילנער טרופּע	ווילנער פֿאַרלאָג פֿון ב. קלעצקין	Company on Tour	Publisher	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551	952	ווילנער טרופּע	ווילנער פֿאַרלאָג פֿון ב. קלעצקין	ALIGN	NEW	2	0.011	0.571	ווייכערט, מיכאל, דר. | לייוויק, ה. [לייוויק האַלפּער]		
ORG-C02850	ORG-C02851	טרופּע פֿון טיטעלמאַן	טרופּע פֿון יוליוס אַדלער-הערמאַן סיעראָצקי	Traveling Company	Traveling Company			771	293	טיטעלמאַנס טרופּע	Julius Adler and H. Serotsky Troupe	ALIGN	ALIGN	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02850	ORG-C02852	טרופּע פֿון טיטעלמאַן	טרופּע פֿון זאַנדבערג-וואַקסמאַן	Traveling Company	Traveling Company			771	880	טיטעלמאַנס טרופּע	טרופּע פֿון זאַנדבערג-וואַקסמאַן	ALIGN	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02850	ORG-C02853	טרופּע פֿון טיטעלמאַן	טרופּע פֿון קופּערמאַן	Traveling Company	Traveling Company		לאָדזש	771	769	טיטעלמאַנס טרופּע	טרופּע פֿון קופּערמאַן	ALIGN	NEW	2	0.5	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02850	ORG-C02854	טרופּע פֿון טיטעלמאַן	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union		לאָדזש	771	1799	טיטעלמאַנס טרופּע	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	ALIGN	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02850	ORG-C02855	טרופּע פֿון טיטעלמאַן	צענטראַל-פֿאַרוואַלטונג פֿון פּראָפ. יידישן אַרטיסטןפֿאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union			771		טיטעלמאַנס טרופּע		ALIGN		2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02851	ORG-C02852	טרופּע פֿון יוליוס אַדלער-הערמאַן סיעראָצקי	טרופּע פֿון זאַנדבערג-וואַקסמאַן	Traveling Company	Traveling Company			293	880	Julius Adler and H. Serotsky Troupe	טרופּע פֿון זאַנדבערג-וואַקסמאַן	ALIGN	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02851	ORG-C02853	טרופּע פֿון יוליוס אַדלער-הערמאַן סיעראָצקי	טרופּע פֿון קופּערמאַן	Traveling Company	Traveling Company		לאָדזש	293	769	Julius Adler and H. Serotsky Troupe	טרופּע פֿון קופּערמאַן	ALIGN	NEW	2	0.5	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02851	ORG-C02854	טרופּע פֿון יוליוס אַדלער-הערמאַן סיעראָצקי	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union		לאָדזש	293	1799	Julius Adler and H. Serotsky Troupe	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	ALIGN	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02851	ORG-C02855	טרופּע פֿון יוליוס אַדלער-הערמאַן סיעראָצקי	צענטראַל-פֿאַרוואַלטונג פֿון פּראָפ. יידישן אַרטיסטןפֿאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union			293		Julius Adler and H. Serotsky Troupe		ALIGN		2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02852	ORG-C02853	טרופּע פֿון זאַנדבערג-וואַקסמאַן	טרופּע פֿון קופּערמאַן	Traveling Company	Traveling Company		לאָדזש	880	769	טרופּע פֿון זאַנדבערג-וואַקסמאַן	טרופּע פֿון קופּערמאַן	NEW	NEW	2	0.5	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02852	ORG-C02854	טרופּע פֿון זאַנדבערג-וואַקסמאַן	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union		לאָדזש	880	1799	טרופּע פֿון זאַנדבערג-וואַקסמאַן	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	NEW	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02852	ORG-C02855	טרופּע פֿון זאַנדבערג-וואַקסמאַן	צענטראַל-פֿאַרוואַלטונג פֿון פּראָפ. יידישן אַרטיסטןפֿאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union			880		טרופּע פֿון זאַנדבערג-וואַקסמאַן		NEW		2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02853	ORG-C02854	טרופּע פֿון קופּערמאַן	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union	לאָדזש	לאָדזש	769	1799	טרופּע פֿון קופּערמאַן	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	NEW	NEW	2	0.5	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02853	ORG-C02855	טרופּע פֿון קופּערמאַן	צענטראַל-פֿאַרוואַלטונג פֿון פּראָפ. יידישן אַרטיסטןפֿאַריין אין פּוילן	Traveling Company	Theatre-related Society/ Union	לאָדזש		769		טרופּע פֿון קופּערמאַן		NEW		2	0.5	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02854	ORG-C02855	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	צענטראַל-פֿאַרוואַלטונג פֿון פּראָפ. יידישן אַרטיסטןפֿאַריין אין פּוילן	Theatre-related Society/ Union	Theatre-related Society/ Union	לאָדזש		1799		לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן		NEW		2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02854	ORG-C02856	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	לאָדזשער 'פילהאַרמאָניע'-זאַל	Theatre-related Society/ Union	Theatre	לאָדזש	לאָדזש	1799	1795	לאָדזשער אָפּטיילונג פֿון יידישן אַרטיסטן-פאַריין אין פּוילן	לאָדזשער 'פילהאַרמאָניע'-זאַל	NEW	NEW	2	1.0	0.568	נייהויז, וואָלף | נייהוייז, וואָלף		
ORG-C02007_Q01	ORG-C02913_Q01	יידישן מעוטים-טעאַטער	יידישן דראַמאַטישן קרייז	Theatre	Theatre	ריגע	ריגע	500	872	ריגער יידישן טעאַטער	יידישן דראַמאַטישן קרייז	NEW	NEW	2	0.222	0.568	סוריץ, משה | סוריץ, משה		
ORG-C02909	ORG-C02911	סאַבסיי און בערנשטיין	יידישער טרופּע א'א פֿון לייזער בערנשטיין און זשיטקאָווסקי	Traveling Company	Traveling Company		ריגע	882	889	סאַבסיי און בערנשטיין	יידישער טרופּע א'א פֿון לייזער בערנשטיין און זשיטקאָווסקי	NEW	NEW	2	1.0	0.568	סוריץ, משה | סוריץ, משה		
ORG-C00108	ORG-C02654_Q01	יידישן אַרטיסטן-פֿאַריין אין פּוילן	אַרטיסטן-קיך	Theatre-related Society/ Union	Welfare/Aid organization	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	וואַרשע	442		Yiddish artists union		ALIGN		2	0.035	0.559	ברין, מאַקס | קורץ, אַברהם		
ORG-C04431	ORG-C05292	פערלאַג מ. גאָלדפֿאַרב	פערלאַג עליזעאום	Publisher	Publisher	וואַרשא | וואַרשאָ | וואַרשע	וואַרשע							2	0.333	0.552	שאָר [שור], אַנשל | שאָר [שור], משה		
ORG-C00103	ORG-C02761	ווילנער טרופּע	ווילנער אָפּערעטע	Company on Tour	Traveling Company	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	ווילנע	551	435	ווילנער טרופּע	ווילנער אָפּערעטע	ALIGN	ALIGN	2	0.011	0.551	אַש. אַברהם [אַברהם אווערבוך] | שאַפּיראָ, דניאל		
ORG-C00557	ORG-C03009	וואַרשעווער צענטראָל-טעאַטער	וואַרשעווער סקאַלאַ-טעאַטער	Theatre	Theatre	וואַרשע | וואַרשעווער	וואַרשע							2	0.071	0.551	ליפּמאַן, משה | נאָזשיק, יצחק		
ORG-C01306	ORG-C02618	לאָדזער פֿאָלקסבלאַט	נייער פאָלקסבלאַט	Journals/ Newspapers	Journals/ Newspapers	לאָדז | לאָדזש | לאָדזש	לאָדזש		1797		נייער פאָלקסבלאַט		NEW	2	0.222	0.545	בזשוסטאָווסקי (בריסטאָווסקי) חיים-יאנקל | קאַהאַן ישראל [אַברהם]		
ORG-C00108	ORG-C01387_Q02	יידישן אַרטיסטן-פֿאַריין אין פּוילן	יידישן טעאַטער	Theatre-related Society/ Union	Theatre	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו	וואַרשע	442		Yiddish artists union		ALIGN		2	0.031	0.545	ווייכערט, מיכאל, דר. | קורץ, אַברהם		
ORG-C00702	ORG-C03545	לעקסיקאָן פון יידישן טעאַטער	טרופּע פֿון רודאָלף זאַסלאַווסקי און לוקסעמבורג	Publisher	Traveling Company			310	456	לעקסיקאָן פון יידישן טעאַטער	Zaslavsky Troupe	ALIGN	ALIGN	2	0.053	0.542	לייפּציקער מאַרק | לייפּציקער, מאַרק		
ORG-C00288	ORG-C01916	מאָרגן-פרייהייט	פרייהייט	Journals/ Newspapers	Journals/ Newspapers	ניו יאָרק	ניו יאָרק | ניו-יאָרק | ניויארק							2	0.091	0.539	דייקסעל, שמואל | כאָווער-פּאָווער [גרשון איינבינדער]		
