cluster_id	canonical_yiddish	org_type	extracted_settlements	candidate_db_id	candidate_db_name	shared_hosts	idf_score	shared_host_headings
ORG-C00506	וואַרשעווער קאַמינסקי-טעאַטער	Theatre	וואַרשע | וואַרשעווער	500	ריגער יידישן טעאַטער	2	0.622	אוריך, פּעפּי (פּערל] | סאַנדלער חיים
ORG-C02114	וואַרהייט	Journals/ Newspapers	ניו יאָרק	692	פֿאַרווערטס	2	0.619	אייסען אַברהם, דר. | רובינשטיין, צבי-הירש
ORG-C00557	וואַרשעווער צענטראָל-טעאַטער	Theatre	וואַרשע | וואַרשעווער	604	לאָדזשער סקאַלאַ-טעאַטער	2	0.616	אייזענשלאָס אַלטער | ליפּמאַן, משה
ORG-C00594	בראַנקס אַרט טעאַטער	Theatre	בראַנקס	364	Prospect Theatre	2	0.616	פּאָלאַנד, טאַניאַ | פֿרידלענדער, עדוואַרד
ORG-C05000	לאָדזשער יידישער פּרעסע	Journals/ Newspapers	לאָדזש	323	ליטעראַרישע בלעטער	2	0.59	בראָדערזאָהן, משה | ניימאַן, יחזקאל-משה
ORG-C03253	וואַרשעווער פּאָוויליאָן-טעאַטער	Theatre	וואַרשע	408	The Pavilion Theatre	2	0.578	לעווין, חנה | סאַנדלער חיים
ORG-C01955_Q01	טאָמאַשעווסקיס נעשאַנאַל-טעאַטער	Theatre		147	Kaminski's Theatre	2	0.564	סיעראָצקי, הערמאַן | ראָזענטאָל, באָריס
ORG-C01284	נאָוואָשטשי-טעאַטער	Theatre	וואַרשע	500	ריגער יידישן טעאַטער	2	0.554	סעגאַלאָוויטש, קלאַראַ [באָראָדינאָ] | שושנה, ר
ORG-C01216	דער קיביצער	Journals/ Newspapers	אַמעריקע	216	טאָג	2	0.551	לעבעדיגער דער [חיים גוטמאַן] | נאַדיר, משה [יצחק רייז]
ORG-C07196	יידישע נאַציאָנאַלע טעאַטער	Theatre	וואַרשע	443	Yiddish Art Theatre	2	0.545	האַלפּערן, דינה | צייטלין, אהרן [-אליעזר]
ORG-C00590_Q01	וויליאַמסבורגער ליריק-טעאַטער	Theatre	וויליאַמסבורג | וויליאָמסבורגער	176	ליריק-טעאַטער	1	0.5	ראָזענבערג, בערטא
ORG-C00590_Q01	וויליאַמסבורגער ליריק-טעאַטער	Theatre	וויליאַמסבורג | וויליאָמסבורגער	176	ליריק-טעאַטער	1	0.5	ראָזענבערג, בערטא
ORG-C04206	קראָקעווער פּוילישע דראַמאַטישע שול	Education	קראָקע	589	קראָקעווער אוניווערזיטעט	1	0.5	לאַזאַר-אינגאַרד, חנה [ראַקאָווער]
ORG-C05986	אָרפעום-טעאַטער	Theatre	האַרלעם	528	רענד-טעאַטער	1	0.5	גאָטליב, לואיס סילאַ
ORG-C00997	עלוווינגס טעאַטער	Theatre	נואַרק	134	Windsor Theatre	1	0.431	זיבּעל, פרידא [זשאַרטאָווסקי]
ORG-C01387_Q04	יידישן טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	134	Windsor Theatre	1	0.431	סענדלער יעקב-קאָפּל
ORG-C01633	לאדזשער „פלאַראָטעאַטער	Theatre	לאָדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.431	שעפנער, שמואל
ORG-C02756	"לאדזשער ""גרויסעס טעאַטער"""	Theatre	לאָדזש | לאדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.431	פּאָלאַנסקי, חיים
ORG-C03613	די אידישע וואָך	Journals/ Newspapers	וואַרשע	449	יידישעס טאָגעבלאַט	1	0.431	ערדבערג, שמשון
ORG-C00084	טעאַטער אַמבו	Theatre	בוענאָס איירעס | בוענאָס-אַיירעס	421	טרייטלערס טרופּע	1	0.387	צוקערמאַן, איזידאָר
ORG-C00085_Q01	אָלימפּיאַ טעאַטער (בוענאָס-אַיירעס)	Theatre	בוענאָס איירעס | בוענאָס-אַיירעס | בוענאָס-איירעס	496	אַקטיאָרן-פאַריין	1	0.387	צוקערמאַן, איזידאָר
ORG-C01363	ניו יאָרקער פּאָבליק טעאַטער	Theatre	ניו יאָרק | ניו יאָרקער | ניו-יאָרק | ניו-יאָרקער	118	National Theatre	1	0.387	מעלצער, עני
ORG-C01695_Q01	טעאַטער אַלימפּיא	Theatre	בוענאָס איירעס	747	טעאַטער עקסעלסיאָר	1	0.387	דאַרעלין, וואָלף [אייזנשטיין]
ORG-C01990_Q01	אונדער צייט	Journals/ Newspapers	ריגע	215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.387	דאָווידזאָהן, אפֿרים
ORG-C02133	יידישער וואָדעוויל-יוניאָן	Theatre-related Society/ Union		442	Yiddish artists union	1	0.387	קופּערשמידט, לואיס
ORG-C03219	כאָר פֿון יידישן טעאַטער	Theatre	לאָנדאָן	502	בוקאַרעשטער יידישן מלוכה-טעאַטער	1	0.387	סאָלאָמאָנעסקאָ, אָסקאַר
ORG-C04356	לאָדזשער פּוילישן טעאַטער	Theatre	לאָדזש | לאדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.387	"""לידאַ"" [לאָדזער יידישע דראַמאַטישע אַקטיאָרן]"
ORG-C05837	דער גרינער ווועגווייזער	Journals/ Newspapers		635	דער יודישער שפּינעל	1	0.387	בעקערמאַן, בעריש
ORG-C06092	פֿאַרבאַנד פֿון די טעאַטער-יוניעס	Theatre-related Society/ Union		442	Yiddish artists union	1	0.387	גאָלדשטיין, לואיס
ORG-C06230	קאָפּעלמאַנען אין וואָרעווילטעאַטער	Theatre		156	Thomashefsky Theatre	1	0.387	גערסטין, בערטאָ
ORG-C00153	"""גראָדנער מאָמענט"""	Journals/ Newspapers	גראָדנע	43	גראָדנערס טרופּע	1	0.356	אַזאַרך, יצחק
ORG-C00155_Q02	פּראָגרעסיוו דראַמאַטיק קלאָב	Theatre	טאַראַנטאָ	363	Progresiv dramatik klub (Progressive Drama Club)	1	0.356	לאַנגסנער, קלאַראַ
ORG-C00988	ברוקלינער ליריק-טעאַטער	Theatre	בּרוּקלינער | ברוקליין | ברוקלין | ברוקלינער	176	ליריק-טעאַטער	1	0.356	נאַאומאָוו, אַברהם
ORG-C00988	ברוקלינער ליריק-טעאַטער	Theatre	בּרוּקלינער | ברוקליין | ברוקלין | ברוקלינער	176	ליריק-טעאַטער	1	0.356	נאַאומאָוו, אַברהם
ORG-C01387_Q07	יידישן טעאַטער	Theatre	ריגע	500	ריגער יידישן טעאַטער	1	0.356	באָרטשעווסקאַ, אירענאַ [דבורה]
ORG-C02066	לאדזשער „פֿילהאַרמאָניע“-קאָנצערט-זאַל	Theatre	לאָדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.356	רענעי, רות [רייזעלע טאַבאַקסבלאַט]
ORG-C02471	"„דער נייער פּאָמול ווערדע"""	Theatre		137	פּאָמול ווערדע	1	0.356	בערקאָוויטש, יוסף (יוזשבו)
ORG-C02765	מאָלדאָווישן יידישן מלוכה טעאַטער		קעשעניעוו | קעשענעוו	472	אָדעסער יידישן טעאַטער	1	0.356	סעגאַלעסקאָ, אַלבערט
ORG-C02849_Q05	יידישן מלוכה-טעאַטער	Theatre	באַקו | באָקו	472	אָדעסער יידישן טעאַטער	1	0.356	קאָפּעלמאַן, יאָסעף
ORG-C02849_Q05	יידישן מלוכה-טעאַטער	Theatre	באַקו | באָקו	515	קיעווער יידישן מלוכה-טעאַטער	1	0.356	קאָפּעלמאַן, יאָסעף
ORG-C03219	כאָר פֿון יידישן טעאַטער	Theatre	לאָנדאָן	500	ריגער יידישן טעאַטער	1	0.356	סמאַרגאַנסקי (שמאַרגאָן), פֿאָל
ORG-C03950	בראַנסקער פּראָספּעקט-טעאַטער	Theatre	בראַנסקער | בראנסק	364	Prospect Theatre	1	0.356	לאַנג, ה.
ORG-C04778	ליטעראַריש-אַרטיסטישן קרייז	Theatre	וואַרשע	442	Yiddish artists union	1	0.356	מילנער מאַרקאָ (מאַרעק)
ORG-C00988	ברוקלינער ליריק-טעאַטער	Theatre	בּרוּקלינער | ברוקליין | ברוקלין | ברוקלינער	506	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	1	0.333	זאָסלאָווסקאַיאָ, וויעראָ
ORG-C02519	ערשטע שוך-יוניאָן	Trade Union / Professional Association	ברוקלין	442	Yiddish artists union	1	0.333	מ. נ. וואָלפּערט
ORG-C02815	גראָדנער שטאָט-טעאַטער	Theatre	גראָדנע	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.333	קדיש [ק. כאַש]
ORG-C03688	לעמבערגער חברים-טרופּע	Amateur	לעמבערג	198	בער האַרטס טרופּע	1	0.333	ראָזענבערג, טוביה-גדליהו
ORG-C05206	ברוקלינער ראָלאַנד-טעאַטער	Theatre	ברוקלין | ברוקלינער	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.333	סקולניק, שרה (קוטנער]
ORG-C05635	סובאַריזס ליטעראָרישן טעאַטער	Theatre		190	Arch Street Theatre	1	0.333	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]
ORG-C06770	קעסלערן אין טעאַטער	Theatre		472	אָדעסער יידישן טעאַטער	1	0.333	זאָסלאָווסקאַיאָ, וויעראָ
ORG-C07255	ליטעראַריש דראַמאַטישער סוירקל	Theatre	שיקאַגאָ	363	Progresiv dramatik klub (Progressive Drama Club)	1	0.333	שיקאַגער דראַמאַטישע געזעלשאַפט
ORG-C00144_Q01	עלדאָראַדאָ	Theatre	וואַרשע | וואַרשעווער	235	עלדאָראַדאָ-טעאַטער	1	0.315	ראָטשיין, שאַיעלע
ORG-C00557	וואַרשעווער צענטראָל-טעאַטער	Theatre	וואַרשע | וואַרשעווער	472	אָדעסער יידישן טעאַטער	1	0.315	ליפּמאַן, משה
ORG-C00742_Q01	"""אָרפעאום""-טעאַטער (באָסטאָן)"	Theatre	באָסטאָן	120	People's Theatre NY	1	0.315	רעלקין, ערווין, א. נאַרנאָלד אַברהם]
ORG-C00999	געזעלשאַפֿטלעכן קונסט טעאַטער	Theatre		128	סעקאָנד עוועניו טעאַטער	1	0.315	רעשאַווער, מאַקס
ORG-C01042	ניו יאָרקער פּיפּלס טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	365	Public Theatre (Folks Theatre)	1	0.315	קאָהען, טשאַרלי [שבתי)
ORG-C01370	יידישער וואָדעווייל-יוניאָן לאָקאָל 5	Theatre-related Society/ Union		442	Yiddish artists union	1	0.315	שוואַרץ, סעם
ORG-C01578	יידישע קליינקונסט-טעאַטערס	Theatre		443	Yiddish Art Theatre	1	0.315	בערגער גוסטאוו [גרשון לעמבערגער]
ORG-C01756	פּוילישן טעאַטער ביי טראָפּטשאַ	Theatre	וולאַצלאַוועק	120	People's Theatre NY	1	0.315	פרענק, יעקב
ORG-C01866	אוירווינג פלייס קונסט-טעאַטער	Theatre	ניו יאָרק | ניו יארק	116	Irwing Place (Deutsches) Theatre	1	0.315	ווילנער, מאַקס, ר
ORG-C01944	קאָוונער יידישן טעאַטער	Theatre	קאָוונע	500	ריגער יידישן טעאַטער	1	0.315	בראָנעצקי, סעם [יאָקובאָוויטש]
ORG-C01956	געבילס פּאָבליק-טעאַטער	Theatre	ניו יאָרק | ניויאָרק	553	געיטי-טעאַטער	1	0.315	טאָמאַשעווסקי, הער (הערש-יונה)
ORG-C02729	לאָדזשער 'אָפּאָלאַ'-טעאַטער	Theatre	לאָדזש	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.315	לובאַרטאָווסקאַ, צלבה
ORG-C03009	וואַרשעווער סקאַלאַ-טעאַטער	Theatre	וואַרשע	604	לאָדזשער סקאַלאַ-טעאַטער	1	0.315	ליפּמאַן, משה
ORG-C03281	ערמיטאַזש'-טעאַטער	Theatre		235	עלדאָראַדאָ-טעאַטער	1	0.315	ראָטשיין, שאַיעלע
ORG-C03281	ערמיטאַזש'-טעאַטער	Theatre		237	עליזעום-טעאַטער	1	0.315	ראָטשיין, שאַיעלע
ORG-C03366	קאָוונער נייעם יידישן טעאַטער	Theatre	קאָוונע	500	ריגער יידישן טעאַטער	1	0.315	סערבסקי, יעקב בלום, יאקאָווליעוו]
ORG-C03606	כערסאָנער טעאַטער	Theatre	כערסאָן	627	לוואָווער טעאַטער	1	0.315	ניקאָלאַיעווסקי, מייער
ORG-C03841	קעסלערס טעאַטער	Theatre	ניו-יאָרק	278	הענגעןס טעאַטער	1	0.315	מאַרקס, דאָלף [ראָדקינסאָן]
ORG-C04655	טעאַטער אויף טשאַקאָבוקאָ	Theatre	בוענאָס איירעס	581	טעאַטער קאָמיקאַ	1	0.315	מאַריענהאָף, מאַקס
ORG-C04657	טעאַטער באַטאָגליאַ	Theatre	בוענאָס איירעס	581	טעאַטער קאָמיקאַ	1	0.315	מאַריענהאָף, מאַקס
ORG-C04793	מיניקעס יום-טוב בלעטער	Journals/ Newspapers		449	יידישעס טאָגעבלאַט	1	0.315	זאַהיק, דוד
ORG-C04826	פּוילישן אַרטיסטן פאַראיין	Theatre-related Society/ Union		442	Yiddish artists union	1	0.315	מעלמאַן, מאיר
ORG-C05206	ברוקלינער ראָלאַנד-טעאַטער	Theatre	ברוקלין | ברוקלינער	116	Irwing Place (Deutsches) Theatre	1	0.315	גערמאַן, מישע [הערמאַן]
ORG-C06036	סימפעראָפּאָלער רעגירונגסשול	Education	סימפעראָפּאָל	708	זשיטאָמירער ראָבינער-שול	1	0.315	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]
ORG-C06574	דער טעלעגראָף	Journals/ Newspapers	וואַרשע	216	טאָג	1	0.315	וואָרטסמאַן, יחזקאל דר
ORG-C07144	"יידישן ""עלדאָראַדאָ-טעאַטער"""	Theatre	וואַרשע	443	Yiddish Art Theatre	1	0.315	קרויזע, שלמה
ORG-C00159	נאָראַ בעיס-טעאַטער	Theatre		616	מאריס-טעאַטער	1	0.301	ראָלאַנד, וויליאַם (וועלוול כאַסקין)
ORG-C01096	גרענד סטריט-טעאַטער	Theatre	ניו יאָרק | ניויאָרק	134	Windsor Theatre	1	0.301	פֿרידזעל, לואיס
ORG-C01216	דער קיביצער	Journals/ Newspapers	אַמעריקע	219	דער יוּד	1	0.301	טונקעלער דער [יוסף טונקעל]
ORG-C01387_Q16	יידישן טעאַטער	Theatre	יאַסי | יאָס | יאָסי | יאס	186	Amphion Theatre	1	0.301	ראָזענשטיין, לייזער
ORG-C01556	טרופּע פֿון קאָפּילאָוו אין מיכאַלענקאָ	Non-Yiddish Theatre		486	גוזיק	1	0.301	אַנציפּאָוויטש, ריוואַ
ORG-C03590	מאָריס שוואַרצס יידישן קונסט-טעאַטער	Theatre	ניו יאָרק	500	ריגער יידישן טעאַטער	1	0.301	מאָרעווסקי, אַברהם (מנקר]
ORG-C03599	יידישער דראַמאַטישער טעאַטער	Theatre	וואַרשע	724	יידישן דראַמאַטישן קרייז	1	0.301	שאַפּיראָ, דניאל
ORG-C03599	יידישער דראַמאַטישער טעאַטער	Theatre	וואַרשע	500	ריגער יידישן טעאַטער	1	0.301	שאַפּיראָ, דניאל
ORG-C03841	קעסלערס טעאַטער	Theatre	ניו-יאָרק	140	Lenox Theater	1	0.301	סימקאָף, שיינע-רחל (זאַמקאָוו]
ORG-C03912	דער גרויסער קונדס	Journals/ Newspapers	ניו יאָרק	215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.301	טונקעלער דער [יוסף טונקעל]
ORG-C03912	דער גרויסער קונדס	Journals/ Newspapers	ניו יאָרק	219	דער יוּד	1	0.301	טונקעלער דער [יוסף טונקעל]
ORG-C03913	דער אַרבעטער	Journals/ Newspapers	ניו-יאָרק	215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.301	טונקעלער דער [יוסף טונקעל]
ORG-C04169	גיבסאָן-טעאַטער	Theatre	פֿילאַדעלפיע | פֿילאָדעלפֿיע | פֿילאָרעלפיע	186	Amphion Theatre	1	0.301	יעגער ראָזעטאַ [פאגעט]
ORG-C04796	די דראַמאָווישע וועלט	Journals/ Newspapers		461	יידישער העראָלד	1	0.301	מינץ, מייקעל (מיכאל)
ORG-C05303	פּיפּלס קראָן דראַמאָטיק סאָסייטי	Theatre		363	Progresiv dramatik klub (Progressive Drama Club)	1	0.301	עפּשטיין, וויליאַם (הלל)
ORG-C05543	יידישע טעאַטערסטודיע ביים נאַציאָנאָלדאָט	Education	קאָוונע	442	Yiddish artists union	1	0.301	אַראָנעס, פֿייוול
ORG-C06046	אברהם גאָלדפאַדען'ס טעאַטער	Theatre	ניו-יאָרק	128	סעקאָנד עוועניו טעאַטער	1	0.301	שער-בלאַט פון דער וואַרשעווער אויסגאַבע
ORG-C06260	דייטשער פֿאָלקסבינע	Theatre		116	Irwing Place (Deutsches) Theatre	1	0.301	גראַנאַך, אַלעקסאַנדער
ORG-C06334	העברעישער אָפּערע	Theatre		561	בערלינער אוניווערזיטעט	1	0.301	דאַניעל, יצחק
ORG-C06824	זילבערטס דריטער סטריט-טעאַטער	Theatre	ניו יאָרק	316	Liberty Theatre	1	0.301	זילבערט ראָזאַ
ORG-C06923	ר. סי. עי.-וויקטאָר קאָמפּאַני	Publisher		52	היברו פּאָבלישינג קאָמפּאַני	1	0.301	רוסאַטאָ, הענרי
ORG-C07381	יידישער אַקטיאָרן קלוב	Theatre-related Society/ Union		442	Yiddish artists union	1	0.301	רעכטצייט, יעקב
ORG-C00526	קאָמ. צוקונפט	Jewish political bodies		225	Di tsukunft- די צוקונפט	1	0.289	פּאָזנאַנסקי, הערש
ORG-C01028	ניו יאָרקער ליפּצין-טעאַטער	Theatre	ניו יאָרק	407	The Monument-National Theatre	1	0.289	שייקעוויטש, דזשעק [יעקבן
ORG-C01375	גרין סטריט טעאַטער	Theatre	פֿילאַדעלפיע | פֿילאדעלפֿייער	190	Arch Street Theatre	1	0.289	ראָזענטאָל, קלאַראַ
ORG-C01376	איסט סייד טעאַטערס	Theatre		190	Arch Street Theatre	1	0.289	ראָזענטאָל, קלאַראַ
ORG-C01377_Q01	יידישן אַקטיאָרן קלוב	Theatre-related Society/ Union	ניו יאָרק	442	Yiddish artists union	1	0.289	ראָזענטאָל, קלאַראַ
ORG-C01451	"„הייבריו דראַמאַטיק קלאָב"""	Theatre	פּיטסבורג	606	ליטעראַריש-דראַמאַטישע געזעלשאַפט	1	0.289	שולווייס, משה
ORG-C01741	דער האַמער	Journals/ Newspapers	נ. י. | ניו יאָרק | ניו-יאָרק	216	טאָג	1	0.289	לעיעלעס, א. [אַהרן גלאַנץ]
ORG-C01956	געבילס פּאָבליק-טעאַטער	Theatre	ניו יאָרק | ניויאָרק	365	Public Theatre (Folks Theatre)	1	0.289	גאָלדשטיין, זינאַ
ORG-C01990_Q02	אונדער צייט	Journals/ Newspapers	קאָוונע	425	אונדער לעבען	1	0.289	ראַפֿאַלאָוויטש, חיים, מ.
ORG-C01997	אָדעסער רעגירונגס מוזיק-שול	Education	אָדעס	722	יעקאַטערינאָסלאַווער מוזיק-שול	1	0.289	צייטלין, לעוו (אהרן-לייב)
ORG-C02000	סימפאָנישער אָרקעסטער און אָפּערע	Musical organization	יעקאַטערינאָסלאָוו	442	Yiddish artists union	1	0.289	צייטלין, לעוו (אהרן-לייב)
ORG-C02108	בוקאַרעשטער גאָרטן-טעאַטער „טעאַטרול נאָו“	Theatre	בוקאַרעשט	502	בוקאַרעשטער יידישן מלוכה-טעאַטער	1	0.289	קעניג דינה
ORG-C02109	בוקאַרעשטער באַר „אָלקאַזאַר דע טעי“	Theatre	בוקאַרעשט	502	בוקאַרעשטער יידישן מלוכה-טעאַטער	1	0.289	קעניג דינה
ORG-C02254_Q01	יידישע פֿאָלקסשול	Education	דעטראָיט	250	Fraye Yidishe Folks-Bine	1	0.289	אייזיק און פּאָליאַ פינקעלשטיין
ORG-C02300	טשערנאָוויצער שטאָט-טעאַטער	Theatre	טשערנאָוויץ	569	טשערנאָוויצער יידישן מלוכה טעאַטער	1	0.289	דרוקער, לייב
ORG-C02620	דער תכשיט	Journals/ Newspapers		215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.289	בזשוסטאָווסקי (בריסטאָווסקי) חיים-יאנקל
ORG-C03253	וואַרשעווער פּאָוויליאָן-טעאַטער	Theatre	וואַרשע	500	ריגער יידישן טעאַטער	1	0.289	סאַנדלער חיים
ORG-C04503	פֿראָנט סטריט טעאַטער	Theatre	באָלטימאָר | באלטימאָר	134	Windsor Theatre	1	0.289	זילבּערט, יעקב [קוליש]
ORG-C05224	פֿאָלקס-סאַציאָליסטישן טעאַטער	Theatre		412	The Russian State Theatre	1	0.289	עדעלמאַן, יזראַעל
ORG-C05399	כאָר צו גימפּעלן	Musical organization	לעמבערג	198	בער האַרטס טרופּע	1	0.289	אוריך סאמי [שמאי, גדליהו]
ORG-C05693	דער אידישער אָרטיסט	Journals/ Newspapers		442	Yiddish artists union	1	0.289	בוימוואָל, יהודה-לייב
ORG-C06203	3טן סטריט טעאַטער	Theatre	ניו יאָרק	134	Windsor Theatre	1	0.289	זילבּערט, יעקב [קוליש]
ORG-C06969	יידישן „קולטור בונד טעאַטער“	Theatre	בערלין	443	Yiddish Art Theatre	1	0.289	קאַנדעל, ה. א.
ORG-C07152	"פֿאַרלאַג פֿון „מאָמענט"""	Publisher		215	Der Moment⁩ - ⁨דער מאמענט⁩⁩	1	0.289	פֿאַרבאַ, אַלעקסאַנדער [סענדער זושיע פֿאַרבער]
ORG-C00157_Q04	ליבערטי-טעאַטער (פֿילאַדעלפיע)	Theatre	פֿילאַדעלפיע	365	Public Theatre (Folks Theatre)	1	0.279	ראָזענשטיין, סעמועל [שמואל]
ORG-C00194	טעאַטער מיטרע	Theatre	בוענאָס איירעס	747	טעאַטער עקסעלסיאָר	1	0.279	פּעלץ, מרדכי
ORG-C00666	ליטמאַנס פּיפּלס טעאַטער	Theatre	דעטראָיט | דעטראיט	116	Irwing Place (Deutsches) Theatre	1	0.279	פּאַסקעוויטש, דזשאַנעט
ORG-C00773	טעאַטער אַרגענטינע	Theatre	בוענאָס איירעס | בוענאָס-איירעס	747	טעאַטער עקסעלסיאָר	1	0.279	פּעלץ, מרדכי
ORG-C00775	טעאַטער קאָלאָסעאום	Theatre		747	טעאַטער עקסעלסיאָר	1	0.279	פּעלץ, מרדכי
ORG-C01049	מאַקס געבילס טעאַַטער	Theatre	ניו יאָרק	118	National Theatre	1	0.279	קינדמאַן, שרה
ORG-C01118	אַנסאַמבל קונסט טעאַטער	Theatre		118	National Theatre	1	0.279	פריד, לאַזאַר
ORG-C01387_Q04	יידישן טעאַטער	Theatre	ניו יאָרק | ניו-יאָרק	186	Amphion Theatre	1	0.279	נעסטאָר משה
ORG-C01757_Q01	אָריענטאַל טעאַטער	Theatre	ניו יאָרק | ניו יאָרק | ניו-יאָרק | ניויאָרק	282	Hopkinson Theatre	1	0.279	זיגענלויב, וויליאם [וואָלף]
ORG-C01990_Q01	אונדער צייט	Journals/ Newspapers	ריגע	216	טאָג	1	0.279	קאָזיניץ, ש. י (שמואל יצחק]
ORG-C04054	ראָקסי- [וואָדעוויל] טעאַטער	Theatre		118	National Theatre	1	0.279	טשערנאַווסקי, יוסף
ORG-C05040	ברוקלינער געיטי-טעאַטער	Theatre	ברוקלין	500	ריגער יידישן טעאַטער	1	0.279	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]
ORG-C05040	ברוקלינער געיטי-טעאַטער	Theatre	ברוקלין	500	ריגער יידישן טעאַטער	1	0.279	סאַמבערג, אַ. [יצחק-אייזיק סאַמבאָרעק]
ORG-C05128	כאָריסטן-יוניע	Theatre-related Society/ Union		442	Yiddish artists union	1	0.279	סימאָנאָף, משה
ORG-C05670	די יודישע פאָלקסצייטונג	Journals/ Newspapers	מאָרמאַראָש סינעט | ניו-יאָרק	81	אַרבייטער צייטונג	1	0.279	ראָזענפעלד, מאָריס [משה יעקב, אַלטער]
ORG-C06452	האָרטס מעטראָפּאָליטען טעאַטער	Theatre	נואַרק	118	National Theatre	1	0.279	האַרט, סידני [יוסף הערש]
ORG-C00640	"פּראָפעסיאנעלן טעאַטער (א""ל פֿון כליוונער)"	Theatre		362	"Poale Zion (""Workers of Zion"")"	1	0.27	פאָסיאַס, שימען
ORG-C02491_Q01	פעדעראַלן טעאַטער	Theatre	שיקאַגאָ	115	Grand Theatre	1	0.27	שעהנהאָלץ, דוד
ORG-C02820	יידיש באַוועגלעכן מלוכהטעאַטער	Theatre		500	ריגער יידישן טעאַטער	1	0.27	שליט, געניאַ
ORG-C02820	יידיש באַוועגלעכן מלוכהטעאַטער	Theatre		515	קיעווער יידישן מלוכה-טעאַטער	1	0.27	שליט, געניאַ
ORG-C02820	יידיש באַוועגלעכן מלוכהטעאַטער	Theatre		443	Yiddish Art Theatre	1	0.27	שליט, געניאַ
ORG-C03890	יידישן סאָציאַליסטישן פֿאַרבאַנד	Jewish political bodies	ניו-דזשוירזי | ניו-יאָרק	442	Yiddish artists union	1	0.27	רובין, גרשון
