title,author,year_written,year_printed,publication_place,publisher,publisher_place,printer,printer_place,transkribus_doc_id,transkribus_collection_id,transkribus_url,transkribus_ready,folder,rafe,vocalization_position,speakers_stage_vocalized,notes,polona_item_id,library,library_signature,record_no,alt_titles,physical_description,author_certainty,author_source
Hinke Pinke,Joseph Lateiner,,1907,Warsaw,"""Teater bibliyotek""",,N. Starowolski (Warsaw),,820969,2372172,https://app.transkribus.org/collection/2372172/doc/820969,not_yet,HinkePinke,,,,,557027,Biblioteka Narodowa (Polona),II 1.401.629 A,b0000002023807,Gabriel malarz (pl); Hinke Pinke ili hudožnik Gabriel (ru),"61 s., 1 k. tabl. ; 25 cm",certain,"title page p.3: ""פון יוסף לאטַיינֶער"""
Sore Sheyndel,Joseph Lateiner,,1907,Warsaw,"""Di yudishe bihne""",,B. Turš (Warsaw),,820964,2372172,https://app.transkribus.org/collection/2372172/doc/820964,not_yet,SoreSheyndel,,,,,557661,Biblioteka Narodowa (Polona),I 1.469.230 A,b0000002023775,"Sara Szejndel (pl); Sure Šejndel (ru, 'p'esa v 3-h dejstviâh')",60 s. ; 19 cm,certain,"title page p.5: ""פון יאָזעף לאטיינער"""
Kidush Hashem,Joseph Lateiner,,1909,Lemberg,Verlag von D. Roth Buchhandlung,Lemberg,Druck von E. Salat,Lemberg,820939,2372172,https://app.transkribus.org/collection/2372172/doc/820939,not_yet,KidushHashem,no,consonants,no,"RA-corrected pp.1-6; title page Yiddish year unclear (reads ""תרפש"" — possibly OCR of תרס״ט = 1908/09); price 30 kop.",96221294,Biblioteka Narodowa (Polona),63.390,b0000002022345,Das heilige Opfer (de); Ofiarowanie się na chwałę Bożą (pl),71 s. ; 25 cm,certain,"title page p.1: ""יאזֶעף לאטַיינֶער."""
Dovid's Fidele,Joseph Lateiner,,1904,Podgórze,A. Faust,,,,820845,2372172,https://app.transkribus.org/collection/2372172/doc/820845,not_yet,DovidsFidele-1904,,,,,557358,Biblioteka Narodowa (Polona),II 63.397,b0000002022304,Harfa Dawida (pl),66 s. ; 25 cm,certain,"title page p.3: ""יאזאף לאטיינער."""
Dos Yudishe Herts,Joseph Lateiner,,1910,Warsaw,"""Kunst""",,,,820841,2372172,https://app.transkribus.org/collection/2372172/doc/820841,not_yet,DosYudisheHerts-1910,,,,,91858914,Biblioteka Narodowa (Polona),44.631,b0000002023769,Żydowskie serce (pl); Evrejskoe serdce (ru),71 s. ; 25 cm,certain,"title page p.3: ""פאן י. לאטיינער"""
Meshumed,Joseph Lateiner,,,,,,,,534187,18874,https://app.transkribus.org/collection/18874/doc/534187,partial,Lateiner_Meshumed,,,,images+intermediate XML already present locally; 44 pages with GT/IN_PROGRESS transcripts pulled from coll 18874 on 2026-06-18,,,,,,,certain,"title page p.3: ""יוזף לאטייניר."""
Yaakov-Esav,Moyshe Hurwitz,,,,,,,,494907,2372172,https://app.transkribus.org/collection/2372172/doc/494907,manuscript_track,MS_YaakovEsav,,,,"MS — 60 pp, all IN_PROGRESS, Judith primary; not yet bootstrapped",,,,,,,attributed,"YIVO RG8 folder-level catalogue or Zylbercweig (per PI 2026-08-18; the two sources are not distinguished per play). The MS carries an archival cataloguer's heading ""[הורוויטש, משה]"" (p.5, surname-first, fully bracketed = editorially supplied, above the title with the YIVO item number) — that is a catalogue label, NOT the manuscript's own attribution: there is no ""פֿון"" and no title-page attribution formula anywhere in the text."
Meshumed,Joseph Lateiner,,,,,,,,534187,2372172,https://app.transkribus.org/collection/2372172/doc/534187,manuscript_track,Lateiner_Meshumed,,,,"MS — 44 pp, 39 GT + 3 IN_PROGRESS; local data at data/Lateiner_Meshumed; pulled 2026-06-18",,,,,,,certain,"title page p.3: ""יוזף לאטייניר."""
Yetsi'as Mitsrayim,Moyshe Hurwitz,,,,,,,,715163,2372172,https://app.transkribus.org/collection/2372172/doc/715163,manuscript_track,MS_YetsiasMitsrayim,,,,"MS — 67 pp, 66 GT + 1 FINAL; Miriam Trinh primary editor. Text is in GERMAN (Latin script), not Yiddish — cf. sheet note ""בדייטש"". Title page: ""Jezias Mizraim (Die Wunder von Egipten) / Biblische Operete in 4 Aufzügen / Von Profesor M. Horowitz, Musik von Perlmutter und Wohl""; Russian parallel title ""Ециасъ Мицраимъ ... Соч. Професора М. Горовица. Музыка Перельмутера и Вола"". Russian dramatic-censorship stamps: received 5 Sept 1910; 29 Oct 1910 St Petersburg ""Къ представленiю признана неудобнымъ"" (banned for performance). Library stamps: ЛГТБ No 6246, Рукописный отдел, catalog 1285. Pulled to data/MS_YetsiasMitsrayim 2026-08-18 (67 pp, page/ + page_annotated/ + manifest); not yet annotated.",,,,,,,certain,"MS title page p.1, in German and Russian: ""Von Profesor M. Horowitz, Musik von Perlmutter und Wohl"" / ""Соч. Професора М. Горовица. Музыка Перельмутера и Вола"""
Yoysef in Egipten,Joseph Lateiner,,,,,,,,826832,2372172,https://app.transkribus.org/collection/2372172/doc/826832,manuscript_track,MS_YoysefInEgipten,,,,"Historical operetta in 5 acts; YIVO rg8-1-f4179; 57 pp, 28 GT + 24 IN_PROGRESS; Noa primary. Author from the MS title page (p.4): ""פערפאסט פון לאטיינער""; same page ""מוזיק פון סאנדלער"" (music by Sandler).",,,,,,,certain,"title page p.4: ""פערפאסט פון לאטיינער"""
Ben HaDor,Moyshe Hurwitz,,,,,,,,826910,2372172,https://app.transkribus.org/collection/2372172/doc/826910,manuscript_track,MS_BenHaDor,,,,"MS — 36 pp, 33 GT + 3 IN_PROGRESS; Judith primary",,,,,,,attributed,YIVO RG8 folder-level catalogue or Zylbercweig (per PI 2026-08-18; the two sources are not distinguished per play); author not named anywhere in the transcribed text
Shimshon Hagibor,Moyshe Hurwitz,,,,,,,,838365,2372172,https://app.transkribus.org/collection/2372172/doc/838365,manuscript_track_excluded,YIVO_ShimshonHagibor,,,,"EXCLUDED — part-book (מחברת תפקיד), not a full playtext: it carries one role's lines/cues only, so it cannot be encoded as a drama. Decision recorded in the ""Hebrew and Yiddish Drama Corpus list of plays"" sheet (Yiddish tab, comment column: ""בעייתי / לא נכלול - זו מחברת תפקיד""). Never annotated; no local data/ dir. MS — 18 pp, 17 GT; rabeliovi primary editor. YIVO YIVO RG8-f4142A.",,,,,,,attributed,YIVO RG8 folder-level catalogue or Zylbercweig (per PI 2026-08-18; the two sources are not distinguished per play); author not named anywhere in the transcribed text
Khurbn Yerusholaim,Joseph Lateiner,1916,,,,,,,838368,2372172,https://app.transkribus.org/collection/2372172/doc/838368,manuscript_track,MS_KhurbnYerusholaim,,,,"Historical operetta in 5 acts (1916); YIVO rg8-1-f4176; 39 pp, 30 GT + 1 FINAL + 2 IN_PROGRESS; Judith primary. Author from the MS title page (p.6): ""היסטארישע אפערעטא אין 5 אקטען פֿון יוסף לאטיינער""; same page: ""איבערגעשריבען אויף ריין יידיש פון לעאן שלאמאוויטץ"" (copied into pure Yiddish by Leon Shlomovitz).",,,,,,,certain,"title page p.6: ""היסטארישע אפערעטא אין 5 אקטען פֿון יוסף לאטיינער"""
Bas Koyen,Moyshe Hurwitz,,,,,,,,838374,2372172,https://app.transkribus.org/collection/2372172/doc/838374,manuscript_track,MS_BasKoyen,,,,"MS — 40 pp, 33 GT; Judith primary YIVO YIVO RG8-f4140.",,,,,,,attributed,"YIVO RG8 folder-level catalogue or Zylbercweig (per PI 2026-08-18; the two sources are not distinguished per play). The MS carries an archival cataloguer's heading ""[הורוויטש, משה]"" (p.4, surname-first, fully bracketed = editorially supplied, above the title with the YIVO item number) — that is a catalogue label, NOT the manuscript's own attribution: there is no ""פֿון"" and no title-page attribution formula anywhere in the text."
Di Tsvey Tnoim,Moyshe Hurwitz,,,,,,,,838430,2372172,https://app.transkribus.org/collection/2372172/doc/838430,manuscript_track,MS_DiTsveyTnoim,,,,"MS — 49 pp, 46 GT; Noa primary YIVO YIVO RG8-f4141.",,,,,,,certain,"MS title page p.4: ""פֿון / מ. [הורוויטש] / מוזיק פֿון / פּערלמוטער אוננד וואָהל"" — surname editorially supplied (bracketed); also stamped at head ""פראפ׳ מ. [האראוויץ]"""
Tissa-Essler,Moyshe Hurwitz,1892,,,,,,,905289,2372172,https://app.transkribus.org/collection/2372172/doc/905289,manuscript_track,MS_TissaEssler,,,,"MS — 40 pp (cropped), 36 GT + 1 FINAL; Noa primary. Author+year from the MS title page (p.2): ""טִיסְסַא עֶסְלַאר (בֵיידֶע טְהֶייל) / דראממא אין 5 אקטין מיט געזיינגע. / פערפאסט פאן / פר״ הורוויץ הלוי / 1892"".",,,,,,,certain,"title page p.2: ""פר"" הורוויץ הלוי"""
Emigration nach America,Joseph Lateiner,1884,,,,,,,1013131,2372172,https://app.transkribus.org/collection/2372172/doc/1013131,manuscript_track,MS_Emigration,,,,"MS — 117 pp, 113 GT + 2 FINAL + 2 IN_PROGRESS; Noa primary. Author+year from the MS title page (p.3): ""עמיגראציאן נאך אמעריקא! / געזאנג דראממא אין 5 אקטען אין 1 בילדער / פאן יוסף לאטיינער! / 1884"".",,,,,"Emigration (short form, used for the data/ folder and doc labels); עמיגראציאן נאך אמעריקא (yi, MS title page pp.1+3)",,certain,"title page p.3: ""פאן יוסף לאטיינער!"""
"Khurbn Yerusholaim (DUPLICATE — blank, see 838368)",,,,,,,,,820938,2372172,https://app.transkribus.org/collection/2372172/doc/820938,manuscript_track_duplicate,HurbanYerushalaim_820938_duplicate,,,,DUPLICATE of doc 838368 (YIVO rg8-f4176 Khurbn Yerusholaim 1916). 56 pp but only 1 IN_PROGRESS transcript (uploader 'uninecessity'). Pending PI decision 2026-06-24 whether to keep both copies or remove this one. Also lives in coll 18874 + 227896.,,,,,,,,
