slot	surface	auto_link	auto_status	auto_method	n_facts	example_fact_id	example_evidence	decision	decided_link	reviewer_notes
org	מאַדיאָקאַט	org_cluster:ORG-C02118	candidate	cluster_no_entity	4	P-2-facs_213_r_27:1#1	"דאָס דריטע פּראָגראַם איז געגעבן געוואָרן דעם 22 סעפּטעמבער 1926 „דער דיבוק"", אַ פּאַראדיע פֿון זוני מאַנד"			
org	פֿאָלקסבינע	org_cluster:ORG-C00190_Q01	candidate	cluster_no_entity	4	P-3-facs_289_tr_1755803006:1#4	"דעם 13 מערץ איז אין „נאָראַ בעיס טעאַטער“, א""ר פון י. כיגאָרין, אויפֿגעפֿירט געוואָרן די דריי-אַקטיקע קאָמעדיע „קאָמעדיאַנטך- פֿון דער טינקעלער"			
org	דראַמאַטישער שול פֿון צעזאָר גרינבערג	org_cluster:ORG-C01437	candidate	cluster_no_entity	4	P-3-facs_373_tr_1755856146:1#1	"אין 1906 געקומען אין אַמעריקע און אַריינגעטראָטן אין דער דראַמאַטישער שול פֿון צעזאָר גרינבערג און זיך באַטייליקט אין זיינע אויפֿפֿירונגען פֿון „חכמת נשים"" („לייבעלע בראָנפֿן"")"			
org	יידישן קינדער-טעאַטער	org_cluster:ORG-C01333_Q01	candidate	cluster_no_entity	4	P-4-facs_379_tr_1755030303:1#2	שלמה המלך און די בין קינדער-שפּיל אין פֿיר בילדער, וואָס איז דעם 8 יוני 1951 אויפגעפֿירט געוואָרן דורכן יידישן קינדער-טעאַטער אין לאָס אַנדזשעלעס אין „ווילשייער איבעל טעאַטער“			
org	יידישער קונסט טעאַטער	org:713	candidate	fuzzy_95	4	P-4-facs_632_tr_1755030238:1#7	"„יודקע"" אין פינסקיס „דער אוצר“"			
org	אָנגלאָ-דזשויש פּלעי-האוז	org_cluster:ORG-C06285	candidate	cluster_no_entity	3	P-1-facs_278_r_2:1#1	"1926-27 — איז ג. געווען דער דירעקטאָר פֿון אָנגלאָ-דזשויש פּלעי-האוז און האָט דאָ אויפֿגעפֿירט צ'אַ זיין ענגלישע איבערזעצונג פֿון פרץ הירשבייןס „די גרינע פעלדער"""			
org	די טרופּע		unmatched		3	P-1-facs_302_tr_1741260418:1#1	"דער רעפּערטואָר איז באָשטאָנען פֿון: „דער ווילדער מענטש“, „אחשורוש“, ""שולמית“, ""עקדת יצחק“, „קוני לעמל“, „דער גולם"" (פֿון ש. פּריזאָמענט און א. מייזעלס), „דער בטלן“, „הערצעלע מיוחס“, „דאָס יידישע קינד“"			
org	דאַזאָר בוזשניטשי		unmatched		3	P-1-facs_331_tr_1741260489:1#1	דער לעצטער האָט די ערע צו בעטן דעם געשעצטן גענעראָל			
org	כאַרקאָווער מלוכהשן יידישן טעאַטער		unmatched		3	P-2-facs_279_tr_1744280711:1#1	אין זעלבן סעזאָן (1926-27) איז אויך אויפֿגעפֿירט געוואָרן „אין דער גאָלדענער מדינה, אַ דראַמע אין 4 אַקטן, לויט דזש. לאָנדאָזס „וועלפישע נשמות“, איבערזעצונג און באַאַרבעטונג — ה. קאָזאָקעוויטש			
org	יידישער קונסט-טעאַטער	org:713	candidate	fuzzy_95	3	P-3-facs_127_tr_1754820296:1#1	"אין סעזאָן 1928—1929 שפּילט ער אין מאָריס שוואַרצס ""יידישער קונסט-טעאַטער“, און באַטייליקט זיך אין דער אויפֿפֿירונג פֿון אַשס „קדוש השם“"			
org	וויקט		unmatched		3	P-3-facs_92_r:1#10	"אין יאַנואַר 1927 אין וואַרשע דורך „וויקט"" א""ר פֿון זיגמונט טורקאָוו"			
org	קאָמפּאַנעעצס טרופּע	org:485	candidate	cluster_fuzzy_97	3	P-5-facs_353_r:1#1	"אין 1920-1 זיך באַטייליקט אין דוד הערמאַנס אויפֿפֿירונג פֿון אַנסקיס „דיבוק"" מיט קאָמפּאַנעעצס טרופּע"			
org	טרופּע, וואָס די אַקטעריסע אַנטאָווילסקאַ מיט איר מאַן בורדאַ שטעלן צונויף		unmatched		3	P-5-facs_442_tr_1739222523:1#1	"טרעט ער אַריין, פּראָפעסיאנעל, אין דער טרופּע, וואָס די אַקטעריסע אַנטאָווילסקאַ מיט איר מאַן בורדאַ שטעלן צונויף, און דאָרט דעביוטירט ער אַלס ""ביינישל אין „דער ישיבה בחור"""			
org	קאָמפּאַנעעץ-טרופּע	org:485	candidate	cluster_fuzzy_97	3	P-6-facs_291_tr_1747928923:1#5	"ווען דוד הערמאַן האָט מיט אונדז אויפגעפירט אין לאָדזש אַנסקיס „דיבוק"", האָט מיין פאָטער דאָרט מיטגעווירקט אין אַ וויכטיקע ראָל"			
org	נידערשלעזישן יידישן טעאַטער	org_cluster:ORG-C00109	candidate	cluster_no_entity	3	P-6-facs_419_tr_1747930126:1#1	"זי האָט געהאָט טויזנט חן ווי די הירשביינישע מאַמע אין „די גרינע פעלדער"""			
org	יידישער טעאַטער אַנסאַמבל	org_cluster:ORG-C02377	candidate	cluster_no_entity	3	P-6-facs_475_r:2#3	"ליובאַ רימער אין דער ראָלע פֿון זיין ווייב, אַ כשרע יידענע, ""בת שבע"""			
org	ראַפּעלס טרופּע	org_cluster:ORG-C00010	candidate	cluster_no_entity	3	P-7-facs_10_tr_1756280321:1#1	"אין 1910 — פּראָפעסיאנעל גענומען שפּילן אין ראַפּעלס טרופּע אין ""עליזעום“, פריער אַלס „דער נאַרישער חתן„ אין „דער יחסן“, דערנאָך „שמואָל גאָלצעס„ און „די יידישע נשמה"""			
org	יידישע קונסט-טעאַטער	org:713	candidate	fuzzy_97	3	P-7-facs_78_tr_1757228901:1#1	ער איז ערשיינען אין „אוריאל אַקאָסטאָ“, פריער אין דער ראָל פון אַקאָסטאָ			
org	יודישע ביהנע	org_cluster:ORG-C00480	candidate	cluster_no_entity	2	P-1-facs_312_TextRegion_1708860417410_829:3#2	"בן הדור, הייסטאָרישע אָפּערעטאָ אין 4 אַקטן פֿון פּראָפעסאָר י. האָראָוויטץ, מוזיק פֿון פּערעלמוטער עט וואהל, פּיעטרקוב תרס""ז [1907, 60 ז. 16], פערלאג די ""יודישע ביהנע“"			
org	זיינע טרופּעס		unmatched		2	P-1-facs_342_tr_1741260502:1#3	"פּראָפ. הורוויץ אויסגענוצט דעם איינהאָלט פֿון דערדאָזיקער קאָמעדיע פֿאָר זיינעם אַ פֿאָרס „שבתי צבי"", וועלכן ער האָט געשפּילט מיט זיינע טרופּעס אין מזרח-אייראָפּע"			
org	דראָמאָטישן קלוב	org_cluster:ORG-C05715	candidate	cluster_no_entity	2	P-1-facs_255_tr_1741260322:1#2	"גרינדעט ער אין עלטער פֿון 17 יאָר אַ דראָמאָטישן קלוב, זין וועלכן ער שפּילט די ראָל „משהלע“ אין לאַטיינערס „גרינאָרנס"""			
org	יידישן אָפּערעטן-טעאַטער	org_cluster:ORG-C00260_Q01	candidate	cluster_no_entity	2	P-1-facs_358_tr_1741260405:1#1	טרעט וו. אַריין אין יאָסי אין יידישן אָפּערעטן-טעאַטער, וואו ער שפּילט געזאַנג-ליבהאָבער מיט ס'רוב ליטורגישער מוזיק ווי „גבריאל“ אין „בינקע-פּינקע“			
org	מעלוכישן יידישן טעאַטער אין אוקראַאינע	org_cluster:ORG-C04312	candidate	cluster_no_entity	2	P-2-facs_117_tr_1744279199:1#3	"אין זעלבן סעזאָן — „שאַבסי צוויי, אַ טראַגעדיע פֿון אַן אָפּגענאָרט פֿאָלק אין 4 אַקטן, סצענאָרי-מאַנטאַזש — עראים לויטער [גענומען פֿון יערזשי זשולאָווסקיס און שלום אַשס פּיעסעס „שבתי צבי"" און יעקב וואַס"			
org	יאָוועלירס טרופּע	org_cluster:ORG-C03015	candidate	cluster_no_entity	2	P-2-facs_194_tr_1744279147:1#1	"בערך 1900 אויפֿגעטראָטן אין יאָוועלירס טרופּע אַלס דער ליבהאַבער אין הורוויץס פּיעסע „שבתי צבי"""			
org	אהבת ציון	org_cluster:ORG-C04791	candidate	cluster_no_entity	2	P-2-facs_270_tr_1744280698:1#1	צוזאַמען מיט שלמה-זלמן פוקס און יצחק קאָמינער געגרינדעט דעם העברעישן פֿאַראיין „אהבת ציון“			
org	וואַרשעווער יידישער דראַמאַטישער שול	org_cluster:ORG-C04828	candidate	cluster_no_entity	2	P-2-facs_284_tr_1744280794:1#1	"זומער 1925 — געמאַכט מיט דער סטודיע אַ טורנעע אין בער פּוילן מיטן רעפּערטואַר: ""ביינאַכט אויפֿן אַלטן מאַרק"" „דבוק"""			
org	פּראָווינציעלער חבריםטרופּע		unmatched		2	P-2-facs_296_r:1#1	"דעביוטירט פּראָפעסיאנעל אין 1919 אַלס „דר. שוואַרץ"" אין לאַטיינערס ""שלאָמקע און ריקל"" אין אַ פּראָווינציעלער חבריםטרופּע א'ל פֿון פ. באַריץ"			
org	איר פֿאָטערס טרופּע		unmatched		2	P-2-facs_87_tr_1744131446:1#1	"אין עלטער פֿון 6 יאָר אויפֿגעטראָטן אין דער קינדער-ראָל ""יואש"" אין דער אָפּערעטע ""עתליהו"" אין איר פֿאָטערס טרופּע אין קאָלאָמעאַ"			
org	דראַמאטיק-קלוב	org_cluster:ORG-C07057	candidate	cluster_no_entity	2	P-2-facs_88_tr_1744131404:1#1	"געגרינדעט אַ דראַמאטיק-קלוב, מיט וועלכן ער פֿירט אויף „דאָס פּוילישע יינגל"", שפּילנדיק די ראָל „קלמן קראָטש"""			
org	עברי	org_cluster:ORG-C00820	candidate	cluster_no_entity	2	P-3-facs_133_tr_1755157303:1#1	"שאַרקאַנסקיס ""רחל, דגל מחנה יהודה"" (אין וועלכער לודווייג זאַץ דעביוטירט אין אַ קינדער-ראָל)"			
org	דראַמאַטישער געזעלשאַפט	org_cluster:ORG-C00721	candidate	cluster_no_entity	2	P-3-facs_273_tr_1755674142:1#1	"1918 — צוריקגעקומען אין בריסק און אָנגעפֿירט מיט דער אָרטיקער דראַמאַטישער געזעלשאַפט, וואו ער פֿירט אויף און שפּילט די הויפּטראָלן אין „די שחיטה"", „די שבועה“, ""יידישער קעניג ליר“, „די נבלה"", „תקיעת כף"""			
org	פּראָווינץ-טרופּע	org_cluster:ORG-C01183	candidate	cluster_no_entity	2	P-3-facs_316_tr_1756045027:1#2	אין 1913 טרעט ער אַריין אין אַ פּראָווינץ-טרופּע, מיט וועלכער ער פֿירט אויף און שפּילט אין בעיאָן, ניו דזשוירזי, לאַטיינערס „דער שטן אין גן עדן“			
org	קאָמפּאַנעיעץטרופּע	org:485	candidate	cluster_fuzzy_97	2	P-4-facs_141_tr_1754377600:1#3	"ראבינאָוויטש האָט זי [די פּיעסע] „דער דבוק"" אויפגעפֿירט לויט הערמאַנס רעזשי"			
org	שיקאַגער דראַמאַטישע געזעלשאַפט	org_cluster:ORG-C07256	candidate	cluster_fuzzy_98	2	P-4-facs_364_tr_1755030303:1#1	אין 1929 האָבן זיך די מיטגלידער פֿון דער גרופּע באַטייליקט אין די מאַסן-סצענעס פֿון פינסקיס „אוצר“, וואָס די שיקאַגער דראַמאַטישע געזעלשאַפט האָט אויפֿגעפֿירט אין מילוואָקי			
org	יידישער מוסטער טעאַטער		unmatched		2	P-4-facs_439_tr_1755030088:1#4	"„דער דיבוק"" (אויפֿגעפֿירט דורך הערמאַן פעניגשטיין, לויט דער קאָנצעפּציע פֿון דוד הערמאַן, אונטער דער השגחה פֿון רעזשיסער מישאַ פישזאָן) איז געווען אַ רייזיקער דערפֿאָלג"			
org	קיעווער יידישן טעאַטער	org_cluster:ORG-C03691	candidate	cluster_no_entity	2	P-4-facs_453_tr_1755030106:2#4	אין 1929 איז די פּיעסע אין „דער אוצר פֿון שלום עליכם אין 4 אַקטן און 8 בילדער, באַאַרבעט פֿון י. פעפער, רעזשי — ז. וויין, אויפֿגעפֿירט געוואָרן אין קיעווער יידישן טעאַטער			
org	ליטעראַריש דראַמאַטישן קונסט-ווינקל	org_cluster:ORG-C07457	candidate	cluster_no_entity	2	P-4-facs_665_tr_1755029919:1#1	"געשפּילט אַזעלכע וויכטיקע ראָלן ווי „הירש בער"" אין הירשביינס „גרינע פעלדער“"			
org	דוד הערמאַן סטודיע	org_cluster:ORG-C03521	candidate	cluster_fuzzy_97	2	P-5-facs_230_tr_1739221425:1#1	"די דוד הערמאַן סטודיע האָט באַנייט דעם „דיבוק"""			
org	יידישן מוסטער און קינסטלערטעאַטער	org_cluster:ORG-C01847	candidate	cluster_no_entity	2	P-6-facs_102_tr_1747825160:1#1	"„חנן"" אָדער ""משולח"" אין ש. אַנסקיס „דיבוק"""			
org	ביראָ בידזשאַנער יידישן מלוכה-טעאַטער	org:506	candidate	fuzzy_97	2	P-6-facs_105_tr_1747825152:1#2	"""בת שבע"" אין שלום-עליכמס „גאָלדגרעבער“"			
org	קאַמינסקיס נייער טעאַטער		unmatched		2	P-6-facs_210_tr_1747928994:1#7	באַלד באַווייזט זיך קאַמינסקי מיט אַן אייגענער (?) אָפּערעטע „דער יידישער מיניסטער“			
org	קאַמינסקיס טרופּע	org:147	candidate	cluster_fuzzy_97	2	P-6-facs_300_tr_1747928891:1#1	"ווען איך האָב זי דערזען אויף דער בינע [אַלס „זליכה""]"			
org	קאָמינסקיס טרופּע	org:147	candidate	cluster_fuzzy_97	2	P-6-facs_300_tr_1747928891:1#3	"מ'האָט דעם אָוונט געגעבן „אַ גאַסט פון יענער וועלט"" און זי האָט געשפּילט די הויפּטראָל"			
org	טעאַטער-סטודיע	org_cluster:ORG-C00563	candidate	cluster_no_entity	2	P-6-facs_435_r:1#2	דעם 3 נאָוועמבער 1947 ווערט מיטן יובילאַר אַלס גאַסט, געפערט דער 75-יאָריקער יובל פֿון דוד פינסקי, אַראַנזשירט, אין אוידיטאָריע פֿון יוקליד עוועניו טעמפּל, דורך דעם יידישן קולטורקאָמיטעט, אויף וועלכן די			
org	דראַמאַטישער גרופּע	org_cluster:ORG-C01560	candidate	cluster_no_entity	2	P-6-facs_435_r:1#4	סצענע פֿון „גרינע פעלדער“ פֿון פרץ הירשביין, א'ר פֿון לעאָן ליבגאָלד			
org	דראַמע סענטער	org_cluster:ORG-C02346	candidate	cluster_no_entity	2	P-6-facs_435_r:1#6	דעם 21 נאָוועמבער 1956 איז אין דראַמע סענטער געגעבן געוואָרן איר פֿון לעאָן ליבגאָלד מיט זיין און לילי ליליאַנאַס אָנטייל אַ מוזיקאַלישע אויפֿפֿירונג פֿון פרץ הירשביינס „גרינע פעלדער“			
org	יידיש-העברעישע בימה, פּערט		unmatched		2	P-7-facs_11_tr_1756280381:1#2	"ביידע אַמאַטאָרן-גרופן פֿאַרייניקט א'נ ""יידיש-העברעישע בימה, פּערט"" און אויפֿגעפירט ""קוני לעמעל“, „דאָס יידישע האַרץ“"			
org	יידישן מלוכןן טעאַטער א'נ פון אַסתר-רחל קאמינסקאַ	org_cluster:ORG-C00038	candidate	cluster_no_entity	2	P-7-facs_14_tr_1756389602:1#1	„גרינע פעלדער“ פון פרץ הירשביין			
org	ניי-אַזאַזעל	org_cluster:ORG-C00141_Q01	candidate	cluster_no_entity	2	P-7-facs_35_r_2:1#1	"דעם 1 אַפּריל 1942 איז געגעבן געוואָרן, וואַרשיינלעך די לעצטע אויפֿירונג: „דודס פידעלע"" פֿון י. לאַטיינער"			
org	קולטור	org_cluster:ORG-C02230	candidate	cluster_no_entity	1	P-2-facs_90_tr_1744131428:2#10	יוסף לאַטיינער. מישקע און מאָשקע, אָדער, אייראָפעער אין אַמעריקע, אַ קאָמעדיע אין 5 אַקטן, וואַרשע — תּרע'א [1911], הויפּט פערקויף אין פערלאַג „קולטור“, וואַרשא			
org	יודישע טהעאַטער-בּיבּליאָטעק	org_cluster:ORG-C06899	candidate	cluster_no_entity	1	P-2-facs_90_tr_1744131428:2#12	חוּרבּן ירוּשלים, היסטאָרישע אָפּערעטע אין 5 אַקטען פון יוסף לאַטיינער, יודישע טהעאַטער-בּיבּליאָטעק 13 No, וואַרשא, תּרס“ח			
org	דודס האַרפע	org_cluster:ORG-C06461	candidate	cluster_no_entity	1	P-1-facs_312_TextRegion_1708860417410_829:2#2	ה. צוזאַמען מיט אַ געוויסן מר. שרייבער האָבן אין נאָמען פון דער געזעלשאַפט „דודס האַרפע“ גענומען דאָס פּולס טעאַטער און אויפן סעזאָן 1887-8 אַריינגענומען אַ טרופּע אויף שכירות. דאָ איז אויף דער פייערל			
org	"דראָמאָטישן קלוב פֿון פֿאַריין ""ציון“"		unmatched		1	P-1-facs_106_r_2:1#2	"אין 1917 טרעט ב. אַריין אין דראָמאָטישן קלוב פֿון פֿאַריין ""ציון“"			
org	דאָס ניוע אידישע טעאַטער	org_cluster:ORG-C06983	candidate	cluster_fuzzy_95	1	P-1-facs_108_tr_1740521022:1#1	דער רעפּערטואָר פֿון דעם טעאַטער איז געווען הירשביין: „פוסטע קרעטשמע“, „גרינע פעלדער“			
org	פאַריין „ציון“	org_cluster:ORG-C02784	candidate	cluster_no_entity	1	P-1-facs_174_region_1715799875093_402:1#3	דעם 29 אָקטאָבער 1890 האָט ג. אין פאַריין „ציון“ פאָרגעטראָגן זיינע ווערק			
org	דר. הערצל ציון-קלאָב	org_cluster:ORG-C06054	candidate	cluster_no_entity	1	P-1-facs_180_region_1715801037095_458:1#1	אין 1904 האָט אין ניו-יאָרק זיך געגרינדעט אַ פאַריין פון העברעאיש-ריידנדיקע יונגעלייט, „דר. הערצל ציון-קלאָב“			
org	יאָנג היברוס דראָמאָטיק קלאָב	org_cluster:ORG-C06198	candidate	cluster_no_entity	1	P-1-facs_261_tr_1741260190:1#1	"טרעט דאָ אויף אין דער טיטל ראָל פֿון הורוויץס „דאָס פּוילישע יונגל"""			
org	געבילם סטאָר טעאַטער	org_cluster:ORG-C06202	candidate	cluster_no_entity	1	P-1-facs_261_tr_1741260190:1#5	"פֿירט אויף אַ ריי זיינע ניוע איינאַקטערס און זיינע פּיעסן „הלל הזקן“, דראָמע אין 4 אָקטן, „דאָס גאָלדענע קאַלב"""			
org	געבילם קאָמעדיע טעאַטער	org_cluster:ORG-C04156	candidate	cluster_fuzzy_95	1	P-1-facs_261_tr_1741260190:1#6	דאָ פֿירט נ. אויף זיינע פּיעסן: „די מאָראָל פּרעדיקער“, מעלאָדראָמע אין 4 אַקטן דזשעמס אָניעלס „מאָנטאָ קריסטאָ“			
org	יידישע טרופּע	org_cluster:ORG-C05162	candidate	cluster_fuzzy_96	1	P-1-facs_267_tr_1741260282:1#2	אין 1912 האָט ג. חתונה מיט אָדאָלף גערטנער, און באָזעצט זיך אין מילוואָקי, וואו איר מאַן פֿירט אַ יידישע טרופּע.			
org	טעאַטראָלן אינסטיטוט	org_cluster:ORG-C03605	candidate	cluster_no_entity	1	P-1-facs_267_tr_1741260292:1#1	"אַלס סטודענט געשפּילט אין 1925 די ראָלן ""ברכיה"" אין פרץס „אין פּאָליש אויפֿן קייט"""			
org	ביבלישע הייסטאָרישע אָפּערן-געזעלשאָפט	org_cluster:ORG-C06312	candidate	cluster_no_entity	1	P-1-facs_283_tr_1741260236:1#2	האָט ג. אויף דער סט. לואיסער אויסשטעלונג אין 1904 אויפֿגעפֿירט אַ ביבלישע אָפּערע, „שלמה המלך“			
org	„ציון“	org_cluster:ORG-C05671	candidate	cluster_no_entity	1	P-1-facs_286_TextRegion_1711970330752_148:1#1	געווען אַ מיטגליד אין פֿאַריין „ציון“ אין ווין			
org	די ווילנער טרופּע		unmatched		1	P-1-facs_323_tr_1741260490:1#8	"איז דערנאָך געשפּילט געוואָרן דורך „די ווילנער טרופּע"" אין אייראָפּע"			
org	פֿאַרלאָג פֿון ב. קלעצקין		unmatched		1	P-1-facs_323_tr_1741260490:2#2	„גרינע פעלדער“, ווילנער פֿאַרלאָג פֿון ב. קלעצקין ווילנע 1929			
org	לאָדזשער יידישן דראָמאָטישן טעאַטער	org_cluster:ORG-C03677	candidate	cluster_no_entity	1	P-1-facs_333_tr_1741260495:1#2	"נאָכן אויפֿירן „דער דיבוק"" אין לאָדזשער יידישן דראָמאָטישן טעאַטער (דיר. צעלמייסטער)"			
org	"פֿ""ג גיטלין"		unmatched		1	P-1-facs_335_r_6:1#1	"אין 1929 איז אין פֿ""ג גיטלין, וואָרשע, דערשינען ה.'ס איבערזעצונג פֿון שילערס „ווילהעלם טעל“"			
org	פֿיינמאָזס דראָמאַטישער שול	org_cluster:ORG-C06620	candidate	cluster_no_entity	1	P-1-facs_359_TextRegion_1710852536774_157:1#1	"דאָ טרעט ער אַרויס צום ערשטן מאָל אין אַ קליינער ראָל אין „די פֿאַרבלאַנדזשעטע נשמה"""			
org	ציון	org_cluster:ORG-C05671	candidate	cluster_no_entity	1	P-1-facs_365_tr_1741260404:1#1	"באַטייליקט זיך אין די „ליבהאָבער""-פֿאָרשטעלונגען פֿון פֿאַריין „ציון“"			
org	פערלאָג ש. גאָלדפֿאָרב	org_cluster:ORG-C00874	candidate	cluster_fuzzy_94	1	P-1-facs_384_r:2#10	[6] י. זאַלאַטאָרעווסקי ליבע און ליידענשאָפט לעבענס-בילד אין פֿיער אַקטען פּרייז 1 זל. פערלאָג ש. גאָלדפֿאָרב, וואַרשאָ, 1926			
org	דראָמאָטישן קרייז פון צימער-מאָלער-פאַריין	org_cluster:ORG-C06777	candidate	cluster_no_entity	1	P-1-facs_393_tr_1741260467:1#1	"אַלס ינד פון 5 יאָר זיך באַטייליקט אין אַ קינדער-ראָל אין שאָרקאָנסקיס פּיעסע „דגל מחנה 'הודה"", וואָס איז געשפּילט געוואָרן אין זאָל קאָלאָסעאום דורכן דראָמאָטישן קרייז פון צימער-מאָלער-פאַריין"			
org	גאָלדפֿאַדעןם טרופּע	org:42	candidate	cluster_fuzzy_94	1	P-1-facs_405_r_4:1#1	"פֿון דאָרט גייט ז. איבער אין גאָלדפֿאַדעןם טרופּע אין יאָסי און טרעט אויף אַלס „אַברהם"" אין גאָלדפאַדעןם ""עקדת יצחק“"			
org	יידיש	org_cluster:ORG-C01403_Q01	candidate	cluster_no_entity	1	P-1-facs_408_TextRegion_1710064929131_307:1#3	"„דער קאָמעדיאַנט“ פון געאָרג פרעשל (אַלע דערשינען אין פ""ג יידיש“, וואַרשע, 1920)"			
org	ייד. דראָמ. ליט. געזעל.	org_cluster:ORG-C05585	candidate	cluster_no_entity	1	P-1-facs_69_tr_1740521066:1#4	"די פּיעסע אין דער זעלבער פֿאָרם איז אויך אויפֿגעפֿירט געוואָרן אין 1928 אין דער ""ייד. דראָמ. ליט. געזעל."" אין שיקאגאָ"			
org	איר פאָטערס טרופּע		unmatched		1	P-1-facs_81_tr_1740521176:1#1	"אין עלטער פון 15 יאָר אויפגעטראָטן אַלס „די יתומה"" אין „דודס פידעלע“ אין קאָסאָוו, אין איר פאָטערס טרופּע"			
org	קאָמפּאָנעיעץס		unmatched		1	P-1-facs_90_tr_1740521107:1#1	"אין דער פֿריסטער יוגנט באָזוכט קאָמפּאָנעיעץס פֿאָרשטעלונגען, ביז מען האָט אים אַריינגענומען צווישן די קינדער-סטאָטיסטן אין לאַטיינערס „חורכן ירושלים"""			
org	יידישן נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד	org_cluster:ORG-C00718_Q01	candidate	cluster_fuzzy_98	1	P-2-facs_119_tr_1744279140:1#3	"דעם 15 פעברואַר 1930 האָט ל. אויפֿגעפֿירט מיטן כאָר פֿון יידישן נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד הענדעלס אַראַטאָריע ""יהודה המכּבּי"""			
org	„ציון“-פֿאַרבאַנד	org_cluster:ORG-C04351	candidate	cluster_no_entity	1	P-2-facs_129_tr_1744279170:1#2	ווערט ל. דער פּאַסט פאַרבינדער צווישן דער רומענישער דעלעגאַציע און דעם אַרטיקן „ציון“-פֿאַרבאַנד			
org	„ציון“-פֿאַראיין		unmatched		1	P-2-facs_129_tr_1744279170:1#3	פֿאַרבינדונגען מיטן „ציון“-פֿאַראיין אין רומעניע צו שאַפן אַ פּובליקום אין רומעניע			
org	לידאַ	org_cluster:ORG-C00628	candidate	cluster_no_entity	1	P-2-facs_131_tr_1744279096:1#1	"„דוד מלך ישראל"" פֿון צבי בן-יעקב [זילבערצווייג]"			
org	די צייט	org_cluster:ORG-C01608	candidate	cluster_no_entity	1	P-2-facs_137_r_4:1#2	"אין 1921 איז אין וואַרשעווער פֿאַרלאג „די צייט"" דערשינען ל.'ס איבערזעצונג פֿון סטאניסלאוו ווייספּיאנסקיס דראַמע „דניאל“"			
