slot	surface	auto_link	auto_status	auto_method	n_facts	example_fact_id	example_evidence	decision	decided_link	reviewer_notes	reviewer	reviewed_at
person	גוזיק	person:UP-0328	unmatched	mentions	5	M-3-facs_15_tr_1752653010-002	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.			draft (fuzzy): יעקב גוזיק /  — confirm → ALIGN person:3639		
person	ליבערט	person:UP-0330	unmatched	mentions	5	M-3-facs_15_tr_1752653010-009	דער סוביעקט איז אַרומגעפֿאָרן מיט זיין טרופּע.			draft candidates: person:2280(מענוּכאַ ליבּערט) | person:2281(שרה ליבערט (לאה)) | person:2282(יאַנקעוו ליבּערט) | person:2283(אָליא ליבערט-לובאָצקי)		
person	אסתר רחל קאמינסקאַ	person:UP-0171	unmatched	mentions	5	M-3-facs_15_tr_1752653010-010	דער סוביעקט האָט צונויפֿגעשטעלט דעם ערשטן טעאַטער-קאָלעקטיוו מיט איר.			draft (variant): אסתר-רחל (האַלפּערן) קאַמינסקאַ /  — confirm → ALIGN person:3610		
person	י. ל. פרץ	person:UP-0158	unmatched	mentions	5	M-3-facs_92_r-004	פּ. איז מיט אים נאָענט צונויפגעגאַנגען אין וואַרשע און געוואָרן אַקטיוו אין דער יידישער ליטעראַטור.					
person	בנימין צמח	person:UP-0930	unmatched	mentions	5	M-3-facs_272_tr_1755674152-004	ער איז געווען איינער פֿון די רעזשיסאָרן פֿון די אַרטער-פֿאַרשטעלונגען וואו דער סוביעקט האָט געשפּילט.					
person	לעאַ פוקס	person:UP-0951	unmatched	mentions	5	M-3-facs_274_tr_1755674150-008	דער סוביעקט האָט געאַרבעט מיט איר איין סעזאָן.					
person	פרץ	person:UP-0142	unmatched	mentions	4	M-3-facs_17_tr_1752653007-001	דער סוביעקט האָט דעביוּטירט אין זיין פּיעסע „אַמאָל איז געווען אַ מלך“.					
person	עמיל זאָלאַ	person:UP-0412	unmatched	mentions	4	M-3-facs_28_tr_1752653010-005	דער סוביעקט האָט דראַמאַטיזירט זיין ראָמאַן „נאַנטעס“.					
person	יעקב	person:UP-0617	unmatched	mentions	4	M-3-facs_129_r-005	ער איז דער ברודער פון פּ.			draft candidates: person:1851(יעקב גאָלדשטיין) | person:2099(יעקב קאַצמאַן) | person:2350(יעקב לוּבּאָצקי) | person:3350(יעקב זאַנגער) | person:621(אריה מרדכי בן יעקב אהרן רבינוביץ)		
person	מאָריס שוואַרצן	person:UP-0639	unmatched	mentions	4	M-3-facs_130_r-021	"ער האָט אויפֿגעפֿירט י. ל. פּרצ'ס „גאָלדענע קייט"" מיט פ.'ס מוזיק."			draft candidates: person:2507(מאָריס) | person:2863(מאָריס שוואַרץ)		
person	מאָגולעסקאָ	person:UP-0036	unmatched	mentions	4	M-3-facs_148_tr_1754213822-009	ער האָט געשריבן קופּלעטן צו דער אָפּערעטע „חתן כלה“.			draft candidates: person:2499(בּעסי מאָגוּלעסקאָ) | person:685(זיגמוּנט מאׇגוּלעסקאׇ (זעליג מאָגילעווסקי)) | person:759(אַמאַליע מאָגולעסקאָ (פינקעלשטיין))		
person	מיכאָל ראָזענבערג	person:UP-0797	unmatched	mentions	4	M-3-facs_155_tr_1754213834-042	ער האָט געשפּילט די ראָל פֿון דער ליטוואַק אין דער ניו יאָרקער אויפֿפֿירונג פֿון יעקב פּרעגערס פּיעסע.			draft candidates: person:2776(ישראל ראָזענבּערג (אַמעריקע)) | person:3630(ישראל ראָזענבּערג (רוסלאַנד))		
person	דר. א. מוקדוני	person:UP-0829	unmatched	mentions	4	M-3-facs_160_tr_1755156219-022	ער האָט אָפּגעשאַצט פרץ'ס טעאַטראַלע טעטיקייט און געשריבן דערינערונגען וועגן אים.			draft (variant): א. מוּקדוני (אַלכּסנדר קאַפּעל) / A. Mukdoni — confirm → ALIGN person:2522		
person	יוסף גרין	person:UP-0899	unmatched	mentions	4	M-3-facs_269_tr_1755674195-056	יוסף גרין האָט איבערגענומען דאָס טעאַטער אין 1944.					
person	מיכאַלעסקאָ	person:UP-0950	unmatched	mentions	4	M-3-facs_274_tr_1755674150-005	דער סוביעקט איז געווען פֿאַרוואַלטער און פּרעס-אַגענט פֿאַר אים.			draft (fuzzy): מיכאל מיכאַלעסקאָ (ווייסגּלאַט) / Michal Michalesko — confirm → ALIGN person:2463		
person	גאָלדפֿאַדענס	person:UP-1072	unmatched	mentions	4	M-3-facs_289_tr_1755803001-005	דער סוביעקט האָט אַראַנזשירט אַ יידישע אויפֿפֿירונג פֿון זיין פּיעסע.					
person	גאָלדבערג	person:UP-1181	unmatched	mentions	4	M-3-facs_317_tr_1756045226-015	זי האָט געשפּילט דריי סעזאָנען אין זיין טעאַטער.			draft candidates: person:1811(הערשל גאָלדבּערג) | person:1816(לואיס גאָלדבּערג (לייבוש)) | person:2439(מנחם גאָלדבּערג (מנחם)) | person:3800(אייזיק גאָלדבערג) | person:788(מאָריס גאָלדבּערג)		
person	שושנה	person:UP-1312	unmatched	mentions	4	M-3-facs_336_tr_1756105932-008	זי איז געווען די פרוי פֿון דעם סוביעקט און אָנגעפֿירט מיט אים דעם טעאַטער.			draft candidates: person:2941(ר. שושנה) | person:44(שושנה ויג) | person:688(שושנה שבבו)		
person	יצחק קאַצענעלזאָן	person:UP-0324	unmatched	mentions	3	M-3-facs_14_tr_1752653034-004	דער סוביעקט האָט פֿאַרפֿאַסט מוזיק צו זיין אָפּערעטע.			draft (variant): יצחק קאַצענעלזאָן (יחיאל) /  — confirm → ALIGN person:3548		
person	איסאַק	person:UP-0327	unmatched	mentions	3	M-3-facs_14_tr_1752653034-007	זיין ברודער.			draft candidates: person:1142(איסאַק אַלפּעראָוויטש) | person:1160(איסאַק אַנטשאַראָוו) | person:1779(איסאַק גלאַדסטאָן (יצחק)) | person:2158(איסאַק קרעמער) | person:2483(איסאַק מילטשין)		
person	פּ.	person:UP-0331	unmatched	mentions	3	M-3-facs_15_r_6-000	ער איז דער סוביעקט פֿון דעם טעקסט און דער מחבר פֿונעם בוך.					
person	טאַנצמאַן	person:UP-0332	unmatched	mentions	3	M-3-facs_15_tr_1752653013-001	פּ. איז אַריינגעטראָטן אַלס כאָריסט אין טעאַטער עלדאָראַדאָ וואָס איז געווען אונטער זיין דירעקציע.					
person	משה דאָרף	person:UP-0339	unmatched	mentions	3	M-3-facs_16_r-005	געווען אין איין טרופּע מיט אים.					
person	אברהם מאָרעווסקי	person:UP-0383	unmatched	mentions	3	M-3-facs_20_tr_1752653056-007	ער איז געווען דער רעזשיסער אין דעם טעאַטער וואו דער סוביעקט האָט געשפּילט.			draft (variant): אברהם מאׇרעווסקי (מנקר) / Avraham Morevski — confirm → ALIGN person:2505		
person	מאָליער	person:UP-0384	unmatched	mentions	3	M-3-facs_20_tr_1752653048-001	דער מחבר פֿון דער פּיעסע „סקאפּיען“.					
person	ראַבינאָוויטש	person:UP-0262	unmatched	mentions	3	M-3-facs_30_tr_1752652991-009	דער דירעקטאָר פון א טרופּע מיט וועלכער דער סוביעקט האָט געוואַנדערט.			draft candidates: person:2720(אברהם ראַבינאָׁוויטש) | person:2721(לעאָן ראַבינאָוויטש (לייבל)) | person:2722(ראָזאַ ראַבינאָוויטש (טאַראַרוצקאַיאַ)) | person:3492(שלום ראַבּינאָוויטש (שלום-עליכם)) | person:3803(ישראל ראַבינאָוויטש)		
person	הערמאַן	person:UP-0430	unmatched	mentions	3	M-3-facs_31_tr_1752653038-007	ער איז געווען איינער פֿון די פּאָפּולערסטע פֿון דער גרופּע בראָדערזינגער און פֿאָלקסזינגער.					
person	משה	person:UP-0431	unmatched	mentions	3	M-3-facs_31_tr_1752653038-008	ער איז געווען איינער פֿון די פּאָפּולערסטע פֿון דער גרופּע בראָדערזינגער און פֿאָלקסזינגער.					
person	ד	person:UP-0481	unmatched	mentions	3	M-3-facs_37_tr_1752653028-008						
person	יוסף לאַטיינער	person:UP-0013	unmatched	mentions	3	M-3-facs_116_tr_1754820291-025	דער סוביעקט האָט געשפּילט אין זיין פּיעסע.					
person	*מוטער	person:UP-0570	unmatched	mentions	3	M-3-facs_124_tr_1754820292-001	זי איז די מוטער פון דעם סוביעקט.					
person	זאַנדבערגן	person:UP-0591	unmatched	mentions	3	M-3-facs_126_tr_1754820315-002	דער סוביעקט האָט ביי אים געאַרבעט אַלס כאָריסט אין זיין טעאַטער.			draft candidates: person:3347(יולאַ זאַנדבערג (טויבע-איטע ספּעקטאָר)) | person:3348(צעשא זאַנדבּערג (ראַדאָלניק)) | person:3349(יצחק זאַנדבּערג) | person:3449(משה זאַנדבערג)		
person	עלוווינג	person:UP-0595	unmatched	mentions	3	M-3-facs_126_tr_1754820316-017	די סוביעקטין האָט געשפּילט אין זיין טעאַטער.					
person	י. ל. פּרצ'ס	person:UP-0640	unmatched	mentions	3	M-3-facs_130_r-022	פ. האָט געשריבן דעם באַרימטן ניגון פאַר זיין פּיעסע.					
person	רעגינע צוקערבערג	person:UP-0654	unmatched	mentions	3	M-3-facs_133_tr_1755157303-009	זי האָט דעביוטירט אין אַ פּיעסע וואָס דער סוביעקט האָט אויפגעפירט.					
person	א. לוצקי	person:UP-0678	unmatched	mentions	3	M-3-facs_133_tr_1755157303-086	ער האָט אָפּגעשאַצט דעם סוביעקט אין זיין יובל.					
person	פּראָפעסאָר הורוויץ	person:UP-0131	unmatched	mentions	3	M-3-facs_136_tr_1754820282-006	אַ דראַמאַטורג און מענעדזשער פאַר וועמען די סוביעקט האָט געשפּילט.			draft candidates: person:1042(שאַרלאָטא הורוויץ) | person:2035(שאַרלאָטע הורוויץ (שיפרע)) | person:542(נפתלי צבי בן מנחם מנדל הורוויץ) | person:684(פּראָפעסאָר משה איש הלוי הורוויץ)		
person	יעקב פישמאַן	person:UP-0702	unmatched	mentions	3	M-3-facs_136_tr_1754820282-021	איינער פֿון די פֿירער פֿון דעם פּראָגרעסיוו דראַמאַטיק קלאָב.			draft (variant): יעקב פישמאַן / Yakov Fishman — confirm → ALIGN person:1663		
person	שלמה	person:UP-0715	unmatched	mentions	3	M-3-facs_147_tr_1754213832-005	ער איז דער ברודער פונעם סוביעקט.			draft candidates: person:1494(שלמה דיאמנט) | person:3322(שלמה יוּדסאָן) | person:3545(שלמה קאן) | person:557(גרשון בן יצחק שלמה קמלהר) | person:641(שלמה טלינגטור)		
person	באַראַטאָוו	person:UP-0744	unmatched	mentions	3	M-3-facs_150_tr_1754213811-009	געשפּילט מיט דעם סוביעקט אין יידיש.			draft (fuzzy): בּן-צבי בּאַראָטאָוו (פּאַוועל בּרענער) / Ben-Tsvi Baratov — confirm → ALIGN person:1223		
person	חנה אָפּעל	person:UP-0289	unmatched	mentions	3	M-3-facs_155_tr_1754213834-041	זי האָט געשפּילט די ראָל פֿון מלכה'לע אין דער ניו יאָרקער אויפֿפֿירונג פֿון יעקב פּרעגערס פּיעסע.					
person	ש. דובנאָוו	person:UP-0835	unmatched	mentions	3	M-3-facs_250_r-013	ער איז אַ קריטיקער פֿון דעם סוביעקט.					
person	ש. ראָזשאַנסקי	person:UP-0880	unmatched	mentions	3	M-3-facs_269_tr_1755674195-022	ש. ראָזשאַנסקי דערציילט אַן אַנדער ווערסיע וועגן דעם טעאַטער-סקאַנדאַל.					
person	יעקב ראָטבאום	person:UP-0900	unmatched	mentions	3	M-3-facs_269_tr_1755674195-059	יעקב ראָטבאום האָט רעזשיסירט די פּיעסע „מיר וועלן לעבן“.					
person	נחום צמח	person:UP-0906	unmatched	mentions	3	M-3-facs_271_tr_1755674156-008	"ער האָט אָנגעפֿירט די „הבימה""-טרופּע וווּ דער סוביעקט האָט געשפּילט."					
person	בעטי פרענק	person:UP-0916	unmatched	mentions	3	M-3-facs_271_tr_1755674157-012	זי איז געווען אַ שותף מיט דעם סוביעקט אין 1935.					
person	וואָלף שומסקי	person:UP-0964	unmatched	mentions	3	M-3-facs_275_tr_1755674168-009	ער איז געווען איר צווייטער מאַן.			draft (variant): וואָלף שומסקי (מארמאָר) / Wolf Shumsky — confirm → ALIGN person:2956		
person	שוואַרץ	person:UP-1035	unmatched	mentions	3	M-3-facs_283_tr_1755674200-004	דער סוביעקט איז אָנגאַזשירט געוואָרן אין זיין טרופּע.			draft candidates: person:2859(אַדעלאַ שוואַרץ (פינקעלשטיין)) | person:2860(פעני שוואַרץ (גלאַזער, גרינבּערג)) | person:2862(מאַרגאַרעטאַ שוואַרץ) | person:2866(סעם שוואַרץ) | person:3793(וויליאַם שוואַרץ)		
person	הענריעטאַ שניצער	person:UP-1097	unmatched	mentions	3	M-3-facs_308_tr_1755973377-011	זי האָט אויפגעפירט פּיעסעס אין גאָרדען טעאַטער אין וועלכע לאַזאַר פריד האָט געשפּילט.					
person	איציק מאַנגער	person:UP-1166	unmatched	mentions	3	M-3-facs_316_tr_1756045022-007	דער סוביעקט האָט געשריבן מוזיק צו זיינע חומש לידער.					
person	הירשביינס	person:UP-0200	unmatched	mentions	3	M-3-facs_317_tr_1756045223-008	ער איז דער מחבר פֿון דער פּיעסע „פֿאַרוואָרפענער ווינקל“, אין וועלכער דער סוביעקט האָט געשפּילט.					
person	יצחק פרענקל	person:UP-1184	unmatched	mentions	3	M-3-facs_317_tr_1756045226-026	זי האָט געשפּילט אין זיין פילם „אלי, אלי“.			draft candidates: person:1688(יצחק פרענקעל) | person:3413(יצחק יצחק)		
person	ל. טרייסטער	person:UP-1258	unmatched	mentions	3	M-3-facs_329_tr_1756058147-006	זי איז די כאָרעאָגראַפֿין פֿאַר זיין אויפֿפֿירונג „פּאַסטוך-קעניג“.					
person	מאָריס קראָנער	person:UP-1268	unmatched	mentions	3	M-3-facs_330_tr_1756058354-037	ער איז געווען א גאַסטראָלער אין מעקסיקאָ מיט דעם סוביעקט.			draft (fuzzy): מאָריס / [?] Morris — confirm → ALIGN person:2507		
person	אייב דאָרף	person:UP-1281	unmatched	mentions	3	M-3-facs_331_tr_1756058522-042	די סוביעקט האָט אים געבראַכט קיין מעקסיקאָ.			draft (variant): אייבּ דאָרף / Abe Dorf — confirm → ALIGN person:1511		
person	פֿלאָרענס ווייס	person:UP-0162	unmatched	mentions	3	M-3-facs_333_tr_1756059823-044	פ. האָט מיט איר געשפּילט.					
person	אַנסקי	person:UP-0122	unmatched	mentions	3	M-3-facs_341_tr_1756106968-032	דער סוביעקט האָט געשפּילט אין זיין פּיעסע.					
person	גאָלדשטיין	person:UP-0035	unmatched	mentions	2	M-3-facs_15_tr_1752653010-012	ער האָט אָנגאַזשירט דעם סוביעקט אין לאָס אַנדזשעלעס.					
person	ב. קלעצקין	person:UP-0345	unmatched	mentions	2	M-3-facs_16_tr_1752653044-007	ער איז געווען דער פֿאַרלעגער פֿון דער פּיעסע „יואָש“.					
person	ה. עפּפעלבערג	person:UP-0355	unmatched	mentions	2	M-3-facs_17_tr_1752653009-005	מאיר פּאָזנער האָט איבערגעאַרבעט זיין ווערק „דוד אין דער ווייסטע“ און פֿאַרפֿאַסט מוזיק דערצו.					
person	יעוורעאינאָוו	person:UP-0358	unmatched	mentions	2	M-3-facs_17_tr_1752653009-010	מאיר פּאָזנער האָט געשריבן די מוזיק צו זיין פּיעסע „די שיף מיט צדיקים“.					
person	לאָפּע דע וועגאַ	person:UP-0385	unmatched	mentions	2	M-3-facs_20_tr_1752653048-002	דער מחבר פֿון דער פּיעסע „שעפּסן-קוואל“.					
person	יאָזעף שיינגאָלד	person:UP-0113	unmatched	mentions	2	M-3-facs_20_tr_1752653058-006	ער האָט מיטגעשפּילט מיט דעם סוביעקט.					
person	דר. מוקדוני	person:UP-0400	unmatched	mentions	2	M-3-facs_21_tr_1752653037-022	אַ קריטיקער וואָס ווערט ציטירט אין טעקסט.			draft (fuzzy): א. מוּקדוני (אַלכּסנדר קאַפּעל) / A. Mukdoni — confirm → ALIGN person:2522		
person	קאָמפּאַניעיעץ	person:UP-0419	unmatched	mentions	2	M-3-facs_29_tr_1752653003-002	דער סוביעקט האָט געשפּילט אין זיין טרופּע.					
person	ר' יצחק אַלחנן	person:UP-0421	unmatched	mentions	2	M-3-facs_29_tr_1752653006-002	דער סוביעקט האָט געלערנט אין זיין ישיבה אין קאָוונע.			draft (fuzzy): יצחק יצחק / Yitzhak Ziser — confirm → ALIGN person:3413		
person	טורקאָוו	person:UP-0250	unmatched	mentions	2	M-3-facs_30_tr_1752652991-040	אַן אַקטיאָר מיט וועמען דער סוביעקט האָט געשפּילט אין וואַרשע.			draft candidates: person:1345(דיאַנאַ בּלומענפעלד-טורקאָוו) | person:3122(יאָנאַס טוּרקאָוו) | person:3123(מאַרק טוּרקאָוו) | person:3124(רחל טוּרקאׇוו) | person:3125(זיגמוּנט טוּרקאָוו)		
person	יאָזער שיינגאָלד	person:UP-0426	unmatched	mentions	2	M-3-facs_30_tr_1752652991-046	אַ גאַסטראָלער מיט וועמען דער סוביעקט האָט געשפּילט אין בוענאָס איירעס.					
person	אייזענבאַך	person:UP-0437	unmatched	mentions	2	M-3-facs_31_tr_1752653038-020	ער איז געווען דער אָנפֿירער פֿון דער באַרימטסטער טרופּע „ווינער בודאפּעסטער“.					
person	ש. ר. [ראָזשאַנסקי]	person:UP-0439	unmatched	mentions	2	M-3-facs_32_r_5-002	ער האָט געשריבן די רעצענזיע וועגן דער פּיעסע.					
person	יאָזעף רומשינסקי	person:UP-0443	unmatched	mentions	2	M-3-facs_33_tr_1752653026-003	ער איז געווען א שותף מיט דעם סוביעקט אין קעסלער'ס סעקאָנד עוועניו טעאַטער און אין פֿאָלקס טעאַטער.					
person	בעטי קעניג	person:UP-0058	unmatched	mentions	2	M-3-facs_34_tr_1752653015-007	דורך בעטי קעניג אַריינגענומען אין פּראָפעסיאנעלן טעאַטער.					
person	יעקב בערלין	person:UP-0447	unmatched	mentions	2	M-3-facs_34_r_3-002	דער סוביעקט איז אַוועקגעפאָרן מיט אים קיין סט. לואיס.					
person	ראָטשטיין	person:UP-0449	unmatched	mentions	2	M-3-facs_34_r_3-017	דער סוביעקט האָט געשפּילט צוזאַמען מיט אים.					
person	רחל'ע	person:UP-0468	unmatched	mentions	2	M-3-facs_35_tr_1752653022-015	זי איז מאַלווינאַ'ס טאָכטער און די ניכטע פֿון דער סוביעקט.					
person	יעקב ראָטבוים	person:UP-0471	unmatched	mentions	2	M-3-facs_36_tr_1752653027-005	"יעקב ראָטבוים האָט אויפֿגעפֿירט מיט דער „פאָלקסבינע"" אין ניו יאָרק זיין אייגענע דראַמאַטיזירונג פֿון ""אָנקעל מאָזעס""."					
person	*עלטערן	person:UP-0527	unmatched	mentions	2	M-3-facs_115_tr_1753726015-000	עלטערן פֿון דעם סוביעקט.					
person	*חזן	person:UP-0533	unmatched	mentions	2	M-3-facs_115_tr_1753726022-000	דער סוביעקט האָט ביי אים געזונגען ביז 13 יאָר.					
person	גאָלדפאַדען	person:UP-0546	unmatched	mentions	2	M-3-facs_116_tr_1754820291-024	דער סוביעקט האָט געשפּילט אין זיין פּיעסע.					
person	וויליאָם סיגעל	person:UP-0553	unmatched	mentions	2	M-3-facs_116_tr_1754820291-037	דער סוביעקט האָט געשפּילט אין זיין פּיעסע.			draft (variant): וויליאַם סיגעל / William Siegal — confirm → ALIGN person:910		
person	אַנדרעיעוו	person:UP-0577	unmatched	mentions	2	M-3-facs_124_tr_1754820292-014	דער סוביעקט האָט באַאַרבעט זיין ווערק אויף יידיש.					
person	דוד לעווינסאָן	person:UP-0581	unmatched	mentions	2	M-3-facs_125_tr_1754820300-002	דער סוביעקט האָט דעביוטירט ביי אים אין איר ערשטער קינדער-ראָל.					
person	הוירשבערג	person:UP-0585	unmatched	mentions	2	M-3-facs_125_tr_1754820300-012	דער סוביעקט האָט געשפּילט אין זיין טעאַטער.					
person	בנימין רעסלערס	person:UP-0587	unmatched	mentions	2	M-3-facs_125_tr_1754820300-016	דער סוביעקט האָט געשפּילט אין זיין פּיעסע.					
person	רעגינע בערגער	person:UP-0592	unmatched	mentions	2	M-3-facs_126_tr_1754820315-004	זי איז די שוועסטער פֿון דעם סוביעקט.					
person	בן עמי	person:UP-0178	unmatched	mentions	2	M-3-facs_126_tr_1754820316-013	די סוביעקטין האָט זיך באַטייליקט אין די פֿאַרשטעלונגען פֿון זיין גאַסטראָל.			draft candidates: person:1004(יעקב בן-עמי (שטשירין)) | person:1252(יעקב בּן-עמי (שטשירין)) | person:219(חובב בן עמי)		
person	קלמן יאווילער	person:UP-0598	unmatched	mentions	2	M-3-facs_126_tr_1754820323-006	דער סוביעקט האָט געשפּילט בעת זיינע גאַסטראָלן.					
person	משה רויך	person:UP-0605	unmatched	mentions	2	M-3-facs_127_tr_1754820296-020	ער איז געווען אַ מיטגליד אין דער טרופּע וואָס דער סוביעקט האָט אָרגאַניזירט.					
person	קאמינסקין	person:UP-0618	unmatched	mentions	2	M-3-facs_129_tr_1754820306-000	יעקב פּערלמאַן האָט אָנגעהויבן די בינע-קאַריערע אַלס כאָריסט ביי אים.			draft (fuzzy): אברהם-יצחק קאַמינסקי /  — confirm → ALIGN person:3613		
person	גאָלדפֿאַדן	person:UP-0251	unmatched	mentions	2	M-3-facs_129_tr_1754820306-010	יעקב פּערלמאַן איז באַטראַכט געוואָרן ווי אַ שויַשפּילער פון זיין דור.					
person	ברוך שאָר	person:UP-0170	unmatched	mentions	2	M-3-facs_130_r-002	ער האָט אים אַריבערגענומען צו זיך אין כאָר קיין לעמבערג.			draft (fuzzy): ברוך שור / Baruch Schorr — confirm → ALIGN person:2855		
person	משה ריכטערס	person:UP-0642	unmatched	mentions	2	M-3-facs_130_r-028	פ. האָט געשריבן מוזיק פאַר זיין פּיעסע.			draft (variant): משה ריכטער /  — confirm → ALIGN person:3491		
person	היטלערס	person:UP-0692	unmatched	mentions	2	M-3-facs_135_tr_1754820287-018	דער סוביעקט איז אַנטלאָפן קיין ליטע נאָך זיין פֿאַרכאָפּן וואַרשע.					
person	פרץ הירשביינס	person:UP-0708	unmatched	mentions	2	M-3-facs_145_tr_1754213821-009	דער סוביעקט האָט אויפגעפירט זיינע פּיעסעס מיט יוגנטלעכע.			draft (fuzzy): פּרץ הירשבּיין / Peretz Hirshbein — confirm → ALIGN person:2006		
person	הענעך קאָן	person:UP-0236	unmatched	mentions	2	M-3-facs_155_tr_1754213834-020	ער האָט געשריבן די מוזיק פֿאַר יעקב פּרעגערס פּיעסע.					
person	ש. ל. ציטראָן	person:UP-0828	unmatched	mentions	2	M-3-facs_160_tr_1755156219-015	ער באַשרייבט אין זיינע דערינערונגען אַ געשפּרעך צווישן פרץ'ן און אברהם גאָלדפֿאַדען.					
person	אַננאַ	person:UP-0837	unmatched	mentions	2	M-3-facs_250_r-018	זי איז די טאָכטער פֿון דעם סוביעקט.			draft candidates: person:1163(אַננאַ אַפּעל (בּערקאָוויטש)) | person:1684(אַננאַ פריימאַן (האָכבּערגער)) | person:2048(אַננאַ יאַקובאָוויטש (חנה מייעראָוויטש)) | person:2895(אַננאַ שאַפּיראָ (עני)) | person:2921(אַננאַ שערמאַן (פּאפּערנא))		
person	פּערלמוטער	person:UP-0125	unmatched	mentions	2	M-3-facs_263_tr_1755674223-025	ער האָט געשריבן מוזיק פֿאַר אברהם שאָמערס פּיעסע.			draft candidates: person:2643(אפרים פּערלמוטער) | person:2644(מרדכי פּערלמוטער) | person:2645(אַרנאָלד פּערלמוטער (אהרל'ע)) | person:2646(ראובן פּערלמוטער) | person:981(שלום פּערלמוטער)		
person	מרים	person:UP-0851	unmatched	mentions	2	M-3-facs_267_tr_1755674219-004	זי איז די שוועסטער פֿון דער סוביעקט.			draft candidates: person:1939(מרים גורעוויטש (מינאַ)) | person:2297(מרים ליפשיץ) | person:254(מרים ברנשטין-כהן) | person:3116(מרים טוּפמאַן (פּאקענטרעגער)) | person:3496(מרים אייזענשטאט)		
person	אַברהם	person:UP-0870	unmatched	mentions	2	M-3-facs_269_tr_1755674195-005	אַברהם איז איר ברודער וואָס איז געווען פֿאַרבונדן מיטן יידישן טעאַטער.			draft candidates: person:1185(אברהם אַש (אברהם אווערבוך)) | person:490(אברהם שוער) | person:508(אברהם בן מאיר אבן עזרא) | person:521(אברהם מאפו) | person:696(אברהם-מיכל שאַרקאַנסקי)		
person	רעסלער	person:UP-0909	unmatched	mentions	2	M-3-facs_271_tr_1755674156-017	"ער איז דער מחבר פֿון דער פּיעסע „60 טויזנט גבורים""."					
person	טאָמאַשעווסקין	person:UP-0023	unmatched	mentions	2	M-3-facs_272_tr_1755674155-008	דער סוביעקט האָט אָנגעהויבן צו-שטעלן אים קאָנצערטיסטן.			draft candidates: person:3071(עני טאָמאַשעווסקי) | person:3072(הערי טאָמאַשעווסקי (הערש-יונה)) | person:3073(מייק טאָמאַשעווסקי (מרדכי)) | person:770(בּעסי טאָמאַשעווסקי (בּרכה באָומפעלד-קויפמאָן)) | person:826(פֿאַני טאָמאַשעווסקי)		
person	סעם	person:UP-0946	unmatched	mentions	2	M-3-facs_273_tr_1755674139-010	דער זון פֿון דער סוביעקט.					
