hit_id	play_id	author_db_id	matched_segment	matched_surface	tier	source	person_id	volume	heading	mention_id	char_start	char_end	context_before	context_after	author_comention	ambiguity_flag	hit_status
HIT-00011	PL-0238	684	דער גרינע פעדלער	גרינע פעלדער	A'	entry_text	P-1-facs_108_tr_1740521022	1	בן-עמי יעקב [שטשירין]		3039	3051	"ַנק דער מאַטעריעלער שטיצע פֿון לואי שניצער, געגרינדעט דאָס יידישע קונסט-טעאַטער אין אָמעריקע מיט עמנואל ריי כער אַלס רעזשיסער, שפּעטער ווערט ב. רעזשיסער פֿון דער טרו דאָס טעאַטער האָט געטראָגן אַ דאָפּלטן נאָמען: אויף יידיש: „דאָס ניוע אידישע טעאַטער“, אויף ענגליש (אויפֿן פֿאַרלאָנג פון עמנואל רייכער) — „דהי דזשואיש אָרט טהעעטער"". דער רעפּערטואָר פֿון דעם טעאַטער איז געווען הירשביין: „פוסטע קרעטשמע“, „"	"“, איינאָקטערס. שלום אָש: ""מיטן שטראָם“, שלום עליכם: „מענטשן“, פינסקי: „שטומער משיח“, דימאָוו: „בראַנקס עקספּרעס"". הויפּטמאַן: „איינזאַמע מענטשן“. טאַלסטאָי : „מאַכט פֿון פֿינסטערניש“ און אַ באַנייאונג פֿון סווען לאַנגעס „שמשון און דלילה"". 1920-1 הויבט ב. אָן שפּילן ביי אַרטור האָפּקינס אין ענגלישן טעאַטער, שפּעטער מיט דער ענגלישער טעאַטער-גילד אַלס אַקטיאָר און רעזשיסער. אין משך פֿון 1920-9 האָט ב. ז"	none	homonym_risk	candidate
HIT-00012	PL-0193	684	יהודית אונ האלאפערנעס	יהודית	P	entry_text	P-1-facs_112_tr_1740521167	1	בעללויה, הירש גדלי' [בעלאו — בעללאַה]		1010	1016	"צענזיע פֿון וואַרשעווער קאָרעספּאָנדענט פון דער ענגלישער ""Pall Mall Gasette"" (26 דעצ. 1868) זיינען די מעלאָדיעס צו די לידער אין דער פּיעסע גענומען פֿון אַזעלכע קאָמפּאָזיטאָרס ווי מייערבער, מאַצאָרט א. א. אַ קאָרעספּאָנדענט פֿון רוסיש-יידישן וואָכנבלאָט „דיען“ [„דער טאָג] אין אָדעס, באָשרייבט אַ פֿאָרשטעלונג פֿון דאָזיקן טעאַטער פֿון 5 נאוועמבער 1870 אויף וועלכער מ'האָט אויפֿגעפירט די הים טאָרישע דראַמע """	""" אין 4 אָקטן מיט געזאָנג פֿון בעלאַן. לויט דר. יעקב שאָצקי איז אָנאָנסירט אויפֿן 15 מערץ 1870 צום בענעפיס פֿון אָרטיסט ד. שוואַרצבאַרט [דער פֿאָטער פֿון אַקטיאָר גוסטאָוו שוואַרצבאַרד], די פּיעסע „די יידן אין מדבר"" [פֿאַרפֿאָסט פֿון ?] אין צירק ראָפּפּאָ. דר. שאָצקי, בריינגענדיק די אַלע דאָטן אין זיין אָרטיקל ""יידיש טעאַטער אין וואַרשע פֿאָר אַברהם גאָלדפֿאַדען“ (""יידיש טעאַטער“ 3-4, 1927) איז ניט זיכער אוי"	none	homonym_risk|prefix	candidate
HIT-00013	PL-0194	684	יהודית די פארבלאנדזעטע שעפעלע	יהודית	P	entry_text	P-1-facs_112_tr_1740521167	1	בעללויה, הירש גדלי' [בעלאו — בעללאַה]		1010	1016	"צענזיע פֿון וואַרשעווער קאָרעספּאָנדענט פון דער ענגלישער ""Pall Mall Gasette"" (26 דעצ. 1868) זיינען די מעלאָדיעס צו די לידער אין דער פּיעסע גענומען פֿון אַזעלכע קאָמפּאָזיטאָרס ווי מייערבער, מאַצאָרט א. א. אַ קאָרעספּאָנדענט פֿון רוסיש-יידישן וואָכנבלאָט „דיען“ [„דער טאָג] אין אָדעס, באָשרייבט אַ פֿאָרשטעלונג פֿון דאָזיקן טעאַטער פֿון 5 נאוועמבער 1870 אויף וועלכער מ'האָט אויפֿגעפירט די הים טאָרישע דראַמע """	""" אין 4 אָקטן מיט געזאָנג פֿון בעלאַן. לויט דר. יעקב שאָצקי איז אָנאָנסירט אויפֿן 15 מערץ 1870 צום בענעפיס פֿון אָרטיסט ד. שוואַרצבאַרט [דער פֿאָטער פֿון אַקטיאָר גוסטאָוו שוואַרצבאַרד], די פּיעסע „די יידן אין מדבר"" [פֿאַרפֿאָסט פֿון ?] אין צירק ראָפּפּאָ. דר. שאָצקי, בריינגענדיק די אַלע דאָטן אין זיין אָרטיקל ""יידיש טעאַטער אין וואַרשע פֿאָר אַברהם גאָלדפֿאַדען“ (""יידיש טעאַטער“ 3-4, 1927) איז ניט זיכער אוי"	none	homonym_risk|prefix	candidate
HIT-00014	PL-0195	684	יהודית די צווייטע	יהודית	P	entry_text	P-1-facs_112_tr_1740521167	1	בעללויה, הירש גדלי' [בעלאו — בעללאַה]		1010	1016	"צענזיע פֿון וואַרשעווער קאָרעספּאָנדענט פון דער ענגלישער ""Pall Mall Gasette"" (26 דעצ. 1868) זיינען די מעלאָדיעס צו די לידער אין דער פּיעסע גענומען פֿון אַזעלכע קאָמפּאָזיטאָרס ווי מייערבער, מאַצאָרט א. א. אַ קאָרעספּאָנדענט פֿון רוסיש-יידישן וואָכנבלאָט „דיען“ [„דער טאָג] אין אָדעס, באָשרייבט אַ פֿאָרשטעלונג פֿון דאָזיקן טעאַטער פֿון 5 נאוועמבער 1870 אויף וועלכער מ'האָט אויפֿגעפירט די הים טאָרישע דראַמע """	""" אין 4 אָקטן מיט געזאָנג פֿון בעלאַן. לויט דר. יעקב שאָצקי איז אָנאָנסירט אויפֿן 15 מערץ 1870 צום בענעפיס פֿון אָרטיסט ד. שוואַרצבאַרט [דער פֿאָטער פֿון אַקטיאָר גוסטאָוו שוואַרצבאַרד], די פּיעסע „די יידן אין מדבר"" [פֿאַרפֿאָסט פֿון ?] אין צירק ראָפּפּאָ. דר. שאָצקי, בריינגענדיק די אַלע דאָטן אין זיין אָרטיקל ""יידיש טעאַטער אין וואַרשע פֿאָר אַברהם גאָלדפֿאַדען“ (""יידיש טעאַטער“ 3-4, 1927) איז ניט זיכער אוי"	none	homonym_risk|prefix	candidate
HIT-00015	PL-0216	684	מאזעס מאנטיפיארי	מאָזעס	P	entry_text	P-1-facs_112_tr_1740521167	1	בעללויה, הירש גדלי' [בעלאו — בעללאַה]		1861	1867	"ן פֿון בעלאַן און ער איז אויך מסופק אויב דער דאָזיקער בעלאו [דר. שאָצקי שרייבט בעלוא] איז אידענטיש מיט גרלי בעללאה, וועלכער האָט אין 1857 אַרויסגעגעבן אין וואַרשע אַ ביכל אין „פֿון שטערן אָדער קאָמעט“ (32 ז.), „וואָס איז יידישיסטיש אין גייסט און נוסה"". ווען מען נעמט אָבער אין אַכט, אַז אין 1867 האָט ה י ר ש ג ד ל י '  ב ע ל ל ו י ה אַרויסגעגעבן אין דרוק זיין פֿאָרשטאָרבענעם ברודער שלמה ברחוס פּיעסע „"	""" „מיט נייע צוגאָבען“, איז דייטלעך צו זען, אַז הירש גדליי בעללויה האָט גע האָט אַ גרויסן אינטערעס צום יידישן טעאַטער, און איז אויך געווען אַ שרייבער, ווי עס באָווייזט זיין אייגן ביבל, און די הוספות זיינע צו זיין ברודערס פּיעסע. הירש גדלי' בעללויה — גדלי בעללאַה און בעלאַן זיינען דעריבער איין פּערזאָן, און אַ חוץ אַ שרייבער און דראָמאַטורג, איז ב. אויך געווען דער דירעקטאָר פֿון אַ טעאַטער אויף יידיש"	none	prefix	candidate
HIT-00016	PL-0199	684	יוספ אונ זיינע ברידער	יוסף	P	entry_text	P-1-facs_115_r_6	1	בערגמאַן, איציק-מענדל		231	235	"אַ קורצע צייט שפּעטער זינגט ב. אין קינדער-כאָר בעת די פֿאָרשטעלונגען פֿון אַדלער, טאַנצמאַן און וויינשטאָק אין וואַרשע, און דערנאָך אַלס כאָריסט אין פּוילישן אָפּערעטן-טעאַטער. אין 1892 טרעט ב. אויף אין דוד שוואַרצבאַרדס טרופּע אַלס """	""" אין ""יוסף מיט די ברידער"". נאָכן שפּילן אַ קורצע צייט אין לאָדזש און וואַרשע, גייט ער איבער אויף צווייטע קאָמישע ראָלן. 1902 שפּילט ב. אין גימפּעלס טרופּע, און בעת אַ קאָנקורס אין סטאָניסלאַוואוו ווערט ער אויף אַ צייט פֿון 3 חדשים צווייטער קאָנטאָר אין דער סינאָגאָגע. אָפּפאָרנדיק קיין ווין, טרעט ער אַריין אין עדעלהאָפערס טרופּע, גיט אויף זיין פּלאַן צו ווערן אַ קאָנטאָר, און וואָנדערט אַרום מיט יי"	none	homonym_risk|prefix	candidate
HIT-00017	PL-0202	684	יעקב ועשיו	יעקב	P	entry_text	P-1-facs_115_r_6	1	בערגמאַן, איציק-מענדל		1561	1565	" און געמאַכט גוטע געשעפטן. נאָר צוליב אַ ניט עטישן מכשול, האָט ער געוואָרפן דידאָזיקע פרנסה. דער אַקטיאָר צעזאָר גרינבערג גיט איבער, אַז ער האָט אין 1876 געטראָפן ב. ביז אַ פעטער אין קאָנסטאַנטינאָפּאָל. ער האָט געשיקלט אויף אַן אויג, איז געווען אַ שטיקל זינגער, און האָט געקענט פון יעדן ליד עטלעכע ווערטער. אין גרינבערגס אויפֿפֿירונג אין קאָנסטאַנטינאָפּאָל פון „מכירת יוסף"" האָט ב. געשפּילט די ראָל """	""", דערנאָך זיינען זיי צוזאַמען געפֿאָרן קיין רומעניע. און דאָרט געשפּילט וואָרעוויל פֿון גרינבערנס „אָרבעל-פּראָזע"". יצחק ליברעסקאָ גיט איבער, אַז באָלד נאָך דער גאָלדפֿאַדענישער טעאַטער-גרינדונג איז ב. געקומען קיין יאָסי, און האָט זיך געמאַכט אַ קליינע טרופּע אין ""בערגמאַנס טרופּע“, מיט וועלכער ער איז אַרומגעפֿאָרן שפּילן וואָרעווילן. ב. גאָרין דערמאָנט אים אַלס אַקטיאָר אין דער הורוויץ-טרופּע איבער "	none	homonym_risk|prefix	candidate
HIT-00018	PL-0066	683	דאס פרייהייט לעבנ	פרייהייט	P	entry_text	P-1-facs_116_tr_1740521031	1	בערגעלסאַן, דוד		1315	1323	" פֿון דער קיעווער „קולטור ליגע“, פֿון וועלכער ב. איז געווען איונער פֿון די גרינדער. ווען עס גרינדעט זיך אין מאָי 1918 די דראָמאַטישע סטודיע בי' דער „ק""ל“, אין ב. ביז סעפּטעמבער 1920 איר דירעקטאָר און ליטעראַרישער לייטער און באַטייליקט זיך אין דער רעזשי און אין די למודים. ב. האָט באַאַרבעט זיין דערציילונג „דער טויבער“ אַלס אַ דראָמע אין 3 טיילן, און פֿראַנמענטן פֿון איר אָפּגעדרוקט אין דער ניו יאָרקער „"	"“, 1927. די פּיעסע אינ „אויבן און אונטן"" אונטער דער רעזשי פֿון משה ראָפֿאָלסקי, מוזיק פֿון קריין, דעק. און קאָסטיומען פֿון טישלער, איז דעם 27טן אַפּריל 1929 אויפגעפֿירט געוואָרן אין האָמעל דורכן „ווימט"". די פּיעסע אינן „די ברויט-מיל“ („דער טויבער“) איז אין 1930 דערשיינען אין ווילנער פֿאַרלאָג פֿון ב. קלעצקין. די פּיעסע איז איבערזעצט געוואָרן אויף דייטש דורך דר. פּרינץ פֿאָרן פיסקאַטאָר-טעאַטער. סוף מערץ 19"	none	prefix	candidate
HIT-00019	PL-0066	683	דאס פרייהייט לעבנ	פרייהייט	P	entry_text	P-1-facs_116_tr_1740521031	1	בערגעלסאַן, דוד		2007	2015	"אָג פֿון ב. קלעצקין. די פּיעסע איז איבערזעצט געוואָרן אויף דייטש דורך דר. פּרינץ פֿאָרן פיסקאַטאָר-טעאַטער. סוף מערץ 1929 איז דורך דער שיקאָגער יידישער ליט. דראָמ. געזעלשאָפֿט קאָלעקטיוו פֿאָרגעלייענט געוואָרן, מיטן אַנטייל פֿון מחבר, זיין איינאַקטיקע קאָמעדיע „אין יידיש-סאָוועטישן געריכט"", וועלכע איז שפּעטער אויפֿגעפירט געוואָרן (רעזשי. י. מעסטעל) דורך ""אַרטער“ אין קאַרנעגי-האָל אין ניו יאָרק. אין דער """	""" פֿון מערץ-אַפּריל 1920 זיינען געדרוקט פֿראָגמענטן פֿון ב.'ס פ-אָקטיקער דראַמע ""ביום טעלעפֿאָן“, וועלכע איז צום בערגעלסאָן-אָוונט אין ניו-יאָרק געלייענט געוואָרן מיטן אָנטייל פֿון מחבר, דורכן ""אַרטעף""."	none	prefix	candidate
HIT-00020	PL-0161	684	דער שבתי צבי	שבתי צבי	A'	entry_text	P-1-facs_120_tr_1740521118	1	בערנשטיין, בערל [בורשטין]		3000	3008	וויניק „פלעגט ב. טיילמאָל טאַנצן צום טאָקט פון דער מוזיק ניט מיט די פֿיס, נאָר מיט די באַקן אָדער מיט אַ צוגעקלעפּט בערדל, און ער פלעגט עס טאָן מיט זיין אָריגינעלן חן. ווייפיל ב. האָט זיך ניט באָמיט צו זיין ערנסט, האָט דער עולם אַלץ מער געלאַכט, ווייל אין זיין אַנשטריינגען זיך צו זיין ערנסט, האָט געשטעקט דער קאָמיזם. אַ געוויס מאָל, ווען ער האָט מיט קעסלערן געשפּילט אַן ערנסטע ראָל אין דער פּיעסע „	""", און איז אַרויסגעקומען, אַלס אינטריגאַנט, צו שטעכן איינעם מיט אַ מעסער, האָט דער עולם געקייכט פֿון געלעכטער. ב. אין ניט געווען קיין כאַראָקטער-מאָלער, קיין קינסטלעריש ליטעראַרישער שוישפּילער, וואָס שילדערט נשמה-איבערלעבוננען פֿון מענטשן. ער איז געווען אָן ערשט קלאָסיקער בורלעסק-קאָטיקער מיט אַ סך חן, און דעריבער האָט ער געשפּילט אָ גרויסע ראָל אין די ערשטע יאָרן פֿון יידישן טעאַטער ווען דער בורלעסק"	none	homonym_risk	candidate
HIT-00021	PL-0126	684	דער אוצר	האוצר	A'	entry_text	P-1-facs_121_tr_1740521045	1	בערקאָוויטש, יצחק-דוב		3573	3578	"סטאָן אַלס קאָמישע אָפּערע. פֿאַרבריינגענדיק 1928-30 אין אַרץ-ישראל האָט דאָרט ב. אַרויסנעגעבן אין פֿאָרלאָג „דביר“ (תל-אביב, תרפ""ה, 171 ז. 16) אַ באַנד פֿון זיינע פּיעסן אין העברעיש: „באַרצות הרחוקות“, קומריה בשלש מערכות, „אותו ואָת בנו"", דרמה בשלש מערכות, „מי נביא זידע"", בדיחה במערכה אַחת, „משחק-פּורים"", מחזה-התולים כנוסח המשחק העממי, ווי אויך אַ באַנד דראָמאָטישע באַאַרבעטונגען פֿון שיע'ס פּיעסן („"	"“, „מזל-טוב“, „עמך“ [„דאָס גרויסע נעווינס""], שלום-עליכם, כתבים, כרך ששי, קומדיות, עבדן ותרנמן ע""י י. ד. ברקוביץ, „דביר“, תל-אביב, תרפּיט, 188 .. 16). „האוצר"" איז 1929 אויפֿגעפֿירט געוואָרן אין אָרץ-ישראל דורך דער „הבימה"" (רעזשי א. דיקי). ב. האָט אויך פֿאַרעפנטלעכט אַ ריי דראָמאַטישע סאַטירעס (א""פּ בע...בע..."") אויף ליטעראָרישע און געזעלשאָפֿטלעכע טעמעס (וואַרשעווער „די נייע וועלט“, 1909, ווילנער „טאָג"	none	homonym_risk	candidate
