File	"""action"""	context	Column 1	place	toKima	place clustered	dodgy reconciliation for place	initial reconciliation for place	province	province clustered	province Qid	country	country cluster	Country Qid
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_283_tr_1741260239	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_294_tr_1741260432	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720	ניו יאָרקער	ניו יאָרקער				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_294_tr_1741260438	יוניפעלד סעמעטער	יוניפעלד סעמעטער	יוניפעלד סעמעטער			ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_298_tr_1741260461	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_304_tr_1741260480	בית עולם פֿון די אידישע טעאַטריקל עליינס	בית עולם פֿון די אידישע טעאַטריקל עליינס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_307_tr_1741260375	מענער-פּאָרק ביתעולם	מענער-פּאָרק ביתעולם	מענער-פּאָרק ביתעולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_311_tr_1741260476	הר-הכרמל בית-עולם	הר-הכרמל בית-עולם	Mount Carmel Cemetery	Q4285547	Q4285547						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_319_r_1	וואַשיינגטאָן בית-עולם	וואַשיינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_331_tr_1741260474	וואודלאָן-כית-עולם	וואודלאָן-כית-עולם	וואודלאָן-כית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_332_tr_1741260395	היים-שטאָט	היים-שטאָט	היים-שטאָט						אַמעריקע	United States	Q30
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_345_r_10	ציפּרעס-הילס עביי	ציפּרעס-הילס עביי	ציפּרעס-הילס עביי			פילאַדעלפיע	Philadelphia	Q1345			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_353_tr_1741260479	ווילנער בית עולם	ווילנער בית עולם	ווילנער בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_356_tr_1741260401	דאָרט	דאָרט	דאָרט								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_361_r_9	שיקאָגאָ	שיקאָגאָ	Chicago	Q1297	Q1297						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_363_r_6	לעמבערג	לעמבערג	Lviv	Q36036	Q36036						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_382_tr_1739715275	אינזל סאָן-פֿראַנציסקאָ	אינזל סאָן-פֿראַנציסקאָ	אינזל סאָן-פֿראַנציסקאָ								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_395_r_10	בית-עולם	בית-עולם	בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_395_r_6	קאָנסטאַנטינאָפּאָל	קאָנסטאַנטינאָפּאָל	Istanbul	Q406	Q406						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_407_tr_1739715069	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60	בית-החיים פֿון די יידישע טעאַטריקל עליינס	בית-החיים פֿון די יידישע טעאַטריקל עליינס				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_411_tr_1739715050	איסטהעם מענערפּאַרק בית-עולם	איסטהעם מענערפּאַרק בית-עולם	איסטהעם מענערפּאַרק בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_17_r_9	יוניענפעלד בית-עולם	יוניענפעלד בית-עולם	יוניענפעלד בית-עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_19_r_6	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_21_tr_1740515222	הר-חברון בית עולם	הר-חברון בית עולם	Mount Hebron Cemetery	Q2341172	Q2341172				ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_23_r	הר-הכרמל	הר-הכרמל	Mount Carmel Cemetery	Q4285547	Q4285547				ניו-יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_31_r	ווין	ווין	Vienna	Q1741	Q1741						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_40_tr_1740521035	הר-חברון	הר-חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_43_tr_1740520992	לאָדזש	לאָדזש	Łódź	Q580	Q580						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_52_tr_1740521031	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_57_tr_1740521103	כאָראָן הירש בית-עולם אין סטעטען איילענד	כאָראָן הירש בית-עולם אין סטעטען איילענד	כאָראָן הירש בית-עולם אין סטעטען איילענד						ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_61_tr_1740521158	יידישן בית עולם	יידישן בית עולם	יידישן בית עולם			בוקאַרעסט	בוקאַרעסט				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_62_tr_1740520958	"בית עולם פון ""אַרבעטער-רינג"""	"בית עולם פון ""אַרבעטער-רינג"""	Mount Carmel Cemetery	Q4285547	Q4285547	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_78_tr_1740521048	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_79_tr_1740520939	הר-הכרמל בית עולם	הר-הכרמל בית עולם	Mount Carmel Cemetery	Q4285547	Q4285547						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_90_tr_1740521094	וואַשינגטאָן-בית עולם	וואַשינגטאָן-בית עולם	Washington Cemetery	Q7971720	Q7971720	ניו-יאָרק	New York City	Q60	אָמעריקע	United States	Q30
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_93_tr_1740521079	בית-החיים פון דער יידישער טעאַטריקל עליינס	בית-החיים פון דער יידישער טעאַטריקל עליינס	Mount Hebron Cemetery	Q2341172	Q2341172	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_101_r_4	מאַנטעפיאָרע בית-עולם	מאַנטעפיאָרע בית-עולם	מאָנטעפיאָראַ בית עולם						ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_119_tr_1740521143	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_123_tr_1740520960	בוענאָס איירעס	בוענאָס איירעס	Buenos Aires	Q1486	Q1486						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_127_tr_1740521137	בראָד	בראָד	Brody	Q465104	Q465104						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_130_tr_1740521104	הינטערן פלויט	הינטערן פלויט	הינטערן פלויט								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_134_tr_1740520965	בוקאַרעסט	בוקאַרעסט	Bucharest	Q19660	Q19660						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_142_tr_1740521045	איסטהעם-בית עולם	איסטהעם-בית עולם	איסטהעם-בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_150_tr_1740521115	ניו יאָרק	ניו יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_180_region_1715801037095_458	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720	ניו-יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_201_tr_1741260321	באַראָן הירש בית עולם	באַראָן הירש בית עולם	Baron Hirsch Cemetery	Q4862481	Q4862481	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	1-facs_202_tr_1741260239	וואַשינגטאָן בית-עולם	וואַשינגטאָן בית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_9_tr_1743943368	הר-חברון	הר-חברון	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_31_tr_1744131345	וואַשינגטאָן בית עולם	וואַשינגטאָן בית עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_32_tr_1744131393	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_36_tr_1744131432	ביתעולם פֿון די יידישע טעאַטריקל עלייענס	ביתעולם פֿון די יידישע טעאַטריקל עלייענס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_37_tr_1744131389	הר-ציון, ראדאָמער סעקציע	הר-ציון, ראדאָמער סעקציע	הר-ציון, ראדאָמער סעקציע								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_77_tr_1744131362	בית-עולם באָניע	בית-עולם באָניע	בית-עולם באָניע								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_86_tr_1744131447	יידישן בית עולם	יידישן בית עולם	יידישן בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_112_tr_1744279073	הר-ציון-בית-עולם	הר-ציון-בית-עולם	הר-ציון-בית עולם								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_112_tr_1744279063	אַראָד	אַראָד	Arad	Q173591	Q173591	טראַנסילוואַניע	טראַנסילוואַניע				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_115_tr_1744279181	בית-עולם פֿון די יידישע טעאַטריקל-עליינס	בית-עולם פֿון די יידישע טעאַטריקל-עליינס	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_129_tr_1744279170	ניו-יאָרק	ניו-יאָרק	New York City	Q60	Q60						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_135_tr_1744279191	ווין	ווין	Vienna	Q1741	Q1741						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_157_tr_1744279097	ווילנע	ווילנע	Vilnius	Q216	Q216						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_162_tr_1744279209	וואַשינגטאָן-בית-עולם	וואַשינגטאָן-בית-עולם	Washington Cemetery	Q7971720	Q7971720	ניו-יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_179_tr_1744279074	מאָסקווע	מאָסקווע	Moscow	Q649	Q649						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_198_r_4	וואַשינגטאָן-בּית-עולם	וואַשינגטאָן-בּית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_212_r	וואַשינגטאָן-בּית-עולם	וואַשינגטאָן-בּית-עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_219_tr_1744280715	וואַשינגטאָן-בית עולם	וואַשינגטאָן-בית עולם	Washington Cemetery	Q7971720	Q7971720				ניו-יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_230_tr_1744280762	וואַשינגטאָן-סעמעטרי	וואַשינגטאָן-סעמעטרי	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_232_tr_1744280746	וואַשינגטאָן-בית עולם	וואַשינגטאָן-בית עולם	Washington Cemetery	Q7971720	Q7971720	ניו יאָרק	New York City	Q60			
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_254_tr_1744280773	בית עולם פֿון דער היברו סיק בענעפיט אַסאָסיישאָן	בית עולם פֿון דער היברו סיק בענעפיט אַסאָסיישאָן	בית עולם פֿון דער היברו סיק בענעפיט אַסאָסיישאָן								
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_255_tr_1744280686	הר-חברון בית עולם	הר-חברון בית עולם	Mount Hebron Cemetery	Q2341172	Q2341172						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_267_tr_1744280748	הר לבנון בית עולם	הר לבנון בית עולם	הר לבנון בית עולם			ברוקלין	ברוקלין				
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_270_tr_1744280698	הר חברון	הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172				ניו יאָרק	New York	Q1384
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_271_tr_1744280771	וואַשינגטאָן בית עולם	וואַשינגטאָן בית עולם	Washington Cemetery	Q7971720	Q7971720						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_311_tr_1744365774	וואַרשע	וואַרשע	Warsaw	Q270	Q270						
Zylbercweig-Extraction2026-02-05 (8).tsv		burial	2-facs_331_tr_1744365763	הר חברון	הר חברון	Mount Hebron Cemetery	Q2341172	Q2341172	בית עולם פֿון די יידישע טעאַטריקל ליינס	בית עולם פֿון די יידישע טעאַטריקל ליינס		ניו-יאָרק	New York	Q1384
