event_id	event_type	play_id	venue_id	org_id	place_id	date_start	date_end	date_precision	production_key	provenance_person_id	provenance_fact_ids	evidence_sentence	extraction_model	confidence	review_status
event:EV-0019	production	play:PL-0199			place:Q60	1884		year	a32f01b702	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#16	בּיידע געשפּילט אין 1884	gemini-3-flash-preview	high	auto
event:EV-0020	production	play:PL-0098			place:Q60	1884	1885	year	a6ab258c9d	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#19	בּערך 1884-5 ווערן אויפגעפירט ל.'ס פּיעסעס... „די עמיגראַציאָן נאָך אַמעריקע“	gemini-3-flash-preview	high	auto
event:EV-0021	production	play:PL-0076			place:Q60	1884	1885	year	c1a80cfce9	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#20	בּערך 1884-5 ווערן אויפגעפירט ל.'ס פּיעסעס „די געהיימניסע פון ניו-יאָרק“	gemini-3-flash-preview	high	auto
event:EV-0022	production	play:PL-0068			place:Q60	1884	1885	year	29b74b310b	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#21	בּערך 1884-5 ווערן אויפגעפירט ל.'ס פּיעסעס... „דוד בן ישי“	gemini-3-flash-preview	high	auto
event:EV-0023	production	play:PL-0270	org:125			1887		year	31aaaab0e2	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#2	"די רומעניע אָפּערע הויז פירט אויף די אָפּערע[?] ""שלמה המלך“ פון מ. הורוויטש"	gemini-3-flash-preview	high	auto
event:EV-0024	production	play:PL-0223	org_cluster:ORG-C01757_Q01			1887		year	6e02d7b576	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#3	פירט מען אויף [1887] אין אָריענטאַל-טעאַטער די אָפּער[עטע] „משפט שלמה“ פון י. לאַטיינער	gemini-3-flash-preview	high	auto
event:EV-0025	production	play:PL-0097	org:123			1888-09		month	c0a5c7b7bc	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#4	אין סעפטעמבּער 1888 ווערט אויפגעפירט אין פּוּלס-טעאַטער ל.'ס „די עמיגראַנטן אויס רוסלאַנד“	gemini-3-flash-preview	high	auto
event:EV-0026	production	play:PL-0122	org_cluster:ORG-C01757_Q01			1888-09-19		day	df105e76d7	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#5	דעם 19 סעפטעמבּער 1888 — אין אָריענטאַל-טעאַטער זיין „דער אנטיסעמיט, אָדער, די יידן-לאַגע אין רומעניען“	gemini-3-flash-preview	high	auto
event:EV-0027	production	play:PL-0192	org_cluster:ORG-C01757_Q01			1888-10-22		day	c3e0f1bdd5	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#6	דעם 22 אָקטאָבּער 1888 ווערט אין אָריענטאַל-טעאַטער אויפגעפירט ל.'ס ,,יהודה המכבי, אָדער קעניג אנטיוכוס אין ירוּשלים	gemini-3-flash-preview	high	auto
event:EV-0028	production	play:PL-0078	org:123			1889-01		month	c51bddbf24	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#8|P-2-facs_90_tr_1744131428:2#9	אין יאנואר 1889 אויפגעפירט געוואָרן אין פּוּלס-טעאַטער זיין פּיעסע „די גרינהאָרנס“ [„מאָשקע“ — מאָריס פינקעל	gemini-3-flash-preview	high	auto
event:EV-0029	production	play:PL-0180	org:130			1890-01-01		day	810859181d	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#11	דעם 1 יאנואר 1890 איז אין טאַליאַ-טעאַטער אויפגעפירט געוואָרן ל.'ס „חוּרבּן ירוּשלים, היסטאָרישע אָפּערע[טע], מוּזיק פוּן מינקאָווסקי“	gemini-3-flash-preview	high	auto
event:EV-0030	production	play:PL-0117				1890		year	61efe61699	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#13	לויט בּ. גאָרין זיינען אין 1890 נאָך אויפגעפירט געוואָרן ל.'ס פּיעסעס „דניאל אין לייבּענגרובּ“	gemini-3-flash-preview	high	auto
event:EV-0031	production	play:PL-0110				1890		year	9c44d20ecb	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#14|P-2-facs_243_tr_1744280772:1#1	אין 1890 נאָך אויפגעפירט געוואָרן ל.'ס פּיעסעס ... „די שניידערין“	gemini-3-flash-preview	high	auto
event:EV-0032	production	play:PL-0050				1891		year	26cd3b76d0	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:2#15	"אין 1891 ווערט אויפגעפירט ל.'ס פּיעסע „גלות רוסלאַנד"""	gemini-3-flash-preview	high	auto
event:EV-0033	production	play:PL-0069	org:123	org_cluster:ORG-C06461	place:Q60	1887	1888	year	c051b57aac	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#2|P-1-facs_320_tr_1741260434:1#1|P-1-facs_320_tr_1741260434:1#2	"ה. צוזאַמען מיט אַ געוויסן מר. שרייבער האָבן אין נאָמען פון דער געזעלשאַפט „דודס האַרפע“ גענומען דאָס פּולס טעאַטער און אויפן סעזאָן 1887-8 אַריינגענומען אַ טרופּע אויף שכירות. דאָ איז אויף דער פייערלעכער דערעפנונג אויפגעפירט געוואָרן ה.""ס אַ פּיעסע „דודס האַרפע“"	gemini-3-flash-preview	high	auto
event:EV-0034	production	play:PL-0104	org:123		place:Q60	1887	1888	year	af13362531	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#3	שפּעטער אין סעזאָן (1887-88) האָט מען אויפגעפירט ה.“ס אַ נייע פּיעסע „די ציגיינערין“	gemini-3-flash-preview	high	auto
event:EV-0035	production	play:PL-0231				1888		year	b95111816d	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#4	סולטאַן מחמד אָדער קאַרבעם [קרבן] בייראם, אין 5 אַקטן און 9 בילדער“ אויפגעפירט אין 1888	gemini-3-flash-preview	high	auto
event:EV-0036	production	play:PL-0248	org:123		place:Q60	1889		year	8c9d4c5d9c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#6	באַלד דערנאָך אַריבער אין פּולס טעאַטער, וואו ער האָט אין 1889 אויפגעפירט זיינע נייע פּיעסען: קאַפּיטאַליסטן און אַרבעטער“	gemini-3-flash-preview	high	auto
event:EV-0037	production	play:PL-0019	org:123		place:Q60	1889		year	6b4b087af2	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#7	באַלד דערנאָך אַריבער אין פּולס טעאַטער, וואו ער האָט אין 1889 אויפגעפירט זיינע נייע פּיעסען: ... „אליהו הנביא, אָדער דער מיליאָנער און בעטלער פאַנטאַסטישע אָפּערעטע אין 5 אַקטן און פּראָלאָג“	gemini-3-flash-preview	high	auto
event:EV-0038	production	play:PL-0150	org:130		place:Q60	1890		year	9d1c5d65c1	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#8	"אין 1890 האָט אין טאַליאַ-טעאַטער אויפגעפירט זיין צייטבילד ""דער מבול פון דזשאנסטאָן"""	gemini-3-flash-preview	high	auto
event:EV-0039	production	play:PL-0272				1890		year	f2c7ef6362	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#9	"אין 1890 ... לויט ב. גאָרין - די פיעסען: ""שמשון הגיבור, היסטאָרישע אָפּערעטע“"	gemini-3-flash-preview	high	auto
event:EV-0040	production	play:PL-0068				1890		year	5089ae57b2	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#10	אין 1890 ... לויט ב. גאָרין - די פיעסען: ... „דוד בן ישי, אָדער, דער נאָכפאָלגער פון שאול היסט. אָפּער. אין 5 אַקטן“	gemini-3-flash-preview	high	auto
event:EV-0041	production	play:PL-0226				1891		year	6e22683117	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#11	"אין 1891 איז - לויט ב. גאָרין - אויפגעפירט געוואָרן ה.""ס „נבוכדנצר מלך בבל, אָדער, דניאל אין לייבנגרוב, היסט. אָפּער.“"	gemini-3-flash-preview	high	auto
event:EV-0042	production	play:PL-0117				1891		year	d3fa4868f5	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#12	"אין 1891 איז - לויט ב. גאָרין - אויפגעפירט געוואָרן ה.""ס „נבוכדנצר מלך בבל, אָדער, דניאל אין לייבנגרוב, היסט. אָפּער.“"	gemini-3-flash-preview	high	auto
event:EV-0043	production	play:PL-0080				1892		year	6a9afbd7f6	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#13	אין 1892 — „די העלדן פון האָמסטער, צייט בילד“	gemini-3-flash-preview	high	auto
event:EV-0044	production	play:PL-0043				1892		year	32f916a8cc	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#14	אין 1892 — ... „בת כהן, אָדער אַלעקסאנדרא המלכה“	gemini-3-flash-preview	high	auto
event:EV-0045	production	play:PL-0012				1892		year	06fc145c18	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#15	אין 1892 — ... „אדם און חוה, אָדער, דער פאַרלוירענער גן-עדן“	gemini-3-flash-preview	high	auto
event:EV-0046	production	play:PL-0191				1893		year	81f9a12ffe	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#16	אין 1893 — „יהודה הגלילי, אָדער דער פּרינץ פון ביתלחם“	gemini-3-flash-preview	high	auto
event:EV-0047	production	play:PL-0217				1893		year	219e60fa32	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#17	אין 1893 — ... „מוטער-ליבע“	gemini-3-flash-preview	high	auto
event:EV-0048	production	play:PL-0264				1893		year	1911873729	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#18	אין 1893 — ... „רבנו גרשם, אָדער דער קייזער בּאַזיליוס דער צווייטער“	gemini-3-flash-preview	high	auto
event:EV-0049	production	play:PL-0215				1894-01-12		day	fae91dc965	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#19	דעם 12 יאַנואַר 1894 — „מאָנטע קריסטאָ“	gemini-3-flash-preview	high	auto
event:EV-0050	production	play:PL-0072				1894		year	d62f0fe74e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#20	"אין זעלבן יאָר „די בלוטיקע האָכצייט אין קאטהערי נאָס צייטן"""	gemini-3-flash-preview	high	auto
event:EV-0051	production	play:PL-0107				1894		year	0588a589ab	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#21	"אין זעלבן יאָר ... „די קרבנות פֿון שלעכטע צייטן"""	gemini-3-flash-preview	high	auto
event:EV-0052	production	play:PL-0198				1895		year	dee7646053	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#22	"אין 1895 — ""יונה הנביא, אָדער, די רייזע דורך וואָסער און פֿייער, פֿאַנטאָסטיש ביבל. אָפּער. אין 4 אַקטן“"	gemini-3-flash-preview	high	auto
event:EV-0053	production	play:PL-0251				1895		year	195e5a644c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#23	אין 1895 — ... „קאַרלייל העריס, צייט בילד“	gemini-3-flash-preview	high	auto
event:EV-0054	production	play:PL-0145				1895		year	b33bac956c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#24	"געשריבן ספּעציעל פֿאַר רעגינא פּראָגער, פֿון פּראָפעסאָר הורוויץ. די פּיעסע האָט געהייסן „כוזרי"""	gemini-3-flash-preview	high	auto
event:EV-0055	production	play:PL-0039				1896		year	04536f376e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#26	"אין 1896 זיינען — לויט ב. גאָרין — אויפֿגעפֿירט געוואָרן ה.'ס ""בני משה, אָדער, די יידן אין כינע"""	gemini-3-flash-preview	high	auto
event:EV-0056	production	play:PL-0041				1896-08-18		day	433cc100aa	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#27	"באָריס טאָמאָשעווסקי, וועלכער האָט געשפּילט אין דער פּיעסע ... „ברכה, אָדער, דער יידישער קעניג פֿון פּוילן אויף איין נאַכט (דעם 18-טן אויגוסט .""(1857"	gemini-3-flash-preview	high	auto
event:EV-0057	production	play:PL-0208				1896		year	905e264f4d	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#28	"אין זעלבן יאָר זיינען נאָך אויפֿגעפֿירט געוואָרן ה.'ס ... „כתב תורה, אָדער, דער רמב""ם אין עגיפּטן“"	gemini-3-flash-preview	high	auto
event:EV-0058	production	play:PL-0222				1896		year	b9e4b09f00	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#29	"אין זעלבן יאָר זיינען נאָך אויפֿגעפֿירט געוואָרן ה.'ס ... „מערי בערבערי, צייטבילד""."	gemini-3-flash-preview	high	auto
event:EV-0059	production	play:PL-0255				1897		year	0aaaccf429	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#30	אין 1897 — „קובא, אָדער, גענעראָל מאַצעבוס העלדנטאָטן, צייטבילד אין 4 אָקטן“	gemini-3-flash-preview	high	auto
event:EV-0060	production	play:PL-0168				1897		year	d03edbbaf4	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#31	אין 1897 — ... „דר. בוקענין, צייטבילד“	gemini-3-flash-preview	high	auto
event:EV-0061	production	play:PL-0025				1897		year	5913c0fe86	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#32	"אין 1897 — ... ""ארץ ישראל ליבע, אָדער, דער רבי און דער צאָר, לעבנסבילד“"	gemini-3-flash-preview	high	auto
event:EV-0062	production	play:PL-0005				1897		year	07beeaca21	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#33	אין 1897 — ... „אַ יידישע נשמה, אָדער אויסגעוואַקסן אין קלויסטער, האַלב-היסטאָרישעס לעבנסבילד אין 4 אָקטן“	gemini-3-flash-preview	high	auto
event:EV-0063	production	play:PL-0033				1897		year	770033a3a5	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#34	"אין 1897 — ... ""בית יעקב אבינו, אָדער שמעון און לוי אחים“"	gemini-3-flash-preview	high	auto
event:EV-0064	production	play:PL-0054				1897		year	941edf8a22	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#35	אין 1897 — ... „דאָס לעבן אין קלאָנדייק, צייטבילד“	gemini-3-flash-preview	high	auto
event:EV-0065	production	play:PL-0187				1897		year	79e4583c0a	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#36	אין 1897 — ... „טהאָרן און מרס. נאָק“	gemini-3-flash-preview	high	auto
event:EV-0066	production	play:PL-0203				1897		year	df9daf854f	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#37	"אין 1897 — ... ""יפת תואָר, אָדער בלעם הרשע, פֿאַנטאָסט. אָפּר. אין 5 אָקטן"""	gemini-3-flash-preview	high	auto
event:EV-0067	production	play:PL-0196				1898		year	69ce015ce7	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#38	"אין 1898 — ""יהושע בן נון, אָדער דער פֿאָל פון יריחו, הייסטאָר. אָפּער“"	gemini-3-flash-preview	high	auto
event:EV-0068	production	play:PL-0081				1899		year	5b93eb1a09	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#39	אין 1899 — „די העלדן פֿון סאַנטיאָגאָ, אָדער פּאָטריאָטיזמוס און ליבע, צייט-בילד“	gemini-3-flash-preview	high	auto
event:EV-0069	production	play:PL-0230				1899		year	123a5d1208	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#40	אין 1899 — ... „נקדימון בן גוריון, אָדער דער גליקליכער פּאַסטוך“	gemini-3-flash-preview	high	auto
event:EV-0070	production	play:PL-0169				1899		year	0d6d921899	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#41	"אין 1899 — ... „דרייפוס, אָדער, צום צווייטן מאָל פֿאַראורטיילט און דאָך אומשולדיק"""	gemini-3-flash-preview	high	auto
event:EV-0071	production	play:PL-0184				1899		year	df75d1c788	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#42	"אין 1899 — ... „חכמת נשים, היסט. אָפּער. [גענומען פֿון דער דייטשער פּיעסע „די העקסע""].“"	gemini-3-flash-preview	high	auto
event:EV-0072	production	play:PL-0178				1900		year	81bca215d1	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#43	"1900 — „זכות אבות, אָדער רב, פּרעדיקער און גלח, לעבנס-אָפּערע"""	gemini-3-flash-preview	high	auto
event:EV-0073	production	play:PL-0151				1900		year	c0540b26be	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:2#44	"1900 — ... „דער משוגענער פֿילאָזאָר""."	gemini-3-flash-preview	high	auto
event:EV-0074	production	play:PL-0026				1891		year	fd36fc6bba	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#10	פירט אויף אין 1891 ל'ס „אשת חיל, אָדער, די איינגעשפּאַרטע פּרינצעסין פון יהוּדה“	gemini-3-flash-preview	high	auto
event:EV-0075	production	play:PL-0116	org:125		place:Q60	1892		year	332903b42f	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#13|P-2-facs_10_tr_1743943373:1#5	מיר פירן אויף [1892] אַ פּיעסע מיטן נאָמען „דינהלע, אָדער אַ גאַסט פון יענער וועלט“ פון יאזעף לאַטיינער	gemini-3-flash-preview	high	auto
event:EV-0076	production	play:PL-0021	org:130		place:Q60	1892		year	40d46ac2cf	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#19|P-2-facs_90_tr_1744131428:3#20|P-2-facs_90_tr_1744131428:3#21|P-2-facs_10_tr_1743943373:1#6	מיר [1892] אויפגעפירט די „באָמבע“... דאָס איז געווען די פּיעסע „אַלעקסאנדער, אָדער, קרוינפּרינץ פון ירוּשלים“ פון יאזעף לאַטיינער	gemini-3-flash-preview	high	auto
event:EV-0077	production	play:PL-0256				1892		year	97ab1c97a4	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#22	אין זעלבּן סעזאָן [1892] איז נאָך אויפגעפירט געוואָרן דורך טאָמאַשעווסקין ל.'ס „קורחס אוצרות, אָדער, מאמאָן דער געלד-גאָט“	gemini-3-flash-preview	high	auto
event:EV-0078	production	play:PL-0045				1892	1893	year	515f11d8b2	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#24	דער סעזאָן 1892-3 איז פאַרענדיקט געוואָרן מיט ל.'ס „בּת שבע“	gemini-3-flash-preview	high	auto
event:EV-0079	production	play:PL-0261				1893		year	891a68a700	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#26	אין 1893 איז אויך אויפגעפירט געוואָרן ל.'ס „קעניג און בּויער“ [מוּזיק פון מינקאָווסקי]	gemini-3-flash-preview	high	auto
event:EV-0080	production	play:PL-0037				1894		year	5a5e8402d8	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#28	אין 1894 נאָך אויפגעפירט געוואָרן ל.'ס „בּן יעקב, אָדער, גלוּת שפּאַניען“	gemini-3-flash-preview	high	auto
event:EV-0081	production	play:PL-0034	org:134		place:Q60	1894-10-18		day	0e1252d8a6	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:3#29	דעם 18 אָקטאָבּער 1894 איז אין ווינדזאָר-טעאַטער אויפגעפירט געוואָרן ל.'ס פּיעסע „בּליהמעלע די פּערלע פון וואַרשוי, אָדער, גראַף און יודע“	gemini-3-flash-preview	high	auto
