entry_key	person_id	volume	xml_id	heading	entry_type	hub_id	db_id	node_id	align_evidence
1-facs_21_tr_1740515226	P-1-facs_21_tr_1740515226	1	facs_21_tr_1740515226	אַדלער בעני	performer	HUB-D1116	1116	person:1116	ra_align
1-facs_22_tr_1740515222	P-1-facs_22_tr_1740515222	1	facs_22_tr_1740515222	אַדלער דזשוליאַ	performer	HUB-D1122	1122	person:1122	ra_align
1-facs_22_tr_1740515225	P-1-facs_22_tr_1740515225	1	facs_22_tr_1740515225	אַדלער יוזשע	performer	HUB-D1129	1129	person:1129	ra_align
1-facs_22_tr_1740515224	P-1-facs_22_tr_1740515224	1	facs_22_tr_1740515224	אַדלער, יוליוס	performer	HUB-D1123	1123	person:1123	ra_align
1-facs_23_r	P-1-facs_23_r	1	facs_23_r	אַדלער, יעקב פּ. [יעקב בן פּנחס]	performer	HUB-D706	706	person:706	ra_align
1-facs_30_TextRegion_1709402283554_1191	P-1-facs_30_TextRegion_1709402283554_1191	1	facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	performer	HUB-D1128	1128	person:1128	ra_align
1-facs_31_TextRegion_1710063820301_118	P-1-facs_31_TextRegion_1710063820301_118	1	facs_31_TextRegion_1710063820301_118	אַדלער, ישראל	writer	HUB-D1121	1121	person:1121	ra_align
1-facs_31_TextRegion_1710063786700_90	P-1-facs_31_TextRegion_1710063786700_90	1	facs_31_TextRegion_1710063786700_90	אַדלער, סטעלאַ	performer	HUB-D1127	1127	person:1127	ra_align
1-facs_31_r	P-1-facs_31_r	1	facs_31_r	אַדלער, סעם	director_regisseur	HUB-D740	740	person:740	ra_align
1-facs_33_tr_1740521056	P-1-facs_33_tr_1740521056	1	facs_33_tr_1740521056	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	performer	HUB-D1126	1126	person:1126	ra_align
1-facs_33_tr_1740521070	P-1-facs_33_tr_1740521070	1	facs_33_tr_1740521070	אַדלער עמיליע [שרה-מילקע שטאָנג]	performer	HUB-D1115	1115	person:1115	ra_align
1-facs_34_tr_1740521039	P-1-facs_34_tr_1740521039	1	facs_34_tr_1740521039	אַדלער פֿרענציס	performer	HUB-D1119	1119	person:1119	ra_align
1-facs_34_tr_1740521031	P-1-facs_34_tr_1740521031	1	facs_34_tr_1740521031	אַדלער צילע	performer	HUB-D1117	1117	person:1117	ra_align
1-facs_35_tr_1740520972	P-1-facs_35_tr_1740520972	1	facs_35_tr_1740520972	אַדלער, קאָטיאָ [גוראַלניק]	performer	HUB-D1125	1125	person:1125	ra_align
1-facs_35_tr_1740520974	P-1-facs_35_tr_1740520974	1	facs_35_tr_1740520974	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	performer	HUB-P-1-facs_35_tr_1740520974		person_entry:P-1-facs_35_tr_1740520974	
1-facs_35_tr_1740520980	P-1-facs_35_tr_1740520980	1	facs_35_tr_1740520980	אָדערשלעגער, משה יעקב	writer	HUB-D1114	1114	person:1114	ra_align
1-facs_35_tr_1740520969	P-1-facs_35_tr_1740520969	1	facs_35_tr_1740520969	אוגער, ישעיה	writer	HUB-D3128	3128	person:3128	ra_align|ra_dup
1-facs_36_tr_1740520946	P-1-facs_36_tr_1740520946	1	facs_36_tr_1740520946	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]	performer	HUB-D1202	1202	person:1202	ra_align
1-facs_36_tr_1740520948	P-1-facs_36_tr_1740520948	1	facs_36_tr_1740520948	אויגענבליק, עני [חנה סויבער]	performer	HUB-D1198	1198	person:1198	ra_align
1-facs_36_tr_1740520951	P-1-facs_36_tr_1740520951	1	facs_36_tr_1740520951	אויגענבליק, פֿיליפּ	performer	HUB-D1199	1199	person:1199	human_align
1-facs_37_tr_1740520986	P-1-facs_37_tr_1740520986	1	facs_37_tr_1740520986	אויערבאַך, אפֿרים	writer	HUB-D1194	1194	person:1194	ra_align
1-facs_37_tr_1740520982	P-1-facs_37_tr_1740520982	1	facs_37_tr_1740520982	אויערבאַך, בּאָריס [בן-ציון]	performer	HUB-D1193	1193	person:1193	ra_align
1-facs_37_tr_1740520980	P-1-facs_37_tr_1740520980	1	facs_37_tr_1740520980	אויערבאַך, יצחק	writer	HUB-D1195	1195	person:1195	ra_align
1-facs_37_tr_1740520983	P-1-facs_37_tr_1740520983	1	facs_37_tr_1740520983	אויערבאך ס.	writer	HUB-D1196	1196	person:1196	ra_align
1-facs_38_tr_1740521016	P-1-facs_38_tr_1740521016	1	facs_38_tr_1740521016	אויערבאַך, סעם	performer	HUB-D1197	1197	person:1197	ra_align
1-facs_38_tr_1740521017	P-1-facs_38_tr_1740521017	1	facs_38_tr_1740521017	אולריך	performer	HUB-D3129	3129	person:3129	ra_align
1-facs_38_tr_1740521009	P-1-facs_38_tr_1740521009	1	facs_38_tr_1740521009	"„אונזער טעאַטער"""	group	HUB-D1137	1137	person:1137	ra_align
1-facs_38_tr_1740521011	P-1-facs_38_tr_1740521011	1	facs_38_tr_1740521011	אוריך סאמי [שמאי, גדליהו]	performer	HUB-P-1-facs_38_tr_1740521011		person_entry:P-1-facs_38_tr_1740521011	
1-facs_39_tr_1740520985	P-1-facs_39_tr_1740520985	1	facs_39_tr_1740520985	אוריך, צילע [חיה צילע פערער]	performer	HUB-D986	986	person:986	ra_align
1-facs_39_tr_1740520983	P-1-facs_39_tr_1740520983	1	facs_39_tr_1740520983	אַַזראַ, אַלעקסאַנדער [אָרליוק]	performer	HUB-D1209	1209	person:1209	ra_align
1-facs_40_tr_1740521035	P-1-facs_40_tr_1740521035	1	facs_40_tr_1740521035	אַטלאַס, דזשעני	performer	HUB-D1192	1192	person:1192	ra_align
1-facs_40_tr_1740521046	P-1-facs_40_tr_1740521046	1	facs_40_tr_1740521046	אידינא [אידאַ שעוואָכאָוויץ]	performer	HUB-D1152	1152	person:1152	ra_align
1-facs_40_r	P-1-facs_40_r	1	facs_40_r	אידישע אַקטיאָרען-יוניאָן	union	HUB-P-1-facs_40_r		person_entry:P-1-facs_40_r	
1-facs_41_tr_1740521073	P-1-facs_41_tr_1740521073	1	facs_41_tr_1740521073	איזבעסקאָ, פינקוס [פּנחס איזבעסקי]	administrator	HUB-D2045	2045	person:2045	ra_align
1-facs_41_r_2	P-1-facs_41_r_2	1	facs_41_r_2	איזמאַליאָננאַ	composer	HUB-P-1-facs_41_r_2		person_entry:P-1-facs_41_r_2	
1-facs_41_r_4	P-1-facs_41_r_4	1	facs_41_r_4	איטעלמאַן, לייזער	performer	HUB-D2040	2040	person:2040	ra_align
1-facs_41_tr_1740521069	P-1-facs_41_tr_1740521069	1	facs_41_tr_1740521069	אייבראַמס, דוד	administrator	HUB-D1111	1111	person:1111	ra_align
1-facs_41_tr_1740521076	P-1-facs_41_tr_1740521076	1	facs_41_tr_1740521076	אייגענפעלד [ערבער]	writer	HUB-D1599	1599	person:1599	ra_align
1-facs_41_tr_1740521079	P-1-facs_41_tr_1740521079	1	facs_41_tr_1740521079	אייזמאַן, גאָלדע	performer	HUB-D1558	1558	person:1558	ra_align
1-facs_42_tr_1740520985	P-1-facs_42_tr_1740520985	1	facs_42_tr_1740520985	אייזענבערג, אַברהם	administrator	HUB-D1604	1604	person:1604	ra_align
1-facs_42_tr_1740520982	P-1-facs_42_tr_1740520982	1	facs_42_tr_1740520982	אייזענבערג אהרן	performer	HUB-D1603	1603	person:1603	ra_align|ra_dup
1-facs_42_tr_1740520988	P-1-facs_42_tr_1740520988	1	facs_42_tr_1740520988	אייזענבערג אַווראָם	performer	HUB-P-1-facs_42_tr_1740520988		person_entry:P-1-facs_42_tr_1740520988	
1-facs_42_tr_1740520980	P-1-facs_42_tr_1740520980	1	facs_42_tr_1740520980	אייזענבערג, מאיר	other	HUB-D1554	1554	person:1554	human_align
1-facs_42_tr_1740520978	P-1-facs_42_tr_1740520978	1	facs_42_tr_1740520978	אייזענשטאַרק, שלמה	performer	HUB-D1607	1607	person:1607	ra_align
1-facs_43_tr_1740520992	P-1-facs_43_tr_1740520992	1	facs_43_tr_1740520992	אייזענשלאָס אַלטער	writer	HUB-D1556	1556	person:1556	ra_align
1-facs_43_tr_1740521002	P-1-facs_43_tr_1740521002	1	facs_43_tr_1740521002	אייזערמאַן, לייבל	performer	HUB-D1610	1610	person:1610	ra_align
1-facs_44_tr_1740521158	P-1-facs_44_tr_1740521158	1	facs_44_tr_1740521158	אייכעל, יצחק	writer	HUB-D1600	1600	person:1600	ra_align
1-facs_45_tr_1740521094	P-1-facs_45_tr_1740521094	1	facs_45_tr_1740521094	איינהאָרן, אהרן	writer	HUB-D1550	1550	person:1550	ra_align|ra_dup
1-facs_45_tr_1740521081	P-1-facs_45_tr_1740521081	1	facs_45_tr_1740521081	איינהאָרן, בּאַשע	performer	HUB-D1601	1601	person:1601	ra_align
1-facs_45_tr_1740521100	P-1-facs_45_tr_1740521100	1	facs_45_tr_1740521100	איינהאָרן, דוד	writer	HUB-D1602	1602	person:1602	ra_align
1-facs_45_r_4	P-1-facs_45_r_4	1	facs_45_r_4	איינהאָרן, ליזאַ	performer	HUB-P-1-facs_45_r_4		person_entry:P-1-facs_45_r_4	
1-facs_45_tr_1740521093	P-1-facs_45_tr_1740521093	1	facs_45_tr_1740521093	איינעס, אַברהם	performer	HUB-D1549	1549	person:1549	ra_align
1-facs_46_tr_1740521017	P-1-facs_46_tr_1740521017	1	facs_46_tr_1740521017	איצקאָוויטש, שבתי	performer	HUB-D2044	2044	person:2044	ra_align
1-facs_46_tr_1740521011	P-1-facs_46_tr_1740521011	1	facs_46_tr_1740521011	איריס, סאָניאַ [פעלדמאַן]	performer	HUB-D2039	2039	person:2039	ra_align
1-facs_46_tr_1740521016	P-1-facs_46_tr_1740521016	1	facs_46_tr_1740521016	איריס, שמואל	performer	HUB-D2038	2038	person:2038	ra_align
1-facs_47_tr_1740521070	P-1-facs_47_tr_1740521070	1	facs_47_tr_1740521070	אָלגין, מ. י., דר. [משה יוסף נאָוואָמיסקי]	writer	HUB-D2592	2592	person:2592	ra_align
1-facs_47_r_2	P-1-facs_47_r_2	1	facs_47_r_2	אַלטמאַן, בּאָריס	performer	HUB-P-1-facs_47_r_2		person_entry:P-1-facs_47_r_2	
1-facs_47_tr_1740521074	P-1-facs_47_tr_1740521074	1	facs_47_tr_1740521074	אַלטמאַן, מאָריס	writer	HUB-D1146	1146	person:1146	ra_align
1-facs_47_tr_1740521066	P-1-facs_47_tr_1740521066	1	facs_47_tr_1740521066	אַלטמאַן, נאַטאַן	other	HUB-D1148	1148	person:1148	ra_align
1-facs_48_tr_1740521130	P-1-facs_48_tr_1740521130	1	facs_48_tr_1740521130	אַלמאַן, שמואל	composer	HUB-D1138	1138	person:1138	ra_align
1-facs_48_tr_1740521125	P-1-facs_48_tr_1740521125	1	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	writer	HUB-D1139	1139	person:1139	ra_align
1-facs_48_tr_1740521128	P-1-facs_48_tr_1740521128	1	facs_48_tr_1740521128	אַלעסקאָ פערנאַנדאָ	performer	HUB-D1565	1565	person:1565	ra_align
1-facs_48_tr_1740521136	P-1-facs_48_tr_1740521136	1	facs_48_tr_1740521136	אַלעקסאַנדראָוו, אהרן	performer	HUB-D1135	1135	person:1135	ra_align
1-facs_49_tr_1740521083	P-1-facs_49_tr_1740521083	1	facs_49_tr_1740521083	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]	writer	HUB-D1136	1136	person:1136	ra_align
1-facs_49_tr_1740521084	P-1-facs_49_tr_1740521084	1	facs_49_tr_1740521084	אַלקאַן,יהושע	writer	HUB-D2598	2598	person:2598	ra_align
1-facs_49_tr_1740521087	P-1-facs_49_tr_1740521087	1	facs_49_tr_1740521087	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]	composer	HUB-D881	881	person:881	ra_align
1-facs_50_tr_1740521040	P-1-facs_50_tr_1740521040	1	facs_50_tr_1740521040	אַמאַטין, סאָניאַ [שרה גאָלדבערג-לעווין]	performer	HUB-D1152	1152	person:1152	ra_align
1-facs_50_tr_1740521046	P-1-facs_50_tr_1740521046	1	facs_50_tr_1740521046	אַמאַטין, פּעטער [פּסח גאָלדבערג]	performer	HUB-D1144	1144	person:1144	ra_align
1-facs_50_tr_1740521042	P-1-facs_50_tr_1740521042	1	facs_50_tr_1740521042	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]	performer	HUB-D1150	1150	person:1150	ra_align
1-facs_51_tr_1740521052	P-1-facs_51_tr_1740521052	1	facs_51_tr_1740521052	אַמאַסיאַ, הערש	performer	HUB-D1151	1151	person:1151	ra_align
1-facs_51_tr_1740521070	P-1-facs_51_tr_1740521070	1	facs_51_tr_1740521070	אַמזעל, גאָלדע [געניאַ שניידער]	performer	HUB-D1154	1154	person:1154	ra_align
1-facs_51_tr_1740521069	P-1-facs_51_tr_1740521069	1	facs_51_tr_1740521069	אַמזעל,וואָלף	performer	HUB-D1155	1155	person:1155	ra_align|ra_dup
1-facs_51_tr_1740521072	P-1-facs_51_tr_1740521072	1	facs_51_tr_1740521072	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]	performer	HUB-D1156	1156	person:1156	ra_align
1-facs_51_tr_1740521079	P-1-facs_51_tr_1740521079	1	facs_51_tr_1740521079	אנכי ז. י [זלמן יצחק ַאראָנסאָן]	writer	HUB-D1158	1158	person:1158	ra_align
1-facs_52_tr_1740521031	P-1-facs_52_tr_1740521031	1	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	writer	HUB-D1159	1159	person:1159	ra_align
1-facs_56_tr_1740521000	P-1-facs_56_tr_1740521000	1	facs_56_tr_1740521000	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]	performer	HUB-D2601	2601	person:2601	ra_align
1-facs_56_tr_1740521001	P-1-facs_56_tr_1740521001	1	facs_56_tr_1740521001	אָסקאַר יוליוס [אייזענבעט]	performer	HUB-D2600	2600	person:2600	ra_align
1-facs_57_tr_1740521100	P-1-facs_57_tr_1740521100	1	facs_57_tr_1740521100	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]	writer	HUB-D2594	2594	person:2594	ra_align
1-facs_57_tr_1740521089	P-1-facs_57_tr_1740521089	1	facs_57_tr_1740521089	אַפּאָטהעקער, דוד	writer	HUB-D1162	1162	person:1162	ra_align
1-facs_57_tr_1740521103	P-1-facs_57_tr_1740521103	1	facs_57_tr_1740521103	אַפּטייקער סאָפיאַ [שרה פֿריינד]	performer	HUB-D1168	1168	person:1168	ra_align
1-facs_58_tr_1740521146	P-1-facs_58_tr_1740521146	1	facs_58_tr_1740521146	אַפּעל, אַננאַ [בערקאָוויטש]	performer	HUB-D1163	1163	person:1163	ra_align
1-facs_58_tr_1740521133	P-1-facs_58_tr_1740521133	1	facs_58_tr_1740521133	אָפּעל, איזידאָר [יאַפּקאָ]	performer	HUB-D1164	1164	person:1164	ra_align
1-facs_58_tr_1740521139	P-1-facs_58_tr_1740521139	1	facs_58_tr_1740521139	אַפּעל, מאָריס [אַפּעלאויג]	performer	HUB-D1165	1165	person:1165	ra_align
1-facs_58_tr_1740521154	P-1-facs_58_tr_1740521154	1	facs_58_tr_1740521154	אָפּעלבוים מישאַ	performer	HUB-D1166	1166	person:1166	ra_align
1-facs_59_tr_1740521090	P-1-facs_59_tr_1740521090	1	facs_59_tr_1740521090	אַפּעלבוים ראָזאָליאַ [שיינע רחל וויינשטיין]	performer	HUB-D1167	1167	person:1167	ra_align
1-facs_59_tr_1740521094	P-1-facs_59_tr_1740521094	1	facs_59_tr_1740521094	אָפֿפֿערמאַן, פאָלינאַ [פּערל]	performer	HUB-D2590	2590	person:2590	ra_align
1-facs_59_tr_1740521083	P-1-facs_59_tr_1740521083	1	facs_59_tr_1740521083	אפרת ניקאָליי	writer	HUB-D1131	1131	person:1131	ra_align
1-facs_59_tr_1740521087	P-1-facs_59_tr_1740521087	1	facs_59_tr_1740521087	אַקסעלראָד, אַברהם [אַברהם יצחק]	performer	HUB-D1204	1204	person:1204	ra_align
1-facs_60_tr_1740521080	P-1-facs_60_tr_1740521080	1	facs_60_tr_1740521080	אַקסעלראָד, אַנעטאַ [ברענער]	performer	HUB-D1203	1203	person:1203	ra_align
1-facs_60_tr_1740521090	P-1-facs_60_tr_1740521090	1	facs_60_tr_1740521090	אַקסעלראָד מאָריס [מאיר]	performer	HUB-D1206	1206	person:1206	ra_align
1-facs_60_tr_1740521087	P-1-facs_60_tr_1740521087	1	facs_60_tr_1740521087	אַקסעלראָד, מיני [בלייכמאַן]	performer	HUB-D1205	1205	person:1205	ra_align
1-facs_61_tr_1740521158	P-1-facs_61_tr_1740521158	1	facs_61_tr_1740521158	אַקסעלראָד ראָזאַ	performer	HUB-D980	980	person:980	ra_align
1-facs_61_tr_1740521159	P-1-facs_61_tr_1740521159	1	facs_61_tr_1740521159	אַקסעלראָד רחל [קאָהוט]	performer	HUB-D1207	1207	person:1207	ra_align
1-facs_61_tr_1740521163	P-1-facs_61_tr_1740521163	1	facs_61_tr_1740521163	אַראַנאָוויטש, הערמאַן	performer	HUB-D1181	1181	person:1181	ra_align
1-facs_61_tr_1740521166	P-1-facs_61_tr_1740521166	1	facs_61_tr_1740521166	אַראָנטשיק, יודעס	performer	HUB-D1179	1179	person:1179	ra_align
1-facs_61_tr_1740521167	P-1-facs_61_tr_1740521167	1	facs_61_tr_1740521167	אַראָנסאָן, כרוך	other	HUB-D1182	1182	person:1182	ra_align
1-facs_62_tr_1740520977	P-1-facs_62_tr_1740520977	1	facs_62_tr_1740520977	אַראָנעס, פֿייוול	performer	HUB-D1180	1180	person:1180	ra_align
1-facs_62_tr_1740520958	P-1-facs_62_tr_1740520958	1	facs_62_tr_1740520958	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]	performer	HUB-D1312	1312	person:1312	human_align|ra_align
1-facs_62_tr_1740520963	P-1-facs_62_tr_1740520963	1	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	union	HUB-D2705	2705	person:2705	human_align|ra_align
1-facs_64_tr_1740520942	P-1-facs_64_tr_1740520942	1	facs_64_tr_1740520942	אַריעל, חיים דוד	performer	HUB-D1173	1173	person:1173	ra_align|ra_dup
1-facs_64_tr_1740520956	P-1-facs_64_tr_1740520956	1	facs_64_tr_1740520956	אַריעל, סאָניאַ [בעזמאַן]	performer	HUB-D1175	1175	person:1175	ra_align|ra_dup
1-facs_64_tr_1740520959	P-1-facs_64_tr_1740520959	1	facs_64_tr_1740520959	אַריעל, רחל	performer	HUB-D1174	1174	person:1174	ra_align|ra_dup
1-facs_65_tr_1740520954	P-1-facs_65_tr_1740520954	1	facs_65_tr_1740520954	אָרליוק, שמעון	performer	HUB-D2597	2597	person:2597	ra_align
1-facs_65_tr_1740520951	P-1-facs_65_tr_1740520951	1	facs_65_tr_1740520951	אָרלעסקא, מרים	performer	HUB-D2596	2596	person:2596	ra_align|ra_dup
1-facs_65_tr_1740520943	P-1-facs_65_tr_1740520943	1	facs_65_tr_1740520943	אַרנאָן,מרים [מאַניע מאַרגוליס]	performer	HUB-D1176	1176	person:1176	ra_align
1-facs_65_tr_1740520947	P-1-facs_65_tr_1740520947	1	facs_65_tr_1740520947	אַרנשטיין, מאַרק	writer	HUB-D995	995	person:995	ra_align|ra_dup
1-facs_67_tr_1740521120	P-1-facs_67_tr_1740521120	1	facs_67_tr_1740521120	אַרנשטיין, ראָזע	performer	HUB-D1178	1178	person:1178	ra_align
1-facs_68_tr_1740521054	P-1-facs_68_tr_1740521054	1	facs_68_tr_1740521054	אַרקאָ, איסאַק	performer	HUB-D1170	1170	person:1170	ra_align
1-facs_68_tr_1740521051	P-1-facs_68_tr_1740521051	1	facs_68_tr_1740521051	אַרקאַ, יצחק	performer	HUB-D1171	1171	person:1171	ra_align
1-facs_68_tr_1740521052	P-1-facs_68_tr_1740521052	1	facs_68_tr_1740521052	אַרקאַ, מאַניע [פישזאָן]	performer	HUB-D1172	1172	person:1172	ra_align
1-facs_69_tr_1740521059	P-1-facs_69_tr_1740521059	1	facs_69_tr_1740521059	אַרקאָ פריצי	performer	HUB-D1169	1169	person:1169	ra_align
1-facs_69_tr_1740521066	P-1-facs_69_tr_1740521066	1	facs_69_tr_1740521066	אַש, שלום	writer	HUB-D1183	1183	person:1183	ra_align
1-facs_72_tr_1740521050	P-1-facs_72_tr_1740521050	1	facs_72_tr_1740521050	אַשכנזי איזידאָר [אייזיק]	performer	HUB-D1184	1184	person:1184	ra_align
1-facs_72_r_5	P-1-facs_72_r_5	1	facs_72_r_5	אַשכנזי מירע	performer	HUB-P-1-facs_72_r_5		person_entry:P-1-facs_72_r_5	
1-facs_72_tr_1740521060	P-1-facs_72_tr_1740521060	1	facs_72_tr_1740521060	אַשכנדי צילע [פעפער]	performer	HUB-D1189	1189	person:1189	ra_align
1-facs_73_tr_1740521068	P-1-facs_73_tr_1740521068	1	facs_73_tr_1740521068	אָשעראָוויטש, מ.	writer	HUB-D2599	2599	person:2599	ra_align
1-facs_73_r	P-1-facs_73_r	1	facs_73_r	בּאָד-גוי בּאָריס	performer	HUB-P-1-facs_73_r		person_entry:P-1-facs_73_r	
1-facs_73_tr_1740521067	P-1-facs_73_tr_1740521067	1	facs_73_tr_1740521067	באַדין, מאַקס [מוני באַדיאַן]	performer	HUB-D1215	1215	person:1215	ra_align
1-facs_74_r_1	P-1-facs_74_r_1	1	facs_74_r_1	באַדער גרשם	writer	HUB-D1213	1213	person:1213	ra_align
1-facs_74_tr_1740521143	P-1-facs_74_tr_1740521143	1	facs_74_tr_1740521143	באָוושאַווער יוסף	writer	HUB-D1367	1367	person:1367	ra_align
1-facs_75_r_2	P-1-facs_75_r_2	1	facs_75_r_2	באַזעלינסקי, נחום	writer	HUB-D1235	1235	person:1235	ra_align
1-facs_75_tr_1740521172	P-1-facs_75_tr_1740521172	1	facs_75_tr_1740521172	באַטאָשאַנסקי, יעקב	writer	HUB-D1365	1365	person:1365	ra_align
1-facs_76_tr_1740520957	P-1-facs_76_tr_1740520957	1	facs_76_tr_1740520957	באָטוויניק, בערל	writer	HUB-D1366	1366	person:1366	ra_align
1-facs_76_tr_1740520936	P-1-facs_76_tr_1740520936	1	facs_76_tr_1740520936	באָיארסקי-באָגאָרט, רפֿאל	administrator	HUB-D791	791	person:791	ra_align
1-facs_77_tr_1740520974	P-1-facs_77_tr_1740520974	1	facs_77_tr_1740520974	באַלבירסקי, הערש	performer	HUB-D1220	1220	person:1220	ra_align|ra_dup
1-facs_77_r_8	P-1-facs_77_r_8	1	facs_77_r_8	באַנקאָוו, יאַנקעוו	performer	HUB-D1222	1222	person:1222	ra_align
1-facs_77_tr_1740520979	P-1-facs_77_tr_1740520979	1	facs_77_tr_1740520979	באַנקאָוו, מישע	performer	HUB-D1221	1221	person:1221	ra_align
1-facs_77_tr_1740520973	P-1-facs_77_tr_1740520973	1	facs_77_tr_1740520973	באַסלאווסקי, אַברהם	performer	HUB-D1233	1233	person:1233	ra_align
1-facs_78_tr_1740521032	P-1-facs_78_tr_1740521032	1	facs_78_tr_1740521032	באָקמאַן, פעלי	performer	HUB-D1349	1349	person:1349	ra_align
1-facs_78_tr_1740521049	P-1-facs_78_tr_1740521049	1	facs_78_tr_1740521049	באָקשיצקי,לואיס [לייב]	performer	HUB-D1350	1350	person:1350	ra_align
1-facs_78_tr_1740521048	P-1-facs_78_tr_1740521048	1	facs_78_tr_1740521048	באַראָדקין, בערל [באַרדאָקין]	performer	HUB-D1363	1363	person:1363	ra_align
1-facs_78_tr_1740521038	P-1-facs_78_tr_1740521038	1	facs_78_tr_1740521038	באַראָדקין, סאָניאַ	performer	HUB-D719	719	person:719	ra_align
1-facs_78_tr_1740521046	P-1-facs_78_tr_1740521046	1	facs_78_tr_1740521046	באַראַט, מאַרטי [משה-מאָרטין באַראַץ]	performer	HUB-D1225	1225	person:1225	ra_align
1-facs_79_tr_1740520948	P-1-facs_79_tr_1740520948	1	facs_79_tr_1740520948	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]	performer	HUB-D1223	1223	person:1223	ra_align
1-facs_79_tr_1740520939	P-1-facs_79_tr_1740520939	1	facs_79_tr_1740520939	באַראַנדעס, יוסף	administrator	HUB-D1227	1227	person:1227	ra_align
1-facs_80_tr_1740521116	P-1-facs_80_tr_1740521116	1	facs_80_tr_1740521116	באַראַץ, דוד	performer	HUB-D1224	1224	person:1224	ra_align
