_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_30_r_7	צוקערמאַן, מינדל [שנאַפּ]	6182-6182														וואַרשע													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_30_r_7	צוקערמאַן, מינדל [שנאַפּ]	6182-6182															רומעניע	רומעניע											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_31_tr_1756359774	פיביך, סאָרע	6184-6185														וויטעבסק													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_31_tr_1756359774	פיביך, סאָרע	6184-6185														מינסק													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_34_r	ראָזענטאָל, סאַשאַ (שמעיה פישנאָוו)	6189-6189								Employment_Performance	performer	אין 1925 אַריבער אין דער טרופּע פֿון קלאַראַ יאָנג		1925		פּעטראָגראַד													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_34_r_4	האַרטמאַן, קאָרל, דר.	6190-6190								Employment_Performance	employee	אין 1967 האָט ער אַ געוויסע צייט געאַרבעט אין דער דאָקומענטאַציע פֿון דעם טעאַטער	דאָקומענטאַציע	1967	1967														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_35_r_2	„ניי-אַזאַזעל“	6191-6192								Leadership_Ownership	owner_manager	די דירעקטאָרן פונם טעאַטער	דירעקטאָר											"רוטע פּופּס — טעאַטער אין וואַרשעווער געטאָ, „מ'פ"", נ. י., 18 אַפּריל 1969."	חנה לעווין אין טעאַטער פון איר מאַן 'נייאַזאַזעל' געפֿייערט... איר 30-יאָריקן בינע-יובל			connected	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_35_r_2	„ניי-אַזאַזעל“	6191-6192								Employment_Performance	performer	אָנטייל גענומען פאָלגנדיקע אַקטיאָרן: ... חיים סאַנדלער	אַקטיאָר	1942											ז. סאַלווע (דער יובילאַרינס איידעם)			connected	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_35_r_2	„ניי-אַזאַזעל“	6191-6192								Leadership_Ownership	owner_manager	סאַנדלער אויפגעפירט אין זיין אייגענער באַאַרבעטונג 'מאָטקע גנב'	דירעקטאָר																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_37_r_6	"„סימכעוועסאָסען"" [שמחה וששון]"	6195-6195								Employment_Performance	performer	די הויפּט-כוחות, וואָס האָבן זיך גרופּירט אַרום דעם דאָזיקן טעאַטערל, זיינען געווען: אַנאַ לוביטש, יענקעלע ליפינסקי, דער קונסט-מאָלער יוסף פּאַסמאַניק, וועלכער האָט אויך מיטגעשפּילט, און יהודה יאַצעוולאַן	הויפּט-כוחות																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_39_r	שטראַספֿאַגעל, לעאָן	6201-6207								Employment_Performance	artistic_staff	הויפּט-רעזשיסער פונם דאָזיקן טעאַטער.	הויפּט-רעזשיסער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_41_tr_1756359817	טיקמאַן, יעקב	6210-6210								Employment_Performance	employee	דער מאַנוסקריפּטן-לייענער פֿון טעאַטער	מאַנוסקריפּטן-לייענער	1919										ט. ביילין — נאָטיצן און באַמערקונגען, „די פּרעסע“, ב'א, 1 יולי 1953.					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_41_tr_1756359817	טיקמאַן, יעקב	6210-6210								Leadership_Ownership	owner_manager	טיילמאָל אויך זייער געשעפטס-פֿירער	געשעפטס-פֿירער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_42_tr_1756359784	אַקסעלראָד, מאיר	6126-6126								Education_Formation	graduate	געענדיקט דעם אינסטיטוט																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_42_tr_1756359784	אַקסעלראָד, מאיר	6126-6126								Employment_Performance	artistic_staff	איז ער דאָרט פֿאַרבליבן אַלס לערער	לערער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_42_tr_1756359784	אַקסעלראָד, מאיר	6126-6126								Employment_Performance	artistic_staff	"א. האָט אויך געשאַפן די דעקאַראַציעס צו בערגעלסאָנס „מידת הדין“ און שלום-עליכמס „דאָס פאַרכישופטע שניידערל"""	געשאַפן די דעקאַראַציעס																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_43_tr_1756359812	קלינגער, נתן	6127-6223								Employment_Performance	performer	שפּילט דאָרט אין צוויי פּיעסן												"ALEX SSER - JIDDISH TEATER, ""AFTONSTON"", STOCKHOLM. Oct. 8, 1956."					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_44_tr_1756359784	געזעלשאַפֿטלעכער יידישער טעאַטער אין דעטראָיט	6224-6226								Affiliation_Membership	member	איך וועל אַריין אין קאָמיטעט. (ש. ב. לייקין)	מיטגליד																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_46_r_2	וועריטע, ס. [ס. ווייסבלאַט]	6229-6229								Leadership_Ownership	executive	וו. איז געווען איניציאַטאָר און פֿאַזיצער פֿון דער קאָמיסיע צו שאַפן אַ יידישן אַרטיסטן-פֿאַריין	פֿאַזיצער פֿון דער קאָמיסיע																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_46_r_8	קאבאק, יאשא	6230-6230								Employment_Performance	performer	באַקומען מער פֿאַראַנטוואָרטלעכע גרעסערע געזאַנג-ראָלן און געשפּילט מיט קלאַראַ יאָנג ביז 1928	גרעסערע געזאַנג-ראָלן		1928														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_47_tr_1756359790	"""יידישע באַנדע"""	6231-6232								Leadership_Ownership	owner_manager	האָט זישע קאַץ, צוזאַמען מיט דוד לעדערמאַנען, איבערגענומען די אָנפֿירונג	אָנפֿירונג	1932		לאָדזש		פּוילן							פאָלקסאַקטיאָרן אויף דער לעגימיטער יידישער בינע			connected	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_47_tr_1756359790	"""יידישע באַנדע"""	6231-6232														קראָקע		פּוילן											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_47_tr_1756359790	"""יידישע באַנדע"""	6231-6232														ווילנע		פּוילן											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_47_tr_1756359790	"""יידישע באַנדע"""	6231-6232														פאַריז		פראַנקרייך			1938								
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_47_tr_1756359790	"""יידישע באַנדע"""	6231-6232															צפון-אַמעריקע												
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359786	וויינער, העלענאַ	6231-6231								Employment_Performance	performer	פאַר די גאַנצע 15 יאָר, וואָס ח' וויינער האָט געאַרבעט אין אונדזער טעאַטער	פּראָפעסיאנעלע אַקטריסע	1919	1934-04-08														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359790	וויינשעלבוים, יוסף	6232-6232								Employment_Performance	artistic_staff	ווי ער האָט אויך רעזשיסירט אייניקע אויפֿפֿירונגען	רעזשיסירט																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359790	וויינשעלבוים, יוסף	6232-6232								Employment_Performance	performer	אַליין געהאַט אַ גרויסן דערפֿאָלג אין שפּילן, אויף יידיש, וויכטיקע ראָלן	שפּילן																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359787	ווייס, ווילהעלם	6232-6232								Employment_Performance	artistic_staff	אַרטיסטישער לייטער פֿון צענגוטס וואָריעטע	אַרטיסטישער לייטער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359789	צוויט, מרדכי	6232-6232								Employment_Performance	performer	"אין 1932 דעביוטירט אַלס „דאָניע“ אין „מירעלע אפרת"" ביי לידיאַ פּאַטאָצקאַ"	אַקטיאָר	1932															
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_48_tr_1756359789	צוויט, מרדכי	6232-6232														טאָשקענט													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_49_tr_1756359774	ציבולעווסקי, יאַנקעוו	6234-6234								Education_Formation	graduate	וועלכע ער ענדיקט אין 1931			1931														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_49_tr_1756359774	ציבולעווסקי, יאַנקעוו	6234-6234								Employment_Performance	performer	"ווערט באָלד דערנאָך אַ מיטגליד אין „מימ""ט“, ווו ער אַרבעט אויף צוויי געביטן: אַלס אַקטיאָר און אַלס געהילף-רעזשיסער"	אַקטיאָר	1931	1945														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_49_tr_1756359774	ציבולעווסקי, יאַנקעוו	6234-6234								Employment_Performance	artistic_staff	"ווערט באָלד דערנאָך אַ מיטגליד אין „מימ""ט“, ווו ער אַרבעט אויף צוויי געביטן: אַלס אַקטיאָר און אַלס געהילף-רעזשיסער"	געהילף-רעזשיסער	1931	1945														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_50_tr_1756359800	קאָלמאַנאָוויטש, לייזער	6235-6238								Employment_Performance	artistic_staff	דערנאָך אַלס דיריגענט פֿון כאָר	דיריגענט פֿון כאָר																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_50_tr_1756359800	קאָלמאַנאָוויטש, לייזער	6235-6238								Employment_Performance	performer	נאָך אַ שטיקל צייט האָט ער זיך אויך דאָ דערשלאָגן צו שפּילן עפּיזאָדן-ראָלן.	עפּיזאָדן-ראָלן																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_50_tr_1756359800	קאָלמאַנאָוויטש, לייזער	6235-6238								Employment_Performance	performer	ווי ער שפּילט די הויפּט-ראָלן.	הויפּט-ראָלן																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_52_tr_1756359809	פֿרידמאַן, ישראל	6239-6239														יאָסי		רומעניע											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_53_tr_1756359804	גויכבערג ישראל	6242-6242								Leadership_Ownership	executive	יאָרנלאַנג אָנגעפירט מיט דער פּעדאַגאָגישער קאָמיסיע ביים שלום-עליכם-פֿאָלקס-אינסטיטוט	אָנגעפירט מיט דער פּעדאַגאָגישער קאָמיסיע																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_55_tr_1756359778	פלאַפּאַן, יעקב	6245-6246								Employment_Performance	artistic_staff	דער איינציקער לערער אין משך פֿון די צוויי יאָר 1933-1344 און דער איינציקער רעזשיסער, וואָס האָט געמאַכט מיט דער סטודיע די ערשטע צוויי אויפֿפֿירונגען	רעזשיסער	1933	1934														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_57_tr_1756359819	רובין, דוד	6249-6249														סיגעט													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_57_tr_1756359819	רובין, דוד	6249-6249														מימישאַראַ													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_tr_1756359798	פידעל, משה	6253-6253								Education_Formation	graduate	וועלכע ער האָט פֿאַרענדיקט ערשט אין 1949			1949														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_tr_1756359795	מילער, בוזי	6253-6253								Education_Formation	graduate	אין 1936, נאָכן פאַרענדיקן דעם אינסטיטוט			1936														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_tr_1756359795	מילער, בוזי	6253-6253								Leadership_Ownership	executive	אַרבעט אַלס שטעל-פאַרטרעטער פון רעדאַקטאָר פון 'ביראָ בידזשאַנער שטערן'	שטעל-פאַרטרעטער פון רעדאַקטאָר																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_tr_1756359795	מילער, בוזי	6253-6253								Production_Distribution	published_by	אין „סאָוועטיש היימלאַנד“ (נ׳ 9, 1969) איז פאַרעפנטלעכט זיין קאָמעדיע			1969														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_tr_1756359795	מילער, בוזי	6253-6253								Production_Distribution	published_by	אין „סאָוועטיש היימלאַנד“ (נ' 7, 1900) איז פאַרעפנטלעכט זיין פּיעסע			1900														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_59_r_5	שערמעל, קלעמענטינאַ (קיילע)	6254-6255								Education_Formation	graduate	נאָכן ענדיקן די קאָנסערוואַטאָריע אין 1950			1950									מאָסל פּאַליאַנסקי אין „נייע פרעסע“, פאַריז, 15 מערץ 1967.					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_60_tr_1756359809	קאָריק, איליאַ	6256-6258								Employment_Performance	performer	באַקומט אויך ביי אים די מעגלעכקייט אויפצוטרעטן אין מאָסן און קליינע גרופן-סצענעס און עפּיזאָדן-ראָלן																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_62_tr_1756359786	וויינשטיין, טשאַרלז	6260-6260								Leadership_Ownership	owner_manager	1927-28, צוזאַמען מיט קאַץ און גרין, מענעדזשער אין גרענד אָפּערע הויז	מענעדזשער	1927	1928														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_62_r_7	ראָטשטיין, סאָלאָמאָן [שלמה]	6260-6261								Employment_Performance	artistic_staff	שלמה ראָטשטיין איז אין דעם זשיגניצאָטעאַטער אַ מענטש פאַר אַלץ	מאָלער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_4	בעקער, סאַשאַ	6262-6262								Leadership_Ownership	owner_manager	סאַשאָ האָט ניט געשפּילט, נאָר אָנגעפֿירט מיט טרופּעס	אָנגעפֿירט																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_4	בעקער, סאַשאַ	6262-6262								Employment_Performance	performer	סאַשאַ, וועלכער איז אויך געווען אַ שוואַרץ-קינסטלער, דורכפֿירן זיינע קונצן	שוואַרץ-קינסטלער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_10	רופּינאָ, ריוואַ [פּאַדאָלסקאַ]	6262-6263								Employment_Performance	performer	"טוט זי אויך פּראַקטישע אַרבעט: ווי „רבקהלע“ אין „גאָט פֿון נקמה"""																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_10	רופּינאָ, ריוואַ [פּאַדאָלסקאַ]	6262-6263														ביראָ-בידזשאַן					1932								
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_10	רופּינאָ, ריוואַ [פּאַדאָלסקאַ]	6262-6263														סאָמאָר קאַנד					1941								
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_63_r_10	רופּינאָ, ריוואַ [פּאַדאָלסקאַ]	6262-6263														טאָשקענט													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_68_r_4	פֿרייליך, ש. [ליטמאן-געלטמאַן]	6272-6276								Employment_Performance	artistic_staff	געווען אויך אַ לערער	לערער											שמואל ראַזשאַנסקי — שטריכען, דאָרט, 6 יוני 1948.					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_68_r_4	פֿרייליך, ש. [ליטמאן-געלטמאַן]	6272-6276								Employment_Performance	employee	ער איז גיך אַריין אין דער טעגלעכער צייטונג „די פרעסע“, ווו ער איז געוואָרן אַ פעליעטאָניסט	פעליעטאָניסט																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_71_r_1	בוכבינדער [?]	6277-6277								Employment_Performance	performer	אין 1893 האָט ער אים געטראָפן אַרומפֿאָרן איבער די שטעטלעך פֿון קאָמענעעץ-פּאָדאָלסק	אַקטיאָר	1893															
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_71_tr_1757228906	אונטערקישער, האַנס	6277-6277								Affiliation_Membership	member	צווישן די מיטגלידער פֿון דייטשן „אוירווינג פלעיס טעאַטער“	מיטגלידער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_71_tr_1757228899	האָפענבערג, הערי	6278-6278								Production_Distribution	produced_by	"קורץ דערויף זיין פּיעסע „פאַר איר שוועסטערס גליק"""		1933										"י. ל. וואהלמאַן — „פריילעכע טעג"" — אַ נייע פּיעסע אין בראַנקסער אָרט טעאַטער, „טאָג“, נ. י., 19 דעצ. 1947."					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_71_tr_1757228899	האָפענבערג, הערי	6278-6278								Production_Distribution	produced_by	דעם 17 יוני 1934 — „די ערשטע נאַכט“		1934-06-17										הערמאַן יאַבלאַקאָוו — „אַרום דער וועלט מיט אידיש טעאַטער“, ניו-יאָָרק, צווייטער באַנד, 1969, זז. 280-279.					
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_71_tr_1757228899	האָפענבערג, הערי	6278-6278								Production_Distribution	produced_by	"דעם 9 יאַנואַר 1934 איז דורך זיי געשפּילט געוואָרן (צום דירעקטאָר ליטמאַנס בענעפיס) ה.'ס פּיעסע „2000 יאָר"""		1934-01-09															
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_73_r_4	בראָדין, מאַקסיס [מאָקס בראָדסקי]	6281-6282																ניי-זעעלאַנד											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_73_r_4	בראָדין, מאַקסיס [מאָקס בראָדסקי]	6281-6282														מעלבאָרן		אויסטראַליע											
