db_id	name_yiddish	org_type	address	linked_cluster_ids	suggested_english	confidence	notes
715	ערשטע קאָאָפּעראַטיווע דראָמע	Theatre		ORG-C06515 | ORG-C01724	First Cooperative Drama	med	Canonical after merge of 716 (deprecated → 715); Yiddish variant added
717	קינדער-ליבהאָבער-קרייז	Theatre		ORG-C05168	Children's Amateur Circle	high	Lit. "children's amateur/lovers' circle"
718	יעקאַטערינאָסלאָווער זומער-טעאַטער „אָבטשעסטוועננאַיע סאָבראניע"	Theatre		ORG-C04915	Yekaterinoslav Summer Theatre "Obshchestvennoe Sobranie"	high	Russian quoted name = "Public Assembly"
719	וויסנשאַפט	Publisher		ORG-C04872	Visnshaft (Wissenschaft) Publishers	med	Likely the Yiddish "Visnshaft" publishing house
720	"יעקאַטערינאָסלאַווער פֿאַראיין פֿון ""סצענישע קונסט-טוער"""	Theatre-Related Society/ Union		ORG-C04860	Yekaterinoslav Society of "Stage Art Workers"	high
721	„דער קעמפער"	Journals/ Newspapers		ORG-C04676	Der Kemfer (The Fighter)	high	Known Yiddish Labor Zionist organ
722	יעקאַטערינאָסלאַווער מוזיק-שול	Education		ORG-C01999	Yekaterinoslav Music School	high
723	כאָר פון חזן יוסף העלער	Musical Organization		ORG-C04562	Choir of Cantor Yosef Heller	high
724	יידישן דראַמאַטישן קרייז	Theatre		ORG-C02913_Q02	Yiddish Dramatic Circle (Rezhitse)	high	QID-split Q02 → Rezhitse / Rēzekne
725	דאָס יידישע באַוועגלעכע דראַמאַטישע טעאַטער	Theatre		ORG-C01787 | ORG-C02772_Q02	The Yiddish Mobile Dramatic Theatre	high
726	דאַנציגער יידישן טעאַטער	Theatre		ORG-C03385 | ORG-C02772_Q02	Danzig Yiddish Theatre	high
730	דאַנציגער לעבען	Journals/ Newspapers		ORG-C01784	Danziger Lebn (Danzig Life)	high
731	דאַנציגער טאָגבלאַט	Journals/ Newspapers		ORG-C01785	Danziger Togblat (Danzig Daily)	high
732	פּרץ-פאַראיין	Trade Union / Professional Association		ORG-C04800	Peretz Society	high	Y. L. Peretz
733	קולטור-בונד-טעאַטער	Theatre		ORG-C02902	Kulturbund Theatre	high	Cultural League theatre
734	פֿרונזער (קירגיזיע) מלוכהשן אָקאַדעמישן אָפּערעטעאַטער	Theatre		ORG-C00313	Frunze (Kyrgyzstan) State Academic Operetta Theatre	high	Frunze = present-day Bishkek
735	קולטור-סענטער	Theatre		ORG-C02422	Culture Center	low	Generic — needs city/affiliation
736	לעמעל-שול	Education		ORG-C04417	Lämel School	high	Famous Jerusalem school
737	"ישיבה „לשכת הרבנים"" אין ירושלים"	Education		ORG-C05317	Yeshiva "Lishkat HaRabbanim" in Jerusalem	high
739	ביקור חולים (ירושלים)	Health Institutions		ORG-C00792_Q01	Bikur Holim Hospital (Jerusalem)	high
741	יתומים-היים פֿאַר מיידלעך	Welfare/Aid Organization		ORG-C03738	Girls' Orphanage	med	Generic — needs location qualifier
742	נאַציאָנאַלן מוזיי אין ירושלים	Heritage Institution		ORG-C00560 | ORG-C02427	National Museum in Jerusalem (Bezalel)	high	Canonical after merge of 740 (deprecated → 742); likely the Bezalel National Museum (est. 1906)
743	"„דראַמקרייז מ. ווינטשעווסקי"""	Theatre		ORG-C00575	M. Vintshevski Drama Circle	high	Named after Morris Winchevsky
745	מינסקער מעלוכעשער יידישער טעאַטער	Theatre		ORG-C01160 | ORG-C07318	Minsk State Yiddish Theatre (BelGOSET)	high	The Belarusian SSR state Yiddish theatre
749	זשיגניצע	Theatre		ORG-C00663 | ORG-C00325 | ORG-C00668 | ORG-C03004 | ORG-C03539 | ORG-C04337 | ORG-C05325	Zhignitse	low	7 cluster IDs suggests confusion — referent unclear; needs investigation
750	די גרויסע שול אין בּוקאַרעסט	Religious Institutions/Organizations		ORG-C04564_Q03 | ORG-C06669	The Great Synagogue in Bucharest	high
751	קעפּיטל-טעאַטער	Theatre		ORG-C06089 | ORG-C00265_Q02 | ORG-C06463	Capitol Theatre	high	Common Yiddish-era venue name
