source_file	row_id	name	original_type	auto_canonical_type	ra_canonical_type	match_status	decided_via	needs_review	count_across_files
organizations_clustered	ORG-C00548	יידישן אַרבעטער קאָמיטעט	organization	Labour	OTHER - elaborate!	disagree	context		3
organizations_clustered	ORG-C00558	וואַרשעווער יידישן ליטעראַטן-פֿאַראיין	union	Society/ Union	Society/ Union	agree	context_weak	yes	1
organizations_clustered	ORG-C00582	יידישער סאַציאָליסטישער אַרבעטער-באַוועגונג	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00114	הזמיר	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00622	"„פאָרווערטס""-אַסאָסייישאָן"	association	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	3
organizations_clustered	ORG-C00650	כאַרקאָווער 'געזקולט'	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00708	שיקאַגער קאָנצערט-ביוראָ	agency	agency	Business	disagree	unresolved	yes	2
organizations_clustered	ORG-C00710	העברעישן קרייז אין אָדעס	club	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00718	יידיש נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד	union	Labour	Society/ Union	disagree	context		15
organizations_clustered	ORG-C00719	פּועלי ציון-צעירי ציון	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00757	ערשטן יידישן געזאַנג-פֿאַראיין	society	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00198	אַרבעטער-רינג	organization	Labour	OTHER - elaborate!	disagree	context		7
organizations_clustered	ORG-C00784	יידישער נאַציאָנאַלער אַרבעטער-פֿאַרבאַנד	organization	Labour	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C00791	סירקולאָ איזראַעליטא	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00792	ביקור חולים	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00813	סאָסייעטי פֿון יידישע קאָמפּאָזיטארס	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00814	צוקונפט פרעס פעדעריישאָן	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00819	אַמעריקאַנער יידישן קאָנגרעס	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C00826	יידישער דראַמאַטורגן-ליג	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C00827	געזעלשאַפט פון יידישע קאָמפּאָזיטאָרן, ליריק-שרייבער און פּאבלישערס	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00831	השומר הצעיר	youth_organization	Education	Society/ Union	disagree	context_weak	yes	3
organizations_clustered	ORG-C00174	צוקונפט	youth_organization	Political bodies	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00843	אינטערנאַציאָנאַלער אַרבעטער-בילדונגס-קלאָב	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00898	יידישעס קולטור-הויז	cultural_center	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00900	ווינער יידישער קולטום-געמיינדע	communal_organization	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00902	יידיש פראָטערנאָלער פאָלקס-אָרדן	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00907	יידישן חברים-פֿאַרבאַנד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01519	יידישן וויסנשאַפֿטלעכן אינסטיטוט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00933	פֿאַראיין „הזמיר“	association	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00936	סטאַטיסטישער עקספּעדיציע	expedition	OTHER - elaborate!		ra_blank	context_weak	yes	2
organizations_clustered	ORG-C00944	האַיאַס	org	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00945	יידישער קאָנגרעס אין אַמעריקע	org	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00946	יידישער וועלט-קאָנגרעס	org	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00950	אָרדן בני ציון	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00953	דהי יונייטער היברן טשאַריטיס	philanthropic society	OTHER - elaborate!		ra_blank	context_weak	yes	2
organizations_clustered	ORG-C00954	רויטן מגן דוד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00955	די ווימענס דזשניש קאָנגרעס אָרגאַניזעישאָן	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00956	יידישן פּאָבליסיטי ביוראָ	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00959	מאָליאַם	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00952	היברו עדיוקעישאָנאָל סאָסייעטי	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C00965	ניו יאָרקער באַאַרד אָוו עדיוקעישאָן	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00966	הדסה	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00967	מאילאַם	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00968	יידישער מוזיק פֿאָרום	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01002	דירעקטאָריום פֿאַר קולטור	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01006	יידישן קלוב	club	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C01007	שלום-עליכם-גאָרטן	cultural_organization	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C01015	יידישן אינטערנאַציאָנאַלן אַרבעטער אָרדן	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01018	וולאַדעק אָפּן-פֿאַרומס	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01024	דזשאינט	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C01068	יוניע לאָקאָל 5	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01081	"פּ""צ-יוגנט-באַוועגונג"	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01082	ציב	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01179	יידישער ראַדיאָ-יוניאָן	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01180	חזנים-פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	4
organizations_clustered	ORG-C01185	על מאַראָקאָ האָטעל	company	Business	Company on Tour	disagree	context		2
organizations_clustered	ORG-C00547	קינדער-וועלט	organization	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01206	מאַנישעוויטש קאָמפּ.	company	Business	Company on Tour	disagree	context		2
organizations_clustered	ORG-C01207	אינדעפּענדענט מאָגעלניצער בענעוואָלענט סאָסייעטי	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01220	דזשואיש וועלפעיר באַאַרד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
organizations_clustered	ORG-C01221	פֿאַרבאַנד פֿון די גאַליציאַנער און בוקאָווינער יידן אין אַמעריקע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00702	לעקסיקאָן פון יידישן טעאַטער	organization	Society/ Union	OTHER - elaborate!	disagree	context		3
organizations_clustered	ORG-C00718	יידיש נאַציאָנאַלן אַרבעטער פֿאַרבאַנד אין לאָס אַנדזשעלעס	union	Labour	Society/ Union	disagree	context		1
organizations_clustered	ORG-C01225	פרץ הירשביין צווייג פֿון פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01234	"ציוניסטישן „זרובבל""-פֿאַראיין"	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01235	היינצל-קוניצער	company	Business	Company on Tour	disagree	context_weak	yes	2
organizations_clustered	ORG-C01245	י. ל. פרץ שרייבער פֿאַראיין	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C01247	יידישן סטודענטן-פאַראיין	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00718	יידישן נאַציאָנאַלן אַרבעטער פאַרבאַנד	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01252	מואָווי-קריטיקער פון דער פרעמד-שפּראַכיקער פּרעסע אין אַמעריקע	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01245	י. ל. פרץ שרייבער-פאַראיין	union	Society/ Union	Society/ Union	agree	context_weak	yes	1
organizations_clustered	ORG-C00718	יידיש נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד	organization	Religious institutions/organizations	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01265	הסתדרות	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	7
organizations_clustered	ORG-C01282	אַמעריקאַנער אַרמעע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C00718	יידיש נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד	organization	Labour	OTHER - elaborate!	disagree	context		4
organizations_clustered	ORG-C01317	לינקער פּועלי ציון פאַרטיי	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C01352	די-יו-עס אַ מיליטערישע קעמפּס	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01354	דר. באַראַטאָוו מצבה-קאָמיטעט	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01355	דוד פינסקי צווייג פֿון פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01356	אַליהו טענענהאַלצס יוביליי-קאָמיטעט	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01357	אסתר הירשביין-שומיאַטשער בוך-קאָמיטעט	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00718	יידיש-נאַציאָנאַלן אַרבעסער פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	1
organizations_clustered	ORG-C01370	יידישער וואָדעווייל-יוניאָן לאָקאָל 5	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01377	יידישן אַקטיאָרן קלוב	club	Amateur	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01381	פּועלי ציון-באַוועגונג	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C01265	הסתדרות	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C01390	מיר שיקאַגאָ	organization	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C00270	יידישע טעאַטריקל עלייענס	organization	Society/ Union	OTHER - elaborate!	disagree	context		5
organizations_clustered	ORG-C00702	לעקסיקאָן פון יידישן טעאַטער	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C01399	ועדת התרבות	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01400	אַסטיודענפֿאַרבאַנד	organization	Religious institutions/organizations	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01402	יידישע קולטור-געזעלשאַפט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01409	מיר שיקאגער	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01417	יידישער הייסטאָריש-עטנאָגראַפישער געזעלשאַפֿט	society	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00067	"ייוו""אָ"	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C00720	יידישן פּען-קלוב	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00970	איקוף	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	7
organizations_clustered	ORG-C00349	פּוילישער אַרמיי	other	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01427	יידישן פּראָפעסיאָנעלן פֿאַראיין	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01442	וו. פ. א.	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00295	קעמפּ בויבעריק	other	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C01447	יידישע קאָמיוניטי סענטערס	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01448	ל. א. יידישן קולטור-קלוב	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01453	"„אויפבוי-פּועלי ציון""-גרופּע"	organization	Political bodies	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C01457	וועסטערן יוניאָן טעלעגראַף קאָמפּאָני	company	Business	Company on Tour	disagree	context		2
organizations_clustered	ORG-C01462	ראַדיאָ גילד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C00702	לעקסיקאָן פון יידישן טעאַטער	committee	Political bodies	Society/ Union	disagree	context_weak	yes	1
organizations_clustered	ORG-C01510	קרן היסוד	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
organizations_clustered	ORG-C01520	אַרבעטער-רינג אַלומני קלובן	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01282	אַמעריקאַנער אַרמיי	union	Society/ Union	Society/ Union	agree	context_weak	yes	1
organizations_clustered	ORG-C01526	יידישן קולטור-קאָנגרעס	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01536	רויטער אַרמיי	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01552	געזעלשאַפֿט פֿאַר יידישער מוזיק	society	Musical organization	Society/ Union	disagree	context		2
organizations_clustered	ORG-C00944	האַיאַס	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	4
organizations_clustered	ORG-C01589	קלוב אויפֿן נאָמען גראָסער	other	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01609	אומלעגאַלער עליה-ביוראָ פֿאַר ישראל	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01623	קולטור-אָפּטיילונג פֿון יידישן קאָמיטעט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01637	העברעישן פֿאַריין	association	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C01653	רעגירונגסאַנשטאַלט	office	Political bodies	Political bodies	agree	context_weak	yes	2
organizations_clustered	ORG-C01657	פירמע מאַכלייד	company	Business	Company on Tour	disagree	context		2
organizations_clustered	ORG-C01664	גרופּע יונגע	literary group	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C01684	האַנטווערקער-קאָאָפּעראַטיוו	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01685	שטאָט-ראַט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01688	טשילדערן דזשעקעט מעיקערס יוניאָן	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01698	ניו יאָרקער גילד פֿאַר יידישע בלינדע	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01699	פּוילישער גערטנערגעזעלשאַפֿט	organization	Society/ Union	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01712	שטאָטישער סי-סייד פֿאַרק אין ניו יאָרק	institution	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C00114	הזמיר	culture society	Musical organization	Society/ Union	disagree	context		1
organizations_clustered	ORG-C01737	קאָמיסיאָריאָט פֿאַר יידישע ענינים	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01753	זאַלצבורגער יידישן צענטראַל-קאָמיטעט	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01754	אונראַ	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	3
organizations_clustered	ORG-C01762	אַרבעטער-קאָמיטעט	committee	Political bodies	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00114	הזמיר	קולטור-געזעלשאַפט	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	1
organizations_clustered	ORG-C01786	טעלעגראַפן-אַמט	office	Political bodies	Political bodies	agree	context_weak	yes	2
organizations_clustered	ORG-C01788	דאַנציגער מאַגיסטראַט	office	Political bodies	Political bodies	agree	context_weak	yes	2
organizations_clustered	ORG-C01732	חברה מפיצי השכלה	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	1
organizations_clustered	ORG-C01793	פּועלי-ציון אָרגאַניזאַציע	organization	Political bodies	OTHER - elaborate!	disagree	context		2
organizations_clustered	ORG-C01799	טשעכאָסלאָוואַקיישן אויטאָרן-פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01824	ברענטש 6 אַרבעטער רינג	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01831	קולטור קלוב	club	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C00825	לאָקאַל 18	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01842	יידישן לעגיאָן	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	5
organizations_clustered	ORG-C01871	באָסטאָן היבריו עקטאָרס יוניאָן	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01885	ליגע פֿאַרן אַרבעטנדיקן א'י	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01900	וואַרשעווער „הזמיר“	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01497	יידישן קולטור צענטער	cultural_center	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	1
organizations_clustered	ORG-C01911	פּאַרטייסאַציאַליסטן-ציוניסטן	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01914	לאָקאָל 156	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01166	לאָקאָל 5	union	Society/ Union	Society/ Union	agree	context_weak	yes	9
organizations_clustered	ORG-C01949	בעלצער קולטור-ליגע	cultural_organization	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	2
organizations_clustered	ORG-C01950	בעלצער קהילה	community organization	OTHER - elaborate!		ra_blank	context_weak	yes	2
organizations_clustered	ORG-C01974	געזעלשאַפֿט פֿאַר דער פֿאַרשפּרייטונג פֿון יידישער קונסט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01989	"לאָדזש 510 פֿון די ""נייטס אָוו פּיטהיאָס"""	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C01993	יידישן נאַציאָנאָל-ראָט	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C01308	פֿאָלקס-פּאַרטיי	organization	Political bodies	OTHER - elaborate!	disagree	context		1
organizations_clustered	ORG-C01998	געזעלשאַפט פאַר יידישע פאָלקס-מוזיק	society	Musical organization	Society/ Union	disagree	context		2
organizations_clustered	ORG-C01402	יידישע קולטור-געזעלשאַפט	society	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	1
organizations_clustered	ORG-C02017	סאָוויעטישן קינסטלער-פֿאַרבאַנד	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C02026	ענגלישער ציוניסטישער פעדעראַציע	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C02029	פּראָגרעסיוו סיגאַרמעיקערס יוניאָן אָוו אַמעריקאַ	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C02030	פֿאַראייניקטע יידישע געווערקשאַפטן אין שיקאַגע	union	Society/ Union	Society/ Union	agree	context_weak	yes	1
organizations_clustered	ORG-C02032	לינקער פֿוטער (פֿאַריערס) אַרבעטער-יוניאָן	union	Labour	Society/ Union	disagree	context		2
organizations_clustered	ORG-C02035	פּראָלעטפּען	union	Society/ Union	Society/ Union	agree	context_weak	yes	3
organizations_clustered	ORG-C02037	יידישן פֿראַטערנאָלן פֿאָלקס-אָרדן	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C02039	מינסקער צעך-פֿאַרוואַלטונג	union	Society/ Union	Society/ Union	agree	context_weak	yes	2
organizations_clustered	ORG-C02063	"וואַרשעווער „לינת הצדק"""	organization	OTHER - elaborate!	OTHER - elaborate!	agree	context_weak	yes	2
organizations_clustered	ORG-C02069	די יונגע	literary group	OTHER - elaborate!	Society/ Union	disagree	context_weak	yes	1
