db_id	name	name_yiddish	n_clusters	n_sents	cluster_ids	text_source	tags	confidence	evidence	review_flags	source
214	David Shvartbard Troupe		1	2	ORG-C05350	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
233	E. Relkin Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
240	Esther Vaksman Troupe		1	1	ORG-C06827	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
241	Fanny Vaksman Troupe		1	4	ORG-C02921	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
242	Feldman Troupe		1	4	ORG-C00031	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
243	Filipesko Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
244	Finkel, Feinman and Mogulesko's Troupe		3	3	ORG-C05372 | ORG-C06031 | ORG-C07015	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Feinman and Mogulesko» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
254	Genfer Troupe	גענפערס טרופּע	8	47	ORG-C00030 | ORG-C00577 | ORG-C01859 | ORG-C02900 | ORG-C03612 | ORG-C04965 | ORG-C05096 | ORG-C06301	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
255	George Beker Troupe		1	1	ORG-C04912	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
258	Gleichman Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
259	Glickman and Michalesko Troupe		0	0		none	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Glickman and Michalesko» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
262	Golubok Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
266	Habima		1	32	ORG-C00276	linked	Zionist Company | Impresario Company	medium	Zionist Company ⟵ «העברעא» [low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
285	Isidor Hollander Troupe		3	7	ORG-C03894 | ORG-C03896 | ORG-C06238	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
288	Jacob Gertner Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
290	Jacob Silbert Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
291	Jacob Spivakovski Troupe		1	1	ORG-C04011	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
292	Joseph Kessler Troupe (star tour)		3	3	ORG-C02920 | ORG-C05712 | ORG-C05852	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
293	Julius Adler and H. Serotsky Troupe		4	8	ORG-C00630 | ORG-C02683 | ORG-C02851 | ORG-C05380	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
294	Julius Nathanson Troupe		3	5	ORG-C00678 | ORG-C06150 | ORG-C06710	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
295	Kalmen Juvelier's Theatre Troupe	יאָווילער-טרופּע	2	4	ORG-C04191 | ORG-C05660	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
298	Karl Zilberman, Max Kurtz, Harry Feinberg, Gazovski and Aba Rosenzweig Toupe		0	0		none	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Gazovski and Aba» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
299	Keni Lipzin Troupe (star tour)		2	28	ORG-C00156 | ORG-C05766	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
300	Khayim Abramovitsh Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
303	Kopilov Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
304	Krause-Spivakovski Troupe		5	6	ORG-C01141 | ORG-C03944 | ORG-C05391 | ORG-C06156 | ORG-C06815	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Krause-Spivakovski» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
309	Lazar Bernstein Troupe		4	7	ORG-C01585 | ORG-C03480 | ORG-C05235 | ORG-C05816	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
311	Lempkovitsh Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
312	Leon Berger Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
314	Levitan Troupe		1	1	ORG-C05817	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
317	Lidia Potocka's Tour		1	2	ORG-C03522	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
327	M.D. Waxman Troupe		4	18	ORG-C00629 | ORG-C04653 | ORG-C05122 | ORG-C05721	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
329	Meerson and Sam Adler Troupe		2	2	ORG-C02432 | ORG-C05803	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Meerson and Sam» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
331	Mendl Elkin's Children Theatre Studio		0	0		none	Children's Company | Impresario Company	high	Children's Company ⟵ «Children» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
333	Michalesko guest-starring Troupe		3	3	ORG-C03034 | ORG-C04588 | ORG-C06644	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
334	Mike Thomashefsky Troupe		4	27	ORG-C01764 | ORG-C02320 | ORG-C05764 | ORG-C06737	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
335	Mitelman, Baran and Gizets Troupe		1	1	ORG-C06826	linked	Ad Hoc Company | Kleinkunst / Revue / Cabaret Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Baran and Gizets» [text-low] ; Kleinkunst / Revue / Cabaret Company ⟵ «קוואַרטעט» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
336	Mitleman Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
340	Morris Akselrad Troupe		2	29	ORG-C00045 | ORG-C00733	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
341	Moscow State Jewish Theatre		1	1	ORG-C00998	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
342	Moshe Schorr Troupe		4	4	ORG-C01634 | ORG-C03872 | ORG-C05067 | ORG-C06807	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
343	Moshkovich troupe		2	3	ORG-C05957 | ORG-C02977	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
355	Oriental Operetta Society		0	0		none	Operetta / Opera Company | Impresario Company	high	Operetta / Opera Company ⟵ «Operet» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
366	Rabinovitsh Troupe		3	4	ORG-C00027 | ORG-C01594 | ORG-C06873	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
367	Rappel Troupe		1	1	ORG-C05799	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
372	Rumenish-yidish teater under the direction of Izak Libresko and Leon Berger		0	0		none	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Libresko and Leon» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
374	Sam Adler and Kaminski Troupe		1	1	ORG-C05508	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Adler and Kaminski» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
377	Sam Dayen Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
378	Samolesko Troupe		2	8	ORG-C06837 | ORG-C01080	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
379	Sam Wallerstein Troupe		2	3	ORG-C03953 | ORG-C05974	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
382	Serotsky and Weissman Troupe		1	1	ORG-C03965	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Serotsky and Weissman» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
388	Sniegoff Troupe		1	1	ORG-C03676	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
390	Spivakovski and Weinstock Troupe		0	0		none	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Spivakovski and Weinstock» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
391	Spivakovski Troupe		3	14	ORG-C01671 | ORG-C00042 | ORG-C05796	linked	Kleinkunst / Revue / Cabaret Company | Impresario Company	high	Kleinkunst / Revue / Cabaret Company ⟵ «קוואַרטעט» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
392	Spivakovsky and Sh. Krause Troupe		0	0		none	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Spivakovsky and Sh» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
414	The Vilna Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
415	The Vilna Troupe (Azro/Alomis branch)		2	2	ORG-C04294 | ORG-C06502	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
417	The Yiddish Art Theatre (as company on tour)		3	6	ORG-C02978 | ORG-C04175 | ORG-C05368	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
423	Tshistogorski troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
424	Tsimerman Theatre		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
428	Vaksman-Spivakovski Troupe		1	1	ORG-C03966	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Vaksman-Spivakovski» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
431	Vaynshtoks, Vaynshtayns, and Goldschmidt Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
433	Vikt		2	47	ORG-C00191 | ORG-C00880	linked	Cooperative Company	high	Cooperative Company ⟵ «קאָלעקטיוו» [text]		Claude-draft
434	Vilna Yiddish State Theatre		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
435	Vilner Operetta	ווילנער אָפּערעטע	5	16	ORG-C02817 | ORG-C02088 | ORG-C02720 | ORG-C02761 | ORG-C04363	linked	Operetta / Opera Company | Impresario Company	high	Operetta / Opera Company ⟵ «אָפּערעט» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
438	Weinstock-Schorr Troupe		1	1	ORG-C06561	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Weinstock-Schorr» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
440	Wolgeschaffen Troupe		2	2	ORG-C05444 | ORG-C05914	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
451	Yosef Goldshmidt Troupe		0	0		none	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
452	Yosef Vaynshtok Troupe		1	1	ORG-C02668	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
453	Yosef Veynshtok and Leon Berger Troupe		1	1	ORG-C06880	linked	Ad Hoc Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «Veynshtok and Leon» [text-low] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
457	Zayderman Troupe		1	1	ORG-C00231	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
467	בלויען פויגל		3	50	ORG-C00005 | ORG-C00006 | ORG-C00151	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
468	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	1	1	ORG-C00009	linked	Children's Company | Cooperative Company	high	Children's Company ⟵ «קינדער» [text] ; Cooperative Company ⟵ «קאָלעקטיוו» [text]		Claude-draft
470	שוואַרצבאַרדס טרופּע	שוואַרצבאַרדן	2	2	ORG-C00011 | ORG-C01123	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
477	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ		1	1	ORG-C00014	linked	Ad Hoc Company | Cooperative Company | Family Company	medium	Ad Hoc Company ⟵ joined names «אסתר-רחל» [text-low] ; Cooperative Company ⟵ «קאָלעקטיוו» [text] ; Family Company ⟵ known family: Kaminski [knowledge]		Claude-draft
492	יידל גאָלדפאַדנס טרופּע	יידל גאָלדפאַדנס טרופּע	2	4	ORG-C00046 | ORG-C06068	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
503	צאָלמאַן	צאָלמאַנען	5	18	ORG-C03322 | ORG-C01046 | ORG-C01178 | ORG-C03159 | ORG-C05937	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
511	"""וויסקאָנסין פלעיערס"""		1	1	ORG-C07428	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
521	כאַרבינער טרופּע		1	1	ORG-C01126	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
523	טרופּע פֿון טרילינג		1	1	ORG-C04338	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
524	וואָנדערטרופּע		2	6	ORG-C02637 | ORG-C02605	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
542	טרופּע פֿון געליס		1	4	ORG-C00082	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
551	ווילנער טרופּע		1	178	ORG-C00103	linked	Cooperative Company	high	Cooperative Company ⟵ «קאָלעקטיוו» [text]	maybe German-Jewish? (tours «ווין») — needs Ruthie	Claude-draft
554	די לאָדזשער טרופּע		1	2	ORG-C01655	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
559	ראָזענזאַלס טרופּע		1	1	ORG-C02175	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
563	טרופּע פֿון קאָרש-טעאַטער		1	1	ORG-C04209	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
579	נענקערס טרופּע		1	1	ORG-C05551	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
582	ראָזענבלומס טרופּע		3	5	ORG-C07086 | ORG-C01079 | ORG-C03495	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
583	זינלערס טרופּע		1	1	ORG-C06137	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
610	בעקערס טרופּע		4	6	ORG-C02431 | ORG-C04426 | ORG-C05943 | ORG-C06608	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
617	יאָזעף קעסלערס טרופע		1	17	ORG-C00664	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]	maybe German-Jewish? (tours «בערלין») — needs Ruthie	Claude-draft
625	קינדער-טרופּע		1	3	ORG-C01628	linked	Children's Company | Impresario Company	high	Children's Company ⟵ «קינדער» [text] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
629	שאַראַוונערס טרופּע	שאַראָוונער'ס טרופּעס	7	16	ORG-C02887 | ORG-C00496 | ORG-C00689 | ORG-C05095 | ORG-C05433 | ORG-C05794 | ORG-C06918	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
661	בערנשטייןס טרופּע	בערנשטייןס טרופּע	2	11	ORG-C00495 | ORG-C04666	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
678	טרופּע פֿון אַטלאַס	טרופּע פֿון אַטלאַס	1	1	ORG-C07272	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
680	נוזיק	נוזיק	1	1	ORG-C00138	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
685	ראָזענבערגס טרופּע	ראָזענבערגס טרופּע	3	5	ORG-C05322 | ORG-C05419 | ORG-C05911	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
756	לאַנצמאַןס טרוּפּע	לאַנצמאַןס טרוּפּע	3	5	ORG-C04220 | ORG-C04211 | ORG-C05717	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
757	טרופּע פֿון יאָנג	טרופּע פֿון יאָנג	1	1	ORG-C06846	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
760	אַדלער-סיעראָצקי	אַדלער-סיעראָצקי	1	8	ORG-C01172	linked	Ad Hoc Company | Star Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «דלער-סיערא» [text-low] ; Star Company ⟵ known star: Adler [knowledge] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
761	גלימער	גלימער	3	9	ORG-C01630 | ORG-C02272 | ORG-C03024	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
762	קלאַראַ יאָנגס טרופּע	קלאַראַ יאָנגס טרופּע	2	6	ORG-C04026 | ORG-C04182	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
764	יאָנאַס טורקאָווס טרופּע	יאָנאַס טורקאָווס טרופּע	2	5	ORG-C02678 | ORG-C06486	linked	Family Company | Star Company | Impresario Company	medium	Family Company ⟵ known family: Turkow [knowledge] ; Star Company ⟵ known star: Turkow [knowledge] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
765	טאַנענצאַפּס טרופּע	טאַנענצאַפּס טרופּע	1	1	ORG-C02773	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
767	טרופּע פֿון ראָטשטיין	טרופּע פֿון ראָטשטיין	2	6	ORG-C00140 | ORG-C02719	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
768	טרופּע פון שטשערבאַקאָוו	טרופּע פון שטשערבאַקאָוו	1	3	ORG-C00139	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
769	טרופּע פֿון קופּערמאַן	טרופּע פֿון קופּערמאַן	3	6	ORG-C02853 | ORG-C02645 | ORG-C05512	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
770	י. י. לערנערס טרופּע	י. י. לערנערס טרופּע	3	6	ORG-C02211 | ORG-C04419 | ORG-C06677	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
772	זעליג שאָרס טרופּע	זעליג שאָרס טרופּע	2	5	ORG-C03499 | ORG-C01716	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
773	בורשטייןס טרופּע	בורשטייןס טרופּע	2	3	ORG-C04282 | ORG-C01896	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
774	ברייטמאַןס טרופּע	ברייטמאַןס טרופּע	3	3	ORG-C04063 | ORG-C04918 | ORG-C06406	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
775	טרופּע פֿון פישזאָן און ספּיוואַקאָווסקי	טרופּע פֿון פישזאָן און ספּיוואַקאָווסקי	2	4	ORG-C01514 | ORG-C05364	linked	Ad Hoc Company | Star Company | Impresario Company	medium	Ad Hoc Company ⟵ joined names «פישזאָן און ספּיוואַקאָווסקי» [text-low] ; Star Company ⟵ known star: Fishzon [knowledge] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
788	זילבערטס טרופּע	זילבערטס טרופּע	2	2	ORG-C06008 | ORG-C06447	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
789	טרופּע פֿון בערמאַן	טרופּע פֿון בערמאַן	2	3	ORG-C01449 | ORG-C04128	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
791	גערמאָזס טרופּע	גערמאָזס טרופּע	1	1	ORG-C06237	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
792	קאָליךס טרופּע	קאָליךס טרופּע	1	1	ORG-C05178	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
793	לאַטיינערס טרופּע	לאַטיינערס טרופּע	1	1	ORG-C04568	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
794	משה ליפּמאָןס טרופּע	משה ליפּמאָןס טרופּע	3	7	ORG-C04966 | ORG-C01745 | ORG-C02277	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
802	מאַרעניאָףס טרופּע	מאַרעניאָףס טרופּע	1	1	ORG-C04907	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
803	י. קעסלערס טרופּע	י. קעסלערס טרופּע	2	5	ORG-C04102 | ORG-C06458	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
804	לאַרגמאַןס טרופּע	לאַרגמאַןס טרופּע	1	1	ORG-C04641	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
805	פינקעלס טרופּע	פינקעלס טרופּע	2	6	ORG-C04569 | ORG-C04749	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
806	קרילאָווס טרופּע	קרילאָווס טרופּע	1	1	ORG-C05145	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
807	פּאָלאָסט-טעאַטער	פּאָלאָסט-טעאַטער	1	1	ORG-C06217	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]	maybe German-Jewish? (tours «בערלין») — needs Ruthie	Claude-draft
808	בעזמאַנס טרופּע	בעזמאַנס טרופּע	4	4	ORG-C07132 | ORG-C05548 | ORG-C06794 | ORG-C06871	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
811	יוליוס אַדלערס טרופּע	יוליוס אַדלערס טרופּע	3	20	ORG-C00585 | ORG-C01122 | ORG-C05703	linked	Star Company | Impresario Company	medium	Star Company ⟵ known star: Adler [knowledge] ; Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
812	הערשל צוקערבערג	הערשל צוקערבערג	1	3	ORG-C04043	linked	Impresario Company	low (base only)	Impresario Company ⟵ base: eponymous manager-led troupe [base]		Claude-draft
