cluster_id	canonical_yiddish	org_type	n_person_edges	n_distinct_persons	top_edge_types	n_located_in	places_en	sample_persons	cluster_size	existing_review_status
ORG-C01286_Q01	אַקטיאָרן-יוניע	union	32	25	member_of:18|executive_of:6|delegate_of:3|founded:3|performed_with:2	2	New York City|United States	הענריעטאַ דזשייקאַבּסאָן(2052)|יעקב אַדלער (יעקב בּן פּנחס)(706)|איזאַ קרעמער(3489)	25	in_review_file_no_decision
ORG-C00741_Q01	האָי-סקול	school	27	25	studied_at:21|graduated_from:4|founded:1|performed_with:1	1	Chicago	דעיוו לוּבּריצקי (דוד)(2351)|אַרטוּר טרייסי(3085)|איזידאָר לעווענשטיין (אפרים-יצחק)(2253)	25	decision=DESCRIPTIVE
ORG-C00101	יידישע בינע	theatre	28	24	performed_with:17|staff_of:4|work_produced_by:3|employed_by:2|affiliated_with:1|founded:1	12	Vienna|Włocławek|Łódź|Mohyliv-Podilskyi|Melbourne|Riga|Philadelphia|United States|Australia|Austria|Poland|Romania	הערמאַן שטיפט (הירש-פּרץ)(3798)|דוד-משה הערמאַלין(1984)|שמחה וויינשטאָק(3231)	25	decision=DESCRIPTIVE
ORG-C02849_Q01	יידישן מלוכהטעאַטער אין פּוילן	theatre	26	24	performed_with:10|member_of:6|work_published_by:3|employed_by:2|work_produced_by:2|executive_of:1|managed:1|founded:1	2	Poland|Ukraine	חיהלע אָש (פֿורמאַן)(P-5-facs_604_tr_1739220749)|פֿויסטיילניק,(P-5-facs_593_r_13)|יעקב רייזפעדער(2755)	24	decision=SPLIT
ORG-C00164	ווימ'ט	theatre	28	22	performed_with:14|staff_of:7|member_of:4|work_produced_by:2|studied_at:1	1	Homelʹ (Belarus)	א. גערמאַן(1744)|נעכאָמע זאַלצמאַן(3342)|אַלעקסאַנדער מאׇגילעווסקי (סאָלאָמאָן)(2497)	22	in_review_file_no_decision
ORG-C00718_Q01	יידיש נאַציאָנאַלן אַרבעטער-פֿאַרבאַנד	union	24	22	performed_with:9|member_of:6|executive_of:3|founded:2|delegate_of:2|employed_by:2	1	United States	שמואל בריינין(P-6-facs_650_tr_1747931535)|פּינסקי, דוד(P-3-facs_92_r)|עמאַ שעיווער-לאַזאַראָוו(3493)	22	in_review_file_no_decision
ORG-C00167	ליבהאָבער	theatre	25	21	performed_with:13|staff_of:7|work_produced_by:3|managed:1|member_of:1	15	Odesa|Otwock|Baku|Bălți|Homelʹ (Belarus)|Warsaw|Vilnius|Winnipeg|Vinnytsia|Tashkent|Łódź|New York City|Poland|Ukraine|Canada	טראָסבערג, משה(P-3-facs_353_r_2)|סלאַוואַ עסטרין(1595)|מאַיר אייזענבערג(1554)	23	decision=DESCRIPTIVE
ORG-C00988	ברוקלינער ליריק-טעאַטער	theatre	27	20	performed_with:15|work_produced_by:7|managed:4|staff_of:1	3	Brooklyn|Brookline (Mass.)|United States	בּערל בּאָטוויניק(1366)|לעאָן כאַראַז(1441)|שיינע-רחל סימקאָף (זאַמקאָוו)(2884)	20	decision=ALIGN; aligned_db_id=176
ORG-C00190_Q01	פֿאָלקסבינע (ניו יאָרק)	theatre	26	20	work_produced_by:8|staff_of:7|performed_with:7|member_of:2|executive_of:1|founded:1	2	New York City|United States	בערנאַרד סאַוער (בערל זאַבלאָצקי)(2838)|אברהם רייזען(3654)|לייבּ קאַדיסאָן (שוסטער)(3808)	20	in_review_file_no_decision
ORG-C00114_Q01	הזמיר	troupe	22	20	performed_with:11|member_of:8|staff_of:2|founded:1	3	Warsaw|typhlosole|Poland	אברהם טייעלבּוים (שלום, סעם)(3061)|משה שולווייס(2954)|נחום סטוּטשקאָוו (סטוּטשקאָ)(3037)	21	decision=SPLIT
ORG-C03902_Q01	געביל	theatre	21	19	performed_with:13|staff_of:4|work_produced_by:3|managed:1	2	New York City|United States	ליזאַ טוּכמאַן (קיידאַן)(3115)|אהרן וואָלפסזאָהן האַללע(3277)|בּערל בּערנאַרד (טאָפּ)(1282)	20	in_review_file_no_decision
ORG-C03990	דיא וואַרהייט	newspaper	20	18	employed_by:15|staff_of:1|managed:1|delegate_of:1|founded:1|executive_of:1	3	New York City|Philadelphia|United States	יונה ספּיוואַק (רומעניע)(3018)|ליליפּוט (גבריאל-הירש קרעטשמער)(2301)|אליהוּ טענענהאָלץ(813)	18	decision=DEFER
ORG-C05162	יידישער טרופּע	troupe	19	16	performed_with:7|managed:6|founded:3|staff_of:2|executive_of:1	15	Johannesburg|Kropyvnytskyi|Harbin|London|Lublin|Liepāja|Montreal|Minsk|Slonim|41xx steel|Cairo|South Africa|Belarus|Israel|England	קעני ליפצין (סאַכאַר קריינע סאָניעס)(762)|יאַריכאָווסקי, אַליהו-זלמן(P-2-facs_74_r_3)|אייק מיטניק(2493)	19	decision=DESCRIPTIVE
ORG-C04286	גאָלדפֿאַדען	troupe	19	15	performed_with:13|staff_of:5|studied_at:1	3	Odesa|Bucharest|Romania	לעאָן בּערגער(1264)|דר. וויינבּערג(3149)|בּעטי ווינאָוויטש(3187)	15	decision=ALIGN; aligned_db_id=42
ORG-C00939	המליץ	newspaper	15	15	employed_by:13|work_published_by:2	0		"גרשון-חיים לעוונער(2270)|שמ""ר (שייקעוויטש נחום-מאיר)(843)|ישראל-מעיר וואָהלמאַן(3273)"	15	in_review_file_no_decision
ORG-C01757_Q01	אָריענטאַל טעאַטער	theatre	15	14	performed_with:10|staff_of:2|founded:1|work_produced_by:1|managed:1	2	New York City|United States	משה היינע-חיימאָוויטש(702)|משה סימאָנאָף(720)|סאָניאַ בּאַראָדקין(719)	14	in_review_file_no_decision
ORG-C03694_Q01	אוניווערזיטעט	school	15	14	graduated_from:8|studied_at:6|performed_with:1	2	Vienna|Saratov (Russia)	מיכאל ווייכערט(3211)|עדיט האָראָוויץ-זילבערמאַן(2034)|דוד רובין(2804)	14	decision=SPLIT
ORG-C00726	דראַמאַטישע קונסט	theatre_society	20	13	performed_with:6|founded:4|staff_of:4|executive_of:2|work_produced_by:2|member_of:1|delegate_of:1	3	Łódź|London|Pabianice (Poland)	מארק ארנשטיין (אַנדזשעי מאַרק)(995)|שלום-יעקב אַבראַמאָוויטש(3469)|סעמיועל גאָלדעבּורג (שלום גאָלדשטיין)(1829)	14	in_review_file_no_decision
ORG-C00727_Q01	אַרטיסטן-פאַריין	union	16	13	member_of:9|delegate_of:4|executive_of:2|founded:1	2	Warsaw|Poland	זלמן-לייבּ הירשפעלד(2004)|זשאַק לעווי(2271)|שלמה קוטנער(3551)	13	in_review_file_no_decision
ORG-C01166_Q01	לאָקאָל 5	union	15	13	member_of:7|delegate_of:3|executive_of:3|founded:2	1	United States	אייבּי גראס(1915)|דזשאָן ווייס (יוסף-לייב)(3164)|נייטאן ראָזענטאַל (נחום)(790)	13	in_review_file_no_decision
ORG-C00459_Q01	תלמוד-תורה	school	13	13	studied_at:11|employed_by:1|graduated_from:1	2	Częstochowa|Poland	רוט זאַהאַוואַ (גאָלדשטיין)(3335)|יאַנקעוו גאָלמאַןַ(1860)|בערנאַרד פֿייטעק(P-5-facs_607_tr_1739222283)	13	decision=SPLIT
ORG-C01323_Q01	פּאָבליק און האָי-סקול	school	13	13	graduated_from:8|studied_at:5	1	United States	רוט זאַהאַוואַ (גאָלדשטיין)(3335)|הענריעטאַ דזשייקאַבּסאָן(2052)|טשאַרלס גראָלל(1909)	13	in_review_file_no_decision
ORG-C02116_Q01	אָדעאָן-טעאַטער	theatre	13	13	performed_with:8|work_produced_by:3|managed:1|staff_of:1	2	New York City|United States	דזשייקאָב דזשייקאָבּס (יעקב יאַקובּאָוויטש)(902)|ליזאַ טוּכמאַן (קיידאַן)(3115)|משה ריכטער(3491)	13	in_review_file_no_decision
ORG-C02576_Q01	יידישע דראַמאַטישע שול	school	20	12	graduated_from:5|staff_of:5|studied_at:4|founded:4|work_produced_by:1|affiliated_with:1	3	Warsaw|Copenhagen|Poland	"""יידישע דראַמאַטישע שול""(P-2-facs_79_r_5)|""יידישע טעאַטער-סטודיע"".(P-2-facs_81_tr_1744131370)|צבי סקוּלער(2869)"	12	in_review_file_no_decision
ORG-C00211	יידישע באַנדע	theatre	16	12	performed_with:9|founded:4|managed:2|staff_of:1	4	Kalisz|Lithuania|Poland|United States	זלמן ליבגאׇלד(2292)|ראָזאַ גאזעל (פאזניאק)(1731)|לעאָן ליבגאָלד(2291)	12	in_review_file_no_decision
ORG-C00594	בראַנקס אַרט טעאַטער	theatre	14	12	performed_with:11|staff_of:2|managed:1	1	United States	יוסף שעהנגאָלד(3622)|דזשאַנעט פּאַסקעוויטש(2619)|עדוואַרד פרידלענדער(1699)	12	in_review_file_no_decision
ORG-C00877_Q01	סמבטיון	theatre	12	12	performed_with:5|staff_of:4|managed:2|founded:1	1	Poland	שלמה פּריזאַמענט(2706)|רעגינע הערצלין(1993)|משה קארפּינאָוויטש(3549)	12	in_review_file_no_decision
ORG-C01133_Q01	ישיבה	school	12	12	studied_at:12	2	Cluj-Napoca (Romania)|Hungary	טשאַרלז וויינשטיין(3228)|א גראָדנער(1907)|נחום שטערנהיים(3566)	12	decision=SPLIT
ORG-C01387_Q02	יידישן טעאַטער	theatre	15	11	performed_with:3|employed_by:3|managed:3|work_published_by:2|delegate_of:1|work_produced_by:1|member_of:1|executive_of:1	2	Warsaw|Poland	מיכאל ווייכערט(3211)|העריס סטאַמבּולקא(3020)|דוד שוואַרצבּאַרד(2958)	11	in_review_file_no_decision
ORG-C00986_Q01	קאָלאָמביאַ-טעאַטער	theatre	14	11	performed_with:9|managed:3|work_produced_by:1|staff_of:1	2	Philadelphia|United States	סעם קעסטין(2090)|בּעני זיידמאַן(3361)|נייטאן ראָזענטאַל (נחום)(790)	11	in_review_file_no_decision
ORG-C01387_Q03	יידישן טעאַטער	theatre	13	11	performed_with:12|staff_of:1	2	London|England	ראָזאַ סאַנדלער(2832)|בּערנאַרד ווילענסקי(3262)|חיים-יוסף קיימאַן(2103)	11	in_review_file_no_decision
ORG-C01203	קונדס	newspaper	12	11	employed_by:10|managed:1|work_published_by:1	0		הערי לאַנדמאַן(2193)|זוּני מאוד (מועד)(2421)|אַברהם אייסען(1552)	11	in_review_file_no_decision
ORG-C00441_Q01	פּוילישן טעאַטער	theatre	11	11	performed_with:10|employed_by:1	1	Lviv	לעאָן ליאָנעק(3023)|צילע אשכנזי (פעפער)(1189)|רוזשא פוקס(1713)	11	in_review_file_no_decision
ORG-C00295	קעמפּ בויבעריק	school	11	11	performed_with:6|staff_of:3|managed:1|employed_by:1	1	United States	א. לייב (אברהם-מרדכי)(2273)|פלאָראַ פריימאַן(1685)|אברהם זיגעלבוים(3438)	11	in_review_file_no_decision
ORG-C01316	גרויסן טעאַטער	theatre	14	10	performed_with:8|managed:4|staff_of:1|executive_of:1	4	Odesa|Warsaw|Łódź|Poland	זמרה זעליגפעלד(3445)|סאָפיא אַפּטייקער (שרה פריינד)(1168)|פּעפּי ליטמאַן (פּעשע קאַהאַנע)(2329)	11	decision=SPLIT
ORG-C01463_Q01	קליינעם בונד	political organization	12	10	member_of:10|founded:1|delegate_of:1	1	Baranavichy	אַברהם עדעלמאַן(P-4-facs_664_tr_1755030050)|נעמי נאַטאַן(2541)|שמואל-ניסן גאָדינער(3502)	11	in_review_file_no_decision
ORG-C01692_Q01	פּיפּלס מוזיק-האָל	theatre	12	10	performed_with:9|staff_of:3	2	New York City|United States	יצחק לעש (איזידאׇר לעשטשינסקי)(2203)|בּערטא האַרט (מאַהלער)(1975)|דעיוו סאַמאָלעסקאָ(2826)	10	in_review_file_no_decision
ORG-C01879_Q01	איציקל גאָלדענבערג	troupe	11	10	performed_with:9|employed_by:1|staff_of:1	2	Bucharest|Romania	פּעטער אַמאַטין (פּסח גאָלדבּערג)(1152)|ראָזע פרידמאַן(1706)|גוטמאַן, חיים(P-1-facs_251_tr_1741260232)	10	in_review_file_no_decision
ORG-C01280	קאָאָפּעראַטיווער טרופּע	troupe	11	10	performed_with:8|founded:2|member_of:1	7	Homel|Warsaw|Harbin|Montreal|Kraków|Rosario|Argentina	נחמן זיבּעל(3387)|פייגע לעוואַנדאָ (לעווין)(2247)|לעאָן ליבגאָלד(2291)	11	decision=DESCRIPTIVE
ORG-C00424	וואָלאָזשינער ישיבה	school	10	10	studied_at:10	1	Valozhyn	"אברהם ניימאַן (בּאַראַקאַן)(3809)|יהואש (שלמה בּלומגאַרטען)(3307)|שמ""ר (שייקעוויטש נחום-מאיר)(843)"	10	in_review_file_no_decision
ORG-C01282	אַמעריקאַנער אַרמיי	military	10	10	member_of:7|employed_by:2|performed_with:1	1	France	לעאָן ליבגאָלד(2291)|שמואל קאַרפּמאַן(P-4-facs_668_tr_1755029972)|עדוואַרד פרידלענדער(1699)	10	in_review_file_no_decision
ORG-C02030_Q01	פֿאַראייניקטע יידישע געווערקשאַפטן	union	10	10	executive_of:3|delegate_of:3|member_of:2|founded:2	2	Chicago|United States	ראובן יוקלסאָן(3319)|משה סימאָנאָף(720)|ה. לאַנג(2198)	10	in_review_file_no_decision
ORG-C02322	פּערהיפט	theatre	24	9	performed_with:11|staff_of:6|work_produced_by:2|member_of:2|delegate_of:2|founded:1	2	Milwaukee|United States	הענרי לערנער(P-4-facs_659_tr_1755030151)|אַלעקס שניידמאַן(P-4-facs_651_tr_1755030222)|חיים וויינשל(P-4-facs_657_tr_1755030211)	9	in_review_file_no_decision
ORG-C02161_Q01	ווינער יידישן טעאַטער	theatre	16	9	performed_with:9|staff_of:4|managed:2|work_produced_by:1	2	Vienna|Austria	לעאָן גראַף(1884)|בּנימין עפּשטיין(1578)|הערמאַן ויינבּערג(3215)	11	in_review_file_no_decision
ORG-C01387_Q04	יידישן טעאַטער	theatre	14	9	performed_with:6|staff_of:6|member_of:1|employed_by:1	2	New York City|United States	משה נעסטאָר(2556)|מעיט און גראָפּער(P-2-facs_279_r_2)|מענדל פּעטרושקאַ(P-4-facs_666_tr_1755030166)	9	in_review_file_no_decision
ORG-C00970_Q01	איקוף	organization	12	9	executive_of:4|work_published_by:4|member_of:2|founded:1|employed_by:1	3	New York City|United States|Belgium	לעאָן קאָברין(975)|שמואל-ניסן גאָדינער(3502)|נתן פֿודעמבערג(P-6-facs_652_tr_1747931529)	9	in_review_file_no_decision
ORG-C00066_Q01	די פּרעסע	newspaper	12	9	employed_by:6|work_published_by:4|executive_of:1|staff_of:1	2	Buenos Aires|Argentina	בן-ציון פּאָליפּאַדע(2678)|איטשע בּידערמאַן(1299)|ל. מלאך (לייבּל זאַלצמאַן)(2375)	9	in_review_file_no_decision
ORG-C02304	קול מבשר	newspaper	12	9	employed_by:8|work_published_by:3|managed:1	0		יוסף-יהוּדה לערנער(2241)|ג. אַבּראַמסקי(1112)|שלום-יעקב אַבראַמאָוויטש(3469)	9	in_review_file_no_decision
ORG-C00322	גרענד אָפּערע הויז	theatre	11	9	managed:8|performed_with:2|work_produced_by:1	2	Boston|New Haven (Conn.)	מאלי פּיקאָן(939)|דזשייקאָבּ יאָנגמאַן (יעקב יוּנקמאַן)(3316)|סאַמועל פישער (שאול-פּנחס)(1658)	9	decision=DISCUSS
ORG-C01586	אסתר-רחל קאמינסקאַס טרופּע	troupe	11	9	performed_with:9|member_of:1|staff_of:1	2	Vilnius|Poland	מנהם-מענדל ראבין(2717)|אברהם לעווין(2256)|נאָסען טרייסטמאַן (נאכעמיע)(3091)	10	decision=ALIGN; aligned_db_id=297
ORG-C00910	טעאַטער-וועלט	newspaper	9	9	employed_by:4|work_published_by:4|founded:1	1	Warsaw	נח פּרילוצקי(2701)|העשל עפּ(פּ)עלבּערג(1575)|שלום אַש(1183)	9	in_review_file_no_decision
ORG-C00637_Q01	בית-המדרש	school	9	9	studied_at:9	2	Vienna|Austria	העשל עפּ(פּ)עלבּערג(1575)|שמואל וואולמאַן(3196)|א וויטער (אייזיק-מאיר דעווענישסקי)(3200)	9	in_review_file_no_decision
ORG-C00349	פּוילישער אַרמיי	military	9	9	member_of:8|staff_of:1	1	Poland	שלמה זינשטיין(3412)|מאַקס מושקאַט ((מריאַן)(2526)|ש. פרייליך (ליטמאַן-געלטמאַן)(3636)	9	in_review_file_no_decision
ORG-C01645_Q01	שלום-עליכם-אינסטיטוט	organization	9	9	executive_of:3|member_of:2|founded:2|managed:1|delegate_of:1	1	Detroit	משה לעסער (לאזניק)(P-6-facs_660_r)|יודל (יוליוס) באָרענשטיין(P-4-facs_655_tr_1755030265)|עמאַ שעיווער-לאַזאַראָוו(3493)	9	in_review_file_no_decision
ORG-C01053_Q01	ליריק	theatre	9	9	performed_with:9	2	New York City|United States	אברהם גאָלדקנאָפּף(1838)|ליזאַ טוּכמאַן (קיידאַן)(3115)|פיליפּ מאַלץ(2378)	9	in_review_file_no_decision
ORG-C01188_Q01	יידישן לערער-סעמינאר	school	11	8	graduated_from:3|studied_at:3|staff_of:2|delegate_of:1|founded:1|executive_of:1	2	New York City|United States	יואל ענטין(1574)|שרה ליבערט (לאה)(2281)|לייבוש לענסקי (קשיענסקי)(2232)	8	in_review_file_no_decision
ORG-C02765	מאָלדאָווישן יידישן מלוכה טעאַטער	theatre	10	8	performed_with:7|staff_of:2|member_of:1	1	Chișinău	איזאַק קאַסוואן (יצחק)(2092)|אַלבּערט סגעאַלעסקאׇ(2875)|אברהם אַש (אברהם אווערבוך)(1185)	8	in_review_file_no_decision
ORG-C00795	קלינטאָן-טעאַטער	theatre	10	8	performed_with:6|managed:3|work_produced_by:1	2	New York City|United States	וויעראַ ראָזאַנקאָ (שפרע ווינער)(2772)|ברכה סקולניק (גאָלדמאַן)(2993)|לילען לאַקס (בורשטיין)(2364)	8	in_review_file_no_decision
ORG-C00846	רוסישער שול	school	10	8	studied_at:5|performed_with:3|graduated_from:1|staff_of:1	1	Odesa	יצחק פּערקאָף(2639)|סעם קעסטין(2090)|היימי פּריזאַנט(2707)	8	in_review_file_no_decision
ORG-C00369_Q01	באַראַן הירש-שול	school	9	8	studied_at:6|graduated_from:2|employed_by:1	1	Vienna	בער מרגליות(2396)|מרגליות, יצחק [בראָדער](P-7-facs_73_r)|מאָריס שוואַרץ(2863)	8	in_review_file_no_decision
ORG-C02633_Q01	דייטשער סינאַגאָגע	synagogue	9	8	performed_with:7|staff_of:2	2	Łódź|Poland	לעאָן ראַבינאָוויטש (לייבל)(2721)|זקן מיליך(2473)|משה (מוני) פאסטאָר (אברהם משה פּאַסטערנאַק)(2623)	9	in_review_file_no_decision
ORG-C00767	קאָנשטאָטס שול	school	9	8	studied_at:5|graduated_from:4	2	Łódź|Poland	שלמה אייזענשטאַרק(1607)|מענדל פּלאַוונער(2660)|וואָלף זילבּערבּערג(3397)	9	in_review_file_no_decision
ORG-C02493_Q01	יידישן נאַציאָנאלפֿאַנד	organization	9	8	executive_of:3|member_of:2|employed_by:1|staff_of:1|delegate_of:1|managed:1	2	Poland|United States	אברהם לעווינסאָן(2265)|מאַקס ברעסלאָו(P-5-facs_597_r)|הירש עהרענרייך(1545)	8	in_review_file_no_decision
ORG-C01689	טאַליאַ מוזיק-האָל	theatre	9	8	performed_with:7|staff_of:1|managed:1	2	New York City|United States	וויליאַם סיגעל(910)|מאיר שוואַרץ(2864)|לואיס קרעמער(2159)	8	in_review_file_no_decision
ORG-C02546	יונייטער דזשואיש אַפּיל	organization	9	8	employed_by:3|executive_of:3|member_of:3	2	New York City|United States	יעקב דובאָוו(P-4-facs_655_tr_1755030260)|משה זעלווער(3372)|דוד קולאָק(P-4-facs_669_tr_1755030278)	8	in_review_file_no_decision
ORG-C00065_Q01	די אידישע צייטונג	newspaper	8	8	employed_by:6|work_published_by:2	2	Argentina|Buenos Aires	מוישע פּינטשעווסקי(2651)|אסתר הדסה (וויינרויב-האַלפּערן)(1958)|חבל כץ(3643)	8	decision=SPLIT
ORG-C03432	סאָוויעטישער אַרמיי	army	8	8	member_of:8	1	Sevastopol	מייער ניקאָלאַיעווסקי(2568)|יוסף קרעמער(2160)|לייזער ראַכמאַנאָוו(2729)	8	in_review_file_no_decision
ORG-C00415	יידישער אַרבעטער-באַוועגונג	organization	8	8	member_of:7|executive_of:1	1	Chicago	שלמה דיאמנט(1494)|לעאָן זאָלאָטקאָף(3420)|דזשאָן ווייס (יוסף-לייב)(3164)	8	in_review_file_no_decision
ORG-C00291_Q01	היי-סקול	school	8	8	studied_at:4|graduated_from:4	1	United States	יוסף שעהנגאָלד(3622)|גאָלדבערג, דיינע(P-7-facs_57_tr_1756359815)|בעטי פּערלאָוו (ראָזענבּערג)(2647)	8	in_review_file_no_decision
ORG-C00380_Q01	אַרבייטער רינג	union	8	8	employed_by:2|executive_of:2|member_of:1|staff_of:1|work_published_by:1|performed_with:1	1	New York City	אברהם רייזען(3654)|מאַקסים בראָדין (מאַקס בראָדסקי)(1404)|אַלס טעאַטער-קרייטיקער(P-4-facs_342_tr_1754998516)	8	in_review_file_no_decision
ORG-C04937	ניו יאָרקער פֿאָלקס-טעאַטער	theatre	8	8	performed_with:7|managed:1	1	New York City	מישע גערמאַן (הערמאַן)(1747)|סאָניא נאַטאַנסאָן (חיה-שרה)(2547)|משה סקולניק(3458)	8	in_review_file_no_decision
ORG-C02371	המגיד	newspaper	8	8	employed_by:5|work_published_by:3	2	Leipzig|Germany	גרשון-חיים לעוונער(2270)|ישראל-מעיר וואָהלמאַן(3273)|שלום-יעקב אַבראַמאָוויטש(3469)	8	in_review_file_no_decision
ORG-C05205	שניצערס קונסט-טעאַטער	theatre	8	8	performed_with:6|staff_of:2	2	New York City|United States	בּערטא האַרט (מאַהלער)(1975)|משה סקולניק(3458)|סידני האַרט (יוסף הערש)(1977)	8	in_review_file_no_decision
ORG-C00180_Q02	יידישן קונסט-טעאַטער	theatre	11	7	performed_with:11	1	United States	עליע מינץ (אליהוּ זאַץ)(2487)|גערטאַ ראָזען(2774)|משה-בּער סאַמוּאילאָוו(2831)	7	in_review_file_no_decision
ORG-C02849_Q08	יידישן מלוכה-טעאַטער	theatre	10	7	work_produced_by:3|performed_with:3|staff_of:1|employed_by:1|member_of:1|managed:1	2	Warsaw|Poland	שרה פלאום(1666)|יצחק דאגים(1507)|משה שווייליך(2962)	7	in_review_file_no_decision
ORG-C00348	פרייקונסט	theatre	10	7	performed_with:7|staff_of:2|founded:1	1	Moscow	אַנאַ לעווינשטיין(2266)|מיכל פרידמאַן(1696)|משה אַלטמאן(1147)	7	in_review_file_no_decision
