cluster_id	canonical_yiddish	org_type	sampling_stratum	top_candidate_db_id	top_candidate_score	n_candidates	draft_decision	draft_aligned_db_id	confidence	rationale	drafted_at	model	raw_response
ORG-C00123	"לערער-סעמינאָר פֿון דייטש-יידישן הילפס-פֿאַריין ""עזרה"""	Education	no_candidates			0	NEW		high	Specific educational institution (Ezra teacher seminar) not found in DB; name is highly specific and distinct.	2026-05-17T13:55:09+00:00	gemini-3-flash-preview	
ORG-C00124	תל-אביבער שטאָט-ביבליאָטעק „שערי ציון“	Library	no_candidates			0	NEW		high	Specific library in Tel Aviv with no DB candidates; name and location are consistent and well-defined.	2026-05-17T13:55:10+00:00	gemini-3-flash-preview	
ORG-C00125	העברעישער און יידישער פּרעסע	Journals/ Newspapers	no_candidates			0	GENERIC		high	The name translates to 'Hebrew and Yiddish Press', a generic descriptive term rather than a specific organization.	2026-05-17T13:55:11+00:00	gemini-3-flash-preview	
ORG-C00126	אַרכיוו פֿאַר געשיכטע פֿון יידישן טעאַטער און דראַמע	Journals/ Newspapers	no_candidates			0	NEW		high	Specific scholarly publication title (Vilna) not found in DB; name is consistent and distinct from existing entries.	2026-05-17T13:55:12+00:00	gemini-3-flash-preview	
ORG-C00127	יידישער טרופּע פֿון מישוראַט	Traveling Company	no_candidates			0	NEW		high	Specific troupe name with settlement (Balta) not found in DB; no candidates provided.	2026-05-17T13:55:13+00:00	gemini-3-flash-preview	
ORG-C00128	קלאַראַ יאָנגס טרופּע	Traveling Company	low_score	521	0.647	1	NEW		high	Specific troupe named after Clara Young; candidate is a different geographic entity (Harbin). No match in DB.	2026-05-17T13:55:14+00:00	gemini-3-flash-preview	
ORG-C00129	אַלרוסישן יידישן אַרטיסטן פֿאַריין	Theatre-related Society/ Union	no_candidates			0	NEW		high	Specific professional union (All-Russian Jewish Actors Union) not present in DB; no candidates found.	2026-05-17T13:55:15+00:00	gemini-3-flash-preview	
ORG-C00131	טעאַטער עקסעלסיאָר	Theatre	low_score	491 	0.625	2	NEW		high	Specific theatre in Buenos Aires with multiple mentions; no matching candidates in the database.	2026-05-17T13:55:16+00:00	gemini-3-flash-preview	
ORG-C00132	פֿאָלקס שטימע	Journals/ Newspapers	no_candidates			0	NEW		high	Specific newspaper (Folks-shtime) in Warsaw; no candidates found in DB but entity is well-defined.	2026-05-17T13:55:17+00:00	gemini-3-flash-preview	
ORG-C00133	י. ג. הערדער-אינסטיטוט	Education	no_candidates			0	NEW		high	Specific educational institution (Herder-Institut) in Marburg not found in DB; no candidates provided.	2026-05-17T13:55:18+00:00	gemini-3-flash-preview	
ORG-C00134	צייטשריפט פֿיר אָסטפאַרשונג	Journals/ Newspapers	no_candidates			0	NEW		high	Specific academic journal title not found in DB; no candidates provided.	2026-05-17T13:55:19+00:00	gemini-3-flash-preview	
ORG-C00135	דייטשער ראַדיאָ אין קעלן	Media (Radio/ Film/TV)	no_candidates			0	NEW		high	Specific media entity (German Radio in Cologne) with clear location; no candidates found in DB.	2026-05-17T13:55:21+00:00	gemini-3-flash-preview	
ORG-C00136	פישזאָן גענפער	Traveling Company	no_candidates			0	DISCUSS		high	No candidates found; name refers to the Fishzon-Genfer troupe, likely a specific traveling company requiring manual verification.	2026-05-17T13:55:22+00:00	gemini-3-flash-preview	
ORG-C00139	טרופּע פון שטשערבאַקאָוו	Traveling Company	low_score	523 	0.600	3	NEW		high	Specific troupe name (Shcherbakov) not found in DB; candidates are other troupes with similar 'Troupe of...' structures.	2026-05-17T13:55:25+00:00	gemini-3-flash-preview	
ORG-C00140	טרופּע פֿון ראָטשטיין	Traveling Company	low_score	523 	0.667	5	NEW		high	Specific troupe name (Rothstein) not found in DB; candidates share only the generic 'Troupe of' prefix.	2026-05-17T13:55:26+00:00	gemini-3-flash-preview	
ORG-C00141	ניי-אַזאַזעל	Theatre	no_candidates			0	NEW		high	Specific theatre name (Naye Azazel) with consistent Warsaw locations; no candidates found in DB.	2026-05-17T13:55:27+00:00	gemini-3-flash-preview	
ORG-C00142	שאָפּ	Labour (factory/workshop)	no_candidates			0	GENERIC		high	The term 'שאָפּ' (shop) is a generic noun for a workshop or factory, particularly in the context of the Warsaw Ghetto.	2026-05-17T13:55:28+00:00	gemini-3-flash-preview	
ORG-C00143	געבעט-הויז פֿון באַפּטיסטן	Religious institutions/organizations	no_candidates			0	NEW		high	Specific religious institution in the Warsaw Ghetto; no candidates found in DB.	2026-05-17T13:55:29+00:00	gemini-3-flash-preview	
ORG-C00144	עלדאָראַדאָ	Theatre	no_candidates			0	NEW		high	Specific theatre name (Eldorado) with consistent Warsaw addresses (Dzielna 1) and no existing DB candidates.	2026-05-17T13:55:31+00:00	gemini-3-flash-preview	
ORG-C00145	גימנאַזיע	Education	no_candidates			0	GENERIC		high	The term 'Gymnasium' is a generic educational institution type; variants list multiple distinct cities (Warsaw, Tashkent, Minsk, etc.).	2026-05-17T13:55:32+00:00	gemini-3-flash-preview	
ORG-C00146	דראַמאַטישע שול ביים קייזערלעכן אָלעקסאַנדער טעאַטער	Education	no_candidates			0	NEW		high	Specific educational institution in Petersburg with no DB candidates; name and location are consistent.	2026-05-17T13:55:33+00:00	gemini-3-flash-preview	
ORG-C00148	טעאַטער פון דער פרייער קאָמעדיע	Theatre	no_candidates			0	NEW		high	Specific theatre name and location (Petersburg) provided, but no candidates found in the database.	2026-05-17T13:55:35+00:00	gemini-3-flash-preview	
ORG-C00149	באַלאַגאַנטשיק	Theatre	no_candidates			0	NEW		high	Specific theatre name (Balagantshik) in Petersburg with no DB candidates; likely a distinct entity not yet recorded.	2026-05-17T13:55:36+00:00	gemini-3-flash-preview	
ORG-C00150	רוסישער דראַמע	Theatre	no_candidates			0	NEW		high	Specific Russian drama theaters in Riga and Poltava mentioned; no candidates exist in the database.	2026-05-17T13:55:37+00:00	gemini-3-flash-preview	
ORG-C00151	בלויען פויגל א'ד יוזשני	Traveling Company	no_candidates			0	NEW		high	Specific entity (Der Blaue Vogel under Jushny) not in DB; distinct from generic 'Bluen Foygl' entries.	2026-05-17T13:55:38+00:00	gemini-3-flash-preview	
ORG-C00152	„סימכעוועסאָסען“ (שמחה וששון)	Theatre	no_candidates			0	NEW		high	Specific name (Simkhe-ve-Sason) and location (Grodno) provided, but no candidates found in the database.	2026-05-17T13:55:39+00:00	gemini-3-flash-preview	
ORG-C00153	"""גראָדנער מאָמענט"""	Journals/ Newspapers	low_score	215	0.625	1	NEW		high	Specific regional edition (Grodno) of a newspaper; candidate 215 is the general Warsaw-based daily.	2026-05-17T13:55:40+00:00	gemini-3-flash-preview	
ORG-C00154	בונד	Jewish political bodies	no_candidates			0	NEW		high	The 'Bund' is a major historical political organization not present in the current DB; settlements align with its historical centers.	2026-05-17T13:55:41+00:00	gemini-3-flash-preview	
ORG-C00155	פּראָגרעסיוו דראַמאַטיק קלוב	Theatre	low_score	363	0.739	1	ALIGN	363	high	Exact phonetic match for the Progressive Drama Club; settlements (New York, Newark, Cleveland) are consistent with this US-based organization.	2026-05-17T13:55:43+00:00	gemini-3-flash-preview	
ORG-C00159	נאָראַ בעיס-טעאַטער	Theatre	low_score	616 	0.688	3	NEW		high	Specific venue name (Nora Bayes Theatre) not found in DB; candidates are phonetic matches for different entities.	2026-05-17T13:55:45+00:00	gemini-3-flash-preview	
ORG-C00162	יידישער טעאַטער-שול ביי דער „קולטור-ליגע“	Theatre education	no_candidates			0	NEW		high	Specific educational institution (Kultur-Lige theatre school) not present in DB; no candidates found.	2026-05-17T13:55:47+00:00	gemini-3-flash-preview	
ORG-C00163	יידישער סטודיע פֿון ווייסרוסלאַנד	Traveling Company	no_candidates			0	NEW		high	Specific historical entity (Belorussian Yiddish Studio) with consistent locations (Moscow/Minsk) not found in current DB candidates.	2026-05-17T13:55:48+00:00	gemini-3-flash-preview	
ORG-C00164	ווימ'ט	Theatre	no_candidates			0	NEW		high	Acronym for Vitebsker Yidisher Melukhe-Teater; distinct entity not in DB, consistent location (Homel/Vitebsk region).	2026-05-17T13:55:50+00:00	gemini-3-flash-preview	
ORG-C00165	זאַסלאַווסקי	Traveling Company	no_candidates			0	NEW		high	Specific troupe name (Zaslavsky) with consistent locations (Poltava, Petersburg) and no existing DB candidates.	2026-05-17T13:55:51+00:00	gemini-3-flash-preview	
ORG-C00166	"וואַרשעווער ""עלדאָראַדאָ""-טעאַטער"	Theatre	no_candidates			0	NEW		high	Specific theatre in Warsaw (Eldorado) with no candidates in DB; name and location are consistent within the cluster.	2026-05-17T13:55:52+00:00	gemini-3-flash-preview	
ORG-C00167	ליבהאָבער	Traveling Company	no_candidates			0	GENERIC		high	The term 'ליבהאָבער' (amateurs) is a generic descriptor for non-professional troupes across many locations, not a specific organization.	2026-05-17T13:55:53+00:00	gemini-3-flash-preview	
ORG-C00169	טעאַטער ווענוס	Theatre	low_score	398	0.600	1	NEW		high	Specific Warsaw theatre (Venus) on Dzielna street not found in DB; candidate is a generic 'Theatre and Art' publication/entity.	2026-05-17T13:55:55+00:00	gemini-3-flash-preview	
ORG-C00170	פּאָליטעכניקום	Education	no_candidates			0	GENERIC		high	The term refers to a generic polytechnic institute; multiple settlements (Berlin, Vienna, Nancy) indicate different institutions rather than one specific organization.	2026-05-17T13:55:56+00:00	gemini-3-flash-preview	
ORG-C00171	פּוטיליאָווער (שפּעטער — קיראַוונער) זאַוואָד	Labour (factory/workshop)	no_candidates			0	NEW		high	Specific historical factory (Putilov/Kirov Plant) in St. Petersburg; no candidates found in DB.	2026-05-17T13:55:58+00:00	gemini-3-flash-preview	
ORG-C00173	יעוורעיסקאַיאָ ענציקלאָפּעדיאַ	Publisher	no_candidates			0	NEW		high	Specific Russian-Yiddish encyclopedia project (Evreiskaya Entsiklopediya) in Petersburg; not in DB and no candidates found.	2026-05-17T13:55:59+00:00	gemini-3-flash-preview	
ORG-C00174	צוקונפט	Journals/ Newspapers	no_candidates			0	NEW		high	Well-known journal 'Di Tsukunft' based in New York; no candidates found in DB, but cluster is consistent and specific.	2026-05-17T13:56:00+00:00	gemini-3-flash-preview	
ORG-C00175	ביכער-וועלט	Journals/ Newspapers	no_candidates			0	NEW		high	Specific literary journal (Bikher-velt) published in Warsaw; no candidates found in DB.	2026-05-17T13:56:01+00:00	gemini-3-flash-preview	
ORG-C00176	אינסטיטוט פֿון די פֿעלקער פֿון אַזיע ביי דער וויסנשאַפֿטלעכער אַקאַדעמיע	Heritage Institution	no_candidates			0	NEW		high	Specific Soviet academic institution in Leningrad; no candidates found in DB.	2026-05-17T13:56:02+00:00	gemini-3-flash-preview	
ORG-C00180	יידישן קונסט-טעאַטער	Theatre	low_score	623 	0.667	3	SPLIT		high	Cluster contains multiple distinct 'Yiddish Art Theatre' entities across New York, Buenos Aires, and Odessa; requires manual separation.	2026-05-17T13:56:05+00:00	gemini-3-flash-preview	
ORG-C00182	יידישע קולטור	Journals/ Newspapers	no_candidates			0	NEW		high	Specific journal 'Yidisher Kultur' based in New York; no candidates found in DB.	2026-05-17T13:56:07+00:00	gemini-3-flash-preview	
ORG-C00183	יידיש בוך	Publisher	no_candidates			0	NEW		high	Specific well-known publisher (Yidish Bukh) in Warsaw; no candidates found in DB.	2026-05-17T13:56:08+00:00	gemini-3-flash-preview	
ORG-C00185	דייטשער דראַמאַטישער שול	Education	no_candidates			0	NEW		high	Specific educational institution in Vienna (Wien) not found in DB; name and location are consistent.	2026-05-17T13:56:09+00:00	gemini-3-flash-preview	
ORG-C00186	יידישן דראַמאַטישן קריין א'נ „פֿערדינאַנד לאַסאַל“	Theatre	no_candidates			0	NEW		high	Specific organization name (Ferdinand Lassalle circle) in Vienna; no candidates found in DB.	2026-05-17T13:56:10+00:00	gemini-3-flash-preview	
ORG-C00187	טרופּע פֿון דירעקטאָר אַקסעלראָד	Traveling Company	no_candidates			0	NEW		high	Specific traveling company named after Director Axelrad; no candidates found in DB.	2026-05-17T13:56:11+00:00	gemini-3-flash-preview	
ORG-C00188	טרופּע פֿון דירעקטאָר עבעל	Traveling Company	no_candidates			0	DISCUSS		high	No candidates found in DB for this specific troupe; requires manual verification of Director Ebel's identity.	2026-05-17T13:56:12+00:00	gemini-3-flash-preview	
ORG-C00190	פֿאָלקסבינע	Theatre	no_candidates			0	SPLIT		high	Cluster contains multiple distinct Folksbiene entities across Berlin, Vienna, and New York; no single DB candidate exists.	2026-05-17T13:56:14+00:00	gemini-3-flash-preview	
ORG-C00191	וויק'ט	Traveling Company	no_candidates			0	NEW		high	VIKT (Warsaw Yiddish Art Theater) is a well-known major entity; absence from DB candidates indicates it is a new entry.	2026-05-17T13:56:15+00:00	gemini-3-flash-preview	
ORG-C00192	ערשטן פֿאָלקסטעאַטער	Theatre	low_score	570 	0.652	3	NEW		medium	Specific Argentine entity (Ershter Folks-teater) not found in candidates; existing candidates refer to Belarusian, Polish, or Viennese theaters.	2026-05-17T13:56:17+00:00	gemini-3-flash-preview	
ORG-C00195	יידיש קונסט טעאַטער	Theatre	low_score	480 	0.650	2	NEW		high	Maurice Schwartz's Yiddish Art Theatre in NY; candidates are for Baku or Paris. Address 27th/Lexington confirms the specific NY entity.	2026-05-17T13:56:19+00:00	gemini-3-flash-preview	
ORG-C00196	יידישע געזעלשאַפט אין לאָס אַנדזשעלעס	Theatre	no_candidates			0	NEW		high	Specific organization name with settlement (Los Angeles) not found in DB; no candidates provided.	2026-05-17T13:56:20+00:00	gemini-3-flash-preview	
ORG-C00197	שלום-עליכם פֿאָלקס-אינסטיטוט	Education	no_candidates			0	NEW		high	Specific educational institution with multiple US locations and address; no candidates found in DB.	2026-05-17T13:56:21+00:00	gemini-3-flash-preview	
ORG-C00198	אַרבעטער-רינג	Jewish political bodies	low_score	189	0.750	1	SPLIT		high	Cluster contains multiple local branches (Brooklyn, Detroit, London, LA, Chicago) and cemeteries of the international Arbeter Ring organization.	2026-05-17T13:56:22+00:00	gemini-3-flash-preview	
ORG-C00199	יידישע אַקטיאָרן-יוניאָן	Theatre-related Society/ Union	no_candidates			0	NEW		high	Specific organization (Hebrew Actors' Union) with consistent name and locations (NY, Chicago) not found in current DB candidates.	2026-05-17T13:56:24+00:00	gemini-3-flash-preview	
ORG-C00200	יידישן אַקטיאָרן פאַריין אין פּוילן	Theatre-related Society/ Union	no_candidates			0	NEW		high	Specific professional union (Yiddish Actors Union in Poland) not found in DB; name and country are consistent.	2026-05-17T13:56:25+00:00	gemini-3-flash-preview	
ORG-C00201	קאָמיטעט צו שאַפן אַ געזעלשאַפטלעך טעאַטער אין דעטראָיט	Theatre	no_candidates			0	NEW		high	Specific organizational name with clear location (Detroit) and purpose; no candidates found in DB.	2026-05-17T13:56:26+00:00	gemini-3-flash-preview	
ORG-C00202	רוסישער דראָמאַטישער שול	Education	no_candidates			0	NEW		high	Specific educational entity (Russian Dramatic School) with consistent name and locations (Odessa, Vilna) not found in current database.	2026-05-17T13:56:27+00:00	gemini-3-flash-preview	
