db_id	db_name_latin	org_type	db_address	aligned_cluster_ids	aligned_cluster_canonicals	yiddish_variants_observed	n_aligned_clusters	proposed_canonical_yiddish	rationale	confidence	pi_decision	pi_canonical_yiddish	drafted_at	reviewed_at	reviewer
195	Belloy Troupe			ORG-C06804	בעללויס טרופּע	בעללויס טרופּע	1	בעללויס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
197	Berger Troupe			ORG-C05244|ORG-C06647	בערגערס טרופּע|בערגער-טרופּע	בערגערס טרופּע|בערגער-טרופּע	2								
198	Ber Hart troupe			ORG-C02665	בער האַרטס טרופּע	בער האַרטס טרופּע	1	בער האַרטס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
203	Bronstein Troupe			ORG-C00492	בראַנשטייןס טרופּע	בראַנשטייןס טרופּע	1	בראַנשטייןס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
206	Camp Kinderland			ORG-C02384	קעמפּ קינדערלאַנד	קעמפּ קינדערלאַנד	1	קעמפּ קינדערלאַנד	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
217	Der veg			ORG-C00908	דער וועג	דער וועג|וועג	1								
226	Dos artistishe vinkele			ORG-C03928	דאָס אַרטיסטישע ווינקעלע	דאָס אַרטיסטישע ווינקעלע	1	דאָס אַרטיסטישע ווינקעלע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
234	Edelhofer Troupe			ORG-C05843	עדעלהאָפערס טרופּע	עדעלהאָפערס טרופּע	1	עדעלהאָפערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
235	Eldorado Theatre	Theatre		ORG-C00024|ORG-C02258	"טעאַטער עלדאָראַדאָ|""עלדאָראַדאָ""-טעאַטער"	"טעאַטער עלדאָראַדאָ|""עלדאָראַדאָ""-טעאַטער"	2								
237	Elysium Theater	Theatre		ORG-C01511	עליזעום-טעאַטער	עליזעום-טעאַטער	1	עליזעום-טעאַטער	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
249	Forward	Journals/ Newspapers		ORG-C00257	פֿאַרווערטס	פֿאַרווערטס	1	פֿאַרווערטס	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
252	Garden Theatre	Theatre		ORG-C00957	גאָרדען טעאַטער	גאָרדען טעאַטער|גאַרדען טעאַטער	1								
254	Genfer Troupe			ORG-C00577	גענפערס טרופּע	גענפערס טרופּע	1	גענפערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
257	Gimpel Theatre	Theatre		ORG-C02359	גימפּעלס טרופּע	גימפּעלס טרופּע	1	גימפּעלס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
261	Goldene pave			ORG-C01001|ORG-C06365	די גאָלדענע פּאַווע|גילדענע פּאָווע	די גאָלדענע פּאַווע|גאָלדענע פּאַווע|גילדענע פּאָווע	2								
263	Groyse Teater	Theatre		ORG-C00597|ORG-C01316	גרויסעס טעאַטער|גרויסן טעאַטער	גרויסעס טעאַטער|גרויסן טעאַטער	2								
264	Guzik Troupe			ORG-C00751	גוזיקס טרופּע	גוזיקס טרופּע	1	גוזיקס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
269	Hart Troupe			ORG-C02609	האַרטס טרופּע	האַרטס טרופּע	1	האַרטס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
278	Hengens Theatre	Theatre		ORG-C03874	הענגעןס טעאַטער	הענגעןס טעאַטער	1	הענגעןס טעאַטער	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
283	Hurwitz Troupe	Traveling Company		ORG-C06310	טרופּע פֿון הורוויץ	טרופּע פֿון הורוויץ	1	טרופּע פֿון הורוויץ	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
287	Itzik Mendl Bergman Troupe			ORG-C04073	איציק מענדל בערמאָןס טרופּע	איציק מענדל בערמאָןס טרופּע	1	איציק מענדל בערמאָןס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
295	Kalmen Juvelier's Theatre Troupe	Traveling Company		ORG-C04191	יאָווילער-טרופּע	יאָווילער-טרופּע	1	יאָווילער-טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
296	Kamer-teater			ORG-C05274	קאַמער-טעאַטער	קאַמער-טעאַטער	1	קאַמער-טעאַטער	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
302	Kompaneyets Troupe			ORG-C00601	קאָמפּאַניעיעצ'ס טרופּע	קאָמפּאַניעיעצ'ס טרופּע|קאָמפּאַניעיעס טרופּע	1								
306	Kunst-Ring			ORG-C00179|ORG-C06375	קונסט-רינג|קונסטדינג	קונסט-רינג|קונסטדינג	2								
307	Kunst vinkl	Theatre		ORG-C00130	קונסט-ווינקל	קונסט-ווינקל	1	קונסט-ווינקל	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
313	Leon Golubok Troupe			ORG-C06026	לעאָן גאָלובאָקס טרופּע	לעאָן גאָלובאָקס טרופּע	1	לעאָן גאָלובאָקס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
322	Literarishe Trupe (Literary Troupe)			ORG-C01598	ליטעראַרישע טרופּע	ליטעראַרישע טרופּע	1	ליטעראַרישע טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
325	Littman Troupe			ORG-C00974	ליטמאַנס טרופּע	ליטמאַנס טרופּע	1	ליטמאַנס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
330	Meerson Troupe			ORG-C05922	מעערסאָנס טרופּע	מעערסאָנס טרופּע	1	מעערסאָנס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
337	Mogulesco Troupe			ORG-C01848|ORG-C06095	מאָגולעסקאָס טרופּע|טרופּעס פֿון מאָגולעסקאָ	מאָגולעסקאָס טרופּע|טרופּעס פֿון מאָגולעסקאָ	2								
345	Naftali Goldfaden Troupe			ORG-C05025	נפתלי גאָלדפֿאַדעןם טרופּע	נפתלי גאָלדפֿאַדעןם טרופּע|טרופּע פֿון נפתלי גאָלדפאַדען|נפתלי גאָלדפאַדנס טרופּע|נפתלי גאָלדפאַדעןס טרופּע|נפתלי גאָלדפֿאַדן|נפתלי גאָלדפֿאַדענס טרופּע|נפתלי גאָלדפֿאָדען	1								
347	Neue Lodzer Zeitung			ORG-C02599	נויע לאָדזשער צייטונג	נויע לאָדזשער צייטונג	1	נויע לאָדזשער צייטונג	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
366	Rabinovitsh Troupe	Traveling Company		ORG-C00028	טרופּע פֿון ווייספעלד	טרופּע פֿון ווייספעלד	1	טרופּע פֿון ווייספעלד	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
369	Remeslengi Club			ORG-C05191|ORG-C06639	רעמעסלעני קלוב|דעמעסלענני קלוב	רעמעסלעני קלוב|דעמעסלענני קלוב	2								
373	Sabsey Troupe			ORG-C05680	סאָביים טרופּע	סאָביים טרופּע	1	סאָביים טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
376	Sam Adler Troupe			ORG-C01483	סעם אַדלערס טרופּע	סעם אַדלערס טרופּע	1	סעם אַדלערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
385	Shomer Troupe	Traveling Company		ORG-C00044	גאַרטענשטיין	גאַרטענשטיין	1	גאַרטענשטיין	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
391	Spivakovski Troupe	Traveling Company		ORG-C00043	שמ׳רן	שמ׳רן	1	שמ׳רן	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
395	Stramer Troupe			ORG-C00890|ORG-C02954	שטראַמער-טרופּע|שטראַמערס טרופּע	שטראַמער-טרופּע|שטראַמערס טרופּע	2								
398	Teater un kunst			ORG-C01309	טעאַטער און קונסט	טעאַטער און קונסט	1	טעאַטער און קונסט	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
421	Treitler Troupe			ORG-C03496	טרייטלערס טרופּע	טרייטלערס טרופּע	1	טרייטלערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
426	Unzer teater			ORG-C00722	אונזער טעאַטער	אונזער טעאַטער|אונזדער טעאַטער	1								
435	Vilner Operetta	Traveling Company		ORG-C02761	ווילנער אָפּערעטע	ווילנער אָפּערעטע	1	ווילנער אָפּערעטע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
455	Zandberg Troupe			ORG-C03019	זאַנדבערגס טרופּע	זאַנדבערגס טרופּע	1	זאַנדבערגס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
459	Ziegler Troupe			ORG-C02610	זייגלערס טרופּע	זייגלערס טרופּע	1	זייגלערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
