_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_flag	review_stratum	review_stratum_desc	reviewer_correct	reviewer_suggested_type	reviewer_notes
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_273_tr_1755674142	יחסן, מרדכי	2123-2123								Employment_Performance	performer	אין וועלכער י. שפּילט הויפּטראָלן אין גאָרדין-רעפּערטואָר	הויפּטראָלן																	ambiguous	low		S6	ambiguous + low, has context			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_283_tr_1755674206	פערקויף, איגנאין [יצחק]	2144-2144				theatre			טעאַטערס אין ניו יאָרק	Employment_Performance	performer	אין סיף פֿון 19טן יאָרהונדערט איז פ. געקומען אין אַמעריקע, גל-פי-ט עטלעכע יאָר אין ניו יאָרק	שוישפּילער	189		ניו יאָרק		אַמעריקע												descriptive_term	medium		S5	descriptive_term + medium, no title			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_313_tr_1756043360	פֿאַכלער, דוד	2203-2203				troupe	באַראַטאָוון	באַראַטאָוו		Employment_Performance	performer	דערנאָך מיט באַראַטאָוון						רומעניע												proper_name	medium		S9	random cross-check			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_330_tr_1756058354	צוקערבערג, לעאָן (לייבל)	2238-2238														גאַליועסטאָן		פֿאַראייניקטע שטאָטן	טעקסאַס											ambiguous	low		S6	ambiguous + low, has context			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_359_tr_1755856144	בערן [בערנהאָלין), מינאַ	2296-2321																						באַריס טהאָמאַשעווסקי — וואָדעוויל-שפּרינגער וועלכע האַלטען זיך פֿאַר אַקטיאָרען, דאָרט, 11 פעברואר 1922						not_an_organization	high		NOT	not_an_organization spot-check			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_375_tr_1755856142	שוואַרץ, מאָריס [אַברהם משה]	2327-2368																						"ד. ז. — פֿון חודש צו חודש, ""יידישע קולטור“, נ. י., נ' 6, 1952."						not_an_organization	high		NOT	not_an_organization spot-check			
35	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_46_tr_1747746179	אַבראַמאָוויץ, ח. ע.	4925-4925	"קיין שום ביאָגראַפֿישע דאַטעס וועגן איר זיינען אין ערגעץ ניטאָ. קענטיק אַ ווילנערין. אין 1879 איז אין ווילנע דערשיינען איר איבערזעצונג פֿון לעסינגס „די אידען"". אויפֿן שער-בלאַט איז אָנגעגעבן: איין לוסטשפּיעל אין דרייאַ אונד צוואַנציג פאַרשטעלונגען פֿאַן דעם וועלט בעריהמטען פערפאַסער אין דער דייטשער שפּראַכע איבערזעצט אין יידיש דייטש (זשאַרגאָן) דורך פרוי ח. ע. אַבראַמאָוויץ, [68 זז. 32 פ. אַן עקזעמפּליאָר געפֿינט זיך אין דער יידישער אָפּטייל פֿון דער ניו-יאָרקער שטאָט-ביבליאָטעק]. די איבערזעצונג עפֿנט זיך מיט אַ פֿאַרוואָרט פֿון דער איבערזעצערין אין וועלכן זיי שרייבט אונדזער אַרטאָגראַפֿיע]: „איין ווערק איז אייגענטליך ווי איין שפּייז. דער אונטערשייד איז נאָר דיזעס; דאָס שפּייזע איז פֿיר דעם קערפּער, און איין פערפֿאַסונג איז פֿיר די זעעלע. אַלזאָ, לויט ווי די ערסטע מוז דאָך ענטהאַלטן צוויי בעדינגונגען: ערב ומועיל, דאָס הייסט, אָנגענעם און ווירקנד, זאָ געבן [אַזוי] מוז די צווייטע אויך האָבן די ביידע זאַכן. אָנגענעם אין לעבן און איין גוטן איינדרוק אויף דער זעעלע. די ביידע זאַכן, פערשפּרעך איך אייך, טייערע לעזער, און לעזעענדיק, צו געניסן אין דיזעם לוסטשפּיל, דען עס איז העכסט פערגניגנד אין לעזן און זייער וויכטיו פֿיר דעם גייסט. איר פֿיינדעט דאַ שיינע וויצן, פאַטריאָטיזמוס, פֿיינע זיטנלעכע [מאָראַלישע] און עכטע שפּריכווערטער. איך ווייס נאָר דאָס נאָך אַלע פֿאַרגניגן ביים לעזן, וועט נאָך וואָס גוט זיך איינפרעגן (איינקריצן) ביי אייך אים געדאַנקן, און דערום עבן האָב איך אויסגעקליבן איבערצוזעצן נאָר דיזע ווערקע ווי דער העכסט בערימטער פערפֿאַסער לעסינג אַליין זאָגט אין איין רעזולטאַט פון זיינעם אַ פֿאַבל: ""עס איז בעסער איבערצוזעצן וויכטיקע זאַכן איידער צי פערפאַסן איינע וואָס איז צום לאַכן [אויסגעלאַכט צו ווערן] איך האָפע דאָס דיזע איבערזעצונג וועט געפֿינען גונסט (חן) ביי יעדן וועלכער עס וועט איר לעזן, און דיזע האָפענונג וועט מיר מוט געבן נאָך ווערקע פֿאַן וויכטיקע אייראָפּעישע פערפֿאַסער צו איבערזעצן. איבערזעצערין ח. ע. אַבראַמאָוויץ"". קיין אַנדערע זאַכן זיינען אָבער ניט פֿאַרעפנטלעכט געוואָרן."	א. וו. לעססינג.	די אידען																			„לעקסיקאן פון דער ניַיער יידישער ליטעראַטור“, ערשטער באַנד, ניו-יאָרק, [1956], ז. 17.	קענטיק אַ ווילנערין					not_an_organization	high		NOT	not_an_organization spot-check			
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_59_r_33	פעדער, אייזיק [פּעדאָרעסקו]	4951-4951				troupe			פֿאַרשיידענע פּראָווינץ-טרופּעס	Employment_Performance	performer	פֿון 1917 ביז 1930 געוואַנדערט מיט פֿאַרשיידענע פּראָווינץ-טרופּעס איבער רוסלאַנד		1917	1930			רוסלאַנד			1917	1930								descriptive_term	medium		S5	descriptive_term + medium, no title			
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_70_tr_1747746125	פרענק, יעקב	4973-4974				theatre	ענגלישער אָפּערעטע	ענגלישער אָפּערעטע	אַן ענגלישער אָפּערעטע	Employment_Performance	performer	איז אַרענגעטראָטן אין אַן ענגלישער אָפּערעטע																		proper_name	medium		S2	proper_name + medium confidence			
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_90_r_2	פֿראַנצאָז, זכריה [פּראַנקאָווסקי]	5013-5016				theatre	גימפּעלס לעמבערגער יידישן טעאַטער	גימפּעלס לעמבערגער יידישן טעאַטער		Employment_Performance	performer	אויפֿגעטראָטן אַלס „פֿראַנץ מאָר“ אין שילערס „רויבער“ אין גימפּעלס לעמבערגער יידישן טעאַטער	„פֿראַנץ מאָר“			לעמבערג														proper_name	medium		S2	proper_name + medium confidence			
97	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_98_r	פֿרידמאַן, לאַראַ [לאה וויינטרויב]	5029-5029	געבוירן 1860 אין באַטאָשאַן, רומעניע. נאָך דער חתונה מיטן אַקטיאָר אַלבערט פֿרידמאַן דורך אים אַרויפֿגענומען געוואָרן אויף דער בינע אין 1878 אַלס סוברעטין. 15 יאָר שפּעטער אַריבער צו שפּילן מוטער-ראָלן ביז 1910, ווען זי איז אַוועק פֿון טעאַטער. פֿ.'ס פּלימעניצע איז געווען די שוישפּילערין לאהקעלע וויינטרויב-גראָף.	ש. ע. פֿון טש. גאָלדשטיין און מ. ע. פֿון י. וויינשטאָק.		theatre			בינע	Employment_Performance	performer	אַרויפֿגענומען געוואָרן אויף דער בינע אין 1878 אַלס סוברעטין	סוברעטין	1878	1893										נאָך דער חתונה מיטן אַקטיאָר אַלבערט פֿרידמאַן			connected		descriptive_term	high		S4	descriptive_term + high, no title			
103	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_102_tr_1747825160	פעניגשטיין, אַדאָלף	5038-5038	"געבוירן 1892 אין וואַרשע, פּוילן. עלטערן — אייגנטימער פֿון אַ שמוקלערפֿאַבריק. באַקומען אַ היימיש יידישע דערציונג. אין עלטער פֿון 13 יאָר איז ער, אויף זיין פֿאָטערס ווונטש, אויפֿגעטראָטן מיט ליבהאָבער, לטובת אַ וווילטעטיקן צוועק, אַלס „חיים יואל' אין משה ריכטערס „הערצעלע מיוחס"". פֿון דאָזיקן מאָמענט אָן האָט ער דערפֿילט אַ ליבע און אַ דראַנג צו דער בינע, און עס האָט זיך אָנגעהויבן אַ קאָנפליקט צווישן אים און זיין פֿאָטער, וועלכער האָט באין אופֿן נישט געוואָלט, אַז ער זאָל ווערן אַ פּראָפעסיאנעלער אַקטיאָר. פ. פלעגט זיך זינט דעמאָלט אַרענגנבענען אויף די רעפּעטיציעס, אין פּוילישן טעאַטער, און האָט אַ יאָר צייט געלערנט אין אַ פּוילישער דראַמאַטישער שול אין וואַרשע. אין 1908 איז ער אַוועק מיט אַ פּראָפעסיאנעלער יידישער טרופּע אונטער דער דירעקציע פֿון ציפקוס איבער דער פּראָווינץ, ווי ער האָט אָנגעהויבן אַלס כאָריסט, און אַ ביסל שפּעטער באַקומען קליינע ראָלן ביז ער האָט אין 1914 פֿאַרנומען דעם ערשטן פלאַץ אין גענפערס טרופּע, אין רוסלאַנד, אַלס יוגנטלעכער קאָמיקער אין די דעמאָלט-פּאָפּולערע הייסטאָרישע פּיעסן. דאָס האָט אים געבראַכט אַ גרויסן דערפֿאָלג, אָבער אַ קנאַפּע אינערלעכע צופרידנקייט. ווי עס ווערט איבערגעגעבן אין די ""יודישע ביהנע“, האָט ער געשטרעבט צו קונסט „און נישט האָבנדיק קיין מעגלעכקייט צו שפּילן קיין ערנסטע, דורכגעטראַכטע ראָלן, איז ער תמיד אַרומגעאַנגען אומצופרידן. זיין שטרעבונג צו קונסט איז דערפֿילט געוואָרן ערשט נאָך דער רעוואָלוציע אין רוסלאַנד, ווען ער האָט זיך, אין 1917, אויפֿן צוזאַמענפֿאָר פֿון די יידישע אַקטיאָרן אין קיעוו, געטראָפן מיט מישע פישזאָן"". אין 1919, ווען ס'איז געגרינדעט געוואָרן דאָס סאָוועטישע ""יידיש קינסטלערישע מלוכה-טעאַטער“ אין אָדעס מיטן אַקטיאָר בערטאַנאָוו אַלס רעזשיסער, האָט פ. דורכגעמאַכט אַן עקזאָמען אָנגענומען צו ווערן, און פֿון 6 אַקטיאָרן האָט ער געווונען צו שפּילן די ראָל ""נח"" אין הירשביינס „דער פֿאַרוואָרפענער ווינקל"". אין 1920 איז ער אַריבער קיין רומעניע און דאָרט, צוזאַמען מיט מישע פישזאָן, מיטגעווירקט אין ""יידישן מוסטער און קינסטלערטעאַטער“, ווי ער איז אויפֿגעטראָטן אַלס ""יואָל דוד"" אין מאַרק אַרנשטיינס „ווילנער בעל ביתל“, „אוריאל"" אין גוצקאָווס „אוריאל אַקאָסטאָ“, „איציק"" אין פרץ הירשביינס „פוסטע קרעטשמע"", „חנן"" אָדער ""משולח"" אין ש. אַנסקיס „דיבוק"" און „כלעסטיאַקאָוו"" אין גאָגאָלס ""רעוויזאָר“, גלעכצעטיק האָט ער אָבער, בשעת הדחק, וועטער געשפּילט אַלס געזאַנג-ליבהאָבער אָדער פֿאָט-קאָמיקער אין די אָפּערעטעס. 1923-24 האָט ער, מיט אַ גרויסן דערפֿאָלג, צוזאַמען מיט זיין ברודער הערמאַן פענינשטיין, מישע פישזאָן און וויעראַ זאָסלאַווסקאַ גאַסטראָלירט איבער גאַליציע און פּוילן. פ. איז געקומען שפּעטער אין אַמעריקע ווו ער ווערט אָנגאַזשירט אין פֿילאָדעלפיע. ווי מישע פישזאָן דערציילט אין זיינע זכרונות, האָט מען אים, בעת ער האָט געמאַכט פּראָבע אין דער יידישער אַקטיאָרן יוניע, איבערגעשראָקן, אַז ער האָט ניט אויסגעהאַלטן דעם עקזאָמען און דערפֿון איז ער קראַנק געוואָרן. דעם 30 יוני 1925 איז ב. געשטאָרבן אין פֿילאַדעלפיע."		[געב. 1895 — געשט. 30 יוני 1925]	school	פּוילישער דראַמאַטישער שול	פּוילישער דראַמאַטישער שול		Education_Formation	student	האָט אַ יאָר צייט געלערנט אין אַ פּוילישער דראַמאַטישער שול אין וואַרשע	תּלמיד			וואַרשע								"""יידישע ביהנע“, לעמבערג, נ' 2, 1922"	עלטערן — אייגנטימער פֿון אַ שמוקלערפֿאַבריק. באַקומען אַ היימיש יידישע דערציונג. ... זיין פֿאָטער, וועלכער האָט באין אופֿן נישט געוואָלט, אַז ער זאָל ווערן אַ פּראָפעסיאנעלער אַקטיאָר.	rich	religious	opposed		proper_name	high		S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_118_tr_1747825157	קאָרנפעלד, בערטאַ [בתיה קוריער]	5070-5070				organization			זיין אָרגאַניזאַציע	Employment_Performance	performer	זיך צו באַטייליקן אין אַן אונטערנעמונג פֿון זיין אָרגאַניזאַציע																		descriptive_term	high		S4	descriptive_term + high, no title			
