review_tag	name	original_type	current_canonical	decided_via	llm_concern_theme	llm_reason	llm_suggested_new	source_file	row_id	entry_name	volume	context_text			ארגון?	אם לא — מה זה?	קשור לתיאטרון יידיש?
llm:missing_canonical_type	השכלה-באַוועגונג	movement	OTHER - elaborate!	llm_verified	missing_canonical_type	The Haskalah (Jewish Enlightenment) is a broad cultural and intellectual movement, not a formal organization or a political body.	Cultural/Intellectual Movement	organizations_clustered_canonical_mapping.tsv	ORG-C01134	פֿאָלקאָוויטש, יואַל-בעריש	Volume_3IIIorg.json	איז געוואָרן איינער פֿון די פּיאָנערן פֿון דער השכלה-באַוועגונג אין וואָלין			לא		
llm:data_quality	שטראָהלען	literary collection	Not an organization	llm_verified	data_quality	Shtrahlen' is a literary miscellany (zamelbukh), which is a publication, not an organization.		organizations_clustered_canonical_mapping.tsv	ORG-C05604	באַדער גרשם	volume_1IIIorg.json	זאַמלהעפט „שטראָהלען“, לעמבערנ, 1907 (רעדאָקטירט פון באָדער)			לא	קובץ ספרותי / זאַמלהעפט (לעמבערג 1907, בעריכת ג. באדער)	לא — קובץ ספרותי
llm:data_quality	אָרבעטער דינג	organization	Jewish political bodies	llm_verified	data_quality	Entity 'אָרבעטער דינג' is a typo for Arbeter Ring, which policy explicitly maps to Jewish political bodies.		organizations_clustered_canonical_mapping.tsv	ORG-C06917	העריס, אַל.	Volume_4IIIorg.json	דערנאָך דורך אַנדערע יידישע פֿראַטערנאַלע אָרגאַניזאַציעס (אָרבעטער דינג...)			כן		
llm:data_quality	משה אהרן ווינער	company	Not an organization	llm_verified	data_quality	Entity is a person (Moshe Aharon Viner), mis-extracted by the upstream LLM as a company.		organizations_clustered_canonical_mapping.tsv	ORG-C07149	קופּערמאַן, סאַמועל	Volume_4IIIorg.json	ווערט אַ בוכהאַלטער ביי... משה אהרן ווינער			לא	אדם פרטי	לא — מעסיק פרטי
llm:data_quality	הסהאָרגאַניזאַציע פון מעדיסאָן	union	Welfare/Aid organization	llm_verified	data_quality	The entity name contains a typo ('הסה' instead of 'הדסה' - Hadassah), which caused the auto-mapper to miss the explicit policy rule mapping Hadassah to Welfare/Aid organization.		organizations_clustered_canonical_mapping.tsv	ORG-C07175	„פּערהיפט" [פרץ הירשביין פֿאָלקס טעאַטער]	Volume_4IIIorg.json	אין יאָר 1923 ווערט די געזעלשאָפט איינגעלאָדן פון דער הסהאָרגאַניזאַציע פון מעדיסאָן, וויסקאָנסין, אויסצוטרעטן אין אַ גאַנצער טעאַטער-פאַרשטעלונג.			כן		לא 
llm:data_quality	השכלה-באַוועגונג	movement	Not an organization	llm_verified	data_quality	Haskalah is a broad historical and intellectual movement (the Jewish Enlightenment), not a specific organization. Upstream extraction error.		org_alignment_review_canonical_mapping.tsv	ORG-C01134	פֿאָלקאָוויטש, יואַל-בעריש	Volume_3IIIorg.json	איז געוואָרן איינער פֿון די פּיאָנערן פֿון דער השכלה-באַוועגונג אין וואָלין			לא		לא
pi_dilemma:brewery_relation_conflict	פּילנער ביר-ברויעריי	brewery	Business	context_weak	pi_judgement_needed	Brewery with missing relation context. Defaulted to Business, but could be Labour if the person was employed there. Flagged for PI review per policy.		org_alignment_review_canonical_mapping.tsv	ORG-C01876	אַבראַמאָוו, מערי [מרים איינהאָרן]	volume6IIIorg.json	פֿאָטער האָט געהאַנדלט מיט וואָלד און תבואה און איז געווען דער אייגנטימער פֿון דער אָרטיקער „פּילנער ביר-ברויעריי"			כן		לא — מבשלת בירה משפחתית
llm:data_quality	ליטווישן נאַציאָנאַל-ראַט	union	Non-Jewish political bodies	llm_verified	data_quality	ליטווישן נאַציאָנאַל-ראַט' means Lithuanian National Council. It is a political body, not a union. The upstream LLM tag 'union' is incorrect.		org_alignment_review_canonical_mapping.tsv	ORG-C02248	פֿרידמאַן יצחק-אייזיק, הרב	volume6IIIorg.json	געאַרבעט אין ליטווישן נאַציאָנאַל-ראַט בעת דער נאַציאָנאַלער אויטאָנאָמיע			כן		לא — גוף יהודי-לאומי בליטא
llm:data_quality	יד ושם	union	Heritage Institution	llm_verified	data_quality	Yad Vashem is a Holocaust memorial and archive, fitting Heritage Institution. The original tag 'union' is a severe upstream extraction error.		org_alignment_review_canonical_mapping.tsv	ORG-C02425	גלאַנץ, יעקב	volume6IIIorg.json	געווען דער פֿאָרשטייער פֿון ... "יד ושם"			כן		לא
llm:policy_ambiguous	נאַציאָנאלער פֿונדאַציע פֿאַר יידישער קולטור	organization	Heritage Institution	llm_verified	policy_ambiguous	Cultural foundation, not welfare. Fits best under Heritage Institution (cultural institutes), though policy notes funds/foundations are often subsumed under Jewish political bodies.		org_alignment_review_canonical_mapping.tsv	ORG-C02555	דזשאָרדזש מ. זעלצער	volume6IIIorg.json	מיטגליד פֿון באָאָרד פֿון דער נאַציאָנאלער פֿונדאַציע פֿאַר יידישער קולטור			כן		עקיף — קרן תרבותית יידית
llm:data_quality	שאַפּ פֿון אַקטיאָר חיים סאַנדלער	union	Business	llm_verified	data_quality	Entity is a shop (שאַפּ), not a union. Original LLM tag 'union' is incorrect. Should be Business or Labour; defaulting to Business due to ownership phrasing.		org_alignment_review_canonical_mapping.tsv	ORG-C03210	נאַטאַן, נעמי [לעווענטאַל]	Volume5IIIorg.json	זיינען זיי אַריינגעטראָטן אין 'שאַפּ' פֿון אַקטיאָר חיים סאַנדלער, וווּ זיי האָבן געאַרבעט צוזאַמען מיט אַנדערע אַקטיאָרן			כן		
llm:data_quality	יאָסער טויבנהאַלע	literary circle	Theatre	llm_verified	data_quality	Jassyer Taubenhalle was a known theatre venue/hall in Jassy, despite the LLM tagging it as a literary circle.		org_alignment_review_canonical_mapping.tsv	ORG-C03406	ראָזען, אַברהם, דר.	Volume5IIIorg.json	די ווידער אויפגעלעבטע יאָסער טויבנהאַלע האָט אָפּגעהאַלטן אין די יאָרן 1936 און 1937, האָט מיטן בעלעטריסטישן טייל אָנגעפירט מיט אַ באַזונדערן טאַלענט דער פֿריינט דר. א. ראָזען			כן		כן — אולם תיאטרון יידי ביאסי
llm:data_quality	יידישן נאַציאָנאַלדאַט	organization	Jewish political bodies	llm_verified	data_quality	Typo in extraction ('נאַציאָנאַלדאַט' instead of 'נאַציאָנאַלראַט' - Jewish National Council). It is a Jewish political body.		org_alignment_review_canonical_mapping.tsv	ORG-C03697	שיפּער יצחק (איגנאַץ) דר.	Volume5IIIorg.json	אָרגאַניזירט אין קראָקע דעם יידישן נאַציאָנאַלדאַט, וואו ער ווערט וויצעפאָרזיצער			כן		לא — גוף פוליטי יהודי-לאומי בקראקוב
pi_dilemma:brewery_relation_conflict	פרדס רוסאטא	farm	Business	context_weak	agree	Pardes Rusata is an orchard/farm. Without relation data, Business is an acceptable default for an agricultural enterprise.		org_alignment_review_canonical_mapping.tsv	ORG-C03819	שמעון רוסאַטאַ	Volume5IIIorg.json	האט אין 1924 עולה געווען קיין ארץ ישראל, און האט מיטגעהאלפן צום בנין הארץ (פרדס רוסאטא אין חדרה)			כן		לא — פרדס חקלאי בחדרה
llm:data_quality	נאַקינקאַ	other	Not an organization	llm_verified	data_quality	"נאַקינקאַ" appears to be a place name or a person, not an organization. Likely an upstream extraction error.		org_alignment_review_canonical_mapping.tsv	ORG-C04895	נאַדיר, משה [יצחק רייז]	volume_2IIIorg.json	האָט נ. געעפֿנט... אַ קינסטלער-קאפע א'נ „נאַקינקאַ“			לא	בית קפה (קינסטלער-קאַפע של משה נאדיר)	
llm:data_quality	איזראַעל	other	Not an organization	llm_verified	data_quality	"Israel" is a geographic region/country, not an organization. It should be classified as 'Not an organization'.		org_alignment_review_canonical_mapping.tsv	ORG-C04996	ניימאַן, אברהם [בּאַראַקאַן]	volume_2IIIorg.json	דאָרט געוואָרן שמש אין טעמפּל „איזראַעל"			לא	שם בית כנסת ("טעמפּל איזראַעל"	לא — בית כנסת רפורמי
llm:data_quality	די יידן אין רומעניע	other	Not an organization	llm_verified	data_quality	"The Jews in Romania" is a demographic group or a book title, not an organization. It should be classified as 'Not an organization'.		org_alignment_review_canonical_mapping.tsv	ORG-C05159	סעגאַלעסקאָ, אַלבערט	volume_2IIIorg.json	1918 — זיך באַטייליקט אין אָדעס אין פֿילם „די יידן אין רומעניע"			לא	סרט (1918, אודסה)	
pi_dilemma:brewery_relation_conflict	פאָרם בן-שמן	farm	Education	llm_verified	shallow_keyword_missed_cue	Ben-Shemen is a well-known agricultural youth village and school in Israel, making it an educational institution rather than a commercial business.		org_alignment_review_canonical_mapping.tsv	ORG-C05929	ברוידא מ. ז. [מייער גרוזני]	volume_1IIIorg.json	אַ קורצע צייט געאַרבעט אין דער פאָרם בן-שמן			כן		לא
llm:data_quality	האָלס	other	Not an organization	llm_verified	data_quality	"האָלס" (Halls) refers to physical venues or buildings, not an organization. This is an upstream extraction error.		org_alignment_review_canonical_mapping.tsv	ORG-C06456	האַרנשטיין, נייטאָן ה. דר	volume_1IIIorg.json	געוואָרן אַ בוכהאַלטער אין האָלס			לא	לא ברור 	
llm:data_quality	פּ	political_party	OTHER - elaborate!	llm_verified	data_quality	Entity name and sentence are just the letter 'פּ'. This is an upstream LLM extraction error, not a real organization.		org_alignment_review_canonical_mapping.tsv	ORG-C06481	הירשביין, פרץ	volume_1IIIorg.json	באַטייליקט זיך אין דער נאָר וואָס אַנטשטאַנענער פּ"צ-פּאָרטיי			לא		
llm:data_quality	„אבאַציא“	other	Not an organization	llm_verified	data_quality	Abbazia (Opatija) is a resort town, a geographic location, not an organization.		org_alignment_review_canonical_mapping.tsv	ORG-C06550	וואָלפסטאָל, חנאַ	volume_1IIIorg.json	וו.'ס „שטענדיקער“ שפּיל-פּלאַץ			לא	בית קפה אמנותי בלמברג (ע"ש העיר אבאציה/אופטיה), נחרב בפוגרום	כן — ארטיסטן-קאַפע בלמברג — מקום מפגש קבוע לאנשי תיאטרון
llm:data_quality	א. א. א.	organization	Not an organization	llm_verified	data_quality	א. א. א.' is a Yiddish abbreviation for 'and others like it' (etc.), not an organization. Upstream extraction error.		org_alignment_review_canonical_mapping.tsv	ORG-C07236	בריסמאַן, חיים	Volume_4IIIorg.json	אָנגעפֿירט מיט דער יידישער סעקציע פֿון א. א. א.			לא	קיצור יידי = "וכו׳" / "און אַזוי אַרום" — מילת מילוי, לא ישות	
