_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization name	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	name_type	reviewer_correct	reviewer_suggested_type	reviewer_notes	confidence	review_stratum	review_stratum_desc	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_351_tr_1756108349	ראָזענצווייג, ראוז-לי	2279-2279		organization			יידישע אָרגאַניזאַציעס	Employment_Performance	performer	ר. טרעט אויך אויף אַלס זינגערין ביי פֿאַרשיידענע אונטערנעמונגען פֿון יידישע אָרגאַניזאַציעס	זינגערין			descriptive_term	TRUE			medium	S5	descriptive_term + medium, no title													
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_375_tr_1755856142	שוואַרץ, מאָריס [אַברהם משה]	2327-2368												ambiguous	FALSE	not_an_organization		low	S7	ambiguous + low, nearly empty													
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_402_tr_1755856047	רומשינסקי, יוסף [רומשיסקי]	2307-2406												ambiguous	FALSE	not_an_organization		low	S7	ambiguous + low, nearly empty													
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_22_tr_1747746198	אַכראָן, יוסף	4870-4880		society	געזעלשאַפֿט פֿאַר יידישער מוזיק	געזעלשאַפֿט פֿאַר יידישער מוזיק		Affiliation_Membership	member	אין 1911 איז ער צוגעצויגן געוואָרן צו דער „געזעלשאַפֿט פֿאַר יידישער מוזיק“		1911		proper_name	TRUE			medium	S9	random cross-check	פּעטערבורג							1908					
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_59_r_33	פעדער, אייזיק [פּעדאָרעסקו]	4951-4951		troupe			פֿאַרשיידענע פּראָווינץ-טרופּעס	Employment_Performance	performer	פֿון 1917 ביז 1930 געוואַנדערט מיט פֿאַרשיידענע פּראָווינץ-טרופּעס איבער רוסלאַנד		1917	1930	descriptive_term	TRUE			medium	S5	descriptive_term + medium, no title			רוסלאַנד			1917	1930						
103	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_102_tr_1747825160	פעניגשטיין, אַדאָלף	5038-5038	[געב. 1895 — געשט. 30 יוני 1925]	school	פּוילישער דראַמאַטישער שול	פּוילישער דראַמאַטישער שול		Education_Formation	student	האָט אַ יאָר צייט געלערנט אין אַ פּוילישער דראַמאַטישער שול אין וואַרשע	תּלמיד			proper_name	FALSE	descriptive_term		high	S1	proper_name + high confidence	וואַרשע								עלטערן — אייגנטימער פֿון אַ שמוקלערפֿאַבריק. באַקומען אַ היימיש יידישע דערציונג. ... זיין פֿאָטער, וועלכער האָט באין אופֿן נישט געוואָלט, אַז ער זאָל ווערן אַ פּראָפעסיאנעלער אַקטיאָר.	rich	religious	opposed	
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_171_tr_1747825169	קאָוואַלסקאַ, אַסתר	5176-5176		theatre			ליבהאָבער-קרייזן פֿון סווואַלק	Employment_Performance	performer	פֿריער אין די ליבהאָבער-קרייזן פֿון סווואַלק	ליבהאָבער			descriptive_term	TRUE			high	S4	descriptive_term + high, no title	סווואַלק		פּוילן										
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_203_tr_1747929008	פֿיינמאַן, דיינע	5239-5253		theatre	פאַוויליאָן-טעאַטער	פאַוויליאָן-טעאַטער		Employment_Performance	performer	ווי זי טרעט אויף אין „פאַוויליאָן'-טעאַטער אין איבסענס „העדאַ גאָבלער"		1914	1929	proper_name	TRUE			medium	S9	random cross-check	לאָנדאָן	פאַוויליאָן-טעאַטער	ענגלאַנד										
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_231_tr_1747928940	שטיין, אַליאָשאַ [אליהו]	5296-5306		school	דראַמאַטישער שול ביי דער קולטור-ליגע	דראַמאַטישער שול ביי דער קולטור-ליגע		Employment_Performance	artistic_staff	ש. איז אויך געווען לערער אין דער דראַמאַטישער שול ביי דער „קולטור-ליגע" אין וואַרשע	לערער			proper_name	TRUE			high	S1	proper_name + high confidence	וואַרשע												
204	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_247_tr_1747928913	קאָמפּאַנעעץ, לאה [גאָטליב]	5327-5328		troupe	טרופּע פֿון אַברהם פישזאָן	טרופּע פֿון אַברהם פישזאָן		Employment_Performance	performer	שוין אַלס 14 יאָריק מיידל איז זי א'נ „טראָצקאַיאָ“ אַריינגעטראָטן אין דער טרופּע פֿון אַברהם פישזאָן, ווו זי איז גאָר גיך געוואָרן אַ פּרימאַדאָנע.	פּרימאַדאָנע			proper_name	TRUE			medium	S2	proper_name + medium confidence									עלטערן — סוחרים	modest			
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_260_tr_1747928893	באָיאַרסקאַ, רבקה	5354, -, 5350						Production_Distribution	published_by	אין סוף אין 1936 דערשענט אין זעלבן פֿאַרלאָג איר לידער-בוך		1936		ambiguous			these cases should be kept as descriptive terms that can later be linked to actual proper name with more context	low	S6	ambiguous + low, has context													
240	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_417_tr_1747930464	קופּערמאַן, לעאָן (ישעיה-אַריה)	5668-5669	[געב. 24 יוני 1883 — געשט. 29 מערץ 1942]	school	דייטש-עוואָנגעלישע שול	דייטש-עוואָנגעלישע שול		Education_Formation	student	באַזוכט די דייטש-עוואָנגעלישע שול אין יאַס	תּלמיד			proper_name	TRUE			high	S1	proper_name + high confidence	יאַס	דייטש-עוואָנגעלישע שול							אויפגעוואַקסן אין אַ פֿרומער חסידישער סביבה	modest	religious		
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_466_tr_1747930136	בלאָק[ך] יעטע	5765-5766		publisher	אַלוועלטלעכן יידישן קולטור קאָנגרעס	אַלוועלטלעכן יידישן קולטור-קאָנגרעס		Production_Distribution	published_by	אַרויסגעגעבן דורכן אַלוועלטלעכן יידישן קולטור קאָנגרעס, ניו יאָרק, 1968	פֿאַרלעגער	1968		proper_name	TRUE			medium	S2	proper_name + medium confidence	ניו יאָרק												
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_564_r_27	אָגורסקי, סעם (שמואל)	5962-5962		government	יידישע באָלשעוויסטישע קאָמיסאַריאָטן	יידישע באָלשעוויסטישע קאָמיסאַריאָטן		Leadership_Ownership	founder	זיך דאָרט באַטייליקט אין אָרגאַניזירן די יידישע באָלשעוויסטישע קאָמיסאַריאָטן אין דער פּראָווינץ	אָרגאַניזירן	1917		proper_name	FALSE	descriptive_term		medium	S2	proper_name + medium confidence	פּעטראָגראַד												
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_566_tr_1752130132	פֿורמאַן, אַברהם	3982-6037												ambiguous				low	S7	ambiguous + low, nearly empty													
289	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_643_tr_1747930524	פֿריידעלע [אוישער]	6119-6120		choir	כאָר ביי איר פֿאָטער	כאָר ביי איר פֿאָטער	כאָר ביי איר פֿאָטער	Employment_Performance	performer	געזונגען אין כאָר ביי איר פֿאָטער	כאָר			descriptive_term	FALSE	not_an_organization		medium	S3	descriptive_term + medium, with title (exhaustive)	פילאַדעלפיע		פֿאַרייניקטע שטאָטן						פֿאָטער — אַ חזן	modest	religious	connected	
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_649_tr_1747930511	קובאַנסקי, אייב	6132-6132		theatre	יידיש קונסט-טעאָטער	יידיש קונסט טעאַטער	מאָריס שוואַרצס "יידיש קונסט-טעאָטער"	Employment_Performance	performer	אַריינגעטראָטן אין מאָריס שוואַרצס "יידיש קונסט-טעאָטער", ווו ער צייכנט זיך אויס אין שפּילן אַ ריי כאַראַקטער-ראָלן	אַקטיאָר	1923	1929	proper_name	TRUE			medium	S2	proper_name + medium confidence	פֿילאָדעלפיע	פילאַדעלפיע				1929	1929						
17	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_56_r_1	וויינבערג, סאָניע [קאַרל]	3780-3780	[געב. 3 מערץ 1888 — אומגעבראַכט געוואָרן דורך די נאַציס]	school	4-קלאַסיקע רעגירונגס-שול	4-קלאַסיקע רעגירונגס-שול	רעגירונגס-שול	Education_Formation	graduate	געענדיקט אַ 4-קלאַסיקע רעגירונגס-שול				proper_name	FALSE	descriptive_term		medium	S9	random cross-check													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_97_tr_1733059490	קאַץ, זישע	3862-3866		troupe	טרופּע פון אסתר רחל קאַמינסקאַ	טרופּע פון אסתר רחל קאַמינסקאַ		Employment_Performance	performer	אַריינגעטראָטן אַלס בוף-קאָמיקער אין דער טרופּע פון אסתר רחל קאַמינסקאַ	בוף-קאָמיקער	1915		proper_name	TRUE			medium	S9	random cross-check	וואַרשע												
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_112_tr_1733832831	נייהוייז, וואָלף	3892-3895		troupe	טרופּע פֿון קאַמינסקי	טרופּע פֿון קאַמינסקי		Employment_Performance	artistic_staff	פּראָפעסיאנעלער סופֿלער אין די טרופּעס פֿון ... קאַמינסקי	פּראָפעסיאנעלער סופֿלער			proper_name	TRUE			high	S1	proper_name + high confidence									געלערנט אין חדר, דערנאָך אין ישיבה		religious		
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_165_tr_1735652613	אַזאַרך, יצחק	3998-4000		newspaper	גראָדנער מאָמענט	"גראָדנער מאָמענט"	יידישער צייטונג	Employment_Performance	employee	ער האָט דאָרט געאַרבעט צוזאַמען מיטן רעדאַקטאָר פון דער גראָדנער יידישער צייטונג 'גראָדנער מאָמענט'	אימפרעסאַריאָ			proper_name	TRUE			medium	S2	proper_name + medium confidence	גראָדנע												
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_175_tr_1736588953	בורשטיין, מינאַ [האַלפּערן]	4018-4018		troupe			איר מאַנס טרופּעס	Employment_Performance	performer	שפּעטער אין איר מאַנס טרופּעס				descriptive_term	TRUE		איר?	high	S4	descriptive_term + high, no title													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_176_tr_1736589046	דורמאַשקין, וואָלף	4020-4091		school			עטלעכע יידישע שולן און גימנאַזיעס	Employment_Performance	employee	ער לערנט אין עטלעכע יידישע שולן און גימנאַזיעס טעאָריע פֿון מוזיק	לערער			descriptive_term	TRUE		"עטלעכטע" בתוך השם התיאורי	high	S4	descriptive_term + high, no title	ווילנע												
105	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_177_tr_1736589074	וויידע, משה	4021-4022	[געב. 1895 — אומגעבראַכט געוואָרן דורך די נאַציס]	theatre	וואַרשעווער טעאַטער-קרייזן	וואַרשעווער טעאַטער-קרייזן	וואַרשעווער טעאַטער-קרייזן	Employment_Performance	performer	אין די וואַרשעווער טעאַטער-קרייזן האָט מען אים גערופֿן דער 'פּראָפעסיאָנעלער אַמאַטאָר'	פּראָפעסיאָנעלער אַמאַטאָר			descriptive_term	TRUE			medium	S3	descriptive_term + medium, with title (exhaustive)													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_198_tr_1736588952	סאָראָקיין פרויקע	4063-4063						Employment_Performance	performer	באַקומט צו שפּילן עפּיזאָדן-ראָלן	עפּיזאָדן-ראָלן			ambiguous				low	S6	ambiguous + low, has context													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_229_tr_1739222567	גאָלדפֿאַרב, שמואל	4125-4125		theatre			ליבהאָבער-פֿאַרשטעלונג	Employment_Performance	performer	באַטייליקט אין אַ ליבהאָבער-פֿאַרשטעלונג אין פֿאָלעניץ אַלס 'מאַקס' אין פֿיינמאַנס 'חנהלע די נייטאָרין'	מאַקס	1908		descriptive_term	FALSE	not_an_organization		medium	S5	descriptive_term + medium, no title	פֿאָלעניץ												
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_276_tr_1739221992	לעווין, חנה	4220-4223		troupe	דראַמאַטישע קרייזן	דראַמאַטישע קרייזן	דראַמאַטישע קרייזן	Employment_Performance	performer	בסוד ווידער געשפּילט אין דראַמאַטישע קרייזן				descriptive_term	TRUE			medium	S3	descriptive_term + medium, with title (exhaustive)													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_371_tr_1739222499	נעלקען, משה	4410-4410		school			אומלעגאַלע שולן	Employment_Performance	employee	געווען דאָרט אויך אַ לערער אין די אומלעגאַלע שולן	לערער			descriptive_term	TRUE			high	S4	descriptive_term + high, no title	לאָדזשער געטאָ												
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_484_tr_1739220531	ראַן, משה	4636-4636		troupe	דראַמקאָלעקטיוו „דאָווקע“	דראַמקאָלעקטיוו „דאָווקע“		Leadership_Ownership	founder	גרינדער און רעזשיסער פֿון האַלב-פּראָפעסיאנעלן דראַמקאָלעקטיוו „דאָווקע“ (1934)	גרינדער	1934		proper_name	TRUE			medium	S9	random cross-check								1934					
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_560_tr_1739220843	אַריעל, רחל	4787-4787						Employment_Performance	performer	וואו זיי הייבט אָן, נאָך אַ קורצער צייט, צו שפּילן קליינע ראָלן	קליינע ראָלן			ambiguous				low	S6	ambiguous + low, has context													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_563_tr_1739221890	סאַלמאַן, קלמן	4794-4794		theatre			די שונד-טעאַטערס	Employment_Performance	artistic_staff	על פי רוב אין די שונד-טעאַטערס	סופלער			descriptive_term	TRUE			medium	S9	random cross-check													
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_590_tr_1739222452	פּאָלאָקעוויטש, משה	4847-4847												ambiguous				low	S9	random cross-check			אוקראַינע										
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_9_r_3	טאַבאַקשניידער מ. י.	802-802		newspaper	גרויס און קליין	גרויס און קליין		Employment_Performance	employee	ט. האָט אין... „גרויס און קליין“... פֿאַרעפנטלעכט די סצענקעס				proper_name	TRUE			medium	S9	random cross-check			אַרגענטינע										
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_10_tr_1743943354	טאָגער, אהרן	804-804						Employment_Performance	performer	געשפּילט מיט ט. אין וואַרשע אויפֿן הויף פֿון וואָלף ליטוואַקס גאָרטן		1880		ambiguous				low	S6	ambiguous + low, has context													
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_31_tr_1744131345	טאָמאַשעווסקי, מייק (מרדכי)	846-846		theatre			טעאַטער אין פֿילאדעלפיע	Leadership_Ownership	owner_manager	1927-8 — געווען מענעדזשער אין פֿילאדעלפיע	מענעדזשער	1927	1928	descriptive_term	TRUE			medium	S5	descriptive_term + medium, no title	פֿילאדעלפיע												
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_45_tr_1744131387	טורקאָוו, רחל	874-874		school	פּוילישע דראַמאַטישע שול פֿון הריניעוויעצקא	פּוילישע דראַמאַטישע שול פֿון הריניעוויעצקא		Education_Formation	graduate	געענדיקט אין 1927 די פּוילישע דראַמאַטישע שול פֿון הריניעוויעצקא			1927	proper_name	TRUE			high	S1	proper_name + high confidence	וואַרשע	פּוילישע דראַמאַטישע שול פֿון הריניעוויעצקא	פּוילן				1927						
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_54_r_9	טרוימאַן, חנה [קאַץ]	892-892		troupe			מיט יעקב ספּיוואַקאָווסקי	Employment_Performance	performer	דאַן הויבּט זי אָן שפּילן פּראָפעסיאָנעל מיט יעקב ספּיוואַקאָווסקי, מיטמאַכנדיק אַ טוּרנעע איבּער בּעלגיע	פּראָפעסיאָנעל	1913	1914	descriptive_term	FALSE	not_an_organization		medium	S5	descriptive_term + medium, no title		בּעלגיע	בּעלגיע										
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_70_tr_1744131388	יאָעליט, חוה [גרינשפּאַן]	924-924		school	וואַרדי יאָעליט-טעאַטער-סטודיע	וואַרדי יאָעליט-טעאַטער-סטודיע		Leadership_Ownership	founder	גרינדעט זי צוזאַמען מיט וואַרדין די „וואַרדי יאָעליט-טעאַטער-סטודיע“				proper_name	TRUE			medium	S2	proper_name + medium confidence													
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_72_tr_1744131378	יאָקובאָוויטש, היימאַן (חיים-נתן)	928-928		theatre			וואָדעוויל-הייזער	Employment_Performance	performer	מלחמה-צייט געשפּילט אין לאָדזש אין וואָדעוויל-הייזער				descriptive_term	TRUE			medium	S5	descriptive_term + medium, no title	לאָדזש	וואָדעוויל-הייזער											
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_89_tr_1744131436	לאַזאַראָוו, פֿייגע [קריניצאַיאַ]	962-962		troupe			טרופּע פֿון איר מאַן עליאָס לאַזאַראָוו	Employment_Performance	performer	דערנאָך שפּילט זי אין דער טרופּע פֿון איר מאַן עליאָס לאַזאַראָוו				descriptive_term	TRUE			high	S4	descriptive_term + high, no title													
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_90_tr_1744131428	לאַטיינער יאָזעף	964-990		theatre	מאַרינסקי טעאַטער	מאַרינסקי טעאַטער		Employment_Performance	performer	געשפּילט אין מאַרינסקי טעאַטער, וואו עס זיינען אויפגעפירט געוואָרן ל.'ס פּיעסעס.	פאַרפאַסער	1880		proper_name	TRUE			high	S1	proper_name + high confidence	אָדעס	מאַרינסקי טעאַטער											
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_121_tr_1744279183	ליבּגאָלד, זעליג	1025-1025		troupe	ביי אַברהם אַקסעלראָד	ביי אַברהם אַקסעלראָד		Employment_Performance	performer	ער איז דערנאָך געוואָרן אַ פּראָפעסיאנעלער אַקטיאָר ביי אַברהם אַקסעלראָד אין טשערנאוויץ	פּראָפעסיאנעלער אַקטיאָר			proper_name	FALSE	not_an_organization		medium	S2	proper_name + medium confidence	טשערנאוויץ												
