group_id,n_clusters,n_settlements,specificity,split_family,name_key,cluster_id,base_cluster,settlement,canonical_name,cluster_size,decision,aligned_db_id,db_name
G018,6,4,specific,,פאלקסבינע,ORG-C03883,ORG-C03883,בערלין,בערלינער פֿאָלקס-בינע,1,,,
G018,6,4,specific,YES,פאלקסבינע,ORG-C00190_Q04,ORG-C00190,,פֿאָלקסבינע,1,SPLIT,,
G037,6,5,specific,,פילהארמאניע,ORG-C02628,ORG-C02628,לאָדזש,לאָדזשער פילהאַרמאַניע,2,ALIGN,479,אָרטיקער פילהאַרמאָניע
G037,6,5,specific,,פילהארמאניע,ORG-C00488,ORG-C00488,אָדעס,אָדעסער פילהאַרמאָניע,1,ALIGN,479,אָרטיקער פילהאַרמאָניע
G037,6,5,specific,,פילהארמאניע,ORG-C01614,ORG-C01614,קעשעניעוו,קעשעניעווער פילהאַרמאָניע,1,NEW,586,קעשעניעווער פילהאַרמאָניע
G037,6,5,specific,YES,פילהארמאניע,ORG-C02006_Q01,ORG-C02006,לאָדזש,פילהאַרמאָניע,1,,,
G037,6,5,specific,,פילהארמאניע,ORG-C02985,ORG-C02985,ווילנע,ווילנער פילהאַרמאָניע,1,NEW,517,ווילנער פילהאַרמאָניע
G037,6,5,specific,YES,פילהארמאניע,ORG-C02006_Q02,ORG-C02006,לאָס-אַנדזשעלעס,פילהאַרמאָניע,1,,,
G038,6,4,specific,YES,טאליאטעאטער,ORG-C00515_Q01,ORG-C00515,ניו יאָרק,טאַליאַ-טעאַטער,70,,,
G038,6,4,specific,YES,טאליאטעאטער,ORG-C00515_Q02,ORG-C00515,פֿילאדעלפיע,טאַליאַ-טעאַטער,3,,,
G038,6,4,specific,,טאליאטעאטער,ORG-C04357,ORG-C04357,לאָדזש,לאָדזשער טאָליאַ-טעאַטער,3,NEW,683,לאָדזשער טאָליאַ-טעאַטער
G038,6,4,specific,YES,טאליאטעאטער,ORG-C00515_Q03,ORG-C00515,בערלין,טאַליאַ-טעאַטער,3,,,
G038,6,4,specific,YES,טאליאטעאטער,ORG-C00515_Q04,ORG-C00515,,טאַליאַ-טעאַטער,2,SPLIT,,
G038,6,4,specific,YES,טאליאטעאטער,ORG-C00515_Q05,ORG-C00515,לאָדזש,טאַליאַ-טעאַטער,1,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q01,ORG-C00661,יאָהאָניסבורג,ראָיאַל-טעאַטער,5,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q02,ORG-C00661,ניו יאָרק,ראָיאַל-טעאַטער,2,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q05,ORG-C00661,קליוולענד,ראָיאַל-טעאַטער,1,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q03,ORG-C00661,דעטראָיט,ראָיאַל-טעאַטער,1,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q04,ORG-C00661,דרום-אפריקע,ראָיאַל-טעאַטער,1,,,
G048,6,6,specific,YES,ראיאלטעאטער,ORG-C00661_Q06,ORG-C00661,לידז,ראָיאַל-טעאַטער,1,,,
G082,6,6,specific,YES,מעטראפאליטאנטעאטער,ORG-C01438_Q01,ORG-C01438,נוארק,מעטראָפּאָליטאָן-טעאַטער,7,SPLIT,,
G082,6,6,specific,,מעטראפאליטאנטעאטער,ORG-C03822,ORG-C03822,נואַרקער,נואַרקער מעטראָפּאָליטאַן-טעאַטער,4,,,
G082,6,6,specific,YES,מעטראפאליטאנטעאטער,ORG-C01438_Q02,ORG-C01438,שיקאַגאָ,מעטראָפּאָליטאָן-טעאַטער,3,,,
G082,6,6,specific,,מעטראפאליטאנטעאטער,ORG-C02050,ORG-C02050,שיקאַגער,שיקאַגער מעטראָפּאָליטאָן טעאַטער,2,,,
G082,6,6,specific,YES,מעטראפאליטאנטעאטער,ORG-C01438_Q03,ORG-C01438,פֿילאַדעלפיע,מעטראָפּאָליטאָן-טעאַטער,1,,,
G082,6,6,specific,YES,מעטראפאליטאנטעאטער,ORG-C01438_Q04,ORG-C01438,בראַנזווייל,מעטראָפּאָליטאָן-טעאַטער,1,,,
G020,5,5,specific,YES,דייטשנטעאטער,ORG-C00235_Q01,ORG-C00235,קורלאַנד,דייטשן טעאַטער,8,,,
G020,5,5,specific,YES,דייטשנטעאטער,ORG-C00235_Q04,ORG-C00235,ניו-יאָרק,דייטשן טעאַטער,1,,,
G020,5,5,specific,,דייטשנטעאטער,ORG-C04172,ORG-C04172,לאָדזש,לאדזשער דייטשן טעאַטער,1,,,
G020,5,5,specific,YES,דייטשנטעאטער,ORG-C00235_Q03,ORG-C00235,טשערנאָוויץ,דייטשן טעאַטער אין טשערנאָוויץ,1,,,
G020,5,5,specific,YES,דייטשנטעאטער,ORG-C00235_Q02,ORG-C00235,בריסק,דייטשן טעאַטער,1,,,
G026,5,4,specific,YES,האפקינסאנטעאטער,ORG-C00360_Q01,ORG-C00360,ברוקלין,האָפּקינסאָן-טעאַטער,49,ALIGN,282,Hopkinson Theatre
G026,5,4,specific,YES,האפקינסאנטעאטער,ORG-C00360_Q02,ORG-C00360,ניו יאָרק,האָפּקינסאָן-טעאַטער,10,,,
G026,5,4,specific,,האפקינסאנטעאטער,ORG-C00294,ORG-C00294,ברוקלין,ברוקלינער האָפּקינסאָן-טעאַטער,7,,,
G026,5,4,specific,YES,האפקינסאנטעאטער,ORG-C00360_Q03,ORG-C00360,בראַנזוויל,האָפּקינסאָן-טעאַטער,7,,,
G026,5,4,specific,YES,האפקינסאנטעאטער,ORG-C00360_Q04,ORG-C00360,דעטראָיט,האָפּקינסאָן-טעאַטער,1,,,
G035,5,4,specific,YES,פרייעיידישעפאלקסבינע,ORG-C00481_Q01,ORG-C00481,ווין,פרייע יידישע פֿאָלקס-בינע,33,,,
G035,5,4,specific,YES,פרייעיידישעפאלקסבינע,ORG-C00481_Q02,ORG-C00481,ניו-יאָרק,פרייע יידישע פֿאָלקס-בינע,4,,,
G035,5,4,specific,YES,פרייעיידישעפאלקסבינע,ORG-C00481_Q04,ORG-C00481,אָמעריקע,פרייע יידישע פֿאָלקס-בינע,2,,,
G035,5,4,specific,YES,פרייעיידישעפאלקסבינע,ORG-C00481_Q03,ORG-C00481,,פרייע יידישע פֿאָלקס-בינע,2,,,
G035,5,4,specific,YES,פרייעיידישעפאלקסבינע,ORG-C00481_Q05,ORG-C00481,פּאַריז,פרייע יידישע פֿאָלקס-בינע,1,,,
G044,5,5,specific,YES,פיפלסטעאטער,ORG-C00633_Q01,ORG-C00633,ניו יאָרק,פּיפּלס-טעאַטער,80,,,
G044,5,5,specific,YES,פיפלסטעאטער,ORG-C00633_Q02,ORG-C00633,אָמעריקע,פּיפּלס-טעאַטער,2,,,
G044,5,5,specific,YES,פיפלסטעאטער,ORG-C00633_Q04,ORG-C00633,לאָנדאָן,פּיפּלס-טעאַטער,1,,,
G044,5,5,specific,,פיפלסטעאטער,ORG-C04598,ORG-C04598,מאָנטרעאָל,מאָנטרעאָלער פּיפּלס טעאַטער,1,,,
G044,5,5,specific,YES,פיפלסטעאטער,ORG-C00633_Q03,ORG-C00633,בופֿאָלאָ,פּיפּלס-טעאַטער,1,,,
G052,5,4,specific,YES,אונזערטעאטער,ORG-C00722_Q01,ORG-C00722,ניו יאָרק,אונזער טעאַטער,15,,,
G052,5,4,specific,YES,אונזערטעאטער,ORG-C00722_Q03,ORG-C00722,,אונזער טעאַטער,3,,,
G052,5,4,specific,YES,אונזערטעאטער,ORG-C00722_Q02,ORG-C00722,בראַנקס,אונזער טעאַטער,3,,,
G052,5,4,specific,YES,אונזערטעאטער,ORG-C00722_Q04,ORG-C00722,לאָדז,אונזער טעאַטער,2,,,
G052,5,4,specific,YES,אונזערטעאטער,ORG-C00722_Q05,ORG-C00722,ווילנע,אונזער טעאַטער,1,,,
G076,5,4,specific,YES,פאלאסטעאטער,ORG-C01241_Q01,ORG-C01241,ווילנע,פּאַלאַס-טעאַטער,4,,,
G076,5,4,specific,YES,פאלאסטעאטער,ORG-C01241_Q03,ORG-C01241,לייפציג,פּאַלאַס-טעאַטער,2,,,
G076,5,4,specific,YES,פאלאסטעאטער,ORG-C01241_Q02,ORG-C01241,שיקאַגאָ,פּאַלאַס-טעאַטער,2,,,
G076,5,4,specific,YES,פאלאסטעאטער,ORG-C01241_Q04,ORG-C01241,סט. לואיס,פּאַלאַס-טעאַטער,1,,,
G076,5,4,specific,,פאלאסטעאטער,ORG-C05776,ORG-C05776,שיקאַגאָ,שיקאגער פּאָלאָס-טעאַטער,1,,,
G133,5,4,specific,YES,עמפיירטעאטער,ORG-C04545_Q01,ORG-C04545,שיקאַגאָ,עמפּייר-טעאַטער,8,,,
G133,5,4,specific,,עמפיירטעאטער,ORG-C03992,ORG-C03992,שיקאַגער,שיקאַגער עמפּייר-טעאַטער,2,,,
G133,5,4,specific,YES,עמפיירטעאטער,ORG-C04545_Q03,ORG-C04545,לאָנדאָן,עמפּייר-טעאַטער,1,,,
G133,5,4,specific,YES,עמפיירטעאטער,ORG-C04545_Q02,ORG-C04545,שיקאָנאַ,עמפּייר-טעאַטער,1,,,
G133,5,4,specific,,עמפיירטעאטער,ORG-C05650,ORG-C05650,לאָנדאָן,לאָנדאָנער עמפּייר-טעאַטער,1,,,
G014,4,3,specific,YES,ראלאנדטעאטער,ORG-C00161_Q01,ORG-C00161,ברוקלין,ראָלאַנד-טעאַטער,32,,,
G014,4,3,specific,,ראלאנדטעאטער,ORG-C05206,ORG-C05206,ברוקלין,ברוקלינער ראָלאַנד-טעאַטער,8,,,
G014,4,3,specific,YES,ראלאנדטעאטער,ORG-C00161_Q02,ORG-C00161,ניו יאָרק,ראָלאַנד-טעאַטער,2,,,
G014,4,3,specific,YES,ראלאנדטעאטער,ORG-C00161_Q03,ORG-C00161,בראָנזווייל,ראָלאַנד-טעאַטער,1,,,
G066,4,4,specific,YES,נייעמיידישנטעאטער,ORG-C01003_Q01,ORG-C01003,ריגע,נייעם יידישן טעאַטער,4,,,
G066,4,4,specific,YES,נייעמיידישנטעאטער,ORG-C01003_Q02,ORG-C01003,ניו יאָרק,נייעם יידישן טעאַטער,2,,,
G066,4,4,specific,YES,נייעמיידישנטעאטער,ORG-C01003_Q03,ORG-C01003,לאָנדאָן,נייעם יידישן טעאַטער,1,,,
G066,4,4,specific,,נייעמיידישנטעאטער,ORG-C03366,ORG-C03366,קאָוונע,קאָוונער נייעם יידישן טעאַטער,1,,,
G067,4,3,specific,,גרויסנטעאטער,ORG-C01011,ORG-C01011,לאָדזש,לאָדזשער גרויסן טעאַטער,22,,,
G067,4,3,specific,,גרויסנטעאטער,ORG-C01316,ORG-C01316,לאָדזש,גרויסן טעאַטער,11,,,
G067,4,3,specific,,גרויסנטעאטער,ORG-C02261,ORG-C02261,לובלין,לובלינער גרויסן טעאַטער,1,,,
G067,4,3,specific,,גרויסנטעאטער,ORG-C02967,ORG-C02967,לעמבערג,לעמבערגער גרויסן טעאַטער,1,,,
G068,4,2,specific,YES,אמפיאנטעאטער,ORG-C01027_Q01,ORG-C01027,ניו יאָרק,אָמפיאָן-טעאַטער,12,,,
G068,4,2,specific,YES,אמפיאנטעאטער,ORG-C01027_Q02,ORG-C01027,ברוקלין,אָמפיאָן-טעאַטער,3,,,
G068,4,2,specific,,אמפיאנטעאטער,ORG-C03985,ORG-C03985,ברוקלין,ברוּקלינער אַמפיאָן-טעאַטער,2,,,
G068,4,2,specific,,אמפיאנטעאטער,ORG-C06340,ORG-C06340,ניו יאָרק,ניו-יאָרקער אָמפיאָן-טעאַטער,1,,,
G077,4,3,specific,YES,ארטיקניידישנטעאטער,ORG-C01275_Q01,ORG-C01275,דעטראָיט,אָרטיקן יידישן טעאַטער,1,,,
G077,4,3,specific,,ארטיקניידישנטעאטער,ORG-C03787,ORG-C03787,לאָדזש,לאָדזשער אָרטיקן יידישן טעאַטער,1,,,
G077,4,3,specific,YES,ארטיקניידישנטעאטער,ORG-C01275_Q04,ORG-C01275,לאָדזש,אָרטיקן יידישן טעאַטער,1,,,
G077,4,3,specific,YES,ארטיקניידישנטעאטער,ORG-C01275_Q03,ORG-C01275,קליוולאַנד,אָרטיקן יידישן טעאַטער,1,,,
G101,4,4,specific,YES,יידישעטעאטערסטודיע,ORG-C02283_Q01,ORG-C02283,קיעוו,יידישע טעאַטער-סטודיע,4,,,
G101,4,4,specific,YES,יידישעטעאטערסטודיע,ORG-C02283_Q02,ORG-C02283,טשערנאָוויץ,יידישע טעאַטער-סטודיע,1,,,
G101,4,4,specific,YES,יידישעטעאטערסטודיע,ORG-C02283_Q03,ORG-C02283,לאָדזש,יידישע טעאַטער-סטודיע,1,,,
G101,4,4,specific,YES,יידישעטעאטערסטודיע,ORG-C02283_Q04,ORG-C02283,פּעטראָגראָד,יידישע טעאַטער-סטודיע,1,,,
G001,3,2,specific,,פאוויליאנטעאטער,ORG-C00005,ORG-C00005,לאָנדאָן,פאַוויליאָן-טעאַטער,49,UNCLUSTER,,
G001,3,2,specific,,פאוויליאנטעאטער,ORG-C00556,ORG-C00556,לאָנדאָן,לאָנדאָנער פּאַוויליאָן טעאַטער,18,,,
G001,3,2,specific,,פאוויליאנטעאטער,ORG-C03855,ORG-C03855,שיקאַגער,שיקאַגער פּאוויליאָן-טעאַטער,1,,,
G007,3,3,specific,,אפערעהויז,ORG-C00087,ORG-C00087,קיעוו,קיעווער אָפּערע-הויז,1,,,
G007,3,3,specific,,אפערעהויז,ORG-C01170,ORG-C01170,דעטראָיט,דעטראָיטער אָפּערע-הויז,1,,,
G007,3,3,specific,,אפערעהויז,ORG-C07364,ORG-C07364,מילאַן,אָפּערע-הויז,1,,,
G011,3,3,specific,YES,עלדאראדא,ORG-C00144_Q01,ORG-C00144,וואַרשע,עלדאָראַדאָ,18,,,
G011,3,3,specific,YES,עלדאראדא,ORG-C00144_Q03,ORG-C00144,ניו-יאָרק,עלדאָראַדאָ,1,,,
G011,3,3,specific,YES,עלדאראדא,ORG-C00144_Q02,ORG-C00144,וואַרשעווער געטאָ,עלדאָראַדאָ,1,,,
G012,3,3,specific,YES,פראגרעסיוודראמאטיקקלוב,ORG-C00155_Q01,ORG-C00155,ניו-יאָרק,פּראָגרעסיוו דראַמאַטיק קלוב,24,ALIGN,363,Progresiv dramatik klub (Progressive Drama Club)
G012,3,3,specific,YES,פראגרעסיוודראמאטיקקלוב,ORG-C00155_Q05,ORG-C00155,קליוולאַנד,פּראָגרעסיוו דראַמאַטיק קלוב,1,NEW,699,פּראָגרעסיוו דראַמאַטיק קלוב
G012,3,3,specific,YES,פראגרעסיוודראמאטיקקלוב,ORG-C00155_Q03,ORG-C00155,נואַרק,פּראָגרעסיוו דראַמאַטיק קלוב,1,DEFER,,
G025,3,3,specific,,פאליטעאטער,ORG-C00292,ORG-C00292,באָלטימאָר,באָלטימאָרער פֿאָלי-טעאַטער,2,,,
G025,3,3,specific,YES,פאליטעאטער,ORG-C03848_Q02,ORG-C03848,באָלטימאַר,פּאַלי-טעאַטער,1,,,
G025,3,3,specific,YES,פאליטעאטער,ORG-C03848_Q01,ORG-C03848,שיקאָגאָ,פּאַלי-טעאַטער,1,,,
G031,3,2,specific,,סקאלאטעאטער,ORG-C00579,ORG-C00579,לאָדזש,לאָדזשער סקאַלאַ-טעאַטער,35,NEW,604,לאָדזשער סקאַלאַ-טעאַטער
G031,3,2,specific,YES,סקאלאטעאטער,ORG-C00409_Q01,ORG-C00409,לאָדזש,סקאַלאַ-טעאַטער,27,,,
G031,3,2,specific,YES,סקאלאטעאטער,ORG-C00409_Q02,ORG-C00409,וואַרשע,סקאַלאַ-טעאַטער,17,,,
G041,3,3,specific,YES,האפקינסאנ,ORG-C00593_Q01,ORG-C00593,ניו יאָרק,האָפּקינסאָן,9,ALIGN,282,Hopkinson Theatre
G041,3,3,specific,YES,האפקינסאנ,ORG-C00593_Q02,ORG-C00593,ברוקלין,האָפּקינסאָן,1,,,
G041,3,3,specific,YES,האפקינסאנ,ORG-C00593_Q03,ORG-C00593,בראָנזוויל,האָפּקינסאָן,1,,,
G045,3,3,specific,YES,פאבליקטעאטער,ORG-C00635_Q01,ORG-C00635,ניו יאָרק,פּאָבליק-טעאַטער,43,,,
G045,3,3,specific,YES,פאבליקטעאטער,ORG-C00635_Q02,ORG-C00635,פֿילאַדעלפיע,פאָבליק טעאַטער,1,,,
G045,3,3,specific,YES,פאבליקטעאטער,ORG-C00635_Q03,ORG-C00635,קליוולאַנד,פאָבליק טעאַטער,1,,,
G046,3,3,specific,YES,סטאנדארטטעאטער,ORG-C00639_Q01,ORG-C00639,טאָראָנטאָ,סטאַנדאַרט-טעאַטער,7,,,
G046,3,3,specific,YES,סטאנדארטטעאטער,ORG-C00639_Q02,ORG-C00639,לאָנדאָן,סטאַנדאַרט-טעאַטער,4,,,
G046,3,3,specific,YES,סטאנדארטטעאטער,ORG-C00639_Q03,ORG-C00639,באלטימאָר,סטאַנדאַרט-טעאַטער,1,,,
G050,3,3,specific,,פארקוועיטעאטער,ORG-C00683,ORG-C00683,ברוקלין,פאַרקוועי טעאַטער,14,,,
G050,3,3,specific,,פארקוועיטעאטער,ORG-C01358,ORG-C01358,ברוקלינער,ברוקלינער פּאַרקוועי-טעאַטער,2,,,
G050,3,3,specific,,פארקוועיטעאטער,ORG-C02273,ORG-C02273,ניו-יאָרק,ניו-יאָרקער פאַרקוועי טעאַטער,1,,,
G051,3,3,specific,,דראמאטישערגעזעלשאפט,ORG-C07256,ORG-C07256,שיקאַגאָ,שיקאַגער דראַמאַטישער געזעלשאַפט,4,,,
G051,3,3,specific,,דראמאטישערגעזעלשאפט,ORG-C00721,ORG-C00721,דעטראיט,דראַמאַטישער געזעלשאַפֿט,2,,,
G051,3,3,specific,,דראמאטישערגעזעלשאפט,ORG-C07171,ORG-C07171,קאָוונע,קאָוונער דראַמאַטישער געזעלשאַפט,1,,,
G060,3,2,specific,YES,מיניאטורטעאטער,ORG-C00873_Q01,ORG-C00873,ביאַליסטאָק,מיניאַטור-טעאַטער,6,,,
G060,3,2,specific,YES,מיניאטורטעאטער,ORG-C00873_Q02,ORG-C00873,ווין,מיניאַטור-טעאַטער,1,,,
G060,3,2,specific,,מיניאטורטעאטער,ORG-C02276,ORG-C02276,ביאַליסטאָק,ביאַליסטאָקער מיניאַטור טעאַטער,1,,,
G065,3,2,specific,YES,קאלאמביאטעאטער,ORG-C00986_Q01,ORG-C00986,פֿילאָדעלפיע,קאָלאָמביאַ-טעאַטער,11,,,
G065,3,2,specific,YES,קאלאמביאטעאטער,ORG-C00986_Q02,ORG-C00986,באָסטאָן,קאָלאָמביאַ-טעאַטער,2,,,
G065,3,2,specific,YES,קאלאמביאטעאטער,ORG-C00986_Q03,ORG-C00986,,קאָלאָמביאַ-טעאַטער,1,,,
G071,3,3,specific,YES,מאונטמאריסטעאטער,ORG-C01097_Q01,ORG-C01097,האַרלעם,מאונט מאָריס טעאַטער,4,,,
G071,3,3,specific,YES,מאונטמאריסטעאטער,ORG-C01097_Q02,ORG-C01097,אַמעריקע,מאונט מאָריס טעאַטער,1,,,
G071,3,3,specific,YES,מאונטמאריסטעאטער,ORG-C01097_Q03,ORG-C01097,ניויאָרק,מאונט מאָריס טעאַטער,1,,,
G073,3,2,specific,YES,פיפלסמיוזיקהאל,ORG-C01165_Q01,ORG-C01165,ניו-יאָרק,פּיפּלס מיוזיק האָל,4,,,
G073,3,2,specific,,פיפלסמיוזיקהאל,ORG-C06201,ORG-C06201,ניו יאָרק,ניויאָרקער פּיפּלס מיוזיק-האָל,1,,,
G073,3,2,specific,YES,פיפלסמיוזיקהאל,ORG-C01165_Q02,ORG-C01165,,פּיפּלס מיוזיק האָל,1,,,
G080,3,2,specific,YES,יידישנקינדערטעאטער,ORG-C01333_Q01,ORG-C01333,לאָס אַנדזשעלעס,יידישן קינדער-טעאַטער,3,,,
G080,3,2,specific,,יידישנקינדערטעאטער,ORG-C03604,ORG-C03604,קיעוו,קיעווער יידישן קינדער-טעאַטער,1,,,
G080,3,2,specific,YES,יידישנקינדערטעאטער,ORG-C01333_Q02,ORG-C01333,קיעוו,יידישן קינדער-טעאַטער,1,,,
