yiddish	occurrences	suggested_english	suggested_qid	suggested_category	basis	notes
לידז	2	Łódź	Q580	settlement	kimatch_variant	Lodz truncated typo
קוטנע	2	Kutno	Q1141454	settlement	wikidata_new	Poland
לעמבערנ	2	Lviv	Q36036	settlement	kimatch_variant	Lemberg typo (nun for gimel)
פּאָרין	2			unknown	unknown	
אַרגענטינע	2	Argentina	Q414	country	wikidata_new	
פּוילישער פּראָווינץ	2	Polish province		region	exclude	generic descriptor
אַנטווערפּן	2	Antwerp	Q12892	settlement	wikidata_new	Belgium
זשענעווע	2	Geneva	Q71	settlement	wikidata_new	Switzerland
גאָלדינגען	2	Kuldīga	Q187606	settlement	wikidata_new	Latvia (Goldingen)
זשאָלקיעוו	2	Zhovkva	Q205620	settlement	wikidata_new	Ukraine (Żółkiew)
סאָכאַטשאָוו	2	Sochaczew	Q461617	settlement	wikidata_new	Poland
האָליוואוד	2	Hollywood	Q34006	neighborhood	wikidata_new	Los Angeles
דרעזדען	2	Dresden	Q1731	settlement	wikidata_new	Germany
קוראָוו	2	Kurów	Q926807	settlement	wikidata_new	Poland
לעמבער	2	Lviv	Q36036	settlement	kimatch_variant	Lemberg truncated
באַראַנאָוויטש	2	Baranavichy	Q156970	settlement	wikidata_new	Belarus (Baranowicze)
לאָמזשע	2	Łomża	Q189603	settlement	wikidata_new	Poland
מונקאָטש	2	Mukachevo	Q183959	settlement	wikidata_new	Ukraine (Munkács)
ליסאַבאָן	2	Lisbon	Q597	settlement	wikidata_new	Portugal
ביראָבידזשאַן	2	Birobidzhan	Q5717	settlement	wikidata_new	Russia
מאַקאַראָוו	2	Makariv	Q1953005	settlement	wikidata_new	Ukraine
פּאָניאַטאָוו	2	Poniatowa	Q1132344	settlement	wikidata_new	Poland
ווילנער געטאָ	2	Vilna Ghetto	Q156859	ghetto	wikidata_new	sub-city historical site
שעדלעץ	2	Siedlce	Q14660	settlement	wikidata_new	Poland
ריגער געטאָ	2	Riga Ghetto	Q1370115	ghetto	wikidata_new	sub-city historical site
האָמל	2	Homel	Q66263	settlement	wikidata_new	Belarus variant
שאַוול	2	Šiauliai	Q160413	settlement	wikidata_new	Lithuania
אָדעסע	2	Odesa	Q1874	settlement	kimatch_variant	Odesa variant
אַטלאַנטאָ	2	Atlanta	Q23556	settlement	wikidata_new	USA
פּיאַטריקאָוו	2	Piotrków Trybunalski	Q204130	settlement	wikidata_new	Poland
וואָרליסט	2			unknown	unknown	
פּאָלטאווע	2	Poltava	Q125286	settlement	wikidata_new	Poltava variant
מילאַן	2	Milan	Q490	settlement	wikidata_new	Italy
ארץ-ישראל	2	Land of Israel	Q23793	region	wikidata_new	Eretz Israel
וויען-ברין	2			unknown	unknown	
לאָנראָן	2	London	Q84	settlement	kimatch_variant	London typo (r for d)
איזמאַאיל	2	Izmail	Q200687	settlement	wikidata_new	Ukraine
קאַאיראָ	2	Cairo	Q85	settlement	wikidata_new	Egypt
"ב""א"	2	Buenos Aires	Q1486	settlement	kimatch_variant	abbreviation
קאָלאָמעאַ	2	Kolomyia	Q210077	settlement	wikidata_new	Ukraine
סובאָלק	2	Suwałki	Q199689	settlement	wikidata_new	Poland
לייפּציק	2	Leipzig	Q2079	settlement	wikidata_new	Germany
אַמסטערדאָם	2	Amsterdam	Q727	settlement	wikidata_new	Netherlands
קאָליפֿאָרניע	2	California	Q99	region	wikidata_new	US state
דימונה	2	Dimona	Q193791	settlement	wikidata_new	Israel
קאָקאַנד	1			unknown	unknown	
קאָקאנד	1			unknown	unknown	
פּערם	1			unknown	unknown	
גראָזני	1			unknown	unknown	
נאָוואָסיבירסק	1			unknown	unknown	
רעוועל	1			unknown	unknown	
טשעראָוויץ	1			unknown	unknown	
יעקאָטעדינאָסלאָוו	1			unknown	unknown	
ארגענטינע	1	Argentina	Q414	country	wikidata_new	
ב'א	1			unknown	unknown	
ב'אַ	1			unknown	unknown	
ביעלאָ צערקאָוו	1			unknown	unknown	
וולאַצלאָוועק	1	Włocławek	Q146521	settlement	wikidata_new	Poland
וולאָצלאַווקער	1			unknown	unknown	
לאָוויטש	1			unknown	unknown	
בראַנקס, ניו-יאָרק	1			unknown	unknown	
נאָוואַראַדאָמסק	1			unknown	unknown	
דניעפּראָפּעטראָווסק	1			unknown	unknown	
בוענאָס אַרעס	1			unknown	unknown	
מאַרבורג	1			unknown	unknown	
קעלן	1			unknown	unknown	
קריוואָיראָג	1			unknown	unknown	
סואַוואָלק	1			unknown	unknown	
מינעאפּאָליס	1			unknown	unknown	
נאָנסי	1			unknown	unknown	
קאָרלסרוע	1			unknown	unknown	
נ. י	1			unknown	unknown	
באַקוו	1			unknown	unknown	
וואלדהיים	1			unknown	unknown	
קלעשטשעל	1			unknown	unknown	
ווילקאָווישקי	1			unknown	unknown	
אינסברוק	1			unknown	unknown	
קורלאַנד	1			unknown	unknown	
מיאָמער	1			unknown	unknown	
כאָטין	1			unknown	unknown	
פילאדלפיע	1			unknown	unknown	
פֿילאָדעליע	1			unknown	unknown	
ביראָ בידזשאַנער	1			unknown	unknown	
ביראָ בידזשאָן	1			unknown	unknown	
קאָכאָווקע	1			unknown	unknown	
קאנאַטאָפּ	1			unknown	unknown	
באַקי	1			unknown	unknown	
ניו הייווען	1			unknown	unknown	
בּראָנז וויל	1			unknown	unknown	
דאָנבאַס	1			unknown	unknown	
ברוקליינער	1			unknown	unknown	
וואַרשאָו	1			unknown	unknown	
סאָסאָוו	1			unknown	unknown	
פולאדעלפיע	1			unknown	unknown	
פֿילאַָעלפֿיער	1			unknown	unknown	
האַדלעם	1			unknown	unknown	
האָבלעם	1			unknown	unknown	
נאַנסי	1			unknown	unknown	
קאָמטשאַטקאַ	1			unknown	unknown	
קארלסבאַד	1			unknown	unknown	
מינעאָפּאָליס	1			unknown	unknown	
יעליסאַ וועטגראַד	1			unknown	unknown	
קאָמעניעץ	1			unknown	unknown	
ווילנע-וואַרשע	1			unknown	unknown	
וואָרששע	1			unknown	unknown	
לובני	1			unknown	unknown	
נאָווגאָראָד	1			unknown	unknown	
וויליאָמסבורגער	1			unknown	unknown	
סאָלעטשניק	1			unknown	unknown	
פּאַגעוועזש	1			unknown	unknown	
סט.לואיס	1			unknown	unknown	
וואָסלויאי	1			unknown	unknown	
פּאַביאַניץ	1			unknown	unknown	
זינאָוויאָווסק	1			unknown	unknown	
פעלדאַפינג	1			unknown	unknown	
קאָלגאָרי	1			unknown	unknown	
אָרלע	1			unknown	unknown	
סאָוויעטןפֿאַרבאַנד	1			unknown	unknown	
קאָנסטאַנטינאָווקע	1			unknown	unknown	
פּרעסבורג (בראָטיסלאָוואַ)	1			unknown	unknown	
מונקאַטש	1	Mukachevo	Q183959	settlement	wikidata_new	Ukraine (Munkács)
דיסעלדאָרף	1			unknown	unknown	
רוטשבאַראַ ביי סענדוויטש	1			unknown	unknown	
קרית-ביאליק	1			unknown	unknown	
מימי ביטש	1			unknown	unknown	
ברוקליין	1			unknown	unknown	
וויליאַמסבורגער	1			unknown	unknown	
בריקלין	1			unknown	unknown	
דינאַבורג (דווינסק)	1			unknown	unknown	
פראָווינץ	1	province		region	exclude	generic descriptor
טשערפּאַנאָוו	1			unknown	unknown	
ני-ויאָרק	1			unknown	unknown	
לעמיש	1			unknown	unknown	
קאַרסען	1			unknown	unknown	
קלויזענבורג	1			unknown	unknown	
מאָלדאָוויע	1			unknown	unknown	
פלעינפילד	1			unknown	unknown	
וואַשינגטאָן, ד. ק.	1			unknown	unknown	
נו-אָרק	1			unknown	unknown	
פלעטבוש	1			unknown	unknown	
בעיאָן	1			unknown	unknown	
פּאַלס ספּרינג	1			unknown	unknown	
סט. לואיז	1			unknown	unknown	
וויין	1			unknown	unknown	
ביירוט	1			unknown	unknown	
מאַרמאַראָש סיגעט	1			unknown	unknown	
קלייוולאַנד	1			unknown	unknown	
לאָדזער	1			unknown	unknown	
האָוואַנאַ	1	Havana	Q1563	settlement	wikidata_new	Cuba
פֿילאדעלפֿייער	1	Philadelphia	Q1345	settlement	kimatch_variant	Philadelphia variant; adjectival of 'פֿילאדעלפֿייע'
ניו אַרקער	1			unknown	unknown	
ביראַ בידזשאַן	1			unknown	unknown	
לינץ	1			unknown	unknown	
לינץ (עסטרייך)	1			unknown	unknown	
קאָנאַטאָפּ	1			unknown	unknown	
קייפּטאָן	1			unknown	unknown	
פֿראַנקפורט	1			unknown	unknown	
לבוב	1			unknown	unknown	
אַרץ-ישראל	1	Land of Israel	Q23793	region	wikidata_new	Eretz Israel
אָרץ ישראל	1			unknown	unknown	
נויאָרק	1			unknown	unknown	
לאַגערן פֿון פעלדאַנפונג. מינכען. שטוטגאַרט	1			unknown	unknown	
וויטעבק	1			unknown	unknown	
סיטאווא	1			unknown	unknown	
מיאַמיביעטש	1			unknown	unknown	
סאָוט פֿאָלסבערג	1			unknown	unknown	
סאָלק לייק סיטי	1			unknown	unknown	
ני-יאָרק	1			unknown	unknown	
אַטלאַנטיק סיטי	1			unknown	unknown	
סאָפיע	1			unknown	unknown	
קרעמענשטוג	1			unknown	unknown	
טשעטשעלניק	1			unknown	unknown	
נאָוואָ-מינסק	1			unknown	unknown	
ריכבאַך	1			unknown	unknown	
פֿראַנקפורט ביים מיין	1			unknown	unknown	
קראָנשטאַט	1			unknown	unknown	
בוענאָס-אַרעס	1			unknown	unknown	
"פּט""ב"	1			unknown	unknown	
וואָלבזשיך	1			unknown	unknown	
גדאַנסק	1			unknown	unknown	
ראַדאָם	1			unknown	unknown	
לוד	1			unknown	unknown	
געניטשעסק	1			unknown	unknown	
ראַדאָמיסל	1			unknown	unknown	
דעמבאָ	1			unknown	unknown	
בערלאָד	1			unknown	unknown	
לאָזאַן	1			unknown	unknown	
סווערדלאָווסק	1			unknown	unknown	
טריער	1			unknown	unknown	
מזרח און מערב-אייראָפּע	1			unknown	unknown	
טעלז	1			unknown	unknown	
מאָהילנע	1			unknown	unknown	
מעזשיבעזש	1			unknown	unknown	
ריאָ	1			unknown	unknown	
פֿילאַדעלפיע ניו-יאָרק	1			unknown	unknown	
עסטערגאָם	1			unknown	unknown	
קאַרלין	1			unknown	unknown	
קווינס	1			unknown	unknown	
מימי	1			unknown	unknown	
מיאמי ביטש	1			unknown	unknown	
וועליש	1			unknown	unknown	
דרעזען	1			unknown	unknown	
ספּרינגפעלד	1			unknown	unknown	
מלאווע	1	Mława	Q572394	settlement	wikidata_new	Poland
קאָפּענהאַגען	1			unknown	unknown	
כפר חבד	1			unknown	unknown	
פּאָדהייצע	1			unknown	unknown	
קאלאמעא	1	Kolomyia	Q210077	settlement	wikidata_new	Ukraine
קאָוועל	1			unknown	unknown	
מאַריאַמפּאָל	1			unknown	unknown	
מאַריאָמפּאָל	1			unknown	unknown	
יוזעפקא	1			unknown	unknown	
יוזעפקאַ	1			unknown	unknown	
מוראוויאָוו	1			unknown	unknown	
באַרקאָוו	1			unknown	unknown	
לאָמזשער	1	Łomża	Q189603	settlement	wikidata_new	Poland; adjectival of 'לאָמזשע'
נעזשניווקע	1			unknown	unknown	
בויסק	1			unknown	unknown	
קאָלנע	1			unknown	unknown	
ביראָבידזשאָן	1	Birobidzhan	Q5717	settlement	wikidata_new	Russia
נידערשלעזיע	1			unknown	unknown	
געטאָ-וואַרשע	1			unknown	unknown	
געטאָ	1			unknown	unknown	
אַסכאַבאַד	1			unknown	unknown	
רעשע	1			unknown	unknown	
זשאַלודאָק	1			unknown	unknown	
קעשנעוו	1			unknown	unknown	
מיטלאַזיע	1			unknown	unknown	
וולאָדאַווע	1			unknown	unknown	
קאַלאָמעאַ	1	Kolomyia	Q210077	settlement	wikidata_new	Ukraine
קאָלאָמעאָ	1	Kolomyia	Q210077	settlement	wikidata_new	Ukraine
זלאַטאָפּאָל	1			unknown	unknown	
ביי דאָרפּאַט	1			unknown	unknown	
טשעכאָסלאָוואַקיישע שטעט און שטעטלעך	1			unknown	unknown	
קורסק	1			unknown	unknown	
מיעדזשעשין	1			unknown	unknown	
באַזעל	1			unknown	unknown	
קאַנאַטאָפּ	1			unknown	unknown	
ברין	1			unknown	unknown	
אַסי	1			unknown	unknown	
בערעזאָווקע	1			unknown	unknown	
וואָסילקאָוו	1			unknown	unknown	
בערלאד	1			unknown	unknown	
קאָלאָמעא	1	Kolomyia	Q210077	settlement	wikidata_new	Ukraine
זכרון יעקב	1			unknown	unknown	
קעשענער	1			unknown	unknown	
ראַדזימין	1			unknown	unknown	
אַנדיזשאַן	1			unknown	unknown	
סאַראַטאָוו	1			unknown	unknown	
ווילנאַ	1			unknown	unknown	
וואָלסק	1			unknown	unknown	
פת	1			unknown	unknown	
כאָר	1			unknown	unknown	
קרית אונו	1			unknown	unknown	
ינחלת נאָשעלסק	1			unknown	unknown	
ניופּאָרט	1			unknown	unknown	
חדרה	1			unknown	unknown	
ניאָרק	1			unknown	unknown	
אַוועזשאַנעדער	1			unknown	unknown	
קאָליפֿאַרניע	1	California	Q99	region	wikidata_new	US state
ניו-דזשוירזי	1			unknown	unknown	
סאוט העיווען	1			unknown	unknown	
לוגאַנסק	1			unknown	unknown	
בראַנסקער	1	Bronx	Q18426	neighborhood	wikidata_new	Bronx adjectival
בראנסק	1			unknown	unknown	
בראָנקסער	1	Bronx	Q18426	neighborhood	wikidata_new	Bronx adjectival
האָליוואוּד	1	Hollywood	Q34006	neighborhood	wikidata_new	Los Angeles
נאַרוואַ	1			unknown	unknown	
ניו-הייווען	1			unknown	unknown	
קאָלאָמעע	1			unknown	unknown	
פּענזע	1			unknown	unknown	
אוקראַאינע	1			unknown	unknown	
לין	1			unknown	unknown	
קאַווקאַז	1			unknown	unknown	
סיריע	1			unknown	unknown	
אַמסטערדאַם	1	Amsterdam	Q727	settlement	wikidata_new	Netherlands
כערגען-כעלזען	1			unknown	unknown	
פֿילאָרעלפיע	1			unknown	unknown	
ראטשעסטער	1			unknown	unknown	
פאָדגורזע	1			unknown	unknown	
ווייטעבּסק	1			unknown	unknown	
האַרטעם	1			unknown	unknown	
האָראָדענקאָ	1			unknown	unknown	
ניו דזשוירסי	1			unknown	unknown	
אלטשעווסק	1			unknown	unknown	
פּעטערסאַן	1			unknown	unknown	
באָראָ-פּאַרק	1			unknown	unknown	
יעקאַטערינבורג	1			unknown	unknown	
מאָנהעטן	1			unknown	unknown	
א'י	1			unknown	unknown	
בראָנקס	1	Bronx	Q18426	neighborhood	wikidata_new	NYC borough
מאַנהיימער	1			unknown	unknown	
מאָנטיווידאַ	1			unknown	unknown	
ווילנא	1			unknown	unknown	
סאָקאָלאָוו	1			unknown	unknown	
טאַראַנטע	1			unknown	unknown	
סטאַפּניצער	1			unknown	unknown	
ניו-אַרלאַנס	1			unknown	unknown	
מיינינגען	1			unknown	unknown	
פֿהילאָדעלפהיאַ	1			unknown	unknown	
סצבעזש	1			unknown	unknown	
האַרלעמער	1			unknown	unknown	
טאָראַָטאָ	1			unknown	unknown	
ביעלאַצערקאָוו	1	Bila Tserkva	Q33529	settlement	wikidata_new	Ukraine
ענגלאַנד	1			unknown	unknown	
ביעלאַ-צערקאָוו	1			unknown	unknown	
באָסקאָוויץ	1			unknown	unknown	
אָדעססאַ	1			unknown	unknown	
ווייטעבסק	1			unknown	unknown	
פֿאָלטאַווע	1	Poltava	Q125286	settlement	wikidata_new	Poltava variant
טאוואָרעק	1			unknown	unknown	
באקאו	1			unknown	unknown	
טשערקאָס	1			unknown	unknown	
סמילע	1			unknown	unknown	
ראָוונע לוצק-קאָוול	1			unknown	unknown	
כוקאָרעסט	1			unknown	unknown	
קראָקאַווע	1			unknown	unknown	
קענינסגערג	1			unknown	unknown	
שאָרלאַטענבורג	1			unknown	unknown	
פּעטראָגדאָד	1			unknown	unknown	
קענינסבערג	1			unknown	unknown	
קינינסברג	1			unknown	unknown	
אָטען	1			unknown	unknown	
קריוואָי-ראָג	1			unknown	unknown	
זעמבין	1			unknown	unknown	
מאָרמאַראָש סינעט	1			unknown	unknown	
ליבאַוויטש	1			unknown	unknown	
ליבאָוויטש	1			unknown	unknown	
אָדעססא	1			unknown	unknown	
ציריך	1			unknown	unknown	
לובליז	1			unknown	unknown	
אָלעקסאָנדראָוו	1			unknown	unknown	
נאָוואָסעלץ	1			unknown	unknown	
ווירצבורג	1			unknown	unknown	
גראָבין	1			unknown	unknown	
היידעלבערג	1			unknown	unknown	
סמאָלענסק	1			unknown	unknown	
בעסאַראָביע	1	Bessarabia	Q189834	region	wikidata_new	historical
ברדיטשוב	1			unknown	unknown	
האָמבורג	1	Hamburg	Q1055	settlement	wikidata_new	Germany
בוענאָס-איידעס	1			unknown	unknown	
ווייטערסק	1			unknown	unknown	
בראָנקס, ניו-יאָרק	1			unknown	unknown	
בראַנווילער	1			unknown	unknown	
בראַנוויל	1			unknown	unknown	
מאָלטש	1			unknown	unknown	
בראַאילא	1			unknown	unknown	
ליד	1			unknown	unknown	
אָהאיאָ	1			unknown	unknown	
טראָי	1			unknown	unknown	
נירנבערג	1			unknown	unknown	
ווייטשעפּעל	1			unknown	unknown	
נאָדינאָ	1			unknown	unknown	
פּרעסבורג	1			unknown	unknown	
מאָהילעווער	1			unknown	unknown	
באָראַ פּאַרק	1			unknown	unknown	
ברעסלע	1			unknown	unknown	
כודאָפּעסט	1			unknown	unknown	
באָזעל	1			unknown	unknown	
ראָדין	1			unknown	unknown	
בראַאילאַ	1			unknown	unknown	
פֿאָל ריווער	1			unknown	unknown	
יאָראָסלאָוול	1			unknown	unknown	
לעטיטשעוו	1			unknown	unknown	
פֿאַר ראַקאָוועי	1			unknown	unknown	
וואַשילישאָק	1			unknown	unknown	
ראַדין	1			unknown	unknown	
האַנאָווער	1			unknown	unknown	
סיגייט	1			unknown	unknown	
גאלאטי	1			unknown	unknown	
האַמבורג	1	Hamburg	Q1055	settlement	wikidata_new	Germany
שאַוועל	1			unknown	unknown	
ריטשמאַנד, סטעטען איילאַנד	1			unknown	unknown	
קראַקאָווע	1			unknown	unknown	
וווין-בריין	1			unknown	unknown	
פרונזאַ	1			unknown	unknown	
זאַגער	1			unknown	unknown	
מעדיסאָן	1			unknown	unknown	
אָטאַקיי	1			unknown	unknown	
עקראָן	1			unknown	unknown	
מעסעטשוסעטש	1			unknown	unknown	
זשיראַרדאָוו	1			unknown	unknown	
פּעריעסלאָוו	1			unknown	unknown	
ראַטשעסטער	1			unknown	unknown	
איסט סייד	1			unknown	unknown	
פלאַנסק	1			unknown	unknown	
מדינת ישראל	1			unknown	unknown	
פּעטערסאָן	1			unknown	unknown	
צפת	1			unknown	unknown	
סקאַדוויל	1			unknown	unknown	
