old_cluster_id	new_cluster_id	name	org_type	settlement	address	venue	country
ORG-C00840	ORG-C00840_S03	שלום-עליכם-שול	school			שלום-עליכם-שול	
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פילאדעלפיע			
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פֿילאָדעלפֿיע			אַמעריקע
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פילאָדעלפיע			
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פֿילאַדעלפיע			
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פֿילאַדעלפיע		אידישע וועלט	אַמעריקע
ORG-C00882	ORG-C00882_S01	אידישע וועלט	newspaper	פֿילאָדעלפֿיע		אָרטיקער	
ORG-C00882	ORG-C00882_S02	אידישע וועלט	newspaper	קליוולאַנד			
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	ווילנע		יידישן פֿאָלקס-טעאַטער	
ORG-C00893	ORG-C00893_S01	יידישן פאָלקס-טעאָטער אין ווילנע	theatre	ווילנע			
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	ווילנע	לודוויסאָרסקאַ 5	לודוויסאָרסקאַ 5	
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	קאָוונע		יידישן פאָלקס-טעאַטער	
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	ווילנע		יידישע פֿאָלקס-טעאַטער	
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	פֿילאָדעלפיע		יידישן פֿאָלקס-טעאַטער	
ORG-C00893	ORG-C00893_S01	יידישן פֿאָלקס-טעאַטער	theatre	בוענאָס איירעס		יידישן פֿאָלקסטעאַטער	אַרגענטינע
ORG-C00893	ORG-C00893_S02	יידישן פֿאָלקס-טעאַטער	theatre	לעמבערג			
ORG-C00893	ORG-C00893_S03	יידישן פֿאָלקס-טעאַטער	theatre	לאָנדאָן			ענגלאַנד
ORG-C00893	ORG-C00893_S04	יידישן פֿאָלקס-טעאַטער	theatre	ניו יאָרק			
ORG-C00893	ORG-C00893_S05	יידישן פֿאָלקס-טעאַטער	theatre	אָרגענטינע			
ORG-C00988	ORG-C00988_S01	טעאַטער ראָזמאַאיטאָשטשי	theatre	וואַרשע			
ORG-C00988	ORG-C00988_S02	טעאַטער ראָזמאַאיטאָשטשי	theatre	ראַדאָם			
ORG-C00995	ORG-C00995_S01	יידישע טעאַטער געזעלשאַפֿט	union/association	וואַרשע			
ORG-C00995	ORG-C00995_S02	יידישע טעאַטער געזעלשאַפֿט	theatre	פּעטערבורג			
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מארינסקי-טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		"„מאַרינסקי""-טעאַטער"	רוסלאַנד
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		"„מאַרינסקי""-טעאַטער"	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאַרינסקי טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס			
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאָרינסקי- טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאַרינסקי טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאָרינסקי-טעאָטער	רוסלאַנד
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאָרינסקי טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאַרינסקי טעאַטער	
ORG-C01003	ORG-C01003_S01	מאַרינסקי טעאַטער	theatre	אָדעס		מאַרינסקי טעאַטער	
ORG-C01003	ORG-C01003_S02	מאַרינסקי טעאַטער	theatre	פּעטראָגראָד			
ORG-C01029	ORG-C01029_S01	הדסה	institution	ברוקלין			
ORG-C01029	ORG-C01029_S02	הדסה	organization	דעטראָיט			
ORG-C01029	ORG-C01029_S03	הדסה	organization			ישראָל	ישראָל
ORG-C01039	ORG-C01039_S01	יידיש ראַדיאָ-פּראָגראַם	radio	מימי ביטש			
ORG-C01039	ORG-C01039_S02	יידיש ראַדיאָ-פּראָגראַם	radio	ניו יאָרק			
ORG-C01039	ORG-C01039_S03	יידיש ראַדיאָ-פּראָגראַם	radio			מעקסיקע	מעקסיקע
ORG-C01039	ORG-C01039_S04	יידיש ראַדיאָ-פּראָגראַם	newspaper	דעטראָיט			
ORG-C01039	ORG-C01039_S05	יידיש ראַדיאָ-פּראָגראַם	radio	לאָס אַנדזשעלעס			
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ניו יאָרק		נייעם יידישן טעאַטער	אַמעריקע
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ריגע		נייעם יידישן טעאַטער	
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ריגע		נייעם יידישן טעאַטער	
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ניו יאָרק		נייעם יידישן טעאַטער	
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ריגע			לעטלאַנד
ORG-C01069	ORG-C01069_S01	נייעם יידישן טעאַטער	theatre	ריגע			
ORG-C01069	ORG-C01069_S02	נייעם יידישן טעאַטער	theatre	לאָנדאָן			
ORG-C01201	ORG-C01201_S01	צייט	newspaper				אַמעריקע
ORG-C01201	ORG-C01201_S02	צייט	newspaper	לאָנדאָן			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע		ווילנער „פֿאָלקס טעאַטער“	
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע		ווילנער	
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע		פאָלקס טעאַטער	ליטע
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנע			
ORG-C01205	ORG-C01205_S01	ווילנער פֿאָלקס-טעאַטער	theatre	ווילנער			
ORG-C01205	ORG-C01205_S02	ווילנער פֿאָלקס-טעאַטער	theatre	קאָוונע			
ORG-C01232	ORG-C01232_S01	אָרטיקן יידישן מלוכה-טעאַטער	theatre	מאָלדאָוויע			
ORG-C01232	ORG-C01232_S02	אָרטיקן יידישן מלוכה-טעאַטער	theatre	לעמבערג		אָרטיקן יידישן מלוכה-טעאַטער	
ORG-C01236	ORG-C01236_S01	שובערט טעאַטער	theatre	פלעינפילד		שובערט-טעאַטער	
ORG-C01236	ORG-C01236_S02	שובערט טעאַטער	theatre	ניו יאָרק	46טע סטריט און בראָדוועי		
ORG-C01252	ORG-C01252_S01	ליטמאַן	theatre	טאָראַנטאָ			
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראָיט			אַמעריקע
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראיט			
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראָיט			
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראָיט			
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראָיט		ליטמאַן	
ORG-C01252	ORG-C01252_S02	ליטמאַן	theatre	דעטראָיט			אַמעריקע
ORG-C01306	ORG-C01306_S01	דער אידישער זשורנאַל	newspaper	טאָראַנטאָ			
ORG-C01306	ORG-C01306_S01	דער אידישער זשורנאַל	newspaper	טאָראַנטאָ		דער אידישער זשורנאַל	קאַנאַדע
ORG-C01306	ORG-C01306_S02	דער אידישער זשורנאַל	newspaper	לאָנדאָן			ענגלאַנד
ORG-C01376	ORG-C01376_S01	אָרטיקן יידישן טעאַטער	theatre	דעטראָיט			פאַראייניקטע שטאַטן
ORG-C01376	ORG-C01376_S02	אָרטיקן יידישן טעאַטער	theatre	לאָדזש			
ORG-C01376	ORG-C01376_S03	אָרטיקן יידישן טעאַטער	theatre	קליוולאַנד		אָרטיקן יידישן טעאַטער	
ORG-C01382	ORG-C01382_S01	"וואַרשעווער טעאַטער ""נאָוואָסטשי"""	theatre	וואַרשעווער		נאָוואָסטשי	
ORG-C01382	ORG-C01382_S02	"וואַרשעווער טעאַטער ""נאָוואָסטשי"""	theatre	וואַרשע		טעאַטער נאָוואָשטשי	פּוילן
ORG-C01393	ORG-C01393_S01	פֿאָלקס אוניווערזיטעט	school		גייערס מאַרק	פֿאָלקס אוניווערזיטעט	
ORG-C01393	ORG-C01393_S02	פֿאָלקס אוניווערזיטעט	school	ניו יאָרק			אַמעריקע
ORG-C01393	ORG-C01393_S03	פֿאָלקס אוניווערזיטעט	school	קוראָוו			
ORG-C01438	ORG-C01438_S01	יידישן קינדער-טעאַטער	theatre			יידישן קינדער-טעאַטער	
ORG-C01438	ORG-C01438_S02	יידישן קינדער-טעאַטער	theatre	קיעוו			
ORG-C01438	ORG-C01438_S03	יידישן קינדער-טעאַטער	theatre	לאָס אַנדזשעלעס		ווילשייער איבעל טעאַטער	
ORG-C01438	ORG-C01438_S03	יידישן קינדער-טעאַטער	theatre	לאָס אַנדזשעלעס			
ORG-C01463	ORG-C01463_S01	ברוקלינער פּאַרקוועי-טעאַטער	theatre	ברוקלינער		ברוקלינער פּאַרקוועי-טעאַטער	
ORG-C01463	ORG-C01463_S02	ברוקלינער פּאַרקוועי-טעאַטער	theatre	ברוקלין		"„פאַרקוועי""-טעאַטער"	אמעריקע
ORG-C01481	ORG-C01481_S01	גרין סטריט טעאַטער	theatre	פֿילאַדעלפיע		גרין סטריט טעאַטער	
ORG-C01481	ORG-C01481_S02	גרין סטריט טעאַטער	theatre	פֿילאדעלפֿייער			
ORG-C01483	ORG-C01483_S01	יידישן אַקטיאָרן קלוב	club	ניו יאָרק	31 איסט זיבעטע גאַס	בנין פֿון דער יידישער אַקטיאָרן-יוניע	
ORG-C01483	ORG-C01483_S02	יידישן אַקטיאָרן קלוב	union	לאָס אַנדזשעלעס			
ORG-C01505	ORG-C01505_S01	תיאָטרון עברי	theatre	אָרץ ישראל			
ORG-C01505	ORG-C01505_S01	תיאָטרון עברי	theatre	אַרץ-ישראל		תיאטרון עברי	
ORG-C01505	ORG-C01505_S02	תיאָטרון עברי	theatre			אין אַרץ-ישראל	אַרץ-ישראל
ORG-C01505	ORG-C01505_S02	תיאָטרון עברי	theatre				אַרץ ישראל
ORG-C01509	ORG-C01509_S01	יידישע קולטור-געזעלשאַפט	organization	ניו יאָרק		כיטי קאָלעדזש	
ORG-C01509	ORG-C01509_S01	יידישע קולטור-געזעלשאַפט	society	ניו-יאָרק		יידישע קולטור-געזעלשאַפט	
ORG-C01509	ORG-C01509_S02	יידישע קולטור-געזעלשאַפט	theatre	קליוולאַנד	קינסמאַן און 135-טע גאַס	קאונסיל עדוקיישאָנעל עלייענס	
ORG-C01509	ORG-C01509_S03	יידישע קולטור-געזעלשאַפט	cultural society	שיקאַגאָ	1100 קעדזי עוועניו	קעלער פון דעם הויז	
ORG-C01522	ORG-C01522_S01	פּראָגרעס	publisher	וואַרשע			
ORG-C01522	ORG-C01522_S01	פּראָגרעס	publisher	וואַרשע			פּוילן
ORG-C01522	ORG-C01522_S01	פּראָגרעס	publisher	וואַרשע			
ORG-C01522	ORG-C01522_S02	פּראָגרעס	publisher	נ. י.			
ORG-C01530	ORG-C01530_S01	אַררט	theatre	ווילנע			
ORG-C01530	ORG-C01530_S02	אַררט	troupe			לאָדזש	
ORG-C01530	ORG-C01530_S03	אַררט	theatre	לאָדזשער			
ORG-C01530	ORG-C01530_S04	אַררט	theatre	לאָדזש			
ORG-C01530	ORG-C01530_S04	אַררט	theatre	לאָדזש			
ORG-C01530	ORG-C01530_S04	אַררט	theatre	לאָדזש			פּוילן
ORG-C01530	ORG-C01530_S04	אַררט	theatre	לאָדזש		"„אַררט"""	
ORG-C01530	ORG-C01530_S04	אַררט	theatre	לאָדזש			
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	שיקאַגאָ			
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	שיקאָגאָ		מעטראָפּאָליטאָן-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	שיקאַגאָ		מעטראָפּאָליטאָן-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נואָרק		מעטראָפּאָליטען-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	פֿילאַדעלפיע		מעטראָפּאָליטאָן-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נוארק		מעטראָפּאָליטאָן-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נויאָרק		מעטראָפּאָליטאָן טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נוארק		מעטראָפּאָליטאן טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאַן-טעאַטער	theatre	נוארק		מעטראָפּאָליטאַן-טעאַטער	
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נואַרק			
ORG-C01548	ORG-C01548_S01	מעטראָפּאָליטאָן-טעאַטער	theatre	נוארק			
ORG-C01548	ORG-C01548_S02	מעטראָפּאָליטאָן-טעאַטער	theatre	בראַנזווייל			
ORG-C01611	ORG-C01611_S01	יידישן קולטור צענטער	theatre	מאָנטרעאָל			
ORG-C01611	ORG-C01611_S02	יידישן קולטור צענטער	cultural_center	מיאַמיביעטש			
ORG-C01614	ORG-C01614_S01	רומענישער שול	shul	ניו יאָרק			
ORG-C01614	ORG-C01614_S01	רומענישער שול	synagogue	ניו יאָרק			
ORG-C01614	ORG-C01614_S02	רומענישער שול	school	יאָסי			רומעניע
ORG-C01691	ORG-C01691_S01	יורידישן פֿאַקולטעט	school	ווראַצלאָוו			
ORG-C01691	ORG-C01691_S02	יורידישן פֿאַקולטעט	school	שיקאָגאָ			
ORG-C01810	ORG-C01810_S01	שטאָט-ראַט	organization	גראָדנע		שטאָט-ראָט	
ORG-C01810	ORG-C01810_S02	שטאָט-ראַט	council	לאָדזש			
ORG-C01846	ORG-C01846_S01	גליקמאַן	troupe	שיקאַגע			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאַגאָ		גליקמאַן	אַמעריקע
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאַגאַ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאַגאַ		גליקמאַן	
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאַגאַ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	troupe	שיקאַגאָ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאגאָ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאגאָ			אַמעריקע
ORG-C01846	ORG-C01846_S01	גליקמאַן	troupe	שיקאָגאָ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאָגאָ		גליקמאַן	
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאָגאָ			
ORG-C01846	ORG-C01846_S01	גליקמאַן	theatre	שיקאָגאָ			אַמעריקע
ORG-C01846	ORG-C01846_S02	גליקמאַן	theatre	שיקאָנאַ			
ORG-C01858	ORG-C01858_S01	ווילנער גימנאַזיע	school	ווילנע			
ORG-C01858	ORG-C01858_S01	ווילנער גימנאַזיע	school	ווילנע		ווילנער גימנאַזיע	
ORG-C01858	ORG-C01858_S02	ווילנער גימנאַזיע	school	ווין			
ORG-C01951	ORG-C01951_S01	יידישער פאָלקסשול	school	ווילנע			
ORG-C01951	ORG-C01951_S02	יידישער פאָלקסשול	school	דעטראָיט			
ORG-C02050	ORG-C02050_S01	שיקאַגער יידישער דראַמאַטיישער געזעלשאַפט	theatre	שיקאַגער			
ORG-C02050	ORG-C02050_S02	שיקאַגער יידישער דראַמאַטיישער געזעלשאַפט	theatre	שיקאַגאָ			
ORG-C02081	ORG-C02081_S01	טעאַטער נאָווי	theatre	וואַרשע	קרולעווסקאַ גאַס	טעאַטער נאָווי	
ORG-C02081	ORG-C02081_S01	טעאַטער נאָווי	theatre	וואַרשע		נאָווי	פּוילן
ORG-C02081	ORG-C02081_S01	טעאַטער נאָווי	theatre	אָדעס		נאָווי	
ORG-C02081	ORG-C02081_S01	טעאַטער נאָווי	theatre	אָדעם		נאָווי טעאַטער	
ORG-C02081	ORG-C02081_S02	טעאַטער נאָווי	theatre			קרולעווסקאַ	
ORG-C02114	ORG-C02114_S01	קונסט-אָקאָדעמיע	school	אַנטווערפן		קונסט-אַקאַדעמיע	
