_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_flag	reviewer_is_person_ref	reviewer_suggested_type	reviewer_org_candidate	reviewer_notes
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_174_tr_1747825082	קרעלמאַן, יצחק	5182-5182				theatre	קאַמינסקי	קאַמינסקי	טעאַטער	Leadership_Ownership	owner_manager	"געווען באַטייליקט אין דער דירעקציע פֿון „קאַמינסקי"""	דירעקציע			וואַרשע	קאַמינסקי טעאַטער	פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_265_tr_1747928990	רובינשטיין, צבי-הירש	5363-5363				publisher	רומשינסקי-בוך	רומשינסקי-בוך		Employment_Performance	artistic_staff	ר. איז אויך געווען אַ מיטרעדאַקטאָר פֿון ״רומשינסקי-בוך״	מיטרעדאַקטאָר	1931		ניו-יאָרק					1931									proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_19_tr_1729944965	אוגער ישעיה	3706-3714				school	הויכשל פון קעניגסבערג	הויכשל פון קעניגסבערג	אוניווערסיטעט	Education_Formation	student	וואו ער האָט שטודירט פילאָלאָגיע אין דער הויכשל פון קעניגסבערג	סטודענט			קעניגסבערג		דייטשלאַנד												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_56_r_1	וויינבערג, סאָניע [קאַרל]	3780-3780				troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	3 חדשים ביי זאַנדבערג אין לאָדזש				לאָדזש														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_164_tr_1735652626	שטאָקפעדער, אַברהם [משה]	3995-3997				troupe	קאַמינסקי	קאַמינסקי		Employment_Performance	performer	פֿון 1910 (שטאַביל) ביי קאַמינסקי	פאַט-קאָמיקער	1910																proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_185_tr_1736588927	שעפנער, יעקב	4038-4038				troupe			מיט פֿישעלעוויטש	Employment_Performance	performer	שפּילט ער 3 חדשים מיט פֿישעלעוויטש אין בערלין		1921		בערלין														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_210_tr_1739220936	וועטשטיין, קלאַראַ [נעכעלעס-בוקסענבוים]	4088-4088				troupe			מיט דוד וועטשטיין	Employment_Performance	performer	צוזאַמען מיט אים געשפּילט אין גאַליציע און רומעניע		1903					גאַליציע											descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_264_tr_1739221900	עפּשטיין, בנימין	4195-4195				troupe			מיט קאַמינסקי און טורקאָוו	Employment_Performance	performer	1920 — מיט קאַמינסקי און טורקאָוו		1920																descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_421_tr_1739222380	בעלעגאָלאָווסקאַ, אַננאַ (חנה)	4510-4510				troupe			ביי זשיטאָמירסקי	Employment_Performance	performer	1924 — געשפּילט ביי זשיטאָמירסקי אין מאָסקווע		1924	1924	מאָסקווע					1924	1924								descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_460_tr_1739221038	קאַציזנע, אַלטער (שלום)	396-4888				newspaper	יעוורעיסקי מיר	יעוורעיסקי מיר		Employment_Performance	employee	זיך גענומען דרוקן אין יעוורעיסקי מיר אונטער ש. אַנ-סקיס רעדאַקציע		1908										"K-CH — טעאַטער און קונסט, ""באַפרייאונג"", וואַרשע, 16 דעצ. 1922."						proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_561_tr_1739222221	וויינער לייב	4789-4793				theatre	ניקייטינסקי-טעאַטער	ניקייטינסקי-טעאַטער	מאָסקווער ניקייטינסקי-טעאַטער	Employment_Performance	performer	געשפּילט צ'אַ אין מאָסקווער ניקייטינסקי-טעאַטער	אַקטיאָר			מאָסקווע	ניקייטינסקי-טעאַטער													proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume5IIIorg.json	facs_603_r	יצחק און שרה רעכטשייד (רעכטצייט)	10-10				school	קרינסקי שולע	קרינסקי שולע	אַ יידיש-פּויליש-העברעישע קרינסקי שולע	Employment_Performance	artistic_staff	וואו יצחק ר. איז געוואָרן מוזיק-לערער	מוזיק-לערער			פּיאַטריקאָוו	קרינסקי שולע	פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_54_r_9	טרוימאַן, חנה [קאַץ]	892-892				troupe			מיט יעקב ספּיוואַקאָווסקי	Employment_Performance	performer	דאַן הויבּט זי אָן שפּילן פּראָפעסיאָנעל מיט יעקב ספּיוואַקאָווסקי, מיטמאַכנדיק אַ טוּרנעע איבּער בּעלגיע	פּראָפעסיאָנעל	1913	1914		בּעלגיע	בּעלגיע												descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_64_tr_1744131365	יאָזעפזאָן, סאַול	911-911				troupe			ביי באָריס טאָמאַשעווסקי אין קליוולאַנד	Employment_Performance	performer	1927 — אָנגעהויבן שפּילן ראָלן פֿון דערוואַקסענע און דעביוטירט ביי באָריס טאָמאַשעווסקי אין קליוולאַנד	דעביוטירט	1927		קליוולאַנד														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_72_tr_1744131376	יאָקוּבּאָוויטש, אַננאַ [חנה מייעראָוויטש]	928-928				troupe	זשיטאָמירסקי	זשיטאָמירסקי	זשיטאָמירסקיס טרופע	Employment_Performance	performer	ביי זשיטאָמירסקין אָנגעהויבן שפּילן פּרימאַדאָנע-ראָלן	פּרימאַדאָנע-ראָלן																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_72_tr_1744131378	יאָקובאָוויטש, היימאַן (חיים-נתן)	928-928				troupe	דובאָווסקי	דובאָווסקי		Employment_Performance	performer	3 חדשים אין לאָנדאָן ביי דובאָווסקי				לאָנדאָן														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_73_tr_1744131432	יאָקובאָוויטש, ליאָשאַ	929-929				troupe	איצקאָוויטש	איצקאָוויטש		Employment_Performance	performer	1910 — האָט י. געשפּילט ביי איצקאָוויטש		1910			בעסאַראַביע		בעסאַראַביע											proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_74_tr_1744131378	יהואש [שלמה בּלוּמגאַרטען]	931-932				newspaper	The Stratford Journal	The Stratford Journal		Production_Distribution	published_by	"Henry T. Schnittkind in ""The Stratford Yournal"", 6, 1919"		1919																proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_90_tr_1744131429	לאַטאָוויטש, בערטאַ [ביילע גורעוויטש]	963-963				troupe	לייזער בערנשטיין	לייזער בערנשטיין	טרופּע	Employment_Performance	performer	אין 1907 אַריינגעטראָטן אַלס כאָריסטקע צו לייזער בערנשטיין אין לובלין	כאָריסטקע	1907		לובלין														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_108_tr_1744279182	לאַנדוי-קלעקוי, משה	999-999				troupe	"„סטאַלסקי"""	"„סטאַלסקי"""	פּוילישער אָפּערעטעס טרופּע	Employment_Performance	performer	"אין 1900 א'פּ „סטאַלסקי"" אַריינגעטראָטן אין אַ פּוילישער אָפּערעטעס טרופּע אין לאָדזש"		1900		לאָדזש		פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_116_tr_1744279129	לובריצקי, דעיוו (דוד)	1015-1015				troupe			מיט בעסי און באָריס טאָמאַשעווסקי	Employment_Performance	performer	דערנאָך געשפּילט מיט בעסי און באָריס טאָמאַשעווסקי																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_156_tr_1744279145	לינעצקי	1096-1096				troupe			ראָטשטיין	Employment_Performance	performer	איבערגעגאַנגען צו שפּילן צו ראָטשטיין																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_157_r_3	ליפּאָווסקאַ, אסתּר [גלאַזער, וואָלסקאַ]	1097-1097				troupe	זאַסלאווסקי	זאַסלאַווסקי	טרופּע	Employment_Performance	performer	1927-28 — שפּילט ל. אין די טרופּעס א'אַ פֿון זאַסלאווסקי		1927	1928															proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_172_r_16	ליפשיץ, יחזקאָל דר.	1128-1128				newspaper	Der Kampf	Der Kampf	דר. פרידרייך אַדלערס חודש-זשורנאַל	Employment_Performance	employee	"ל. שרייבט אָפּהאַנדלונגען איבער ליטעראַריש-קולטורעלע פּראָבלעמען אין דר. פרידרייך אַדלערס חודש-זשורנאַל — ""Der Kampf"""	שרייבט אָפּהאַנדלונגען																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_172_r_16	ליפשיץ, יחזקאָל דר.	1128-1128				newspaper	Freie Tribune	Freie Tribune	"ווינער פּועלי-ציוניסטישער ""Freie Tribune"""	Employment_Performance	employee	"פאַרעפנטלעכט אין דער ווינער פּועלי-ציוניסטישער ""Freie Tribune"", זייער פיל אַנאַליזן פון יידישע דראַמעס און רעצענזיעס וועגן יידישן טעאַטער"				ווין														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_176_r_4	לדערמאַן, דוד	1136-1136				troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	אין די טרופּעס פֿון ... זאַנדבערג																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_186_tr_1744279126	לעוועבראָווסקי, אַברהם	1155-1155				troupe			ביי זשיטאָמירסקי	Employment_Performance	performer	1911 — געשפּילט ביי זשיטאָמירסקי		1911																descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_197_tr_1744279124	לעש, רבקה [ראָזענבלום]	1177-1177				troupe	ביי באָריס טאָמאַשעווסקי	ביי באָריס טאָמאַשעווסקי		Employment_Performance	performer	ביי באָריס טאָמאַשעווסקי אין פֿילאדעלפיע		1927		פֿילאדעלפיע														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_237_tr_1744280744	מאַרסאָלאָוו, ר. [ראובן מאַנדעלבוים]	1258-1258				troupe			מיט היימי און אַננאַ יאָקובאָוויטש	Employment_Performance	performer	1917-18 — אַרומגעפֿאָרן איבער פּוילן אַלס אַקטיאָר און סופֿלער מיט היימי און אַננאַ יאָקובאָוויטש	אַקטיאָר	1917	1918			פּוילן												descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_2IIIorg.json	facs_351_tr_1744365735	סיימאָן, מעי	1486-1486				film	The Liar	The Liar	פֿילם	Employment_Performance	performer	"ס. האָט זיך אויך באַטייליקט אין דער הויפּט-ראָל פֿון פֿילם ""The Liar"""	הויפּט-ראָל																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_17_tr_1713546845	אָבּערבּערג, אַדאָלף	1-1				troupe	קאַמינסקי	קאַמינסקי		Employment_Performance	performer	געשפּילט אין די טרופּעס פון... קאַמינסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_43_tr_1740521002	אייזערמאַן, לייבל	54-54				troupe	גבריאל פינקעלשטיין	גבריאל פינקעלשטיין		Employment_Performance	performer	מיט גבריאל פינקעלשטיין איבער רומעניע																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_77_r_8	באַנקאָוו, יאַנקעוו	121-121				troupe	קאַמינסקי	קאַמינסקי		Employment_Performance	performer	שפּילט ב. ביי ... קאַמינסקי																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_95_tr_1740521138	ביאָלקאָוויטש, חנה [ראָזענצווייג]	158-158				troupe			קאָמינסקי	Employment_Performance	performer	ביי... קאָמינסקי																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_96_tr_1740521111	בידעסקאָ, אַלעקסאַנדער [וואָנדערגאַלד]	159-159				troupe	בראַנשטיין	בראַנשטיין	דער יידישער טעאַטער-דירעקטאָר בראַנשטיין	Employment_Performance	performer	דער יידישער טעאַטער-דירעקטאָר בראַנשטיין אַריינגענומען בידעסקאָס פרוי... און ב. ... טרעט אויך אַריין אין דער טרופּע																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_102_r_9	בלאַנק לעאָן	172-173				troupe			ביי מייק טאמאשעווסקי	Employment_Performance	performer	דערנאך פארט ב. קיין פילאדעלפיע, וואו זי שפילט אייניקע סעזאנען ביי מייק טאמאשעווסקי				פילאדעלפיע														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_110_tr_1740520986	בעזמאַן, איסר	188-188				troupe	קאָמינסקי	קאַמינסקי		Leadership_Ownership	owner_manager	טרעט ב. אַריין אַלס פֿאַרוואַלטער ביי קאָמינסקי, און אַרבעט ביז אים זיבן יאָר	פֿאַרוואַלטער																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_111_tr_1740520942	בעל-מחשבות [דר. איסידאָר (ישראל) עליאשעוו]	189-190				school	אוניווערזיטעט פון היידעלבערג	אוניווערזיטעט פון היידעלבערג		Education_Formation	student	שטודירט דערנאָך מעדיצין אין די אוניווערזיטעטן פון היידעלבערג				היידעלבערג								אָב. קאַהאָן — „אין די מיטעלע יאָהרען“ ז. 527						proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_119_tr_1740521161	בערנאַרדי בערל [טאָפּ]	206-206				troupe	משה וויינבערג	משה וויינבערג		Employment_Performance	performer	צו משה וויינבערג אין קראָקע און אונגאָרן				קראָקע														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_119_tr_1740521161	בערנאַרדי בערל [טאָפּ]	206-206				theatre	הערשל צוקערבערג	הערשל צוקערבערג		Employment_Performance	performer	אַ קורצע צייט ביי הערשל צוקערבערג אין פֿילאָדעלפיע				פֿילאָדעלפיע														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_131_tr_1740521175	היטעלמאַן, לייזער	229-229				troupe			ראָזענבערג	Employment_Performance	performer	געשפּילט מיט ראָזענבערג אין 1878 איז אָדעס		1878		אָדעס														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_132_tr_1740520968	מאָשקאָוויטש, יאָסעלע	231-231				troupe			מיט אַש פֿייערשטיין און משה דער בלינדער	Employment_Performance	performer	דערנאָך ביז 1906 מיט אַש פֿייערשטיין און משה דער בלינדער איבער דער פּראָווינץ פֿון גאַליציע, רומעניע, אונגאָרן און אויך אַ קורצע צייט אין קאָנסטאַנטינאָפּאָל.			1906		די פּראָווינץ		גאַליציע											descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_138_r_1	בריה, ראָזאַ	243-243				troupe	הערשל צוערבערג	הערשל צוקערבערג		Employment_Performance	performer	אין 1913 מיט הערשל צוערבערג אין קראָקע		1913		קראָקע														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_142_tr_1740521045	גאַזאָווסקי, מאַרקוס [מענדעלע]	251-251				troupe	די וואָלערשטיין	די וואָלערשטיין	טרופּע	Employment_Performance	performer	פֿאָרט אויך קיין דרום-אפריקע צוזאָמען מיט די וואָלערשטיין						דרום-אפריקע												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_147_tr_1740521027	גאָלד, ניוסיאָ [גיסי גאָלדבערג]	262-262				troupe			ביי איציקל גאָלדענבערג	Employment_Performance	performer	דערנאָך ביי איציקל גאָלדענבערג																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_148_tr_1740521146	גאָלד, צילע [צביה גרופט]	263-263				troupe			ביי הערשל צוקערבערג אין נו-אַרק	Employment_Performance	performer	שפּילט אַ סעזאָן ביי הערשל צוקערבערג אין נו-אַרק				נו-אַרק														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_148_tr_1740521146	גאָלד, צילע [צביה גרופט]	263-263				troupe			ביי הערשל צוקערבערג אין פֿילאָדעלפיע	Employment_Performance	performer	2 סעזאָנען אין פֿילאָדעלפיע ביי הערשל צוקערבערג				פֿילאָדעלפיע														descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_193_region_1715802361116_623	דער מאַנוסקריפּט פון ג.'ס אויטאַביאָגראַפיע — אין באַזיץ פון שלום פּערלמוטער אין ניו-יאָרק	354-367				publisher	י. לידסקי	י. י. לידסקי		Production_Distribution	published_by	פערלאַג י. לידסקי, בוכהענדלער, ווארשא, נאַלעווקי 32	בוכהענדלער	1905		וואַרשא				נאַלעווקי 32				דוד פרישמאַן — „אַלע ווערק“, ווארשא, פערלאג „צענטראל“, 3טער באַנד, ז, .75						proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_201_tr_1741260321	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]	370-371				newspaper	רוסקי יעוורעי	רוסקי יעוורעי								פּעטערבורג														proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_253_tr_1741260231	גורסקאַ, סאָניאַ [פריידע-שיינע גורעוויטש]	474-474				theatre	ביי טאָמאָשעווסקי	ביי טאָמאָשעווסקי		Employment_Performance	performer	ביי טאָמאָשעווסקי אין פּשיבישעווסקיס „דאָס גליק“		1916		אַמעריקע														proper_name	high	person_ref				
507	drive-download-20260308T052916Z-1-001.zip	volume_1IIIorg.json	facs_264_tr_1741260321	געלבאַרט, מיכל	496-496	"געב. 21 אויגוסט 1889 אין אַזאָרקאָוו, פּוילן. צו 6 יאָר געוואָרן אַ משורך ביי זיין פֿאָטער, אַן אָנגעזעענער ייד און אַ בעל-תפלה, אין אַ יאָר אָרום — ביים שטאָטישן חזן און גלייכצייטיק זיך באָטיויליקט אין קינדער-ראָלן אין „ליבהאָבער""-פֿאַרשטעלונגען פֿון הייסטאָרישע פּיעסן. דערנאָך געזונגען אַלס משורך ביים קוטנער חזן. צו 15 יאָר געוואָרן כאָריסט ביי זאַנדבערג אין לאָדזש. צו 16 יאָר — דיריגענט פֿון דער דאָרטיקער שטאָט-שול. 1909-10 — אַרומגעפֿאָרן איבער דער פּראָווינץ מיט דער טרופּע איד פֿון ראַזאָ אַרנשטיין. דאָרט האָט ג. געשריבן מוזיק צו אובערנאַכט אָנגעשריבענע פּיעסן און בשעת-הדחק אַליין אָנגעשריבן אַ פּיעסע „מכירת יוסף"". 1911 — אַרומגעפֿאָרן איבער דער פּראָווינץ מיט דער טרופּע פֿון טיטעלמאַן און אָדאָלף בערמאַן. 1912 — אויסגעוואַנדערט קיין אַמעריקע און אין 1916 געווען דיריגענט און פּיאָניסט אין אַ פּראָווינץ-טרופּע א""פ פֿון בולמאַן און זילבערקאָסטען. דאָ פלעגט ג. שרייבן די מוזיק פֿאַר זילבערקאָסטעןס פּיעסן, וועלכע די טרופּע פֿלעגט שפּילן. דערנאָך האָט זיך ג. באָזעצט אין אַ קליין שטעטל, וואו ער איז געווען חזן און אין 1917 געוואָרן אַ לערער פֿון געזאַנג און אַלגעמיינע למודים אין ""אַרבייטער-רינג""-שולן. ג. האָט פֿאַרעפנטלעכט אַ סעריע אָרטיקלען וועגן יידישער מוזיק, געשריבן קריטיק וועגן מוזיק און געשאָפן קאָמפּאָזיציעס צו לידער פֿון דער יונגער יידישער דיכטונג. ג. האָט געשריבן קאָמפּאָזיציעס צו די פֿאָלגנדיקע קינדער-פּיעסן: ווייס-שניועלע“ פֿון י. ראָווין (אויפֿגעפֿירט אין פֿילאָדעלפֿיער אָרטש סטריט-טעאַטער), „ווינטער-וואָלד"" פֿון דוד קאָסעל (אויפגעפֿירט אין פֿילאָדעלפֿיער אָקאָדעמי אָף מיוזיק), „די סוחרים פון פעפער"" פֿון י. קאָטלער (אויפֿגעפֿירט אין אייניקע שטעט) און צו אייניקע שפּילן פֿון „מאָדיאַקאט""-טעאַטער. זומער 1929 האָט ג. געשריבן מוזיק און אויפֿגעפֿירט אין „קינדערלאַנד קעמפּ"" אייזיק פּלאַטנערס „וואָס דער טאָג דערציילט“ און 2 ""ניילאָנד""-פֿאַרשטעלונגען פֿון ב. מאַזאַר און י. קאָמינעצקי. אַ טייל פֿון ג.'ס קאָמפּאָזיציעס אין „לאָמיר קינדער זינגען“ איז אַרויסגעגעבן געוואָרן דורך די ""אַרבעטער רינג-שולן“ אין אָמעריקע. 1928 איז נ. געווען דיריגענט פֿון פֿילאָדעלפֿיער „פֿרייהייט""-געזאָננס-פֿאַריין."	ש. ע.		troupe	זאַנדבערג	זאַנדבערג		Employment_Performance	performer	צו 15 יאָר געוואָרן כאָריסט ביי זאַנדבערג אין לאָדזש.	כאָריסט	1904		לאָדזש		פּוילן						"זלמן רייזען - „לעקס. ייד. ליט."" I. זז. 598-9."	זיין פֿאָטער, אַן אָנגעזעענער ייד און אַ בעל-תפלה	modest	religious			proper_name	high	person_ref				
