cluster_id	canonical_yiddish	org_type	cluster_size	name_variants	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	candidate_db_ids	candidate_scores	candidate_methods	decision	aligned_db_id	reviewer_notes	reviewer_settlement	reviewer_address	reviewer	reviewed_at
ORG-C00036	רוסישן טעאַטער	theatre	14	רוסישן טעאַטער | רוסישן טעאַטער אין וויטעבסק | רוסישן טעאַטער אין נאָוואָסיבירסק | רוסישן טעאַטער אין קאַזאָן | רוסישע טעאַטער	אָדעסער | באָברויסק | גראָזני | וויטעבסק | ווילנע | נאָוואָסיבירסק | קאַזאָן | רעוועל		נאָראָדני דאָם | רוסישן טעאַטער | רוסישע טעאַטער	עסטלאַנד | פּוילן										
ORG-C00037	טעאַטער „קאָמעדיאָ“	theatre	1	טעאַטער „קאָמעדיאָ“	לענינגראַד				491	1.000	exact	ALIGN	491					
ORG-C00038	יידישן מלוכןן טעאַטער א'נ פֿון אַסתר-רחל קאמינסקאַ	theatre	1	יידישן מלוכןן טעאַטער א'נ פֿון אַסתר-רחל קאמינסקאַ				פּוילן	477	0.631	ipa_phonetic	NEW	491					
ORG-C00039	ירושלימער אוניווערזיטעט	school	1	ירושלימער אוניווערזיטעט	ירושלים			מדינת ישראל	487	1.000	exact	ALIGN	487					
ORG-C00040	„קעלער-זינגער“ סאָבסיי, פישקינד	troupe	1	„קעלער-זינגער“ סאָבסיי, פישקינד								NEW	487					
ORG-C00041	טרופּעס פֿון יידל און נפתלי (ברידער פֿון אַברהם) גאָלדפאַדען	troupe	1	טרופּעס פֿון יידל און נפתלי (ברידער פֿון אַברהם) גאָלדפאַדען														
ORG-C00042	יעקב ספּיוואַקאָווסקיס טרופּע	troupe	3	יעקב ספּיוואַקאָווסקיס טרופּע | יעקב ספּיוואָקאָווסקי			שווייץ	בעלגיע | שווייץ										
ORG-C00043	שמ׳רן	troupe	1	שמ׳רן								ALIGN	391					
ORG-C00044	גאַרטענשטיין	troupe	1	גאַרטענשטיין								ALIGN	385					
ORG-C00045	אַקסעלראדס טרופּע	troupe	26	אַקסעלראדס טרופּע	טשעראָוויץ | טשערנאָוויץ | יאַסי | סטרי | קראָקע		גאַליציע | גאַליצישער פּראָווינץ | טשערנאָוויץ ביי אַקסעלראָד | יאַסער פּאָמול ווערדע | רומעניע	רומעניע	41 | 469	0.600 | 0.600	ipa_phonetic | ipa_phonetic							
ORG-C00046	יידל גאָלדפאַדנס טרופּע	troupe	3	טרופּע פֿון יידל גאָלדפאַדן | יידל גאָלדפֿאַדענס טרופּע | יידל גאָלדפאַדנס טרופּע	אָדעס | קעשענעוו				492	1.000	exact	ALIGN	492				Sinai	2026-04-12T09:52:19Z
ORG-C00047	טרופּע ציפקוס	troupe	4	טרופּע ציפקוס	לובלין		פּראָווינץ	פּוילן | רושלאַנד	490	1.000	exact	ALIGN	42					
ORG-C00048	סאַן פּאָולאַ יידישער געזעלשאַפט	organization	1	סאַן פּאָולאַ יידישער געזעלשאַפט	סאַן פּאָולאָ			בראַזיל	493	1.000	exact	NEW	490					
ORG-C00049	בורג-טעאַטער	theatre	1	בורג-טעאַטער	ווין		בורג-טעאַטער		489 | 509	1.000 | 0.667	exact | ipa_phonetic	ALIGN	489					
ORG-C00050	ווינער דייטשן פאָלקס-טעאַטער	theatre	1	ווינער דייטשן פאָלקס-טעאַטער	ווין		ווינער דייטשן פאָלקס-טעאַטער		494 | 500 | 501 | 505	1.000 | 0.640 | 0.630 | 0.600	exact | ipa_phonetic | ipa_phonetic | ipa_phonetic	NEW	489					
ORG-C00051	באַלאַגעניידען	theatre	3	באַלאַגעניידען	דאַנציג | ווילנע				497	1.000	exact	ALIGN	497				Sinai	2026-04-05T17:37:46Z
ORG-C00052	אַראַראַט	theatre	12	אַראַראַט	לאָדזש | לאָדזש			פּוילן	488	1.000	exact	NEW	488					
ORG-C00053	א. קאָמפּאַנעעצס יידישער טרופּע	theatre	1	א. קאָמפּאַנעעצס יידישער טרופּע					485	0.607	ipa_phonetic	NEW	488					
ORG-C00054	פישזאָן	theatre	30	טרופּע פֿון פישזאָן | טרופּעס פֿון פישזאַן | טרופּעס פֿון פֿישזאָן | פישזאָן	אָדעס | ווילנע | יעקאַטערינאָסלאָוו | יעקאָטעדינאָסלאָוו | פּעטערבורג | קעשעניעוו | ראָוונע		פֿישזאָן	רוסלאַנד										
ORG-C00055	הכל הבל	theatre	1	הכל הבל	בוענאָס איירעס				498	1.000	exact	DISCUSS						
ORG-C00056	ועד החינוך	organization	1	ועד החינוך														
ORG-C00057	קולטור-קאָנגרעס	organization	2	קולטור-קאָנגרעס														
ORG-C00058	העבראיקאַ	theatre	1	העבראיקאַ			העבראיקאַ		504	1.000	exact	NEW	504					
ORG-C00059	קיעווער גימנאַזיע	school	2	קיעווער גימנאַזיע	קיעוו		קיעווער גימנאַזיע	אוקראינע										
ORG-C00060	קיעווער אוניווערזיטעט	school	5	קיעווער אוניווערזיטעט	קיעוו		קיעווער אוניווערזיטעט | קיעווער אוניווערסיטעט	אוקראַאינע | אוקראַאנא | אוקראינע	487	0.682	ipa_phonetic	GENERIC						
ORG-C00061	קיעווער אַלעקסייעוו מיליטער-שול	school	1	קיעווער אַלעקסייעוו מיליטער-שול	קיעוו			אוקראינע										
ORG-C00062	סעמינאָר פֿון פּראָפעסאָר שפּאַן	school	1	סעמינאָר פֿון פּראָפעסאָר שפּאַן	ווין			עסטרייך										
ORG-C00063	אוניווערזיטעטן פֿון קעניגסבערג און באָן	school	1	אוניווערזיטעטן פֿון קעניגסבערג און באָן														
ORG-C00064	וומיריע איסקוסטווא	newspaper	1	וומיריע איסקוסטווא														
ORG-C00065	די אידישע צייטונג	newspaper	12	אידישע צייטונג | די אידישע צייטונג	אַנטווערפּען | ארגענטינע | ב'א | ב'אַ | ב. א. | בוענאָס-איירעס | ווילנע		אַרגענטינע | „אידישע צייטונג“	אַרגענטינע | אָרגענטינע										
ORG-C00066	די פּרעסע	newspaper	10	די פּרעסע | פרעסע	בוענאָס איירעס | בוענאָס-איירעס			אַרגענטינע | ארגענטינע										
ORG-C00067	"ייוו""אָ"	organization	31	"ייוו""אָ"	וואַרשע | ווילנע | מיאמי | ניו-יאָרק | שיקאַגאָ | פֿילאַדעלפיע		אָרגענטינע | טעאַטער-מוזיי | ייוו'אַ | ייוואָ	אַמעריקע | אָרגענטינע | ליטע										
ORG-C00068	אַקטיאָרן-פאַריין	union	3	אַקטיאָרן-פאַריין	בוענאָס איירעס			אַרגענטינע										
ORG-C00069	צווישאָ	school	1	צווישאָ														
ORG-C00070	איפט	theatre	5	איפט	בוענאָס איירעס | בוענאָס-אַיירעס		אַרגענטינע | איפט	אַרגענטינע										
ORG-C00071	דרוקעריי פון ראָם	publisher	1	דרוקעריי פון ראָם	ווילנע		דרוקעריי		495	1.000	exact	ALIGN	495				Bella	2026-04-13T09:55:12Z
ORG-C00072	ווילנער דרוקער-פאַריין	union	1	ווילנער דרוקער-פאַריין	ווילנע		ווילנער דרוקער-פאַריין		508	1.000	exact	NEW	508					
ORG-C00073	ראַדיאָ	radio	5	ראַדיאָ | ראָדיאָ	וואַרשע		ראַדיאָ	אַמעריקע										
ORG-C00074	טרופּע פון קלמן יוווילער	troupe	1	טרופּע פון קלמן יוווילער	בוקאַרעסט													
ORG-C00075	בוקאַרעשטער „פאָלקסבלאַט“	newspaper	1	בוקאַרעשטער „פאָלקסבלאַט“														
ORG-C00076	יאַנקעלע דער הייזעריקער	troupe	1	יאַנקעלע דער הייזעריקער	ביעלאָ צערקאָוו													
ORG-C00077	שניידערישער שול	synagogue	2	שניידערישער שול	קיעוו		שניידערשער שול											
ORG-C00078	אוקראינישער אָפּערעטע פֿון קראָפּאָווניצקי	theatre	1	אוקראינישער אָפּערעטע פֿון קראָפּאָווניצקי														
ORG-C00079	פולק	military	1	פולק														
ORG-C00080	יעקב-בער גימפּעל	theatre	1	יעקב-בער גימפּעל			גאַליציע											
ORG-C00081	סעם אַגעד	troupe	1	סעם אַגעד	ניו יאָרק			יו-עס-עי										
ORG-C00082	טרופּע פֿון געליס	troupe	4	געליס | טרופּע פֿון געליס	פּאַריז | קאָנסטאַנטינאָפּאָל			פראנקרייך	486 | 483	0.800 | 0.667	ipa_phonetic | ipa_phonetic							
ORG-C00083	טרייטלער	troupe	5	טרופּע פֿון טרייטלער | טרייטלער	גאָלאַץ | קראָקע													
ORG-C00084	טעאַטער אַמבו	theatre	3	טעאַטער אַמבו	בוענאָס איירעס | בוענאָס-אַיירעס		טעאַטער „אַמבו״	ארגענטינע										
ORG-C00085	אָלימפּיאַ טעאַטער	theatre	7	אַלימפּיאַ טעאַטער | אַלימפּיאָ | אָלימפּיאַ טעאַטער	בוענאָס איירעס | בוענאָס-אַיירעס | בוענאָס-איירעס | לאָדזש		'אָלימפּיאַ'-טעאַטער | אַלימפּיאַ | אַלימפּיאַ-טעאָטער | אָלימפּיאַ טעאַטער | טעאַטער אָלימפּיאַ	אַרגענטינע | בוענאָס-אַיירעס										
ORG-C00086	טעאַטער „ריוואָדאָוויא“	theatre	1	טעאַטער „ריוואָדאָוויא“			טעאַטער „ריוואָדאָוויא“	אָרגענטינע	491	0.667	ipa_phonetic							
ORG-C00087	קיעווער אָפּערע-הויז	theatre	1	קיעווער אָפּערע-הויז	קיעוו		קיעווער אָפּערע-הויז											
ORG-C00088	אַן אייגענע שולע	school	1	אַן אייגענע שולע	קיעוו													
ORG-C00089	ווינדזאָר-טעאַטער	theatre	55	ווינדזאָר-טעאַטער	ניו יאָרק | ניו יארק | ניו יאָָרק | ניו יאָרק | ניו-יאָרק | ניו-יאָרקער		"ווינדזאָר טעאַטער | ווינדזאָר טעאַטער | ווינדזאָר-טעאַטער | ווינדזאָר-טעאָטער | ווינדזאָר-טעאַטער | ווינדזאָרטעאַטער | „ווינדזאָר""-טעאַטער | „ווינדזאָר""-טעאָ טער | „ווינדזאָר""-טעאַטער"	אַמעריקע | אמעריקע | אַמעריקע										
ORG-C00090	רוסישער אָפּערע	theatre	2	רוסישער אָפּערע				רוסלאַנד										
ORG-C00091	קאָנסערוואַטאָריום	school	4	קאָנסערוואַטאָריום	אָדעם | ווין | פּעטערסבורג | קיעוו		קאָנסערוואַטאָריום											
ORG-C00092	רוסישער טרופּע א'ל פֿון פרוי כרעניקאָוואַ	troupe	1	רוסישער טרופּע א'ל פֿון פרוי כרעניקאָוואַ	זשיטאָמיר													
ORG-C00093	יורידישן פֿאַקולטעט פֿון אוניווערזיטעט	school	1	יורידישן פֿאַקולטעט פֿון אוניווערזיטעט	אָדעס													
ORG-C00094	אָרטיקער קאָנסערוואַטאָריע	school	7	אָרטיקער קאָנסערוואַטאָריע | דער דאָרטיקער קאָנסערוואַטאָריע	אָדעס | וואַרשע | טשערנאָוויץ | סינסינעטי | פּעטערבורג | קיעוו		אָרטיקע קאָנסערוואַטאָריע | אָרטיקער קאָנסערוואַטאָריע | קאָנסערוואַטאָריע	אַמעריקע | אוקראָאינע | פּוילן | רומעניע										
ORG-C00095	יידישע פֿאָלקס-בינע	troupe	3	יידישע פֿאָלקס-בינע	לאָס אַנדזשעלעס | קיעוו		יידישע פֿאָלקס בינע	לעטלאַנד										
ORG-C00096	פֿאָלקס-טעאַטער	troupe	48	פֿאָלקס-טעאַטער	בוענאָס איירעס | ווילנע | לאַס אַנדזשעלעס | לאָנדאָן | ניו יאָרק | ניו יאָרק | ניו-יאָרק | ריגע	צוועלפטער סטריט	"12-סטריט און 2 עוועניו | וואַרשעווער | נ. י. „פֿאָלקס-טעאַטער“ | פֿאָלקסטעאַטער | פאָלקס טעאַטער | „פֿאָלקס""-טעאַטער | „פֿאָלקס-טעאַטער“ | פֿאָלקס טעאַטער | פֿאָלקס-טעאַטער | פֿאָלקס-טעאַטער"	אָרגענטינע | אמעריקע | אַמעריקע										
ORG-C00097	אַמכא	troupe	2	אַמכא				אוקראַאינע										
ORG-C00098	דורך טרערן	film	1	דורך טרערן														
ORG-C00099	צעירי יהודה	theatre	2	צעירי יהודה	לעמבערג													
ORG-C00100	פּראָפעסיאנעלער יידישער טרופּע פֿון ר. פינקעלשטיין	troupe	1	פּראָפעסיאנעלער יידישער טרופּע פֿון ר. פינקעלשטיין	מעלבורן			אויסטראַליע										
ORG-C00101	יידישע בינע	theatre	25	יידישע בינע | יידישע בינע אין אָמעריקע	ווין | וולאַצלאָוועק | וולאָצלאַוועק | וולאָצלאַווקער | לאָוויטש | לאָדזש | מאָהילעוו | מעלבורן | ריגע | פֿילאַדעלפיע	טאבאר שטראַסע	"""יידישע בינע"" | אָמעריקע | ווינער יידישע ביהנע"	אויסטראַליע | אמעריקע | עסטרייך | פּוילן | רומעניע	466	0.615	ipa_phonetic							
ORG-C00102	יוגנט פאַריין	school	1	יוגנט פאַריין														
ORG-C00103	ווילנער טרופּע	troupe	178	די ווילנער | די ווילנער טרופּע | דער ווילנער טרופּע | ווילנער | ווילנער טרופּע	אַמעריקע | בוקאַרעסט | ביאַליסטאָק | בערלין | בראַנקס | בראַנקס, ניו-יאָרק | וואַרשע | ווילנע | ווין | יאָס' | לאָס אַנדזשעלעס | לעמבערג | לאָדזש | ניו יאָרק | ניו-יאָרק | ניו-יאָָרק | ניויאָרק | פּאַריז | פאַריז | קליוולאַנד | קעשענעוו | קראָקע | קראקע | שיקאַגאָ | שיקאַגע | שיקאָגאָ	149 סטריט	"149 סטריט | אַמעריקע | אינטימייד טעאַטער | אינטימייד-טעאַטער | אינטימעד טעאַטער | בראַנקס | בראַנקס, נ. י. | בראָדוויי | וואַרשעווער 'עליזעום'-טעאַטער | ווילנער טרופּע | זשיגניצע | ליפּצין""-טעאַטער | ליפּצין-טעאַטער | מערב-אייראָפּע | עליזעאום-טעאַטער | עליזעאום-טעאַטער | עליזעום-טעאַטער | פּוילן | קאַמינסקי-טעאַטער | רומעניע | „ווילנער טרופּע"""	אַמעריקע | אמעריקע | בעלגיע | דייטשלאַנד | טשעכאָסלאָוואַקיי | מערב-אייראָפּע | עסטרייך | פּוילן | פראנקרייך | רומעניע | אַמעריקע	41 | 197 | 254 | 385	0.750 | 0.615 | 0.615 | 0.615	ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic							
ORG-C00104	גילאָרינאַ	theatre	1	גילאָרינאַ														
ORG-C00105	אַזאַזעל	theatre	28	אַזאַזעל	וואַרשע			פּוילן										
ORG-C00106	חברים-טרופּע	troupe	40	חברים-טרופּע | חברים-טרופּע אין לעמבערג	אָדעס | בוענאָס איירעס | ביאַליסטאָק | וואַרשע | ווילנע | טאָשקענט | לאָדזש | לעמבערג | פּאַריז | פּאָריז | פּראָווינץ		"וואַרשעווער סקאָלאָ-טעאַטער | ווילנער טעאַטער „פּאַלאַס"" | לאָדזשער סקאָלאָ-טעאַטער | לאדזשער 'סקאַלאַ'-טעאַטער | פּוילישער פּראָווינץ | פּוילן | קאַמינסקי-טעאַטער | רוסלאַנד"	ארגענטינע | דרום-אפריקע | טשעכאָ-סלאָוואָקייע | פּוילן | רוסלאַנד										
ORG-C00107	ביאַליסטאָקער טרופּע	troupe	1	ביאַליסטאָקער טרופּע					41	0.647	ipa_phonetic							
ORG-C00108	יידישן אַרטיסטן-פֿאַריין אין פּוילן	union	56	יידישן אַרטיסטן-פאַריין | יידישן אַרטיסטן-פֿאַראיין | יידישן אַרטיסטן-פֿאַראיין אין וואַרשע | יידישן אַרטיסטן-פֿאַריין | יידישן אַרטיסטן-פֿאַריין אין פּוילן	וואַרשע | ווילנע | כאָרקאָוו | לאָדזש | לעמבערג | פּאַריז | קיעוו		אַרטיסטן-פֿאַריין | יידישן אַרטיסטן-פאַראיין | לאָדזשער פֿאַרוואַלטונג | לאָקאָל פון פאַריין | פּוילן	מדינת ישראל | פּוילן										
ORG-C00109	נידערשלעזישן יידישן טעאַטער	theatre	5	נידערשלעזישן יידישן טעאַטער			נידערשלעזישן יידישן טעאַטער	פּוילן										
ORG-C00110	גראַנד פּאָליי	theatre	3	גראַנד פּאָליי	לאָנדאָן		"גראַנד פּאָליי | גרענד פּאַליי | „גרענד פאליי"""	ענגלאַנד										
ORG-C00111	לעמבערגער יידישן טעאַטער	theatre	14	לעמבערגער יידישן טעאַטער	לעמבערג | לעמבערגער		לעמבערגער יידישן טעאַטער | לעמבערגער יידישן טעאַטער | לעמבערגער יידישע בינע | פּאָדסראָקאַן											
ORG-C00112	אוצר הספרות	newspaper	1	אוצר הספרות														
ORG-C00113	עליזעום	theatre	12	עליזעום	וואַרשע		"טעאַטער ""עליזעום“ | עליזעום | „עליזעום“"	פּוילן	55	0.857	ipa_phonetic	ALIGN	55					
ORG-C00114	הזמיר	theatre	42	הזמיר	ביאַליסטאָקער | וואַרשע | טאָמאַשאָוו | כערסאָן | לאָדזש | לאָנדאָן | לובלין | לאָדזש | מאָנטרעאַל | מלאַווע | נאָוואַראַדאָמסק | סאָסנאָוויץ | פּאַריז | פאַריז | קאָוונע		דראַמאַטישער סעקציע | הזמיר | „הזמיר“	אוקראינע | פּוילן | פֿראַנקרייך										
ORG-C00115	פרץ-דראַמקרייז	school	1	פרץ-דראַמקרייז	וואַרשע													
ORG-C00116	מוראַנאָווער טעאַטער	theatre	22	דאָס מוראַנאָווער | מוראַנאָווער | מוראַנאָווער טעאַטער	וואַרשע | וואָרשע		וואַרשעווער „מוראַנאָווער טעאַטער“ | מוראַנאָווער טעאַטער | מוראַנאָווער טעאָטער | מוראַנאָווער טעאַטער | מוראָנאָווער טעאַטער	פּוילן	426	0.625	ipa_phonetic							
ORG-C00117	טרופּע פון יצחק זאַנדבערג	troupe	2	טרופּע פון יצחק זאַנדבערג | יצחק זאַנדבערג	לאָדזש													
ORG-C00118	פּראָפעסיאנעלן יידישן אַרטיסטן-פאַראיין אין פּוילן	union	5	פּראָפעסיאנעלן יידישן אַרטיסטן פאַריין | פּראָפעסיאנעלן יידישן אַרטיסטן פֿאַריין אין וואַרשע | פּראָפעסיאנעלן יידישן אַרטיסטן-פאַראיין אין פּוילן | פּראָפעסיאנעלן יידישן אַרטיסטןפֿאַראיין	באָקו | וואַרשע			פּוילן										
ORG-C00119	קאָמעדיע-טעאַטער א'נ „שלום-עליכם“	theatre	1	קאָמעדיע-טעאַטער א'נ „שלום-עליכם“	מאָסקווע													
ORG-C00120	"טעאַטער-סטודיע אויפן נאָמען פון „שלום-עליכם"""	theatre	1	"טעאַטער-סטודיע אויפן נאָמען פון „שלום-עליכם"""	מאָסקווע													
ORG-C00121	טעאַטער א'נ „בעזקער“	theatre	1	טעאַטער א'נ „בעזקער“	קיעוו		קלוב „קאָמפּאָן“											
ORG-C00122	ישיבות	school	2	ישיבות														
ORG-C00123	"לערער-סעמינאָר פֿון דייטש-יידישן הילפס-פֿאַריין ""עזרה"""	school	1	"לערער-סעמינאָר פֿון דייטש-יידישן הילפס-פֿאַריין ""עזרה"""														
ORG-C00124	תל-אביבער שטאָט-ביבליאָטעק „שערי ציון“	library	1	תל-אביבער שטאָט-ביבליאָטעק „שערי ציון“	תל-אביב			ארץ-ישראל										
