city	kind	id	org_type	incorrectly classified as theatre or theatre in German-speaking countries	duplicate	name_latin	QID	historic address	current address	comments	name_yiddish_with_translit	name_variants_with_translit	confirmed_settlement	confirmed_address	confirmed_address_romanized	extracted_addresses_with_translit	extracted_venues_with_translit	extracted_countries	cluster_size	decision	aligned_db_id	linked_cluster_ids	linked_db_id	parent_db_id	reviewer_notes	lat	lon
Berlin	cluster	ORG-C00259	Theatre			Komische Oper	Q435831		Friedrichstraße 141, 10117 Berlin		בער לינער קאָמישער אָפּערע [ber liner komisher opere]	בער לינער קאָמישער אָפּערע [ber liner komisher opere]					בערלינער קאָמישער אָפּערע [berliner komisher opere]	דייטשלאַנד	2								
Berlin	cluster	ORG-C00515_Q03	Theatre			Thalia-Theater	Q123225708		Dresdener Straße 72–73, 10179 Berlin		טאַליאַ-טעאַטער (בערלין) [taliateater berlin]	טאַליאַ-טעאַטער [taliateater]					טאָליאַ טעאַטער | טאָליאַ-טעאַטער [tolia teater toliateater]	דייטשלאַנד	3						[finalize_qid parenthetical] renamed from 'טאַליאַ-טעאַטער' for settlement 'בערלין'. Prior notes: Cluster contains Thalia Theatres in distinct cities (NYC, Berlin, Lodz, Philadelphia) which are separate entities, not a single traveling troupe.		
Berlin	cluster	ORG-C00578_Q02	Theatre							Deutsch-Yiddish	דייטש-יידיש [deytcheydish]	דייטש-יידיש [deytcheydish]					אַ וואָריעטע [a voriete]		1								
Berlin	cluster	ORG-C00858	Theatre			Wintergarten	Q519956		Friedrichstraße 143–149 , 10117 Berlin		בערלינער ווינטערגאַרטן [berliner vintergartn]	בערלינער ווינטערגאַרטן [berliner vintergartn]					ווינטערגאַרטן [vintergartn]		1								
Berlin	cluster	ORG-C01369	Theatre			Theater auf der Oranienburger Straße				Perhaps connected to the Great Synagogue in the same street	טעאַטער אויף דער אַריאַנ בורגער שטראַסע [teater oyf der arian burger shtrase]	טעאַטער אויף דער אַריאַנ בורגער שטראַסע [teater oyf der arian burger shtrase]				אַריאַנ בורגער שטראַסע [arian burger shtrase]	טעאַטער אויף דער אַריאַנ בורגער שטראַסע [teater oyf der arian burger shtrase]	דויטשלאַנד	1								
Berlin	cluster	ORG-C01387_Q23	Theatre							tr.: Yiddish Theatre in Berlin	יידיש טעאַטער אין בערלין [eydish teater in berlin]	יידיש טעאַטער אין בערלין [eydish teater in berlin] | יידישן טעאַטער [eydishn teater]					יידישן טעאַטער [eydishn teater]	דייטשלאַנד	3								
Berlin	cluster	ORG-C02686	Theatre			Yiddish Art Theatre 	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC??? 	יידישער קינסטלער-טעאַטער [eydisher kinstlerteater]	יידישער קינסטלער-טעאַטער [eydisher kinstlerteater]					יידישער קינסטלער-טעאַטער [eydisher kinstlerteater]	דייטשלאַנד	2								
Berlin	cluster	ORG-C03189	Theatre			Kleinkunstbühne der Berliner Kultusgemeinde			Fasanenstraße 79–80, 10623 Berlin		קליינקונסטבינע פֿון דער בערלינער קולטוסגעמיינדע [kleynkunstbine fun der berliner kultusgemeynde]	קליינקונסטבינע פֿון דער בערלינער קולטוסגעמיינדע [kleynkunstbine fun der berliner kultusgemeynde]						דייטשלאַנד	1								
Berlin	cluster	ORG-C03191_Q03	Theatre		yes	Yiddish Art Theatre 	Q20769532		189 Second Avenue, New York, NY 10003	Probably the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe? 	יידישע קינסטלערישע טעאַטער [eydishe kinstlerishe teater]	יידישע קינסטלערישע טעאַטער [eydishe kinstlerishe teater]				קאָמענדאַנטען-שטראָסע [komendantenshtrose]			1								
Berlin	cluster	ORG-C03517	Theatre			Theateratelier von Hugo Baruch	Q19962046			Company for theatre sets, stage design and costumes	טעאַטער-אַטעליע פֿון הוגאָ באַרוך [teateratelie fun hugo barukh]	טעאַטער-אַטעליע פֿון הוגאָ באַרוך [teateratelie fun hugo barukh]					טעאַטער- אַטעליע פֿון הוגאָ באַרוך [teater atelie fun hugo barukh]		2								
Berlin	cluster	ORG-C03839	Theatre							tr.: Yiddish Theatre in Berlin	בערליינער יידישן טעאַטער [berleyner eydishn teater]	בערליינער יידישן טעאַטער [berleyner eydishn teater]					בערליינער יידישן טעאַטער | בערלינער יידישן טעאַטער [berleyner eydishn teater berliner eydishn teater]	דייטשלאַנד	2								
Berlin	cluster	ORG-C03883	Theatre		yes	Volksbühne Berlin	Q617244	Bülowplatz	Rosa-Luxemburg-Platz, 10178 Berlin		בערלינער פֿאָלקס-בינע [berliner folksbine]	בערלינער פֿאָלקס-בינע [berliner folksbine]					בערלינער פֿאָלקס-בינע [berliner folksbine]	דייטשלאַנד	1								
Berlin	cluster	ORG-C04355	Theatre							Deutsch-Yiddish	דייטש-יידישעס טעאַטער [deytcheydishes teater]	דייטש-יידישעס טעאַטער [deytcheydishes teater]					וואַריעטע אויף אַלעקסאַנדער-פּלאַץ [variete oyf aleksanderplats]		1								
Berlin	cluster	ORG-C04740	Theatre		yes	Lessingtheater	Q261757		Kapelle-Ufer 1, 10117 Berlin		לעסינג טעאַטער [lesing teater]	לעסינג טעאַטער [lesing teater]					לעסינג טעאַטער [lesing teater]	דייטשלאַנד	1								
Berlin	cluster	ORG-C05044	Theatre		yes	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin		אַלעקסאַנדער-טעאַטער [aleksanderteater]	אַלעקסאַנדער-טעאַטער [aleksanderteater]							1								
Berlin	cluster	ORG-C05049	Theatre			Neues Operettenhaus	Q632381		Bertolt-Brecht-Platz 1, 10117 Berlin		נויעס אָפּערעטען-הויז [noyes operetenhoyz]	נויעס אָפּערעטען-הויז [noyes operetenhoyz]					נויעס אָפּערעטען-הויז [noyes operetenhoyz]		1								
Berlin	cluster	ORG-C05265	Theatre		yes	Yiddish Art Theatre 	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?	דאָס יידישע קינסטלערטעאַטער [dos eydishe kinstlerteater]	דאָס יידישע קינסטלערטעאַטער [dos eydishe kinstlerteater]					דאָס יידישע קינסטלערטעאַטער [dos eydishe kinstlerteater]		1								
Berlin	cluster	ORG-C05541	Theatre			Große Berliner Kunstausstellung	Q18624764		Alt-Moabit 2–10, 10557 Berlin	Art Exhibition	בערלינער גרויסער קונסט-אויסשטעלונג [berliner groyser kunstoysshtelung]	בערלינער גרויסער קונסט-אויסשטעלונג [berliner groyser kunstoysshtelung]							1								
Berlin	cluster	ORG-C05570	Theatre			Deutsches Operettentheater	Q60747679		Millerntorplatz, 20359 Hamburg	Probably in Hamburg	דייטשן אָפּערעטן-טעאַטער [deytchn operetnteater]	דייטשן אָפּערעטן-טעאַטער [deytchn operetnteater]							1								
Berlin	cluster	ORG-C05571	Theatre			Wallner-Theater	Q46632319		Holzmarktstraße 11–14		בערלינער וואַלנער-טעאַטער [berliner valnerteater]	בערלינער וואַלנער-טעאַטער [berliner valnerteater]					וואַלנער-טעאַטער [valnerteater]		1								
Berlin	cluster	ORG-C05790	Theatre			Deutsches Staatstheater	Q1206014		Strada Mărășești 2, 300086 Timișoara, Romania	Maybe in Romania??	דייטשן שטאָטס-טעאַטער [deytchn shtotsteater]	דייטשן שטאָטס-טעאַטער [deytchn shtotsteater]						דייטשלאנד	1								
Berlin	cluster	ORG-C05791	Theatre			Jiddisches Künstlertheater Azra				unassignable	יידישן קינסטלער-טעאאַטער (אַזראַ) [eydishn kinstlerteaater azra]	יידישן קינסטלער-טעאאַטער (אַזראַ) [eydishn kinstlerteaater azra]						דייטשלאנד	1								
Berlin	cluster	ORG-C06219	Theatre			Colosseum Berlin	Q32651446		Schönhauser Allee 123 10437 Berlin		בערליינער קאָלאָסעאָום קאָנצערט-זאָל [berleyner koloseoum kontsertzol]	בערליינער קאָלאָסעאָום קאָנצערט-זאָל [berleyner koloseoum kontsertzol]							1								
Berlin	cluster	ORG-C06255	Theatre			Deutsches Theater	Q703955		Schumannstraße 13A 10117 Berlin		דייטשעס טעאַטער [deytches teater]	דייטשעס טעאַטער [deytches teater]					דייטשעס טעאַטער [deytches teater]		1	ALIGN	116		116		[auto_aligner] exact name match, score=1.000		
Berlin	cluster	ORG-C06258	Theatre							Probably Victor Barnowsky (Actor, theatre director and theatre manager) 	באַרנאָווסקי [barnovski]	באַרנאָווסקי [barnovski]							1								
Berlin	cluster	ORG-C06259	Theatre							tr.: Municipal Theatre	בערלינער דייטשן שטאָט-טעאַטער [berliner deytchn shtotteater]	בערלינער דייטשן שטאָט-טעאַטער [berliner deytchn shtotteater]					בערלינער דייטשן שטאָט-טעאַטער [berliner deytchn shtotteater]		1								
Berlin	cluster	ORG-C06265	Theatre		yes	Yiddish Art Theatre 	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?	יידיש קינסטלער-טעאַטער [eydish kinstlerteater]	יידיש קינסטלער-טעאַטער [eydish kinstlerteater]							2								
Berlin	cluster	ORG-C06421	Theatre		yes	Lessingtheater	Q261757		Kapelle-Ufer 1, 10117 Berlin		בערלינער דייטשן לעסינג-טעאַטער [berliner deytchn lesingteater]	בערלינער דייטשן לעסינג-טעאַטער [berliner deytchn lesingteater]					בערלינער דייטשן לעסינג-טעאַטער [berliner deytchn lesingteater]		1								
Berlin	cluster	ORG-C06549	Theatre		yes	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin		אַלעקסאַנדער פּלאַץ-טעאַטער [aleksander platsteater]	אַלעקסאַנדער פּלאַץ-טעאַטער [aleksander platsteater]					אַלעקסאַנדער פּלאַץ-טעאַטער [aleksander platsteater]		1								
Berlin	cluster	ORG-C06602	Theatre							Max Reinhardt	מאָקס ריינהאַרד [moks reynhard]	מאָקס ריינהאַרד [moks reynhard]							1								
Berlin	cluster	ORG-C06967	Theatre							The Theatre and Art Studio of Herman, Koyfman, Reynman and Hugo Baruch	טעאַטער קונסט-סטודיעס פֿון הערמאַן י. קויפמאַן, ריינמאַן און הוגאַ באַרוך [teater kunststudies fun herman y koyfman reynman un huga barukh]	טעאַטער קונסט-סטודיעס פֿון הערמאַן י. קויפמאַן [teater kunststudies fun herman y koyfman] | ריינמאַן און הוגאַ באַרוך [reynman un huga barukh]						דייטשלאַנד	1								
Berlin	cluster	ORG-C06969	Theatre							Perhaps General Jewish Workers' Union?	יידישן „קולטור בונד טעאַטער“ [eydishn kultur bund teater]	יידישן „קולטור בונד טעאַטער“ [eydishn kultur bund teater]						דייטשלאַנד	1								
Berlin	cluster	ORG-C07105	Theatre							Berliner Neue Bühne	בערלינער נייער בינע [berliner neyer bine]	בערלינער נייער בינע [berliner neyer bine]					בערלינער נייער בינע [berliner neyer bine]		1								
Berlin	db	174	Theatre		yes	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin				Berlin		Alexanderplatz, Berlin	Mokotowska 72, Warsaw										52.521981	13.413636
Berlin	db	237	Theatre			Elysium Theater			ul. Karowa 14/16, 00-324 Warszawa, Poland	Poland	עליזעום-טעאַטער [elizeumteater]		Berlin														
Berlin	cluster	ORG-C01326_Q02	Theatre-related Society/ Union								יידישער טעאַטער-געזעלשאַפט (בערלין) [eydisher teatergezelshaft berlin]	יידישער טעאַטער-געזעלשאַפט [eydisher teatergezelshaft]						דייטשלאַנד	2						[finalize_qid parenthetical] renamed from 'יידישער טעאַטער-געזעלשאַפט' for settlement 'בערלין'. Prior notes: Generic name 'Yiddish Theatre Society' associated with multiple distinct cities (Berlin, Vilna, LA, Lemberg, NY) indicates separate local organizations.		
Berlin	cluster	ORG-C03017	Theatre-related Society/ Union								אָריענטאַליאַ [orientalia]	אָריענטאַליאַ [orientalia]						דייטשלאַנד	2								
Berlin	cluster	ORG-C03190	Theatre-related Society/ Union								יידישער קולטור-בונד [eydisher kulturbund]	יידישער קולטור-בונד [eydisher kulturbund]						דייטשלאַנד	2								
Berlin	cluster	ORG-C01400	Welfare/Aid organization								אַסטיודענפֿאַרבאַנד [astiudenfarband]	אַסטיודענפֿאַרבאַנד [astiudenfarband]							1								
Berlin	cluster	ORG-C05442	Welfare/Aid organization								געזעלשאַפט דער פרוינדע [gezelshaft der froynde]	געזעלשאַפט דער פרוינדע [gezelshaft der froynde]							1								
Vienna	cluster	ORG-C01904	Business								ווינער באַנק [viner bank]	ווינער באַנק [viner bank]					ווינער באַנק [viner bank]		1								
Vienna	cluster	ORG-C06288	Business								רעסטאָראָן ברייער [restoron breyer]	רעסטאָראָן ברייער [restoron breyer]					רעסטאָראָן ברייער [restoron breyer]	עסטרייך	1								
Vienna	cluster	ORG-C00001_Q02	Education								קאָנסערוואַטאָריע [konservatorie]	קאָנסערוואַטאָריע [konservatorie] | קאָנסערוואַטאָריע אין ווין [konservatorie in vin]					קאָנסערוואַטאָריע [konservatorie]		3								
Vienna	cluster	ORG-C00062	Education								סעמינאָר פֿון פּראָפעסאָר שפּאַן [seminor fun profesor shpan]	סעמינאָר פֿון פּראָפעסאָר שפּאַן [seminor fun profesor shpan]						עסטרייך	1								
Vienna	cluster	ORG-C00091_Q01	Education								קאָנסערוואַטאָריום [konservatorium]	קאָנסערוואַטאָריום [konservatorium]					קאָנסערוואַטאָריום [konservatorium]		1								
Vienna	cluster	ORG-C00170_Q02	Education								פּאָליטעכניקום [politekhnikum]	פּאָליטעכניקום [politekhnikum]							1								
Vienna	cluster	ORG-C00185	Education								דייטשער דראַמאַטישער שול [deytcher dramatisher shul]	דייטשער דראַמאַטישער שול [deytcher dramatisher shul]						עסטרייך	1								
Vienna	cluster	ORG-C00239_Q01	Education								ווינער קאָנסערוואַטאָריע [viner konservatorie]	ווינער קאָנסערוואַטאָריע [viner konservatorie]					ווינער קאָנסערוואַטאָריע [viner konservatorie]	עסטרייך	2								
Vienna	cluster	ORG-C01439_Q02	Education								דראַמאַטישער שול [dramatisher shul]	דראַמאַטישער שול [dramatisher shul]					דראַמאַטישער שול [dramatisher shul]		1								
Vienna	cluster	ORG-C01564	Education								ווינער קייזער-קעניגלעכער קאָנסערוואַטאָריע [viner keyzerkeniglekher konservatorie]	ווינער קייזער-קעניגלעכער קאָנסערוואַטאָריע [viner keyzerkeniglekher konservatorie]					ווינער קייזער-קעניגלעכער קאָנסערוואַטאָריע [viner keyzerkeniglekher konservatorie]		1								
Vienna	cluster	ORG-C01731_Q02	Education								ווילנער גימנאַזיע [vilner gimnazie]	ווילנער גימנאַזיע [vilner gimnazie]							1								
Vienna	cluster	ORG-C01903_Q04	Education								האַנדלס-שול [handlsshul]	האַנדלס-שול [handlsshul]					האַנדלסשול [handlsshul]	עסטרייך	1								
Vienna	cluster	ORG-C02576_Q02	Education								יידישע דראַמאַטישע שול [eydishe dramatishe shul]	יידישע דראַמאַטישע שול [eydishe dramatishe shul]					יידישע דראַמאַטישע שול [eydishe dramatishe shul]	עסטרייך	2								
Vienna	cluster	ORG-C02951_Q01	Education								ווילנער שטאָט-טעאַטער [vilner shtotteater]	ווילנער שטאָט-טעאַטער [vilner shtotteater]						עסטרייך	2								
Vienna	cluster	ORG-C03238	Education								ווינער אוניווערזיטעט [viner univerzitet]	ווינער אוניווערזיטעט [viner univerzitet]						עסטרייך	2	NEW	588		588				
Vienna	cluster	ORG-C03259_Q01	Education								4-קלאַסיקע פֿאָלקס-שול [klasike folksshul]	4-קלאַסיקע פֿאָלקס-שול [klasike folksshul] | 8-קלאסיקע פֿאָלקס-שול [klasike folksshul] | ד-קלאָסיקע פֿאָלקס-שול [dklosike folksshul]							4								
Vienna	cluster	ORG-C03312	Education								ווינער קונסט-געווערבע שול [viner kunstgeverbe shul]	ווינער קונסט-געווערבע שול [viner kunstgeverbe shul]							1								
Vienna	cluster	ORG-C03702	Education								ווינער אינסטיטוט פֿאַר סאָציאַלע וויסנשאַפטן [viner institut far sotsiale visnshaftn]	ווינער אינסטיטוט פֿאַר סאָציאַלע וויסנשאַפטן [viner institut far sotsiale visnshaftn]					אינסטיטוט [institut]		1								
Vienna	cluster	ORG-C04239	Education								געווערבע-האָכשולע [geverbehokhshule]	געווערבע-האָכשולע [geverbehokhshule]							1								
Vienna	cluster	ORG-C04738	Education								פערדינאַנד לאַסאַל [ferdinand lasal]	פערדינאַנד לאַסאַל [ferdinand lasal]							1								
Vienna	cluster	ORG-C05743	Education								דייטשער שול (עלעמענטאָר-שול, גימנאָזיע און אוניווערסיטעט) [deytcher shul elementorshul gimnozie un universitet]	דייטשער שול (עלעמענטאָר-שול [deytcher shul elementorshul] | גימנאָזיע און אוניווערסיטעט) [gimnozie un universitet]							1								
Vienna	cluster	ORG-C06146	Education								פֿאָן מייערס דראָמאַטישע קורסן [fon meyers dromatishe kursn]	פֿאָן מייערס דראָמאַטישע קורסן [fon meyers dromatishe kursn]							1								
Vienna	cluster	ORG-C06223	Education								בירגער און אַ האָנדלסשול [birger un a hondlsshul]	בירגער און אַ האָנדלסשול [birger un a hondlsshul]						עסטרייך	1								
Vienna	cluster	ORG-C06333	Education								שטאָטסאָקאָדעמיע פֿיר מוזיק אונד דאָרשטעלענדער קונסט [shtotsokodemie fir muzik und dorshtelender kunst]	שטאָטסאָקאָדעמיע פֿיר מוזיק אונד דאָרשטעלענדער קונסט [shtotsokodemie fir muzik und dorshtelender kunst]						עסטרייך	1								
Vienna	cluster	ORG-C06366	Education								דראָמאָטיש-אָקאָדעמישער שול [dromotishokodemisher shul]	דראָמאָטיש-אָקאָדעמישער שול [dromotishokodemisher shul]							1								
Vienna	cluster	ORG-C06423	Education								האָכשול פאָר מוזיק און דאַרשטעלענדער קונסט [hokhshul for muzik un darshtelender kunst]	האָכשול פאָר מוזיק און דאַרשטעלענדער קונסט [hokhshul for muzik un darshtelender kunst]						עסטרייך	1								
Vienna	cluster	ORG-C06634	Education								רעפֿאָרם-ליצעאום [reformlitseum]	רעפֿאָרם-ליצעאום [reformlitseum]							1								
Vienna	cluster	ORG-C06659	Education								בירגער און האַנדלס-שול [birger un handlsshul]	בירגער און האַנדלס-שול [birger un handlsshul]							1								
Vienna	cluster	ORG-C00898	Heritage Institution								יידישעס קולטור-הויז [eydishes kulturhoyz]	יידישעס קולטור-הויז [eydishes kulturhoyz]							1								
Vienna	cluster	ORG-C01083	Heritage Institution								באַראָכאָוו-אַרכיוו [barokhovarkhiv]	באַראָכאָוו-אַרכיוו [barokhovarkhiv]						עסטרייך	1								
Vienna	cluster	ORG-C05671	Jewish political bodies								ציון [tsiun]	ציון [tsiun]							2								
Vienna	cluster	ORG-C00370_Q01	Journals/ Newspapers								יודישער אַרבייטער [yudisher arbeyter]	יודישער אַרבייטער [yudisher arbeyter]							3								
Vienna	cluster	ORG-C00371	Journals/ Newspapers								איזראַעליט [izraelit]	איזראַעליט [izraelit]					איזראַעליט [izraelit]		1								
Vienna	cluster	ORG-C00717	Journals/ Newspapers								די אידישע וואָכענשריפט [di idishe vokhenshrift]	די אידישע וואָכענשריפט [di idishe vokhenshrift] | יידישע וואָכענשריפט [eydishe vokhenshrift]							2								
Vienna	cluster	ORG-C00938	Journals/ Newspapers								זשורנאל „השחר“ [zhurnal hshkhr]	זשורנאל „השחר“ [zhurnal hshkhr]							1								
Vienna	cluster	ORG-C01087	Journals/ Newspapers								מאָרגענפּאָסט [morgenpost]	מאָרגענפּאָסט [morgenpost]							1								
