person_id	xml_id	heading	primary_form	alias_form	source
P-1-facs_31_TextRegion_1710063820301_118	facs_31_TextRegion_1710063820301_118	אַדלער, ישראל	ישראל אַדלער	י. נשר	names_variant
P-1-facs_31_r	facs_31_r	אַדלער, סעם	סעם אַדלער	אַדלער	names_variant
P-1-facs_33_tr_1740521056	facs_33_tr_1740521056	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	אַדלער סעראַ	שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש	heading_bracket
P-1-facs_33_tr_1740521070	facs_33_tr_1740521070	אַדלער עמיליע [שרה-מילקע שטאָנג]	אַדלער עמיליע	שרה-מילקע שטאָנג	heading_bracket
P-1-facs_34_tr_1740521039	facs_34_tr_1740521039	אַדלער פֿרענציס	אַדלער פֿרענציס	אָדלער	names_variant
P-1-facs_34_tr_1740521031	facs_34_tr_1740521031	אַדלער צילע	אַדלער צילע	צילע פֿיינמאַן	names_variant
P-1-facs_34_tr_1740521031	facs_34_tr_1740521031	אַדלער צילע	אַדלער צילע	צילע אָדלער	names_variant
P-1-facs_35_tr_1740520972	facs_35_tr_1740520972	אַדלער, קאָטיאָ [גוראַלניק]	קאָטיאָ אַדלער	גוראַלניק	heading_bracket
P-1-facs_35_tr_1740520974	facs_35_tr_1740520974	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי	פּאַרך	heading_bracket
P-1-facs_35_tr_1740520974	facs_35_tr_1740520974	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי	מאיר פּאָרך	names_variant
P-1-facs_35_tr_1740520980	facs_35_tr_1740520980	אָדערשלעגער, משה יעקב	משה יעקב אָדערשלעגער	אָדערשלענער	names_variant
P-1-facs_35_tr_1740520980	facs_35_tr_1740520980	אָדערשלעגער, משה יעקב	משה יעקב אָדערשלעגער	ראָוויטש	names_variant
P-1-facs_36_tr_1740520946	facs_36_tr_1740520946	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]	מאַקס אַווראַמאָוויטש	מרדכי אָבראָמאָוויטש	heading_bracket
P-1-facs_36_tr_1740520946	facs_36_tr_1740520946	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]	מאַקס אַווראַמאָוויטש	אַווראָמאָוויטש	names_variant
P-1-facs_36_tr_1740520948	facs_36_tr_1740520948	אויגענבליק, עני [חנה סויבער]	עני אויגענבליק	חנה סויבער	heading_bracket
P-1-facs_37_tr_1740520982	facs_37_tr_1740520982	אויערבאַך, בּאָריס [בן-ציון]	בּאָריס אויערבאַך	בן-ציון	heading_bracket
P-1-facs_38_tr_1740521009	facs_38_tr_1740521009	"„אונזער טעאַטער"""	"„אונזער טעאַטער"""	יידישע טעאַטער-געזעלשאָפט	names_variant
P-1-facs_38_tr_1740521009	facs_38_tr_1740521009	"„אונזער טעאַטער"""	"„אונזער טעאַטער"""	יידישער טעאַטערגעזעלשאַפט	names_variant
P-1-facs_38_tr_1740521011	facs_38_tr_1740521011	אוריך סאמי [שמאי, גדליהו]	אוריך סאמי	שמאי, גדליהו	heading_bracket
P-1-facs_39_tr_1740520985	facs_39_tr_1740520985	אוריך, צילע [חיה צילע פערער]	צילע אוריך	חיה צילע פערער	heading_bracket
P-1-facs_39_tr_1740520983	facs_39_tr_1740520983	אַַזראַ, אַלעקסאַנדער [אָרליוק]	אַלעקסאַנדער אַַזראַ	אָרליוק	heading_bracket
P-1-facs_40_tr_1740521046	facs_40_tr_1740521046	אידינא [אידאַ שעוואָכאָוויץ]	אידינא	אידאַ שעוואָכאָוויץ	heading_bracket
P-1-facs_40_r	facs_40_r	אידישע אַקטיאָרען-יוניאָן	אידישע אַקטיאָרען-יוניאָן	יידישע אַקטיאָרן-יוניען	names_variant
P-1-facs_41_tr_1740521073	facs_41_tr_1740521073	איזבעסקאָ, פינקוס [פּנחס איזבעסקי]	פינקוס איזבעסקאָ	פּנחס איזבעסקי	heading_bracket
P-1-facs_41_tr_1740521076	facs_41_tr_1740521076	אייגענפעלד [ערבער]	אייגענפעלד	ערבער	heading_bracket
P-1-facs_41_tr_1740521076	facs_41_tr_1740521076	אייגענפעלד [ערבער]	אייגענפעלד	א. ערבער	names_variant
P-1-facs_43_tr_1740520992	facs_43_tr_1740520992	אייזענשלאָס אַלטער	אייזענשלאָס אַלטער	עלוי	names_variant
P-1-facs_44_tr_1740521158	facs_44_tr_1740521158	אייכעל, יצחק	יצחק אייכעל	אייכעל	names_variant
P-1-facs_44_tr_1740521158	facs_44_tr_1740521158	אייכעל, יצחק	יצחק אייכעל	איכל	names_variant
P-1-facs_44_tr_1740521158	facs_44_tr_1740521158	אייכעל, יצחק	יצחק אייכעל	יצחק-אַברהם	names_variant
P-1-facs_45_tr_1740521094	facs_45_tr_1740521094	איינהאָרן, אהרן	אהרן איינהאָרן	איינער	names_variant
P-1-facs_45_tr_1740521081	facs_45_tr_1740521081	איינהאָרן, בּאַשע	בּאַשע איינהאָרן	בערטאָ פֿייווישאָוו	names_variant
P-1-facs_45_r_4	facs_45_r_4	איינהאָרן, ליזאַ	ליזאַ איינהאָרן	עליסאַ אָדעסאָנאָ	names_variant
P-1-facs_46_tr_1740521011	facs_46_tr_1740521011	איריס, סאָניאַ [פעלדמאַן]	סאָניאַ איריס	פעלדמאַן	heading_bracket
P-1-facs_47_tr_1740521070	facs_47_tr_1740521070	אָלגין, מ. י., דר. [משה יוסף נאָוואָמיסקי]	מ. י., דר. אָלגין	משה יוסף נאָוואָמיסקי	heading_bracket
P-1-facs_47_r_2	facs_47_r_2	אַלטמאַן, בּאָריס	בּאָריס אַלטמאַן	באָר-גוי	names_variant
P-1-facs_48_tr_1740521130	facs_48_tr_1740521130	אַלמאַן, שמואל	שמואל אַלמאַן	שמואל אַלמן	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	אליהו חיים שעפּס	heading_bracket
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	אלי עלין	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	עליאש	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	ש. אליהן	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	דר. א. עלקין	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	ל. יאָש	names_variant
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	אלמי, א. [אליהו חיים שעפּס]	א. אלמי	אַליהן זיידלער	names_variant
P-1-facs_49_tr_1740521083	facs_49_tr_1740521083	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]	ח. אַלעקסאַנדראָוו	וויליאָם מילער	heading_bracket
P-1-facs_49_tr_1740521084	facs_49_tr_1740521084	אַלקאַן,יהושע	יהושע אַלקאַן	י. עלקין	names_variant
P-1-facs_50_tr_1740521040	facs_50_tr_1740521040	אַמאַטין, סאָניאַ [שרה גאָלדבערג-לעווין]	סאָניאַ אַמאַטין	שרה גאָלדבערג-לעווין	heading_bracket
P-1-facs_50_tr_1740521046	facs_50_tr_1740521046	אַמאַטין, פּעטער [פּסח גאָלדבערג]	פּעטער אַמאַטין	פּסח גאָלדבערג	heading_bracket
P-1-facs_51_tr_1740521070	facs_51_tr_1740521070	אַמזעל, גאָלדע [געניאַ שניידער]	גאָלדע אַמזעל	געניאַ שניידער	heading_bracket
P-1-facs_51_tr_1740521072	facs_51_tr_1740521072	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]	אַניעלאַ	חנה קאמפּאנעיעץ-פּאָליאַקאָוו	heading_bracket
P-1-facs_51_tr_1740521079	facs_51_tr_1740521079	אנכי ז. י [זלמן יצחק ַאראָנסאָן]	אנכי ז. י	זלמן יצחק ַאראָנסאָן	heading_bracket
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	אַנ-סקי ש.	שלמה-זאַנוול ראַפּאָפּאָרט	heading_bracket
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	אַנ-סקי ש.	ש. א. אַנ-סקי	names_variant
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	אַנ-סקי ש.	שלמה-זנווייל ראַפּאָפּאָרט	names_variant
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	אַנ-סקי ש.	ס. אַנ-סקי	names_variant
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	אַנ-סקי ש.	אַנ-סקי	names_variant
P-1-facs_56_tr_1740521000	facs_56_tr_1740521000	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]	אָסקאַר אַסטראָף	יהושע אָסטריצקי	heading_bracket
P-1-facs_56_tr_1740521001	facs_56_tr_1740521001	אָסקאַר יוליוס [אייזענבעט]	אָסקאַר יוליוס	אייזענבעט	heading_bracket
P-1-facs_57_tr_1740521100	facs_57_tr_1740521100	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]	יוסף אָפּאַטאשו	יוסף אָפּאַטאָווסקי	heading_bracket
P-1-facs_57_tr_1740521103	facs_57_tr_1740521103	אַפּטייקער סאָפיאַ [שרה פֿריינד]	אַפּטייקער סאָפיאַ	שרה פֿריינד	heading_bracket
P-1-facs_58_tr_1740521146	facs_58_tr_1740521146	אַפּעל, אַננאַ [בערקאָוויטש]	אַננאַ אַפּעל	בערקאָוויטש	heading_bracket
P-1-facs_58_tr_1740521146	facs_58_tr_1740521146	אַפּעל, אַננאַ [בערקאָוויטש]	אַננאַ אַפּעל	קונצנמאָכערין	names_variant
P-1-facs_58_tr_1740521133	facs_58_tr_1740521133	אָפּעל, איזידאָר [יאַפּקאָ]	איזידאָר אָפּעל	יאַפּקאָ	heading_bracket
P-1-facs_58_tr_1740521139	facs_58_tr_1740521139	אַפּעל, מאָריס [אַפּעלאויג]	מאָריס אַפּעל	אַפּעלאויג	heading_bracket
P-1-facs_59_tr_1740521090	facs_59_tr_1740521090	אַפּעלבוים ראָזאָליאַ [שיינע רחל וויינשטיין]	אַפּעלבוים ראָזאָליאַ	שיינע רחל וויינשטיין	heading_bracket
P-1-facs_59_tr_1740521094	facs_59_tr_1740521094	אָפֿפֿערמאַן, פאָלינאַ [פּערל]	פאָלינאַ אָפֿפֿערמאַן	פּערל	heading_bracket
P-1-facs_59_tr_1740521087	facs_59_tr_1740521087	אַקסעלראָד, אַברהם [אַברהם יצחק]	אַברהם אַקסעלראָד	אַברהם יצחק	heading_bracket
P-1-facs_60_tr_1740521080	facs_60_tr_1740521080	אַקסעלראָד, אַנעטאַ [ברענער]	אַנעטאַ אַקסעלראָד	ברענער	heading_bracket
P-1-facs_60_tr_1740521087	facs_60_tr_1740521087	אַקסעלראָד, מיני [בלייכמאַן]	מיני אַקסעלראָד	בלייכמאַן	heading_bracket
P-1-facs_61_tr_1740521159	facs_61_tr_1740521159	אַקסעלראָד רחל [קאָהוט]	אַקסעלראָד רחל	קאָהוט	heading_bracket
P-1-facs_61_tr_1740521167	facs_61_tr_1740521167	אַראָנסאָן, כרוך	כרוך אַראָנסאָן	אַראַנסאָן	names_variant
P-1-facs_61_tr_1740521167	facs_61_tr_1740521167	אַראָנסאָן, כרוך	כרוך אַראָנסאָן	אַראָנסאָן	names_variant
P-1-facs_62_tr_1740520958	facs_62_tr_1740520958	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]	אַסתר אָרזשעווסקאַיאָ	סניעגאָוו	heading_bracket
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	"""אַרטעף"""	אַרבעטער-טעאַטער-פֿאַרבאַנד	heading_bracket
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	"""אַרטעף"""	אָרבעטער טעאַטער-פֿאַרבאַנד	names_variant
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	"""אַרטעף"""	אָרטעף	names_variant
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	"""אַרטעף"""	אַרטעף	names_variant
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	"""אַרטעף"""	פרייהייט דראָמאַטישע סטודיע	names_variant
P-1-facs_64_tr_1740520956	facs_64_tr_1740520956	אַריעל, סאָניאַ [בעזמאַן]	סאָניאַ אַריעל	בעזמאַן	heading_bracket
P-1-facs_64_tr_1740520956	facs_64_tr_1740520956	אַריעל, סאָניאַ [בעזמאַן]	סאָניאַ אַריעל	סאָניאַ בעזמאַן	names_variant
P-1-facs_65_tr_1740520943	facs_65_tr_1740520943	אַרנאָן,מרים [מאַניע מאַרגוליס]	מרים אַרנאָן	מאַניע מאַרגוליס	heading_bracket
P-1-facs_65_tr_1740520943	facs_65_tr_1740520943	אַרנאָן,מרים [מאַניע מאַרגוליס]	מרים אַרנאָן	די אַקטריסע	names_variant
P-1-facs_65_tr_1740520947	facs_65_tr_1740520947	אַרנשטיין, מאַרק	מאַרק אַרנשטיין	מאָרק אַרנשטיין	names_variant
P-1-facs_65_tr_1740520947	facs_65_tr_1740520947	אַרנשטיין, מאַרק	מאַרק אַרנשטיין	אַנדזשעי מאָרעס	names_variant
P-1-facs_65_tr_1740520947	facs_65_tr_1740520947	אַרנשטיין, מאַרק	מאַרק אַרנשטיין	אָנדזשעי מארק	names_variant
P-1-facs_68_tr_1740521052	facs_68_tr_1740521052	אַרקאַ, מאַניע [פישזאָן]	מאַניע אַרקאַ	פישזאָן	heading_bracket
P-1-facs_69_tr_1740521066	facs_69_tr_1740521066	אַש, שלום	שלום אַש	שלום אש	names_variant
P-1-facs_69_tr_1740521066	facs_69_tr_1740521066	אַש, שלום	שלום אַש	שלום אָש	names_variant
P-1-facs_72_tr_1740521050	facs_72_tr_1740521050	אַשכנזי איזידאָר [אייזיק]	אַשכנזי איזידאָר	אָ. ערנסט	names_variant
P-1-facs_72_tr_1740521060	facs_72_tr_1740521060	אַשכנדי צילע [פעפער]	אַשכנדי צילע	פעפער	heading_bracket
P-1-facs_73_r	facs_73_r	בּאָד-גוי בּאָריס	בּאָד-גוי בּאָריס	אַלטמאַן בּאָריס	names_variant
P-1-facs_73_tr_1740521067	facs_73_tr_1740521067	באַדין, מאַקס [מוני באַדיאַן]	מאַקס באַדין	מוני באַדיאַן	heading_bracket
P-1-facs_74_r_1	facs_74_r_1	באַדער גרשם	באַדער גרשם	ג. באָדער	names_variant
P-1-facs_74_r_1	facs_74_r_1	באַדער גרשם	באַדער גרשם	באָדער	names_variant
P-1-facs_74_tr_1740521143	facs_74_tr_1740521143	באָוושאַווער יוסף	באָוושאַווער יוסף	י. באַוושאָווער	names_variant
P-1-facs_75_r_2	facs_75_r_2	באַזעלינסקי, נחום	נחום באַזעלינסקי	וואַזעלינסקי	names_variant
P-1-facs_75_r_2	facs_75_r_2	באַזעלינסקי, נחום	נחום באַזעלינסקי	באָזעלינסקי	names_variant
P-1-facs_75_r_2	facs_75_r_2	באַזעלינסקי, נחום	נחום באַזעלינסקי	נ. ב. באַזאַלינסקע	names_variant
P-1-facs_75_r_2	facs_75_r_2	באַזעלינסקי, נחום	נחום באַזעלינסקי	נ. ב. באָזילינסקי	names_variant
P-1-facs_75_r_2	facs_75_r_2	באַזעלינסקי, נחום	נחום באַזעלינסקי	באַזעלינסקי	names_variant
P-1-facs_76_tr_1740520957	facs_76_tr_1740520957	באָטוויניק, בערל	בערל באָטוויניק	לער פּענסיל	names_variant
P-1-facs_76_tr_1740520957	facs_76_tr_1740520957	באָטוויניק, בערל	בערל באָטוויניק	ב. בראַנז	names_variant
P-1-facs_76_tr_1740520957	facs_76_tr_1740520957	באָטוויניק, בערל	בערל באָטוויניק	אַ טעאַטער-פּאָטריאָט	names_variant
P-1-facs_76_tr_1740520957	facs_76_tr_1740520957	באָטוויניק, בערל	בערל באָטוויניק	אַ בייזערשילינגער	names_variant
P-1-facs_78_tr_1740521048	facs_78_tr_1740521048	באַראָדקין, בערל [באַרדאָקין]	בערל באַראָדקין	באַרדאָקין	heading_bracket
P-1-facs_78_tr_1740521046	facs_78_tr_1740521046	באַראַט, מאַרטי [משה-מאָרטין באַראַץ]	מאַרטי באַראַט	משה-מאָרטין באַראַץ	heading_bracket
P-1-facs_79_tr_1740520948	facs_79_tr_1740520948	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]	בן-צכי כאַראַטאָוו	פּאָוועל ברענער	heading_bracket
P-1-facs_79_tr_1740520948	facs_79_tr_1740520948	כאַראַטאָוו, בן-צכי [פּאָוועל ברענער]	בן-צכי כאַראַטאָוו	בן צבי	names_variant
P-1-facs_79_tr_1740520939	facs_79_tr_1740520939	באַראַנדעס, יוסף	יוסף באַראַנדעס	יוסף באַראַנדעם	names_variant
P-1-facs_80_tr_1740521113	facs_80_tr_1740521113	באַרבער, ש. [שמואל בערבער]	ש. באַרבער	שמואל בערבער	heading_bracket
P-1-facs_81_r_7	facs_81_r_7	באַרדיזשאַנער שלמה	באַרדיזשאַנער שלמה	כאָרדיזשאָנער	names_variant
P-1-facs_81_tr_1740521176	facs_81_tr_1740521176	באַריץ, קלאַרא [דרוקער]	קלאַרא באַריץ	דרוקער	heading_bracket
P-1-facs_81_tr_1740521171	facs_81_tr_1740521171	באַרסקי, ישראל	ישראל באַרסקי	ישראל באָרסקי	names_variant
P-1-facs_81_tr_1740521171	facs_81_tr_1740521171	באַרסקי, ישראל	ישראל באַרסקי	ישראל בן-עולם	names_variant
P-1-facs_82_tr_1740520990	facs_82_tr_1740520990	בדחן, שלמה [בעללויאַ]	שלמה בדחן	בעללויאַ	heading_bracket
P-1-facs_82_r_4	facs_82_r_4	אהרן [פּאַרך]	אהרן	פּאַרך	heading_bracket
P-1-facs_82_r_4	facs_82_r_4	אהרן [פּאַרך]	אהרן	ראָהאַטינער?	subheading_bracket
P-1-facs_82_r_4	facs_82_r_4	אהרן [פּאַרך]	אהרן	ברודער פֿון עוזר מאָרשעליק	names_variant
P-1-facs_82_tr_1740520996	facs_82_tr_1740520996	דער באָריסאָווער בדחן	דער באָריסאָווער בדחן	דער כאָריסאָווער כדחן	names_variant
P-1-facs_82_tr_1740520982	facs_82_tr_1740520982	בונעם בדחן [בונעם משיזשיק]	בונעם בדחן	בונעם משיזשיק	heading_bracket
P-1-facs_83_r_2	facs_83_r_2	היבינער, משהלע	משהלע היבינער	פריזאָמענט, משהלע	names_variant
P-1-facs_83_tr_1740521029	facs_83_tr_1740521029	ווייס אַשר-זעליג	ווייס אַשר-זעליג	אָשר זעליג ווייס	names_variant
P-1-facs_83_tr_1740521027	facs_83_tr_1740521027	דוד בדחן פֿון באָבער, מאָהילעווער גוב.	מאָהילעווער גוב. דוד בדחן פֿון באָבער	דער באָבערער בדחן	names_variant
P-1-facs_83_tr_1740521027	facs_83_tr_1740521027	דוד בדחן פֿון באָבער, מאָהילעווער גוב.	מאָהילעווער גוב. דוד בדחן פֿון באָבער	דוד בדחן	names_variant
P-1-facs_84_tr_1740520959	facs_84_tr_1740520959	דער בדחן פֿון זעמבין [לייזער שיינמאַן]	דער בדחן פֿון זעמבין	לייזער שיינמאַן	heading_bracket
P-1-facs_84_tr_1740520959	facs_84_tr_1740520959	דער בדחן פֿון זעמבין [לייזער שיינמאַן]	דער בדחן פֿון זעמבין	לייזער בדחן	names_variant
P-1-facs_85_r_6	facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאָרעבאָווסקי	names_variant
P-1-facs_85_r_6	facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	באָסלעווער מאָרשעליק	names_variant
P-1-facs_85_r_6	facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	מאַרעכאַווסקין	names_variant
P-1-facs_85_r_6	facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה דער אַנשטעלער	names_variant
P-1-facs_85_r_6	facs_85_r_6	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	משה מאַרעכאָווסקי דער באָסלעווער מאַרשעליק	מאַרעכאָווסקי	names_variant
P-1-facs_86_tr_1740521078	facs_86_tr_1740521078	סאָניע בדחן [ישראל זאדרונסקי]	סאָניע בדחן	ישראל זאדרונסקי	heading_bracket
P-1-facs_86_tr_1740521078	facs_86_tr_1740521078	סאָניע בדחן [ישראל זאדרונסקי]	סאָניע בדחן	סאָניע דער ביאָליסטאָקער	names_variant
P-1-facs_87_tr_1740520981	facs_87_tr_1740520981	סיגעטער הערש-לייב [גאָטליב]	סיגעטער הערש-לייב	גאָטליב	heading_bracket
P-1-facs_87_tr_1740520981	facs_87_tr_1740520981	סיגעטער הערש-לייב [גאָטליב]	סיגעטער הערש-לייב	ריהערש לייב סיגעטער	names_variant
P-1-facs_87_tr_1740520982	facs_87_tr_1740520982	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]	סענדער בדחן	אליהו-אַלכסנדר פידעלמאַן	heading_bracket
P-1-facs_87_tr_1740520982	facs_87_tr_1740520982	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]	סענדער בדחן	סענדער	names_variant
P-1-facs_87_tr_1740520982	facs_87_tr_1740520982	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]	סענדער בדחן	אלכסנדר סענדער פידלמאַן	names_variant
P-1-facs_87_tr_1740520982	facs_87_tr_1740520982	סענדער בדחן [אליהו-אַלכסנדר פידעלמאַן]	סענדער בדחן	אלכסנדר פידלמאָן	names_variant
P-1-facs_88_r	facs_88_r	עוזר מאַרשעליק [ראָהאַטינער ?]	עוזר מאַרשעליק	ראָהאַטינער ?	heading_bracket
