person_id	xml_id	volume	heading	names_variants	birth_year	death_year	entry_type	candidate_db_ids	candidate_scores	candidate_names	decision	aligned_db_id	reviewer	reviewer_notes	reviewed_at
P-1-facs_19_r	facs_19_r	1	אַבראַמאָוויטש, חיים	א.			performer	1108	1.000	חיים אַבּראַמאָוויטש	ALIGN	1108			
P-1-facs_19_r_6	facs_19_r_6	1	אַבראַמאָוויטש, מאַקס (מענדל)	א. | אָ.	1859	1905	performer	694	1.000	מאַקס אַבּראַמאָוויטש (מענדל)	ALIGN	694			
P-1-facs_20_tr_1740515222	facs_20_tr_1740515222	1	אַבראַמס, אַדאָלף [אָבּראָמאָוויטש]	א.	1888		performer	1110	1.000	אַדאָלף אַבּראמס (אבּראַמאָוויטש)	ALIGN	1110			
P-1-facs_20_tr_1740515229	facs_20_tr_1740515229	1	אַבראַמסאָן, אייוואָן	אייווען אָבראָמסאָן | א. | אַבר.	1870		director_regisseur	735	1.000	אייוואַן אַבּראַמסאָן	ALIGN	735			
P-1-facs_20_tr_1740515223	facs_20_tr_1740515223	1	אַבראַמסקי, ג.	אַברהם הגרשוני | לבני קהת | א.			writer	1112	1.000	ג. אַבּראַמסקי	ALIGN	1112			
P-1-facs_21_tr_1740515222	facs_21_tr_1740515222	1	אַנעד, סעם [שלמה]	א. | אגעד	1866	1914	administrator	1132	0.500	סעם אַגעד (שלמה)	ALIGN	1132			
P-1-facs_21_tr_1740515225	facs_21_tr_1740515225	1	אַדאָלפי				writer	1130	0.600	אַדאָלפי	ALIGN	1130			
P-1-facs_21_tr_1740515226	facs_21_tr_1740515226	1	אַדלער בעני	א.	1886		performer	1116	1.000	בּעני אַדלער	ALIGN	1116			
P-1-facs_22_tr_1740515222	facs_22_tr_1740515222	1	אַדלער דזשוליאַ				performer	1122	1.000	דזשוליא אַדלער	ALIGN	1122			
P-1-facs_22_tr_1740515225	facs_22_tr_1740515225	1	אַדלער יוזשע	א.			performer	1129	1.000	יוזשע אַדלער	ALIGN	1129			
P-1-facs_22_tr_1740515224	facs_22_tr_1740515224	1	אַדלער, יוליוס	אַדלער | אָרטשיק | אָרטשיקעס | יודקע דער אַלט	1880		performer	1123	1.000	יוליוס אַדלער	ALIGN	1123			
P-1-facs_23_r	facs_23_r	1	אַדלער, יעקב פּ. [יעקב בן פּנחס]	יעקב פ. אַדלער | דזשייקאָב פּ. אַדלער | א. | נ. | אַדלער	1855	1926	performer	706	0.800	יעקב אַדלער (יעקב בּן פּנחס)	ALIGN	706			
P-1-facs_30_TextRegion_1709402283554_1191	facs_30_TextRegion_1709402283554_1191	1	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער | וואָסיעס אַדלער | בלומענטאַל	1881		performer	1128	1.000	ירמיהו אַדלער (גאָלדענבּערג-טווערסקי)	ALIGN	1128			
P-1-facs_31_TextRegion_1710063820301_118	facs_31_TextRegion_1710063820301_118	1	אַדלער, ישראל	א. | י. שטורם | י. אַקווילאַ | י. נשר	1898		writer	1121	1.000	ישראל אַדלער	ALIGN	1121			
P-1-facs_31_TextRegion_1710063786700_90	facs_31_TextRegion_1710063786700_90	1	אַדלער, סטעלאַ	אַ.	1903		performer	1127	1.000	סטעלאַ אַדלער	ALIGN	1127			
P-1-facs_31_r	facs_31_r	1	אַדלער, סעם	סעם אַדלער | אַדלער	1868	1925	director_regisseur	740	1.000	סעם אַדלער	ALIGN	740			
P-1-facs_33_tr_1740521056	facs_33_tr_1740521056	1	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]	א.			performer	1126	0.600	סאַראַ אדלער (שרה-סוניה לעוויצקא, היינע-היימאָוויאש)	ALIGN	1126			
P-1-facs_33_tr_1740521070	facs_33_tr_1740521070	1	אַדלער עמיליע [שרה-מילקע שטאָנג]	א.	1884		performer	1115	1.000	עמיליע אַדלער (שרה-מילקע שטאַנג)	ALIGN	1115			
P-1-facs_34_tr_1740521039	facs_34_tr_1740521039	1	אַדלער פֿרענציס	א. | אָדלער			performer	1119	1.000	פרענציס אַדלער	ALIGN	1119			
P-1-facs_34_tr_1740521031	facs_34_tr_1740521031	1	אַדלער צילע	צילע פֿיינמאַן | צילע אָדלער | א.			performer	1117	1.000	צילע אַדלער	ALIGN	1117			
P-1-facs_35_tr_1740520972	facs_35_tr_1740520972	1	אַדלער, קאָטיאָ [גוראַלניק]		1881		performer	1125	0.636	קטיה אַדלער (גוראַלניק)	ALIGN	1125			
P-1-facs_35_tr_1740520974	facs_35_tr_1740520974	1	אָדעסער פֿאָלקס-זינגער מאיר גאָרבאָי [פּאַרך]	מאיר פּאָרך			performer	3409|3407|1001|2990|2988	0.583|0.583|0.500|0.417|0.417	יוסף זינגער|אַדעלאַ זינגער|יוסף זינגער|יעקב זינגער|איידא זינגער (גלאַדשטיין)					
P-1-facs_35_tr_1740520980	facs_35_tr_1740520980	1	אָדערשלעגער, משה יעקב	אָדערשלענער | ראָוויטש | א.	1881		writer	1114	0.667	משה אדערשלעגער	ALIGN	1114			
P-1-facs_35_tr_1740520969	facs_35_tr_1740520969	1	אוגער, ישעיה	א.	1873		writer	3128	1.000	ישעיה אוגער	ALIGN	3128			
P-1-facs_36_tr_1740520946	facs_36_tr_1740520946	1	אַווראַמאָוויטש, מאַקס [מרדכי אָבראָמאָוויטש]	אַווראָמאָוויטש | א.	1856	1896	performer	1202	0.812	מאַקס אַווראַמאָאוויטש (מרדכי אַבּראַמאָוויטש)	ALIGN	1202			
P-1-facs_36_tr_1740520948	facs_36_tr_1740520948	1	אויגענבליק, עני [חנה סויבער]		1886		performer	1198	1.000	עני אויגענבּליק (חנה סויבּער)	ALIGN	1198			
P-1-facs_36_tr_1740520951	facs_36_tr_1740520951	1	אויגענבליק, פֿיליפּ	א. | אָ.	1877		performer	1199|1198	1.000|0.529	פיליפּ אויגענבּליק|עני אויגענבּליק (חנה סויבּער)					
P-1-facs_37_tr_1740520986	facs_37_tr_1740520986	1	אויערבאַך, אפֿרים	א.	1892		writer	1194	1.000	אפרים אויערבּאַך	ALIGN	1194			
P-1-facs_37_tr_1740520982	facs_37_tr_1740520982	1	אויערבאַך, בּאָריס [בן-ציון]	א. | ב.	1890		performer	1193	1.000	בּאָריס אויערבּאַך (בן-ציון)	ALIGN	1193			
P-1-facs_37_tr_1740520980	facs_37_tr_1740520980	1	אויערבאַך, יצחק	א.			writer	1195	1.000	יצחק אויערבּאַך	ALIGN	1195			
P-1-facs_37_tr_1740520983	facs_37_tr_1740520983	1	אויערבאך ס.				writer	1196	1.000	ס. אויערבּאַך	ALIGN	1196			
P-1-facs_38_tr_1740521016	facs_38_tr_1740521016	1	אויערבאַך, סעם	א.	1890		performer	1197	1.000	סעם אויערבּאַך	ALIGN	1197			
P-1-facs_38_tr_1740521017	facs_38_tr_1740521017	1	אולריך				performer	3129	0.600	אולריך	ALIGN	3129			
P-1-facs_38_tr_1740521009	facs_38_tr_1740521009	1	"„אונזער טעאַטער"""	יידישע טעאַטער-געזעלשאָפט | יידישער טעאַטערגעזעלשאַפט	1923	1926	group				ALIGN	1137			
P-1-facs_38_tr_1740521011	facs_38_tr_1740521011	1	אוריך סאמי [שמאי, גדליהו]		1882		performer	985|986|43|3813|3131	1.000|0.333|0.333|0.333|0.333	סאמי אוריך (שמאי, גדליהו)|צילע אוריך|שמאי גלנדר|צילע אוריך (חיה צילע פעדער)|פּעפּי אוריך (פּערל)					
P-1-facs_39_tr_1740520985	facs_39_tr_1740520985	1	אוריך, צילע [חיה צילע פערער]	א.	1887		performer	986	1.000	צילע אוריך	ALIGN	986			
P-1-facs_39_tr_1740520983	facs_39_tr_1740520983	1	אַַזראַ, אַלעקסאַנדער [אָרליוק]	א. | אָ.	1892		performer	1209	1.000	אַלעקסאַנדער אזראַ (אָרליוק)	ALIGN	1209			
P-1-facs_40_tr_1740521035	facs_40_tr_1740521035	1	אַטלאַס, דזשעני	א.	1880	1927	performer	1192	1.000	דזשעני אַטלאַס	ALIGN	1192			
P-1-facs_40_tr_1740521046	facs_40_tr_1740521046	1	אידינא [אידאַ שעוואָכאָוויץ]		1904		performer				ALIGN	1152			
P-1-facs_40_r	facs_40_r	1	אידישע אַקטיאָרען-יוניאָן	יידישע אַקטיאָרן-יוניען			union				ALIGN	3118			
P-1-facs_41_tr_1740521073	facs_41_tr_1740521073	1	איזבעסקאָ, פינקוס [פּנחס איזבעסקי]		1879		administrator	2045	1.000	פּינקוס איזבּעסקאָ (פּנחס איזבעסקי)	ALIGN	2045			
P-1-facs_41_r_2	facs_41_r_2	1	איזמאַליאָננאַ				composer	2046	0.600	איזמאַליאָננאַ	ALIGN	2046			
P-1-facs_41_r_4	facs_41_r_4	1	איטעלמאַן, לייזער				performer	2040	1.000	לייזער איטעלמאַן	ALIGN	2040			
P-1-facs_41_tr_1740521069	facs_41_tr_1740521069	1	אייבראַמס, דוד	א.	1884		administrator	1111	1.000	דוד אייבּראמס	ALIGN	1111			
P-1-facs_41_tr_1740521076	facs_41_tr_1740521076	1	אייגענפעלד [ערבער]	א. ערבער			writer	1599	0.700	אייגענפעלד (ערבּער)	ALIGN	1599			
P-1-facs_41_tr_1740521079	facs_41_tr_1740521079	1	אייזמאַן, גאָלדע		1906		performer	1558	1.000	גאָלדע אייזמאַן	ALIGN	1558			
P-1-facs_42_tr_1740520985	facs_42_tr_1740520985	1	אייזענבערג, אַברהם	א.	1879		administrator	1604	1.000	אברהם אייזענבּערג	ALIGN	1604			
P-1-facs_42_tr_1740520982	facs_42_tr_1740520982	1	אייזענבערג אהרן	א.	1892		performer	1603	0.600	אהרון אייזענבערג	ALIGN	1603			
P-1-facs_42_tr_1740520988	facs_42_tr_1740520988	1	אייזענבערג אַווראָם		1899		performer	1605|1604|1603|1554|1553	0.700|0.614|0.500|0.400|0.381	אַוראָם אייזענבערג|אברהם אייזענבּערג|אהרון אייזענבערג|מאַיר אייזענבערג|ליובא אייזענבּערג					
P-1-facs_42_tr_1740520980	facs_42_tr_1740520980	1	אייזענבערג, מאיר		1894		other	1554|992|3170|1605|1603	1.000|0.568|0.550|0.533|0.533	מאַיר אייזענבערג|יצחק מאיר ווייסענבערג|יצחק-מאיר ווייסענבּערג|אַוראָם אייזענבערג|אהרון אייזענבערג					
P-1-facs_42_tr_1740520978	facs_42_tr_1740520978	1	אייזענשטאַרק, שלמה	א.	1893		performer	1607	1.000	שלמה אייזענשטאַרק	ALIGN	1607			
P-1-facs_43_tr_1740520992	facs_43_tr_1740520992	1	אייזענשלאָס אַלטער	א. | עלוי	1879	1925	writer	1556	1.000	אַלטער אייזענשלאָס	ALIGN	1556			
P-1-facs_43_tr_1740521002	facs_43_tr_1740521002	1	אייזערמאַן, לייבל	א.	1875		performer	1610	1.000	לייבּל אייזערמאַן	ALIGN	1610			
P-1-facs_44_tr_1740521158	facs_44_tr_1740521158	1	אייכעל, יצחק	אייכעל | איכל | יצחק-אַברהם | א.	1756	1804	writer	1600	1.000	יצחק אייכעל	ALIGN	1600			
P-1-facs_45_tr_1740521094	facs_45_tr_1740521094	1	איינהאָרן, אהרן	איינער	1884		writer	1550	0.571	אהרן איינהורן	ALIGN	1550			
P-1-facs_45_tr_1740521081	facs_45_tr_1740521081	1	איינהאָרן, בּאַשע	בערטאָ פֿייווישאָוו | א.	1878	1918	performer	1601	1.000	בּאַשע איינהאָרן	ALIGN	1601			
P-1-facs_45_tr_1740521100	facs_45_tr_1740521100	1	איינהאָרן, דוד		1886		writer	1602	1.000	דוד איינהאָרן	ALIGN	1602			
P-1-facs_45_r_4	facs_45_r_4	1	איינהאָרן, ליזאַ	א. | עליסאַ אָדעסאָנאָ	1865		performer	1551	1.000	ליזאַ איינהאָרן	ALIGN	1551			
P-1-facs_45_tr_1740521093	facs_45_tr_1740521093	1	איינעס, אַברהם	א.	1892		performer	1549	1.000	אברהם איינעס	ALIGN	1549			
P-1-facs_46_tr_1740521017	facs_46_tr_1740521017	1	איצקאָוויטש, שבתי	א.	1892		performer	2044	1.000	שבּתי איצקאָוויטש	ALIGN	2044			
P-1-facs_46_tr_1740521011	facs_46_tr_1740521011	1	איריס, סאָניאַ [פעלדמאַן]		1892		performer	2039	1.000	סאָניאַ איריס (פעלדמאַן)	ALIGN	2039			
P-1-facs_46_tr_1740521016	facs_46_tr_1740521016	1	איריס, שמואל	א.	1889		performer	2038	1.000	שמואל איריס	ALIGN	2038			
P-1-facs_47_tr_1740521070	facs_47_tr_1740521070	1	אָלגין, מ. י., דר. [משה יוסף נאָוואָמיסקי]	א.	1878		writer	2592	0.600	משה יוסף אָלגין (משה יוסף נאָוואָמיסקי)	ALIGN	2592			
P-1-facs_47_r_2	facs_47_r_2	1	אַלטמאַן, בּאָריס	א. | באָר-גוי			performer	1144	1.000	בּאָריס אַלטמאַן	ALIGN	1144			
P-1-facs_47_tr_1740521074	facs_47_tr_1740521074	1	אַלטמאַן, מאָריס				writer	1146	1.000	מאָריס אַלטמאַן	ALIGN	1146			
P-1-facs_47_tr_1740521066	facs_47_tr_1740521066	1	אַלטמאַן, נאַטאַן	א.	1889		other	1148	1.000	נאַטאַן אַלטמאַן	ALIGN	1148			
P-1-facs_48_tr_1740521130	facs_48_tr_1740521130	1	אַלמאַן, שמואל	שמואל אַלמן | א.	1877		composer	1138	1.000	שמואל אַלמאַן	ALIGN	1138			
P-1-facs_48_tr_1740521125	facs_48_tr_1740521125	1	אלמי, א. [אליהו חיים שעפּס]	אלי עלין | עליאש | ש. אליהן | דר. א. עלקין | ל. יאָש | אַליהן זיידלער	1892		writer	1139	1.000	א. אלמי (אליהו חיים שעפּס)	ALIGN	1139			
P-1-facs_48_tr_1740521128	facs_48_tr_1740521128	1	אַלעסקאָ פערנאַנדאָ				performer	1565	1.000	פערנאַנדאָ אַלעסקאָ	ALIGN	1565			
P-1-facs_48_tr_1740521136	facs_48_tr_1740521136	1	אַלעקסאַנדראָוו, אהרן	א.	1903		performer	1135	1.000	אהרן אָלעקסאַנדראָוו	ALIGN	1135			
P-1-facs_49_tr_1740521083	facs_49_tr_1740521083	1	אַלעקסאַנדראָוו, ח. [וויליאָם מילער]	א.	1869	1909	writer	1136	1.000	ח. אָלעקסאַנדראָוו (וויליאַם מילער)	ALIGN	1136			
P-1-facs_49_tr_1740521084	facs_49_tr_1740521084	1	אַלקאַן,יהושע	י. עלקין	1895		writer				ALIGN	2598			
P-1-facs_49_tr_1740521087	facs_49_tr_1740521087	1	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]	אָ.	1892		composer	881	1.000	אַלעקסאַנדער אָלשאַנעצקי (יהושע)	ALIGN	881			
P-1-facs_50_tr_1740521040	facs_50_tr_1740521040	1	אַמאַטין, סאָניאַ [שרה גאָלדבערג-לעווין]	א.	1899		performer	1152	0.333	פּעטער אַמאַטין (פּסח גאָלדבּערג)	ALIGN	1152			
P-1-facs_50_tr_1740521046	facs_50_tr_1740521046	1	אַמאַטין, פּעטער [פּסח גאָלדבערג]	א.	1894		performer				ALIGN	1144			
P-1-facs_50_tr_1740521042	facs_50_tr_1740521042	1	אַמאַסיאַ, אַלעקס [אלעקסאַנדער]		1887		performer	1150	1.000	אַלעקס אַמאַסיאַ (אַלעקסאַנדער)	ALIGN	1150			
P-1-facs_51_tr_1740521052	facs_51_tr_1740521052	1	אַמאַסיאַ, הערש	א.	1864	1827	performer	1151	1.000	הערש אַמאַסיאַ	ALIGN	1151			
P-1-facs_51_tr_1740521070	facs_51_tr_1740521070	1	אַמזעל, גאָלדע [געניאַ שניידער]		1899		performer	1154	1.000	גאָלדע אַמזעל (געניאַ שניידער)	ALIGN	1154			
P-1-facs_51_tr_1740521069	facs_51_tr_1740521069	1	אַמזעל,וואָלף		1894		performer	1155	1.000	וואָלף אַמזעל	ALIGN	1155			
P-1-facs_51_tr_1740521072	facs_51_tr_1740521072	1	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]		1894		performer	1156	0.600	אניעלא (חנה קאמפּאַנעיעץ-פּאָליאַקאָוו)	ALIGN	1156			
P-1-facs_51_tr_1740521079	facs_51_tr_1740521079	1	אנכי ז. י [זלמן יצחק ַאראָנסאָן]		1876		writer	1158	0.667	ז. אנכי (זלמן יצחק אַראָנסאָן)	ALIGN	1158			
P-1-facs_52_tr_1740521031	facs_52_tr_1740521031	1	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]	ש. א. אַנ-סקי | שלמה-זנווייל ראַפּאָפּאָרט | ס. אַנ-סקי | א. | אַנ-סקי	1863	1929	writer	1159	1.000	ש. אַנ-סקי (שלמה-זאַנוול ראַפּאָפּאָרט)	ALIGN	1159			
P-1-facs_56_tr_1740521000	facs_56_tr_1740521000	1	אַסטראָף, אָסקאַר [יהושע אָסטריצקי]		1904		performer	2601	1.000	אָסקאַר אַסטראָף (יהושע אָסטריצקי)	ALIGN	2601			
P-1-facs_56_tr_1740521001	facs_56_tr_1740521001	1	אָסקאַר יוליוס [אייזענבעט]	א.			performer	2600	1.000	יוליוס אָסקאַר (אייזענבעט)	ALIGN	2600			
P-1-facs_57_tr_1740521100	facs_57_tr_1740521100	1	אָפּאַטאשו, יוסף [יוסף אָפּאַטאָווסקי]	א.	1887		writer	2594	1.000	יוסף אָפּאטאַשו (יוסף אָפּאַטאָווסקי)	ALIGN	2594			
P-1-facs_57_tr_1740521089	facs_57_tr_1740521089	1	אַפּאָטהעקער, דוד	א.	1855		writer	1162	1.000	דוד אַפּאָטהעקער	ALIGN	1162			
P-1-facs_57_tr_1740521103	facs_57_tr_1740521103	1	אַפּטייקער סאָפיאַ [שרה פֿריינד]		1885	1908	performer	1168	1.000	סאָפיא אַפּטייקער (שרה פריינד)	ALIGN	1168			
P-1-facs_58_tr_1740521146	facs_58_tr_1740521146	1	אַפּעל, אַננאַ [בערקאָוויטש]	א. | קונצנמאָכערין	1888		performer	1163	1.000	אַננאַ אַפּעל (בּערקאָוויטש)	ALIGN	1163			
P-1-facs_58_tr_1740521133	facs_58_tr_1740521133	1	אָפּעל, איזידאָר [יאַפּקאָ]	א.			performer	1164	1.000	איזידאָר אַפּעל (יאַפּקאָ)	ALIGN	1164			
P-1-facs_58_tr_1740521139	facs_58_tr_1740521139	1	אַפּעל, מאָריס [אַפּעלאויג]	א.	1894		performer	1165	1.000	מאָריס אַפּעל (אַפּעלאויג)	ALIGN	1165			
P-1-facs_58_tr_1740521154	facs_58_tr_1740521154	1	אָפּעלבוים מישאַ	א.			performer	1166	1.000	מישאַ אַפּעלבּוים	ALIGN	1166			
P-1-facs_59_tr_1740521090	facs_59_tr_1740521090	1	אַפּעלבוים ראָזאָליאַ [שיינע רחל וויינשטיין]				performer	1167	1.000	ראזאליא אַפּעלבּוים (שיינע רחל וויינשטיין)	ALIGN	1167			
P-1-facs_59_tr_1740521094	facs_59_tr_1740521094	1	אָפֿפֿערמאַן, פאָלינאַ [פּערל]	א.	1894		performer	2590	0.733	פּעלינאַ אָפפערמאַן (פּערל)	ALIGN	2590			
P-1-facs_59_tr_1740521083	facs_59_tr_1740521083	1	אפרת ניקאָליי	א.		1923	writer	1131	1.000	ניקאָליי אפרת	ALIGN	1131			
P-1-facs_59_tr_1740521087	facs_59_tr_1740521087	1	אַקסעלראָד, אַברהם [אַברהם יצחק]	א.	1858	1925	performer	1204	1.000	אברהם אַקסעלראד (אברהם יצחק)	ALIGN	1204			
P-1-facs_60_tr_1740521080	facs_60_tr_1740521080	1	אַקסעלראָד, אַנעטאַ [ברענער]		1868	1910	performer	1203	1.000	אַנעטאַ אַקסעלראד (פּרענער)	ALIGN	1203			
P-1-facs_60_tr_1740521090	facs_60_tr_1740521090	1	אַקסעלראָד מאָריס [מאיר]	א.	1890		performer	1206	1.000	מאָריס אַקסעלראד (מעיר)	ALIGN	1206			
P-1-facs_60_tr_1740521087	facs_60_tr_1740521087	1	אַקסעלראָד, מיני [בלייכמאַן]		1893		performer	1205	0.571	מינאַ אַקסעלראד (בּלייכמאַן)	ALIGN	1205			
P-1-facs_61_tr_1740521158	facs_61_tr_1740521158	1	אַקסעלראָד ראָזאַ	א.		1914	performer	980	1.000	ראָזא אַקסעלראד	ALIGN	980			
P-1-facs_61_tr_1740521159	facs_61_tr_1740521159	1	אַקסעלראָד רחל [קאָהוט]	רחל | א.			performer	1207	1.000	רחל אַקסעלראד (קאָהוט)	ALIGN	1207			
P-1-facs_61_tr_1740521163	facs_61_tr_1740521163	1	אַראַנאָוויטש, הערמאַן		1900		performer	1181	1.000	הערמאַן אַראָנאָוויטש	ALIGN	1181			
P-1-facs_61_tr_1740521166	facs_61_tr_1740521166	1	אַראָנטשיק, יודעס	א.	1909		performer	1179	1.000	יודעס אַראָנטשיק	ALIGN	1179			
P-1-facs_61_tr_1740521167	facs_61_tr_1740521167	1	אַראָנסאָן, כרוך	א. | אַראַנסאָן | אַראָנסאָן	1898		other	1182	0.818	בּרוך אַראָנסאָן	ALIGN	1182			
P-1-facs_62_tr_1740520977	facs_62_tr_1740520977	1	אַראָנעס, פֿייוול	א.	1897		performer	1180	1.000	פייוול אַראָנעס	ALIGN	1180			
P-1-facs_62_tr_1740520958	facs_62_tr_1740520958	1	אָרזשעווסקאַיאָ, אַסתר [סניעגאָוו]	א.	1881	1924	performer				ALIGN	1312			
P-1-facs_62_tr_1740520963	facs_62_tr_1740520963	1	"""אַרטעף"" [אַרבעטער-טעאַטער-פֿאַרבאַנד]"	אָרבעטער טעאַטער-פֿאַרבאַנד | אָרטעף | אַרטעף | פרייהייט דראָמאַטישע סטודיע	1925		union				ALIGN	2705			
P-1-facs_64_tr_1740520942	facs_64_tr_1740520942	1	אַריעל, חיים דוד	א.	1881		performer	1173	1.000	חיים-דוד אריעל	ALIGN	1173			
P-1-facs_64_tr_1740520956	facs_64_tr_1740520956	1	אַריעל, סאָניאַ [בעזמאַן]	סאָניאַ בעזמאַן	1892		performer	1175	1.000	סאָניאַ אַריעל (בעזמאַן)	ALIGN	1175			
P-1-facs_64_tr_1740520959	facs_64_tr_1740520959	1	אַריעל, רחל		1891		performer	1174	1.000	רחל אַריעל	ALIGN	1174			
P-1-facs_65_tr_1740520954	facs_65_tr_1740520954	1	אָרליוק, שמעון	א.	1894		performer	2597	1.000	שמעון אָרליוק	ALIGN	2597			
P-1-facs_65_tr_1740520951	facs_65_tr_1740520951	1	אָרלעסקא, מרים	א.			performer	2596	0.833	מרים אָרלעסקאַ ((אַלטוסקי))	ALIGN	2596			
P-1-facs_65_tr_1740520943	facs_65_tr_1740520943	1	אַרנאָן,מרים [מאַניע מאַרגוליס]	די אַקטריסע	1888		performer	1176	1.000	מרים אַרנאָן (מאַניע מאָרגוליס)	ALIGN	1176			
P-1-facs_65_tr_1740520947	facs_65_tr_1740520947	1	אַרנשטיין, מאַרק	מאָרק אַרנשטיין | אַנדזשעי מאָרעס | אָנדזשעי מארק | א.	1878		writer	995	1.000	מארק ארנשטיין (אַנדזשעי מאַרק)	ALIGN	995			
P-1-facs_67_tr_1740521120	facs_67_tr_1740521120	1	אַרנשטיין, ראָזע		1888		performer	1178	1.000	ראָזע ארנשטיין	ALIGN	1178			
P-1-facs_68_tr_1740521054	facs_68_tr_1740521054	1	אַרקאָ, איסאַק	א.	1891		performer	1170	1.000	איסאַק אַרקאָ	ALIGN	1170			
P-1-facs_68_tr_1740521051	facs_68_tr_1740521051	1	אַרקאַ, יצחק	א.	1889		performer	1171	1.000	יצחק ארקא	ALIGN	1171			
P-1-facs_68_tr_1740521052	facs_68_tr_1740521052	1	אַרקאַ, מאַניע [פישזאָן]	א.			performer	1172	1.000	מאַניע אַרקאָ (פישזאָן)	ALIGN	1172			
P-1-facs_69_tr_1740521059	facs_69_tr_1740521059	1	אַרקאָ פריצי	א.			performer	1169	1.000	פריצי אַרקאָ	ALIGN	1169			
P-1-facs_69_tr_1740521066	facs_69_tr_1740521066	1	אַש, שלום	שלום אש | א. | שלום אָש	1880		writer	1183	1.000	שלום אַש	ALIGN	1183			
P-1-facs_72_tr_1740521050	facs_72_tr_1740521050	1	אַשכנזי איזידאָר [אייזיק]	אָ. ערנסט	1879		performer	1184	1.000	איזידאָר אשכנזי (אייזיק)	ALIGN	1184			
P-1-facs_72_r_5	facs_72_r_5	1	אַשכנזי מירע		1898		performer	1188	1.000	מירע אשכנזי	ALIGN	1188			
P-1-facs_72_tr_1740521060	facs_72_tr_1740521060	1	אַשכנדי צילע [פעפער]				performer	1189	0.511	צילע אשכנזי (פעפער)	ALIGN	1189			
P-1-facs_73_tr_1740521068	facs_73_tr_1740521068	1	אָשעראָוויטש, מ.	א.	1888		writer	2599	1.000	מ. אָשעראָוויטש	ALIGN	2599			
P-1-facs_73_r	facs_73_r	1	בּאָד-גוי בּאָריס	אַלטמאַן בּאָריס			performer				ALIGN	2399			
P-1-facs_73_tr_1740521067	facs_73_tr_1740521067	1	באַדין, מאַקס [מוני באַדיאַן]	ב.	1889		performer	1215	1.000	מאַקס בּאַדין (מוני בּאַדיאָן)	ALIGN	1215			
P-1-facs_74_r_1	facs_74_r_1	1	באַדער גרשם	ג. באָדער | ב. | באָדער	1868		writer	1213	1.000	גרשם בּאָדער	ALIGN	1213			
P-1-facs_74_tr_1740521143	facs_74_tr_1740521143	1	באָוושאַווער יוסף	י. באַוושאָווער | ב.	1873	1915	writer	1367	1.000	יוסף בּאָוושאָווער (Basil Dahl, M. Turbov)	ALIGN	1367			
