person_id	xml_id	heading	decision	aligned_db_id	merge_person_id	merge_xml_id	draft_decision	draft_confidence	accepted_draft	reviewer	reviewed_at	notes	mode
P-1-facs_401_r_5_1	facs_401_r_5_1	זיידמאַן, בּעני	ALIGN	3361			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_402_tr_1739715076	facs_402_tr_1739715076	זייפערט, משה	ALIGN	1060			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_412_TextRegion_1710153731052_73	facs_412_TextRegion_1710153731052_73	זינגער, יוסף	ALIGN	3409			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-2-facs_198_r_4	facs_198_r_4	מאָגולעסקאָ, זיגמונט [זעלייג מאָגילעווסקי]	ALIGN	685			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-2-facs_298_tr_1744280754	facs_298_tr_1744280754	מרגליות, אליהו רבי	ALIGN	2398			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_12_tr_1752652592	facs_12_tr_1752652592	פאַדאָוויטש, בערל	ALIGN	2606			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_12_tr_1752652590	facs_12_tr_1752652590	פּאָדאָלסקאַ, וויעראַ	ALIGN	2666			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_12_tr_1752652594	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	ALIGN	2668			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_14_tr_1752653034	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	ALIGN	2665			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_15_tr_1752653017	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	ALIGN	2664			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_15_tr_1752653010	facs_15_tr_1752653010	פּאָדליאַס, חיים	ALIGN	2663			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_15_r_6	facs_15_r_6	פּאַוויק, פּ.	ALIGN	2630			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_15_tr_1752653013	facs_15_tr_1752653013	פּאול, ה.	ALIGN	2627			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_16_r	facs_16_r	פאול, יוסף	ALIGN	2629			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_16_tr_1752653044	facs_16_tr_1752653044	פאָזי אַריה [ישראל אַריה פּאָזיקאָוו]	ALIGN	2693			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_17_tr_1752653007	facs_17_tr_1752653007	פּאָזנאַנסקי, הערש	ALIGN	2692			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_17_tr_1752653009	facs_17_tr_1752653009	פאָזנער (יחיאל-) מאיר	ALIGN	2686			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_18_tr_1752653039	facs_18_tr_1752653039	פאַט, יעקב	ALIGN	2624			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_19_tr_1752653066	facs_19_tr_1752653066	פּאָטאָצקאַ, לידיאַ	ALIGN	2690			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_20_tr_1752653050	facs_20_tr_1752653050	פאָטאַש-פוקס, ריקודה	ALIGN	2687			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_20_tr_1752653056	facs_20_tr_1752653056	פּאַטאַשינסקי, משה	ALIGN	2688			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_20_tr_1752653048	facs_20_tr_1752653048	פּאָטאַשניק, מיכאַאיל	ALIGN	2689			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_20_tr_1752653058	facs_20_tr_1752653058	פּאַטראָן, (עליאַס) אליהו	ALIGN	2625			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_21_tr_1752653037	facs_21_tr_1752653037	פאַטראָני, פּאָלאַ [פאַולינאַ פּאַטראָן]	ALIGN	2626			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_28_tr_1752653002	facs_28_tr_1752653002	פאַך, טויבע [פישעל]	ALIGN	2670			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_28_tr_1752653013	facs_28_tr_1752653013	פּאָלאַנד, טאַניאַ	ALIGN	2672			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_28_tr_1752653010	facs_28_tr_1752653010	פאָלאנסקי, חיים	ALIGN	2673			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_29_tr_1752653013	facs_29_tr_1752653013	פּאָלאַקעוויטש, משה	ALIGN	2671			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_29_tr_1752652999	facs_29_tr_1752652999	פּאָליאַק, מ.	ALIGN	2679			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_29_tr_1752653003	facs_29_tr_1752653003	פאָליאַקאָוו, אַהרן [פּאָליאַטשעק]	ALIGN	2675			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-3-facs_29_tr_1752653006	facs_29_tr_1752653006	פאַליי יאָהאַן (יונה)	ALIGN	2608			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
