mention_id	host_person_id	volume	host_xml_id	host_heading	name	gender	person_description	relation
M-3-facs_12_tr_1752652594-001	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	עלטערן *		פֿאַנאַטישע פֿרומע יידן	זיי זיינען געווען די עלטערן פֿון שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-002	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	זלמן נאַטאַנסאָן	male	אַ ברודער פֿון הרב ר' יוסף שאול נאַטאַנסאָן	שלום פּאָדזאַמטשע האָט אים צוגעהאָלפֿן אַלס בעל-תפילה.
M-3-facs_12_tr_1752652594-003	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	הרב ר' יוסף שאול נאַטאַנסאָן	male	"מחבר פֿון „מפרשי הים"""	ער איז געווען דער ברודער פֿון זלמן נאַטאַנסאָן.
M-3-facs_12_tr_1752652594-004	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יעקב בער דער בלינדער	male	חזן	שלום פּאָדזאַמטשע איז אַנטלאָפן פֿון דער היים אַלס משורך מיט אים.
M-3-facs_12_tr_1752652594-005	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אויפֿזעער *	male	אַן אויפֿזעער אין אַ גאָראַלניע אין שטעטל ראָזלוי	ער איז געווען אַ באַקאַנטער פֿון שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-006	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יאָסקע	male	אַ בראָדערזינגער	ער איז געווען דער עלטערן ברודער פֿון שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-007	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	קאַווקע-דובינסקי	male	בראָדערזינגער	שלום פּאָדזאַמטשע האָט זיך פֿאַראייניקט מיט אים.
M-3-facs_12_tr_1752652594-008	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יואל גלאַנץ	male	פֿאָלקס-זינגער און שוישפּילער	ער האָט געוואַנדערט און געשפּילט צוזאַמען מיט שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-009	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יונה רייזמאַן	male	פֿאָלקס-זינגער און שוישפּילער	ער האָט געוואַנדערט און געשפּילט צוזאַמען מיט שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-010	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	הערמאַן וויינבערג	male	פֿאָלקס-זינגער און שוישפּילער	ער האָט געוואַנדערט און געשפּילט צוזאַמען מיט שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-011	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	משה גאָלדוואורם	male	פֿאָלקס-זינגער	שלום פּאָדזאַמטשע האָט געוואַנדערט מיט אים עטלעכע חדשים איבער אונגאַרן.
M-3-facs_12_tr_1752652594-012	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	חיים בענדל	male	פֿאָלקס-זינגער און שוישפּילער	ער האָט געשפּילט צוזאַמען מיט שלום פּאָדזאַמטשע אין לעמבערג.
M-3-facs_12_tr_1752652594-013	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יעקב-בער גימפּל	male	דירעקטאָר פֿון א יידיש טעאַטער	שלום פּאָדזאַמטשע האָט געשפּילט אין זיין טעאַטער אין לעמבערג.
M-3-facs_12_tr_1752652594-014	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	שלום פּערלמוטער	male	טעאַטער-היסטאָריקער	ער האָט געשריבן וועגן שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-015	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	חנאַ שטראָדלער	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-016	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	נעכע	female	ווייב פֿון חנאַ שטראָדלער	זי איז געווען א פֿאָלקס-זינגערין אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-017	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	די ווייזענפריינד'ס		די עלטערן פון פּאָול מוני	זיי זיינען געווען פֿאָלקס-זינגער אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-018	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	פּאָול מוני	male	באַרימטער שוישפּילער	ער איז געווען דער זון פֿון די ווייזענפריינד'ס.
M-3-facs_12_tr_1752652594-019	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אַברהם אַקסעלראַד	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-020	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	סעם לודוויג	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-021	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	הער דעסער	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-022	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מאָדאָם דעסער	female	פֿאָלקס-זינגערין	זי איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-023	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יאַקוב ליטמאַן	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-024	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	פּעפּי ליטמאַן	female	פֿאָלקס-זינגערין	זי איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-025	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מרדכי שוואַרץ	male	פֿאָלקס-זינגער	ער איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-026	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אָדעלאַ שוואַרץ	female	פֿאָלקס-זינגערין	זי איז אויפֿגעטראָטן אין דער זעלבער צייט ווי שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-027	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אַדאָלף ליפשיץ	male	שענקער	די פֿאָלקס-זינגער פֿלעגן אויפֿטרעטן אין זיין שענק.
M-3-facs_12_tr_1752652594-028	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	שוועצער	male	שענקער	די פֿאָלקס-זינגער פֿלעגן אויפֿטרעטן אין זיין שענק.
M-3-facs_12_tr_1752652594-029	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	וועלוול זבאַרזשער	male	וואָלף ערענקראַנץ, דיכטער און פֿאָלקס-זינגער	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-030	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אליקום צונזער	male	דיכטער	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-031	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	אַברהם גאָלדפאַדען	male	דראַמאַטורג און דיכטער	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-032	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	ש. בערנשטיין	male	בדחן	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-033	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	בנימין זאב שטרויס	male	בדחן	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-034	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מ. נ. דרייפוס	male	בדחן	שלום פּאָדזאַמטשע פֿלעגט זינגען זיינע לידער.
M-3-facs_12_tr_1752652594-035	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	שענקערס *		אייגנטומער פֿון שענקען	זיי פֿלעגן צאָלן גאַזשען צו די פֿאָלקס-זינגער.
M-3-facs_12_tr_1752652594-036	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	לוקאַטשער	male	שוישפּילער	שלום פּאָדזאַמטשע איז געפֿאָרן מיט אים קיין ווין שפּילן וואַריעטע.
M-3-facs_12_tr_1752652594-037	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מאַנדעלקערן	male	אַ געוויסער מענטש	ער האָט געבראַכט שלום פּאָדזאַמטשע קיין אַמעריקע אין 1891.
M-3-facs_12_tr_1752652594-038	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	משה ריכטער	male	דראָמאַטירג	שלום פּאָדזאַמטשע האָט געשפּילט אונטער זיין לייטונג אויף דער פּראָווינץ.
M-3-facs_12_tr_1752652594-039	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מאלי פיקאָן	female	אַמעריקאַנער סטאַר	זי האָט גאַסטראָלירט אונטער שלום פּאָדזאַמטשע'ס מענעדזשמענט אין ווין.
M-3-facs_12_tr_1752652594-040	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	היימי-דזשייקאָבסאָן	male	אַמעריקאַנער סטאַר	ער האָט גאַסטראָלירט אונטער שלום פּאָדזאַמטשע'ס מענעדזשמענט אין ווין.
M-3-facs_12_tr_1752652594-041	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מרים קרעסין	female	אַמעריקאַנער סטאַר	זי האָט גאַסטראָלירט אונטער שלום פּאָדזאַמטשע'ס מענעדזשמענט אין ווין.
M-3-facs_12_tr_1752652594-042	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	יעקב מעסטל	male	שוישפּילער און דירעקטאָר	ער האָט אָנגעהויבן שפּילן אונטער דער דירעקציע פֿון שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-043	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מאָריץ זיגלער	male	טעאַטער-דירעקטאָר	שלום פּאָדזאַמטשע האָט געשפּילט אונטער זיין דירעקציע און איז געווען זיין שותף.
M-3-facs_12_tr_1752652594-044	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	משה וויינבערג	male	שוישפּילער	שלום פּאָדזאַמטשע האָט געשפּילט בשותפות מיט אים.
M-3-facs_12_tr_1752652594-045	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	סאלטשע וויינבערג	female	שוישפּילערין	שלום פּאָדזאַמטשע האָט געשפּילט בשותפות מיט איר.
M-3-facs_12_tr_1752652594-046	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	רייזעלע	female	די אייגנטלעכע געשעפט-פֿירערין	זי איז געווען די פרוי פֿון שלום פּאָדזאַמטשע.
M-3-facs_12_tr_1752652594-047	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מאָריס שוואַרץ	male	דירעקטאָר פֿון ניו-יאָרקער קונסט-טעאַטער	שלום פּאָדזאַמטשע האָט זיך באַטייליקט אין א פֿילם מיט אים.
M-3-facs_12_tr_1752652594-048	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	טאָכטער *	female	וווינט אין ניו-יאָרק	שלום פּאָדזאַמטשע איז געקומען צו איר קיין ניו-יאָרק אין 1939.
M-3-facs_12_tr_1752652594-049	P-3-facs_12_tr_1752652594	3	facs_12_tr_1752652594	פּאָדזאַמטשע, שלום	מייקל סאַקס	male	יידישער טעאַטער-דירעקטאָר	זיין שוועגערין איז געווען די טאָכטער פֿון שלום פּאָדזאַמטשע.
M-3-facs_14_tr_1752653034-000	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	פֿאָטער*	זכר	אַ חזן	זיין פֿאָטער.
M-3-facs_14_tr_1752653034-001	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	אַברהם פישזאָן	זכר	אַברהם פישזאָנ'ס טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_14_tr_1752653034-002	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	קלאַראַ יאָנג	נקבה		דער סוביעקט האָט פֿאַרפֿאַסט מוזיק פֿאַר איר.
M-3-facs_14_tr_1752653034-003	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	בועז יאָנגוויץ	זכר		דער סוביעקט האָט פֿאַרפֿאַסט מוזיק צו זיין אָפּערעטע.
M-3-facs_14_tr_1752653034-004	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	יצחק קאַצענעלזאָן	זכר		דער סוביעקט האָט פֿאַרפֿאַסט מוזיק צו זיין אָפּערעטע.
M-3-facs_14_tr_1752653034-005	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	אַבראַשאַ גוטמאַן	זכר	זינגער פֿון פֿאָלקס-לידער	דער סוביעקט האָט געגרינדעט אַ יידישן קאָנצערט-אַנסאַמבל מיט אים.
M-3-facs_14_tr_1752653034-006	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	פרויקע	זכר	אַ יידישער אַקטיאָר	זיין ברודער.
M-3-facs_14_tr_1752653034-007	P-3-facs_14_tr_1752653034	3	facs_14_tr_1752653034	פּאָדלובני, נ. י. [נאַום, נוניאַ]	איסאַק	זכר	אַ דיריגענט	זיין ברודער.
M-3-facs_15_tr_1752653017-000	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	פֿאָטער*	זכר	אַ חזן	ער איז זיין פֿאָטער.
M-3-facs_15_tr_1752653017-001	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	אַברהם פישזאָן	זכר		דער סוביעקט האָט אָנגעהויבן אין זיין כאָר.
M-3-facs_15_tr_1752653017-002	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	בראָנשטיין	זכר		דער סוביעקט איז אַרומגעפֿאָרן מיט זיין טרופּע.
M-3-facs_15_tr_1752653017-003	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	פרוי*	נקבה	אויפֿגעטראָטן צוזאַמען מיט אים אין רומעניע אין שאַנטאַנען	זי איז זיין פרוי.
M-3-facs_15_tr_1752653017-004	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	טאָכטער*	נקבה	אַ פּראָפעסיאנעלע טענצערין	זי איז זיין טאָכטער.
M-3-facs_15_tr_1752653017-005	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	נאַאום	זכר	אַ קאָמפּאָזיטאָר און דיריגענט אין יידישן טעאַטער	ער איז זיין ברודער.
M-3-facs_15_tr_1752653017-006	P-3-facs_15_tr_1752653017	3	facs_15_tr_1752653017	פֿאָדלובני פרויקע (אפרים)	איסאַק	זכר	אַ דיריגענט פֿון יידישן טעאַטער, איז געפֿאַלן אַ קרבן אין דער צייט פֿון פּאָגראָם אין 1920-21 אין אוקראַאינע	ער איז זיין ברודער.
M-3-facs_15_tr_1752653010-000	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	בערנשטיין	זכר	אַן אָנפירער פֿון אַ טרופּע אין ליבאַווע	דער סוביעקט האָט זיך פֿאַרבונדן מיט זיין טרופּע.
M-3-facs_15_tr_1752653010-001	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	שאַראַוונער	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-002	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	גוזיק	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-003	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	זשיטאָמירסקי	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-004	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	גענפער	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-005	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	סעם אַדלער	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-006	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	אַברהם פישזאָן	זכר	אַן אָנפירער פֿון אַ טרופּע	דער סוביעקט האָט געאַרבעט אין זיין טרופּע.
M-3-facs_15_tr_1752653010-007	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	ליפּאָווסקי	זכר	אָנפֿירער פֿונעם יידישן פֿאָלקסטעאַטער	דער סוביעקט האָט געאַרבעט אין זיין טעאַטער.
M-3-facs_15_tr_1752653010-008	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	סאיגאַדעטשני	זכר	אָנפֿירער פֿון אַן אוקראַאינישער טרופּע	דער סוביעקט איז געווען פֿאַרבונדן מיט זיין טרופּע.
M-3-facs_15_tr_1752653010-009	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	ליבערט	זכר	אָנפֿירער פֿון אַ דראַמאַטישער טרופּע	דער סוביעקט איז אַרומגעפֿאָרן מיט זיין טרופּע.
M-3-facs_15_tr_1752653010-010	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	אסתר רחל קאמינסקאַ	נקבה	אַ באַרימטע שוישפּילערין	דער סוביעקט האָט צונויפֿגעשטעלט דעם ערשטן טעאַטער-קאָלעקטיוו מיט איר.
M-3-facs_15_tr_1752653010-011	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	נעסטאָר	זכר		ער האָט אָנגאַזשירט דעם סוביעקט אין לאָס אַנדזשעלעס.
M-3-facs_15_tr_1752653010-012	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	גאָלדשטיין	זכר		ער האָט אָנגאַזשירט דעם סוביעקט אין לאָס אַנדזשעלעס.
M-3-facs_15_tr_1752653010-013	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	סעם אויערבאַך	זכר		ער האָט אָנגאַזשירט דעם סוביעקט אין לאָס אַנדזשעלעס.
M-3-facs_15_tr_1752653010-014	P-3-facs_15_tr_1752653010	3	facs_15_tr_1752653010	פּאָדליאַס, חיים	ליטמאַן	זכר	אָנפֿירער פֿון אַ יידישן טעאַטער אין דעטראָיט	דער סוביעקט איז געווען פֿאַרבונדן מיט זיין טעאַטער.
M-3-facs_15_r_6-000	P-3-facs_15_r_6	3	facs_15_r_6	פּאַוויק, פּ.	פּ.			ער איז דער סוביעקט פֿון דעם טעקסט און דער מחבר פֿונעם בוך.
M-3-facs_15_r_6-001	P-3-facs_15_r_6	3	facs_15_r_6	פּאַוויק, פּ.	טויזנטער רעוואָלוציאָנערן *		וואָס שמאַכטן אין די פּוילישע טפיסעס	דאָס ווערק פֿונעם סוביעקט איז זיי געווידמעט.
M-3-facs_15_tr_1752653013-000	P-3-facs_15_tr_1752653013	3	facs_15_tr_1752653013	פּאול, ה.	בערל בערנשטיין	זכר		פּ. האָט געזונגען מיט אים אין דער וואַרשעווער דייטשער סינאַגאָגע.
M-3-facs_15_tr_1752653013-001	P-3-facs_15_tr_1752653013	3	facs_15_tr_1752653013	פּאול, ה.	טאַנצמאַן	זכר		פּ. איז אַריינגעטראָטן אַלס כאָריסט אין טעאַטער עלדאָראַדאָ וואָס איז געווען אונטער זיין דירעקציע.
M-3-facs_15_tr_1752653013-002	P-3-facs_15_tr_1752653013	3	facs_15_tr_1752653013	פּאול, ה.	ספּיוואַקאָווסקי	זכר		פּ. איז אַריינגעטראָטן אַלס כאָריסט אין טעאַטער עלדאָראַדאָ וואָס איז געווען אונטער זיין דירעקציע.
M-3-facs_15_tr_1752653013-003	P-3-facs_15_tr_1752653013	3	facs_15_tr_1752653013	פּאול, ה.	אַברהם גאָלדפֿאַדען	זכר		ער איז געקומען קיין וואַרשע אויפֿפֿירן זיינע אָפּערעטעס מיט פּ.
M-3-facs_15_tr_1752653013-004	P-3-facs_15_tr_1752653013	3	facs_15_tr_1752653013	פּאול, ה.	אַברהם פישקינד	זכר		פּ. איז אַרויסגעטראָטן צוזאַמען מיט אים אויף חתונות און ברית׳ן.
