xml_id	person_id	heading	draft_decision	draft_aligned_db_id	draft_merge_xml_id	confidence	rationale	raw
facs_103_r_2	P-1-facs_103_r_2	בלאַק יעטאַ	ALIGN	1319		high	Full name exact match to DB hebname at 1.0; 1319 is the standard transcription; note DB duplication with 1003.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1319"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Full name exact match to DB hebname at 1.0; 1319 is the standard transcription; note DB duplication with 1003.""}"
facs_112_tr_1740521167	P-1-facs_112_tr_1740521167	בעללויה, הירש גדלי' [בעלאו — בעללאַה]	ALIGN	1249		high	Exact match for heading and parenthetical aliases at 1.0; DB 1016 is a duplicate, 1249 is the cleaner entry.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1249"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact match for heading and parenthetical aliases at 1.0; DB 1016 is a duplicate, 1249 is the cleaner entry.""}"
facs_118_r_2	P-1-facs_118_r_2	בערטעל-ליבערט	NEW			medium	Distinctive hyphenated heading and variant name (Sonia Brin) lack a corresponding DB entry; current candidates are family members or unrelated persons.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""medium"", ""rationale"": ""Distinctive hyphenated heading and variant name (Sonia Brin) lack a corresponding DB entry; current candidates are family members or unrelated persons.""}"
facs_124_tr_1740520974	P-1-facs_124_tr_1740520974	בראָדערזינגער און פֿאָלקסינגער	NEW			high	Entry is for a collective group/phenomenon ('Broder Singers'), not an individual; DB candidates are individuals with the surname Broder or Zinger.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is for a collective group/phenomenon ('Broder Singers'), not an individual; DB candidates are individuals with the surname Broder or Zinger.""}"
facs_126_tr_1740521024	P-1-facs_126_tr_1740521024	אָדעסער פֿאָלקסזינגער	DEFER			low	Epithet heading without a personal name, dates, or candidates; requires entry text to identify specific individuals or group.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""Epithet heading without a personal name, dates, or candidates; requires entry text to identify specific individuals or group.""}"
facs_131_r_7	P-1-facs_131_r_7	באַרזשער, וועלוועל	ALIGN	3360		high	Heading is a known variant/corruption of the famous Velvel Zbarzher; DB 3360 matches the name and patronymic variant.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3360"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Heading is a known variant/corruption of the famous Velvel Zbarzher; DB 3360 matches the name and patronymic variant.""}"
facs_132_tr_1740520964	P-1-facs_132_tr_1740520964	פיליפּעסקאַ און זיין פרוי דזשאַנעט	DEFER			low	Joint entry for a couple (Filipescu and Janet) with no personal names for Filipescu, no dates, and no database candidates.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""Joint entry for a couple (Filipescu and Janet) with no personal names for Filipescu, no dates, and no database candidates.""}"
facs_160_r_4	P-1-facs_160_r_4	„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	PSEUDONYM		facs_154_tr_1714741532	high	Heading is a play title, but variants and dedup candidates point to the main Abraham Goldfaden entry (xml_id: facs_154_tr_1714741532).	"{""draft_decision"": ""PSEUDONYM"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_154_tr_1714741532"", ""confidence"": ""high"", ""rationale"": ""Heading is a play title, but variants and dedup candidates point to the main Abraham Goldfaden entry (xml_id: facs_154_tr_1714741532).""}"
facs_171_tr_1714741712	P-1-facs_171_tr_1714741712	שער-בלאַט פון דער וואַרשעווער אויסגאַבע	MERGE		facs_154_tr_1714741532	high	Heading refers to a title page of an edition by Avrom Goldfaden, who has a main entry in the same volume.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_154_tr_1714741532"", ""confidence"": ""high"", ""rationale"": ""Heading refers to a title page of an edition by Avrom Goldfaden, who has a main entry in the same volume.""}"
facs_174_region_1715799875093_402	P-1-facs_174_region_1715799875093_402	געצייכנט פון אברהם גאָלדפאַדען	MERGE		facs_154_tr_1714741532	high	Heading refers to Abraham Goldfaden; he has a primary main entry in the same volume (facs_154_tr_1714741532).	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_154_tr_1714741532"", ""confidence"": ""high"", ""rationale"": ""Heading refers to Abraham Goldfaden; he has a primary main entry in the same volume (facs_154_tr_1714741532).""}"
facs_206_tr_1741260252	P-1-facs_206_tr_1741260252	גאָלדשטיין, יוסף	NEW			medium	Heading Yosef Goldstein with alias 'Yosele Lulke' has no matching DB records; DB ID 1851 has English 'Joseph' but Hebrew 'Yaakov'.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""medium"", ""rationale"": ""Heading Yosef Goldstein with alias 'Yosele Lulke' has no matching DB records; DB ID 1851 has English 'Joseph' but Hebrew 'Yaakov'.""}"
facs_207_tr_1741260336	P-1-facs_207_tr_1741260336	גאָלדשטיין, לואיס	ALIGN	1853		high	Exact name match at score 1.0; DB row 1853 represents the same person; the dedup candidate is a different person with the same maiden name.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1853"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at score 1.0; DB row 1853 represents the same person; the dedup candidate is a different person with the same maiden name.""}"
facs_212_tr_1741260203	P-1-facs_212_tr_1741260203	גאָרדאָן, נ.	DISAMBIG			low	Initial 'N.' with surname Gordon; multiple DB rows share the surname, but none match the initial or provide dates for discrimination.	"{""draft_decision"": ""DISAMBIG"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""Initial 'N.' with surname Gordon; multiple DB rows share the surname, but none match the initial or provide dates for discrimination.""}"
facs_251_tr_1741260232	P-1-facs_251_tr_1741260232	גוטמאַן, חיים	MERGE		facs_281_tr_1739220611	high	Identical name and birth year in Vol 5; both point to the same person. Zylbercweig frequently updated entries in later volumes.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_281_tr_1739220611"", ""confidence"": ""high"", ""rationale"": ""Identical name and birth year in Vol 5; both point to the same person. Zylbercweig frequently updated entries in later volumes.""}"
facs_251_tr_1741260212	P-1-facs_251_tr_1741260212	גוטמאַן, ישעיה	ALIGN	3638		high	Exact match for heading in DB (3638); names_variants matches another DB row (3592), suggesting the person changed names or DB has duplicates.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3638"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact match for heading in DB (3638); names_variants matches another DB row (3592), suggesting the person changed names or DB has duplicates.""}"
facs_259_r_2	P-1-facs_259_r_2	גלאַנץ, א.	ALIGN	2275		high	Exact match for pseudonym 'א. לעיעלעס' and birth name 'אהרן גלאַנץ' in DB; Vol 2 dedup candidate confirms the identity.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""2275"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact match for pseudonym 'א. לעיעלעס' and birth name 'אהרן גלאַנץ' in DB; Vol 2 dedup candidate confirms the identity.""}"
facs_265_tr_1741260308	P-1-facs_265_tr_1741260308	געצמאַן, זשאַן [שמואל יעקב]	ALIGN	1760		high	Exact name match at 1.0; bracketed birth name שמואל יעקב matches DB parenthetical exactly; next candidate is much lower.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1760"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0; bracketed birth name שמואל יעקב matches DB parenthetical exactly; next candidate is much lower.""}"
facs_269_tr_1741260229	P-1-facs_269_tr_1741260229	גראָדזענסקי, אהרן-יצחק	MERGE		facs_331_tr_1739222376	high	Identical name and birth year in Vol 5; both entries refer to the same writer. DB row 1908 is the primary match.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_331_tr_1739222376"", ""confidence"": ""high"", ""rationale"": ""Identical name and birth year in Vol 5; both entries refer to the same writer. DB row 1908 is the primary match.""}"
facs_282_r_7	P-1-facs_282_r_7	גרינבערג, דוד	MERGE		facs_383_tr_1739715273	high	Entry name variant and DB match 3336 confirm דוד זאַהיק is the same person as the existing full entry in Vol 1.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_383_tr_1739715273"", ""confidence"": ""high"", ""rationale"": ""Entry name variant and DB match 3336 confirm דוד זאַהיק is the same person as the existing full entry in Vol 1.""}"
facs_302_tr_1741260418	P-1-facs_302_tr_1741260418	"„האור"""	NEW			high	Entry is for a specific group 'Ha-Or' (1921-1922); no DB or dedup candidates exist for this entity.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is for a specific group 'Ha-Or' (1921-1922); no DB or dedup candidates exist for this entity.""}"
facs_311_tr_1741260478	P-1-facs_311_tr_1741260478	הגדה פֿון יעקינאַ	DEFER			low	Heading refers to a work (Hagode fun Yekina) rather than a person; variants list multiple authors/characters (Sholem Aleichem, S. Niger). Needs manual review.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""Heading refers to a work (Hagode fun Yekina) rather than a person; variants list multiple authors/characters (Sholem Aleichem, S. Niger). Needs manual review.""}"
facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	ALIGN	684		high	Perfect match for name, title (Professor), and Ish Halevi epithet; birth and death years align with the known figure in DB 684.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""684"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Perfect match for name, title (Professor), and Ish Halevi epithet; birth and death years align with the known figure in DB 684.""}"
facs_358_tr_1741260405	P-1-facs_358_tr_1741260405	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	ALIGN	3223		high	Exact match to heading and bracketed alias ספּירידיאָן וואָיקאַ; DB 3223 is the correct record; Vol 5 dedup further confirms identity.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3223"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact match to heading and bracketed alias ספּירידיאָן וואָיקאַ; DB 3223 is the correct record; Vol 5 dedup further confirms identity.""}"
facs_359_TextRegion_1710852502307_117	P-1-facs_359_TextRegion_1710852502307_117	וויינטרויב-גראַף, לאה	MERGE		facs_178_tr_1736588957	high	Identical heading and birth year in Vol 5; DB candidates 1050 and 3239 are spelling variants of the same person.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_178_tr_1736588957"", ""confidence"": ""high"", ""rationale"": ""Identical heading and birth year in Vol 5; DB candidates 1050 and 3239 are spelling variants of the same person.""}"
facs_368_TextRegion_1710163052802_374	P-1-facs_368_TextRegion_1710163052802_374	ווייספעלד, משה	ALIGN	3171		high	Exact name match at 1.0; DB contains duplicate rows (3171, 1055), align to 3171 as the clean form.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3171"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0; DB contains duplicate rows (3171, 1055), align to 3171 as the clean form.""}"
facs_368_TextRegion_1710163037685_362	P-1-facs_368_TextRegion_1710163037685_362	''ווילנער טרופּּע,,	NEW			high	Entry is a famous collective (Vilna Troupe), not a person. DB candidates are individuals with 'Der' epithets; no matching group record exists.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is a famous collective (Vilna Troupe), not a person. DB candidates are individuals with 'Der' epithets; no matching group record exists.""}"
facs_375_tr_1741260389	P-1-facs_375_tr_1741260389	ווילנער, מאַקס, ר	ALIGN	3266		high	High name match with DB candidate 3266; the entry's birth year 1881 is consistent with standard data for theater administrator Max Wilner.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3266"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""High name match with DB candidate 3266; the entry's birth year 1881 is consistent with standard data for theater administrator Max Wilner.""}"
facs_381_r_9	P-1-facs_381_r_9	וועלטמאַן, אַנעטאָ [אננאַ]	ALIGN	3177		high	High score; exact match for both primary name (Aneto/Aneta) and the bracketed variant (Anna); likely a spelling variant (וולטמאן/ולמאן) in DB.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3177"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""High score; exact match for both primary name (Aneto/Aneta) and the bracketed variant (Anna); likely a spelling variant (וולטמאן/ולמאן) in DB.""}"
facs_382_tr_1739715278	P-1-facs_382_tr_1739715278	ווערבליינסקיא יאָזעף	PSEUDONYM		facs_142_tr_1740521055	high	Entry is a pseudonym for Avraham Ber Gottlober, who has a primary entry in the same volume and matches DB id 1880.	"{""draft_decision"": ""PSEUDONYM"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_142_tr_1740521055"", ""confidence"": ""high"", ""rationale"": ""Entry is a pseudonym for Avraham Ber Gottlober, who has a primary entry in the same volume and matches DB id 1880.""}"
facs_401_r_5_1	P-1-facs_401_r_5_1	זיידמאַן, בּעני	ALIGN	3361		high	Exact name match at 1.0; DB 3361 includes English 'Bennie Zeidman'. DB contains duplicate rows (3465, 3361); aligning to 3361.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3361"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0; DB 3361 includes English 'Bennie Zeidman'. DB contains duplicate rows (3465, 3361); aligning to 3361.""}"
facs_402_tr_1739715076	P-1-facs_402_tr_1739715076	זייפערט, משה	ALIGN	1060		high	Exact name match at 1.0; DB holds duplicate rows (3363, 1060). Dates in entry (1851-1922) confirm identity as the famous Yiddish writer.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1060"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0; DB holds duplicate rows (3363, 1060). Dates in entry (1851-1922) confirm identity as the famous Yiddish writer.""}"
facs_412_TextRegion_1710153731052_73	P-1-facs_412_TextRegion_1710153731052_73	זינגער, יוסף	ALIGN	3409		high	Exact name match at 1.0; though the DB contains duplicate rows (3409, 1001), 3409 is a standard alignment for Yosef Singer.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""3409"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Exact name match at 1.0; though the DB contains duplicate rows (3409, 1001), 3409 is a standard alignment for Yosef Singer.""}"
facs_414_tr_1739715068	P-1-facs_414_tr_1739715068	זעלמאַן, לעאָן	MERGE		facs_558_tr_1739222068	high	Identical name and birth year in volume 5; Zylbercweig wrote this composer up in two different volumes.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_558_tr_1739222068"", ""confidence"": ""high"", ""rationale"": ""Identical name and birth year in volume 5; Zylbercweig wrote this composer up in two different volumes.""}"
facs_416_tr_1739715064	P-1-facs_416_tr_1739715064	חד-גדיאַ	NEW			high	Entry is for a specific puppet theater group founded in 1922; no matching DB or dedup candidates exist for this organization.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is for a specific puppet theater group founded in 1922; no matching DB or dedup candidates exist for this organization.""}"
facs_49_r_4	P-2-facs_49_r_4	"טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א."	DEFER			high	Heading is an institution (YIVO Theater Museum), not a person; DB candidates only match 'Esther' or 'An-ski' from the description.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Heading is an institution (YIVO Theater Museum), not a person; DB candidates only match 'Esther' or 'An-ski' from the description.""}"
facs_50_tr_1744131398	P-2-facs_50_tr_1744131398	טעאַטער-סטודיעס.	DEFER			low	Heading 'Theater Studios' is likely an institutional or topical entry rather than a person; requires body text to identify any subject.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""Heading 'Theater Studios' is likely an institutional or topical entry rather than a person; requires body text to identify any subject.""}"
facs_50_tr_1744131407	P-2-facs_50_tr_1744131407	וויטעבּסקער סטוּדיע.	NEW			high	The heading refers to a theater studio/group (Vitebsker Studye), not an individual person. No DB or dedup candidates exist.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""The heading refers to a theater studio/group (Vitebsker Studye), not an individual person. No DB or dedup candidates exist.""}"
facs_50_r_2	P-2-facs_50_r_2	ווייסרוּסלענדיש-יידישע מלוּכה-סטוּדיע.	DEFER			low	The heading refers to a state studio/institution, not an individual. Requires manual check to see if it acts as a group entry.	"{""draft_decision"": ""DEFER"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""low"", ""rationale"": ""The heading refers to a state studio/institution, not an individual. Requires manual check to see if it acts as a group entry.""}"
facs_50_tr_1744131393	P-2-facs_50_tr_1744131393	"""יידיש טעאַטער-סטודיע"" אין וואַרשע."	MERGE		facs_81_tr_1744131370	high	Same group name and volume; this is likely a cross-reference or secondary entry for the studio established in 1929.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_81_tr_1744131370"", ""confidence"": ""high"", ""rationale"": ""Same group name and volume; this is likely a cross-reference or secondary entry for the studio established in 1929.""}"
facs_50_r	P-2-facs_50_r	פּעטראָגראַדער סטוּדיע.	MERGE		facs_222_tr_1744280833	high	Entry describes the Petrograd Studio which became the Moscow Yiddish State Theater (GOSET); matches dedup 1744280833 on variant name and 1918 founding date.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_222_tr_1744280833"", ""confidence"": ""high"", ""rationale"": ""Entry describes the Petrograd Studio which became the Moscow Yiddish State Theater (GOSET); matches dedup 1744280833 on variant name and 1918 founding date.""}"
facs_50_tr_1744131400	P-2-facs_50_tr_1744131400	"קיעווער ""קוּלטוּר-ליגע""."	NEW			high	Entry is for an institution (Kultur-Lige) rather than a person; no DB or dedup matches for this group name.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is for an institution (Kultur-Lige) rather than a person; no DB or dedup matches for this group name.""}"
facs_50_tr_1744131406	P-2-facs_50_tr_1744131406	"""שלם-עליכם-סטוּדיע""."	MERGE		facs_564_tr_1755029956	high	Entry describes a studio/theater group, not the writer. Strong match with vol 4 entry; DB candidates refer to the person Sholem-Aleykhem.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_564_tr_1755029956"", ""confidence"": ""high"", ""rationale"": ""Entry describes a studio/theater group, not the writer. Strong match with vol 4 entry; DB candidates refer to the person Sholem-Aleykhem.""}"
facs_50_tr_1744131396	P-2-facs_50_tr_1744131396	"„טעאַליג"" [טעאַטער-ליבּהאָבּער-געזעלשאַפט]"	NEW			high	Entry is a theatrical group ('Tealig'), not an individual; no DB or dedup candidates exist for this organization.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is a theatrical group ('Tealig'), not an individual; no DB or dedup candidates exist for this organization.""}"
facs_51_tr_1744131371	P-2-facs_51_tr_1744131371	"„טעיאַטאָר פֿין חסידים""."	ALIGN	1653		high	Entry name variant 'פישלזאָן, אפֿרים-פישל' matches DB hebname 1653 exactly despite the theatrical troupe heading.	"{""draft_decision"": ""ALIGN"", ""draft_aligned_db_id"": ""1653"", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry name variant 'פישלזאָן, אפֿרים-פישל' matches DB hebname 1653 exactly despite the theatrical troupe heading.""}"
facs_54_r_15	P-2-facs_54_r_15	טריאָ רימס-ראַמס-ראָמס.	NEW			high	Entry is a musical group (Trio Rims-Rams-Roms); DB candidates are individuals with the surname Schwartz, which only matches a name_variant.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""Entry is a musical group (Trio Rims-Rams-Roms); DB candidates are individuals with the surname Schwartz, which only matches a name_variant.""}"
facs_64_r_6	P-2-facs_64_r_6	יאָזעפזאָן, רייטשל	MERGE		facs_137_tr_1744279152	high	Entry heading is a married name; names_variants identifies her as רייטשל לייבאָוויטש, matching the dedup candidate in the same volume.	"{""draft_decision"": ""MERGE"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": ""facs_137_tr_1744279152"", ""confidence"": ""high"", ""rationale"": ""Entry heading is a married name; names_variants identifies her as רייטשל לייבאָוויטש, matching the dedup candidate in the same volume.""}"
facs_79_r_1	P-2-facs_79_r_1	"„פאַריין יידישע בינע""."	NEW			high	The entry describes a theater group (פאַריין יידישע בינע), not a person. The only DB candidate is a person with a similar name component.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""The entry describes a theater group (פאַריין יידישע בינע), not a person. The only DB candidate is a person with a similar name component.""}"
facs_79_r_5	P-2-facs_79_r_5	"""יידישע דראַמאַטישע שול"""	NEW			high	This is a collective entity (school/group), not a person; no existing DB candidates match this theatrical institution's name and dates.	"{""draft_decision"": ""NEW"", ""draft_aligned_db_id"": """", ""draft_merge_xml_id"": """", ""confidence"": ""high"", ""rationale"": ""This is a collective entity (school/group), not a person; no existing DB candidates match this theatrical institution's name and dates.""}"
