substring_no_nikud	type
(ירוהם זינגט רבש'ע	delivery
פישל העלפט אונטער, אלע אב).	exit
(אויפטריט דבורה'לע מיט יודאלע).	entrance
(זינגען צו ערסט אונטער קאליסען דאן טרעטען אויף).	business
(דבורה גיבט איהם א בענקעל).	business
(אומארמט איהם).	business
(דועט).	business
(ביידע אב).	exit
פערוואנדלונג	setting
(ארמעס צימער ביי ירוחם).	setting
(אויפטריט בערמאן — וואלדמאן, איסר, אלע צוזאמען).	entrance
(אב).	exit
(אפארט)	business
(בייז)	delivery
(שפעטיש)	delivery
(אפארט)	business
(צו איהר)	delivery
(אפארט)	business
(אב).	exit
(מיט א זיפץ)	business
(אב).	exit
(אויפטריט אלטעריל מיט פריידעלע).	entrance
(קישט זי).	business
(קישט זי).	business
(דועט).	business
(ביז און ביז)	business
פערוואנדלונג	setting
(אויפטריט יודאלע דבורה זינגענדיג).	entrance
(קומט, פישל	business
בלייבט שטעהן).	business
(שרייט)	delivery
(אויפטרעטען ירוחם, פריידעלע, יאכנע, אלטעריל, בערמאן, משוררים).	entrance
(ענדע פון ערשטען אקט).	trailer
(פא רהאנג).	business
(ביסס)	business
(געמט אראב	business
לאנגזאם די בינדע).	business
(איין אויגענבליק ווי געבלענדעט דערנאך שרייט ער אויסס)	business
(קניעט)	business
(אויף)	business
(וכט צווישען אלע פרויען)	business
(געהט צו צו ראזא)	business
(אומארמט זי)	business
(געהט מיט איהר אב).	exit
(ענדע פון צווייטען אקט).	business
(פארהאנג).	business
(ביי דוד אין הויז)	business
(פון דרויסען)	business
(קארל און ראשעל ערשיינען מיט א דיריגיר שטאק).	business
(געבען קארל ליעבפאל אנבליקענד)	business
(דוד, מרים, מאיר דרייער בלייבען ביי דער טהיר לוישענד און 	business
שטעהרען, מאיר דרייער איז ענטציגט פון דער מוזיק, פאנגט אן שטילערהייט	business
נאבצוזינגען, דוד הייסט איהם שטילשווייגען ביז עס ענדיגט).	business
קאהר אב).	exit
(צו דוד'ן	delivery
(פארשטעלענד)	business
(קארל רייכט מאיר'ן די האנד).	business
(שטעלט זיך אליין פאר	business
אלע לאכען	business
(ביידע געארמט אב, דוד, מרים, מאיר זעצען זיך)	business
	business
(לאכט)	business
(לאכט)	business
(לויפט אריין)	business
(אויסער זיך)	business
(מאיר דרייער קומט אריין, אין מיט'ן זינגען לויפט ער ארויס, נאכ'ן געזאנג	entrance
קומט ער מיט דוד מרים).	business
(ארומגעהענד)	business
(קומט אריין)	entrance
(א פארצימער ביי קארל, איין קליינער טיש און א זעסעל).	business
(אויפטריט דומיטריע).	entrance
(קוקט איהם אן)	business
(צימער ביי דוד א געדעקטער מיש מיט לעקיך און אנדערע זאכען אנגעמאכטץ	business
פלעשעל בראנפען, מרים שטעהט אראנזשירט און זיפצט אלע מאל).	business
(פרייליך זינגענדיג)	business
(קומט אריין)	entrance
(עסט)	business
(עסט)	business
(עסט)	business
(ערשראקען)	business
(מקבלים, געסט קומען אריין, זינגען, זעצען זיך צום טיש,	business
מאיר אב).	exit
(מיט א חופה)	business
(ער טרינקט).	business
(טודריס לעגט דיא האנד אין די קעשינע)	business
(פריילעך)	business
(ער ווארט ער זאל איהם	business
עפיס געבען).	business
(געמט א ציגאר)	business
(ברוגז)	delivery
(גיבט איהם צו פעררייכערען)	business
(ער פערליערט דעם בריעף).	business
(פאלט צו די ערד)	business
(לויפען און שרייען)	business
(אהנע ווארטע).	business
(א שעהן רייך פערציערטער זאאל ביי דניאל, אויף דער וואנד, איבער דער	setting
מיטעלטהיר אים הינטערגרונד איז מיט גרויסע בוכשטאבען אויפגעשריעבען	setting
„אם אשכחך ירושלים תשכח ימיני“. — געדעקטער טיש בעלייכטעט, מיט	setting
פריכטע. — געסט, דניאלס צעגלינגע, אויבען אן זיצט דניאל,	setting
צו זיינער רעכטען זרבבל, לינקס עזרא הסופר, יהושוע בן יהוצדק	setting
כהן גדול.	setting
(מוזיק טוש).	business
(מוזיק טוש).	business
(אין א מאנטעל געהילט, בעז צו אליקים)	business
(קוקט איהם אין פנים)	business
(שטויסט איהם אוועק פון זיך)	business
(צו זמרי)	business
(טרינקט)	business
(וועלכער האט וועהרענד. אביגער סצענע שטיל געשפראכען מיט דניאל און	business
מיט די אנדערע, גיט א זיפץ)	business
(בעגייסטערט אייבערשרייענד)	business
(ערשטוינט)	business
(לויפט צו צו איהם)	business
(וויטהענד)	
(נישט אכטענד רעדט ווייטער)	business
(אונטערברעכענד)	business
(צו אליקים)	business
(וויל איהם אנגרייפען, זמרי שטויסט איהם אוועק)	
(ווינקט צו אלקים אויעקצוגעהן)	business
(בעגייסטערט)	business
(בעגייסטערט)	business
(צו זמרי)	business
(אויסער זיך)	business
(פאקט איהם)	business
(ווארפט אראב די קאפוצע, דעמאסקירט זיך)	business
(אפארט ערציטערט)	delivery
(איינע וויילע ווי בעשטירצט)	business
(קוקט איהם שארף אן)	business
(ערקענט איהם)	business
(ערקענט איהם)	business
(מיט ביטערן האס)	business
(אב)	exit
(אפארט, שמערצליך)	delivery
(שמערצליך אויפשרייענד)	business
(וויינט, לעגט די	business
הענד צום געזיכט)	business
(קוקט צום הימעל פערקלעהרט)	business
פערוואנדלונג.	
(א שטראסע).	setting
(רופט פון דרויסען)	business
(ערשיינט)	business
(רופט פון דרויסען)	business
(ערפרייט)	business
(לויפט ארויס און קומט צוזאמען אויין מיט איהר)	business
(קוקט ארויס און ערשרעקט)	business
(קוקט)	business
(קוקט)	business
(ציהט זי מיט זיך אב)	exit
(אויפטריט אליקים, בן כספי (א פעטען קארג).	entrance
(בייז)	business
(צעוויינט זיך)	business
(חליפעט)	business
(קאלט)	business
(וויטהענד)	business
(קרומט איהם נאך)	business
(בייז)	business
(אב)	exit
(רייבער אילומינירטער גארטען - גראז-באנק — רעכטס א לויבע, לינקס א בויט)	setting
אויפטריט טאביאס (בערוישט).	entrance
(זיגנענד)	delivery
(אויפטריט מענדעס).	entrance
(אפארט)	delivery
(זינגט)	delivery
(אויפטריט) לאראש, מענדעס, פיקאלע, גראפען.	entrance
(אומארמונג)	business
(רופט)	business
(אויפטריט טאביאס, יוליע).	entrance
(אויפטריט קעניג, איזראעל).	entrance
