edition	page(s)	line_id / count	category	owner	issue/detail	text	suggested_action	translit	crop_path	transkribus_url
Der Mann untern Tisch	18	r_1_1l32	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	זעֶלְבְּסְט אוּן יאָכֿטשֶעֶ טַאנְצְט מיִט'ן טוּרְנ	manual	zelbst un iokhtshe tntst mit'n turn		https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Der Mann untern Tisch	18	r_1_1l33	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	קעֶווער, אַזוֹי וויִ יאָכֿטשעֶ דעֶרְזעֶהט לויִפֿט 	manual	kever, azui vi iokhtshe derzeht loyft		https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Der Mann untern Tisch	18	r_1_1l34	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	טוּרְניִווער בּעֶהאַלט איִהם אוּן עֵר זיִנְגְט אוֹ	manual	turniver behalt ihm un er zingt u		https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Di Seder Nakht	32	r_1_1l7	untagged speaker	NOA	untagged speaker (unknown) 'דו'	דו: מיין שולד מיין אייגענע שוּלד!	manual	du: meyn shuld meyn eygene shuld!		https://app.transkribus.org/collection/2372172/doc/828503/detail/32
Di Seder Nakht	56	TextRegion_1649531546552_699l5	untagged speaker	NOA	untagged speaker (unknown) 'סאלא אלט'	סאלא אלט: דיא שעהנע ראזע בּליהט	manual	sl lt: di shehne rze bliht		https://app.transkribus.org/collection/2372172/doc/828503/detail/56
Di Seder Nakht	65	TextRegion_1649533891997_1934l19	untagged speaker	NOA	untagged speaker (unknown) '2) קינד'	2) קינד.: איך זאָל נוּר דערלעבּען דיא גדוּלה	manual	2) kind.: ikh zol nur derleben di gdulh		https://app.transkribus.org/collection/2372172/doc/828503/detail/65
Di Seder Nakht	69	line_1649448420472_1578	untagged speaker	NOA	untagged speaker (unknown) 'רעפריין'	רעפריין: יוּדאלע נישט האָבּ קיין מורה	manual	refreyn: iudle nisht hob keyn murh	data/review/crops/Di-Seder-Nakht_p0069_line_1649448420472_1578.png	https://app.transkribus.org/collection/2372172/doc/828503/detail/69
Kidush Hashem	12	r1l9	untagged speaker	NOA	untagged speaker (unknown) 'פיקאלע'	פיקאלע: דֶער גרַאף הָאט דָאך נִישְט מֶעהר ווִי אַ 	manual	fikle: der grf ht dkh nisht mehr vi a	data/review/crops/Kidush-Hashem_p0012_r1l9.png	https://app.transkribus.org/collection/2372172/doc/820939/detail/12
Kidush Hashem	13	r1l8	untagged speaker	NOA	untagged speaker (unknown) 'איזראעל'	איזראעל :) גִיבּ מִיר דַיין הַאנְד, מַיִין פְריינְ	manual	izrel :) gib mir deyn hnd, miin freyn	data/review/crops/Kidush-Hashem_p0013_r1l8.png	https://app.transkribus.org/collection/2372172/doc/820939/detail/13
Kidush Hashem	22	r1l7	untagged speaker	NOA	untagged speaker (unknown) 'בראווא'	בראווא: דאָס אִיז גֶעווֶען אַ קוּנסטפוּלער היעבּ. 	manual	brv: dos iz geven a kunstfuler hieb.	data/review/crops/Kidush-Hashem_p0022_r1l7.png	https://app.transkribus.org/collection/2372172/doc/820939/detail/22
Yudale der Blinder	43	TextRegion_1648551957694_3087l41	untagged speaker	NOA	untagged speaker (unknown) 'געאנטווארטעט'	געאנטווארטעט: אָנקעל! אִיך ליעבּע רָאזא'ן אִיך פֶע	manual	gentvrtet: onkel! ikh liebe rz'n ikh fe		https://app.transkribus.org/collection/2372172/doc/828539/detail/43
Yudale der Blinder	64	r1l51	untagged speaker	NOA	untagged speaker (unknown) 'חזן'	חזן: (פאַנגט אן) בּרוּך אַתה ד'!	manual	khzn: (fangt n) brukh ash d'!	data/review/crops/Yudale-der-Blinder_p0064_r1l51.png	https://app.transkribus.org/collection/2372172/doc/828539/detail/64
