transkribus_url	transkribus_url	current_type	value	value_in_context	type_source	flag	comments
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	exit	(אָב)	ביסינג: זֶעהר גוּט, לֶעשֶׁע דִי לִיכְט אוֹיס! (אָב).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	entrance	(אויפטריט ביסינג)	מאנקאדזשאו → (אויפטריט ביסינג)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	business	(טְרָאָגֶען אִיהם צוּם	מאנקאדזשאו → וְעָן מֶען האָט נִישְׁט קֵיין יאָהרָעָן?... (טְרָאָגֶען אִיהם צוּם	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	business	טהִן בֵּיידֶע)	מאנקאדזשאו → טהִן בֵּיידֶע) יושב בסתר עלִיון...	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=8	setting	(פאַרהאַנג)	מאנקאדזשאו → (פאַרהאַנג).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	setting	(שׁטֶעלְט פאָר אֵיין שִׁיף מִיט מאַטראָזען, שִׁיפס⸗קאַפּיטאַנען אוּן	(שׁטֶעלְט פאָר אֵיין שִׁיף מִיט מאַטראָזען, שִׁיפס⸗קאַפּיטאַנען אוּן	rule:opening-setting (ST7b)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	setting	אוִיך פִיעל פאסאזשִׁירֶען. זִינְגֶען)	אוִיך פִיעל פאסאזשִׁירֶען. זִינְגֶען).	rule:opening-setting (ST7b)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	delivery	(בּיסס)	קאהר → אַיינְס צְוֵויי דריַיַ! טאַנצעֶן זִינְגֶען לוסטִיג אִין דֶער רֵייהֶע! (בּיסס)	rule:repeat→delivery migration		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=9	delivery	(בּיסס)	קאהר → לוסטִיג גֶעהט, אוֹיף דִי רֵייזֶע אֵיין קוס! אֵיין קוּס! (בּיסס) טראַלאַלאַ	rule:repeat→delivery migration		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	(בּיסס. קאָהר וויעדערהאָלט עס)	טאַנצעֶן קאָן אִיךְ זֶעהר גְרוִיס (בּיסס. קאָהר וויעדערהאָלט עס) יֶעצְט מֵייַנֶע	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	(קאָהר וויעדערהאַלט)	רוס → דִיר צוּ שַׁיידֶען, יעָדוּ בּראַט פּראָשצייא (קאָהר וויעדערהאַלט).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	(קאָהר וויעדערהאַלט)	רוס → מײַן פאַטערלאַנד, יעדוּ בּראַט פּראָשציאי (קאָהר וויעדערהאַלט).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	(ביסס. וֵוייטֶער וויעדֶעהאלְט	חינעזע: אַנגעלעטשיאַ! אַנגעלעטשיאַ (ביסס. וֵוייטֶער וויעדֶעהאלְט	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	דאָסזעלבע)	חינעזע → דאָסזעלבע).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	business	(מען קלינגט)	קאהר : בּראַוואָ ! בּראַוואָ! בּראַוואָ: בּראַוואָ ! (מען קלינגט)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	delivery	(ביסס)	קאהר: יֶעצְט גֶעהֶען וִויר צוּם מִיטָאָג צוּם מִיטָאַג! (ביסס)	rule:repeat→delivery migration		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	entrance business	(נאַטאַנזאהן'ס פרוי און סאַלע ערשיינען)	קאהר → (נאַטאַנזאהן'ס פרוי און סאַלע ערשיינען)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	entrance	(אויפטריט קאַרל מיט שאַרלאָטאַ)	עמיליא → (אויפטריט קאַרל מיט שאַרלאָטאַ)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	exit	(אַלע אָבּ)	עמיליא → זאָל צוּם גוּטֶען זַײַן. (אַלע אָבּ)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	entrance	(אויפטריט מישקע מיט מאָשקען)	עמיליא → (אויפטריט מישקע מיט מאָשקען)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=10	entrance	(אויפטריט קאַרל)	מאשקע → (אויפטריט קאַרל)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	exit	(אָב)	מישקע → זָאָלֶען זַיי וֶוערֶען! (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	business	(מענשען לויפען דורך די ביהנע)	מאשקע → פֶערְנוּמֶען מִיט מַיין מִישׁקֶען (מענשען לויפען דורך די ביהנע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	exit	(אָב)	קארל → גֶעה צוּ דֶער מוּטֶער (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=11	entrance	(אויפטריט מישקע)	קארל → (אויפטריט מישקע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	business	(אַלע זינגען)	מאשקע → (אַלע זינגען).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	setting	(פאָרהאַנג)	מאשקע → (פאָרהאַנג)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	setting	(אַ איינפאַכער צימער, מישקע וועלגערט לאָקשען)	(אַ איינפאַכער צימער, מישקע וועלגערט לאָקשען).	rule:opening-setting (ST7b)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	exit	(אָב)	מישקע → רֶען אִין מאַלעריקאַ. (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=12	entrance	(אויפטריט קאַרל)	מישקע → (אויפטריט קאַרל)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	entrance	(אויפטריט מישקע)	(אויפטריט מישקע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	exit	(אָב)	מישקע → קִישֶׁען! 28 גְרָאָשֶׁען פאַר אַזעלכע 2 קלֵיינֶע קעקעטשלאַך ! (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	entrance	(אויפטריט עמיליאַ)	קארל → (אויפטריט עמיליאַ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	exit	(ביידע אָב)	קארל → הֶעלְפֶען. (ביידע אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	entrance	(אויפטריט מאָשקע)	קארל → (אויפטריט מאָשקע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	business	(הינטער די קוליסען)	מישקע: (הינטער די קוליסען) וואָס אִיז מאָשקע לֶעבֶּען?	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=13	entrance	(אויפטריט מישקע)	מאשקע → (אויפטריט מישקע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	delivery	(מִישׁקֶע	מאשקע: העָר זִיךְ אֵיין: וִיהִי בּימי אַחשורש, הוּא אַחשורש (מִישׁקֶע	rule:span-defect-fix	check!	זה חלק מהוראת במה שאומרת (מִישׁקֶע וויִינְט) בהקשר הזה יותר נכון לתייג business ולא delivery. מכיוון שמדובר על דמות אחרת שמתחילה לבכות לא איך היא מגישה את הטקסט
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	delivery	וויִינְט)	מאשקע → וויִינְט) מיִשקע, וואָס וויינְסט דוּ?	person:Noa (web UI)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=14	exit	(אָבּ)	מאשקע: טְפוּי אוֹיף דִיר, קִיטשֶׁען האָסְט דוּ בֶּעדַאַרְפְט זָאָגֶען .(אָבּ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	entrance	(שאַרלאָטע סאַלאַ ערשיינען)	מאשקע → (שאַרלאָטע סאַלאַ ערשיינען)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	delivery	(צוּ סאַלאַ)	שארלאטע: אַ גוּט יאָהר (צוּ סאַלאַ) זאָג נוּר מייַן קִינְד וואוּ האָסְט דוּ	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	business	(עֵר	מישקע: לאָז עָר אוִיפלֵייגֶען אַ טִיכֶעל מִיט קאַלט וַואַסֶער! (עֵר	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	business	לֵייגט אוֹיף)	מישקע → לֵייגט אוֹיף)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	entrance	(קינדער ערשײַגען)	סאלא → קוּמְט אַרײַן קִינְדֶערְלֶעך! (קינדער ערשײַגען)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	business	(אַלע זינגען)	איינער: נוּא זַײַ דוּ מרְדְכִי! אוּן אִיךְ המְן! (אַלע זינגען)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	delivery	(בּיסס)	סאלא → אוּנד אַללעס אִיז גֶעוֶוען אָלרייט (בּיסס)	rule:repeat→delivery migration		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	business	(3 מאָל)	אלע: המְן המְן אִין סאַר! קוּמְט שׁוֹין קִינְדֶער! (3 מאָל)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=15	setting	(פאָרהאַנג)	סאלא → (פאָרהאַנג).	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=16	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=16	setting	דִי בּיִהנע שׁטֶעלְט פאָר אַ זאַל.	דִי בּיִהנע שׁטֶעלְט פאָר אַ זאַל.	person:Noa (web UI)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=16	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=16	entrance	(אויפֿטריט בִּיסִינְג אונְד ליעבערמאַ	מינא → (אויפֿטריט בִּיסִינְג אונְד ליעבערמאַן)	person:Noa (web UI)		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	entrance	(אויפטריט קאַרל מיט וואַסער)	ביסינג → (אויפטריט קאַרל מיט וואַסער)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	exit	(אָב)	קארל: מײַן גאָט! שאַרלאָטאַ! (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	entrance	(אויפטריט האַנץ)	ביסינג: האַנץ! (אויפטריט האַנץ) דאַ האַסְט דוּ אַיינֶען דאָלאַר, גֶעבֶּע	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	exit	(אָב)	דיענער: שֶׁעהן! (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	entrance	(אויפֿטריט	ביסינג: דִי גֶעשִׁיכטֶע קאָמט מִיר זֶעהר פֶערְדֶעכטִיג פאָר (אויפֿטריט	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	business	ליעבערמאַן)	ביסינג → ליעבערמאַן) מיִסטער ליעבּערמאַן! אִיךְ האַבּע אִיהנֶען עהר⸗	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	exit	(אָב)	ליעבערמאן: אִיךְ געֵה צוּ מַיינֶע טָאָכְטֶער. (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=17	entrance	(אויפטריט מאָנקאַדזשאוּ)	ביסינג → (אויפטריט מאָנקאַדזשאוּ) דֶער אִיסט שׁאָן גֶעוִויס געשטאָרבּען, עֵר אִיסט	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	exit	(אָבּ)	מאנקאדזשאו → אַדיע! (אָבּ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	exit	(אָבּ)	ביסינג → שאַרלאָטאַ גֶעשֶׁעָהֶעֵן אִיזְט. (אָבּ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	entrance	(אויפטריט מאָנקאַדזשאו)	ביסינג → (אויפטריט מאָנקאַדזשאו)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	setting	(פאָרהאַנג)	מאנקאדזשאו → (פאָרהאַנג).	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	entrance	(אויפטריט שאַרלאָטאַ)	קארְל → (אויפטריט שאַרלאָטאַ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	entrance	(אויפטריט מיִשקע און מאָשקע)	שארלאטא → (אויפטריט מיִשקע און מאָשקע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=18	exit	(אָב)	שארלאטא: אִיךְ גֶעה הֶערײַן-שִׁיִקֶען מײַנען פָאַטֶער (אָב)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=19	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=19	entrance	(אויפטריט עמיליע)	מאשקע → (אויפטריט עמיליע)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=19	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=19	entrance	(אויפטריט שאַרלאָטאַ)	מישקע → בּענדער אִין מאַלעריִקע דוּרְך אַזאַ גְרוֹיסֶען ים..! (אויפטריט שאַרלאָטאַ)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	business	(זיי קוּשען זיך)	מאשקע → גוּט אִיז דײַן פֶעטֶער. (זיי קוּשען זיך)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	entrance	(אויפטריט דיענער)	שארלאטא → (אויפטריט דיענער)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	exit	(אָבּ)	דיענער: דֶער בְּרוֹיטִיגַאַם קאָמט. (אָבּ)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=20	entrance	(אויפטריט ביסינג)	מאשקע → (אויפטריט ביסינג)	rule:auto-resolve lexicon		
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=21	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=21	entrance	(אויפטריט מאָנקאַדזשאו מיט פאָליס⸗מענער)	מישקע → (אויפטריט מאָנקאַדזשאו מיט פאָליס⸗מענער)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=21	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=21	business	(צוּרייסט)	קארל: מִיסטֶער בּיסינג! אִיזְט דאַס אִיהרֶע אוּנְטֶערְשְׁרִיפְט? (צוּרייסט)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=22	https://app.transkribus.org/collection/18874/doc/828537/edit?pageNr=22	setting	(פאָרהאַנג)	אלע → (פאָרהאַנג)	Claude-session annotator (YiDraCor MMK re-annotation 202)	review	
https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	setting	(די בּינע שׁטעלְט פאָר אֵיין שׁענעם זאַל, אין דער רעכֿטער	(די בּינע שׁטעלְט פאָר אֵיין שׁענעם זאַל, אין דער רעכֿטער	sinai (untooled push)		
https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	setting	זַייט שְׁטעהט אַ טישׁ, דער טישׁ איז געדעקט מיט אַ ווֵייס טישׁ-	זַייט שְׁטעהט אַ טישׁ, דער טישׁ איז געדעקט מיט אַ ווֵייס טישׁ-	sinai (untooled push)		
https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	setting	טאַך ס'ליגט 2 חלְה'ס מיט אַ סערוועטעל צוּגעדעקט. עַם שְׁטעהט	טאַך ס'ליגט 2 חלְה'ס מיט אַ סערוועטעל צוּגעדעקט. עַם שְׁטעהט	sinai (untooled push)		
https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	https://app.transkribus.org/collection/18874/doc/817462/edit?pageNr=5	setting	לֵייכֿטער מיט ליכֿט. דער טישׁ איז געדעקט מיט לעפֿעל	לֵייכֿטער מיט ליכֿט. דער טישׁ איז געדעקט מיט לעפֿעל	sinai (untooled push)		
