current_official_name,name_1945_1991,name_1918_1939,name_pre_1918,region,north_latitude,east_longitude,km_from,dir_from,nearest_major_city,yiddish_transcription,born_there_yiddish,yiddish_name,country,lat_dec,lon_dec,_parent_resolved,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
Kremenets' (U),Kremenets (R),Krzemieniec (P),Kremenets? (R),Volhynia,50° 6',25° 43',55,NNE,Ternopil',/KRE'MENITs/,"מאיר גאָלדרינג, פֿייגע האָפֿשטיין, בנימין לאַנדסבערג, מאיר ליטוואַק, יצחק־בער (ריב""ל), נחמן פּרילוצקי, צבֿי(־שלום) פּרילוצקי, דןד ראַפּאַפּאָרט, דוד רויכעל, יעקבֿ שייפֿער",קרעמעניץ,Ukraine,50.1000,25.7167,,name_exact,name_exact,A_autolink,0.95,True,,658,Kremenets (Ukraine),קרמניץ (אוקראינה),1.2,658
Luhans'k (U),Voroshilovgrad? (R),Lugansk (R),,eastern Ukraine,48° 34',39° 20',,,,/LUGA'?NSK/,־־,לוגאַנסק,Ukraine,48.5667,39.3333,,name_exact,name_exact,A_autolink,0.95,True,,13981,"Luhansʹk (Luhansʹka oblastʹ, Ukraine)",לוגנסק (אוקראינה),2.7,13981
Malyn (U),Malin (R),,,eastern Ukraine,50° 46',29° 14',60,NNE,Zhytomyr,/MALIN/ (stress?),"שלמה בריאַנסקי, שמואל־אַבא האָראָדעצקי, יהושע קאַמינסקי, פּיניע קירטשאַנסקי",מאַלין,Ukraine,50.7667,29.2333,,name_exact,name_exact,A_autolink,0.95,True,,27167,"Malyn (Rivnensʹka oblastʹ, Ukraine)",מאלין (אוקראינה),2.6,27167
Olevs'k (U),Olevsk (R),,,eastern Ukraine,51° 13',27° 39',105,NE,Rivne,/OLE'FSK/,־־,אָלעווסק,Ukraine,51.2167,27.6500,,name_exact,name_exact,A_autolink,0.95,True,,26120,Olevsk (Ukraine),אולבסק (אוקראינה),1.2,26120
Ovruch (U),Ovruch (R),,,eastern Ukraine,51° 19',28° 48',110,NNE,Zhytomyr,/OVRITSh/,"ניסן ברוסילאָוו, מנחם־יוסף ווײַסבאַנד, יעקבֿ־שמואל טראַכטמאַן, יעקבֿ־זעליג פֿוטערמאַן",אָווריטש,Ukraine,51.3167,28.8000,,name_exact,name_exact,A_autolink,0.95,True,,26887,Ovruch (Ukraine),אוברוץ' (אוקראינה),1.0,26887
Poltava (U),Poltava (R),,,eastern Ukraine,49° 38',34° 34',,,,/POLTAVE/,"נח באַרו, יצחק בן־צבֿי, שמואל גאָרדאָן, מאָריס האַלטמאַן, יצחק העללער, מרדכי וויינגער, יעקבֿ זרובבֿל, אליהו טשעריקאָווער, אַבֿרהם־בער מישולאָוו, ג. מ. פּרײַ??ס, אַהרן ראובֿני, טעאָדאָר ראָטשטיין, משה שאַפּיראָ",פּאָלטאַווע,Ukraine,49.6333,34.5667,,name_exact,name_exact,A_autolink,0.95,True,,511,Poltava (Ukraine),פולטבה (אוקראינה),5.0,511
Rava-Rus'ka (U),Rava-Russkaya (R),Rawa Ruska? (P),,east Galicia,50° 15',23° 37',45,NW,L'viv,/RAVE/,"בן־ציון גינסבערג, זײַנוול ליבערמאַן, דבֿ מרגליות",ראַווע,Ukraine,50.2500,23.6167,,name_exact,name_exact,A_autolink,0.95,True,,20695,Rava-Rusʹka (Ukraine),ראווה רוסקה (אוקראינה),0.0,20695
Rivne (U),Rovnoye (R),,,eastern Ukraine,48° 15',31° 45',35,SW,Kirovohrad,/ROVNE/,־־,ראָוונע,Ukraine,48.2500,31.7500,,name_exact,name_exact,A_autolink,0.95,True,,1728,"Rivne (Rivnensʹka oblastʹ, Ukraine)","רובנו (מחוז רובנו, אוקראינה)",476.8,1728
Rivne (U),Rovno (R),Równe (P),Rovne?,Volhynia,50° 37',26° 15',,,,/ROVNE/,"מ(שה) בעלענקי, ל. גאָטליב, יואל גאַק, שמואל גלוז, בנימין געבינער, בער דוואָריטשין, מאַרק ווישניצער, יצחק זאַם?, ראובֿן זיכער, משה זילבערפֿאַרב, יאַנקל־זלמן יאַגאָדאַ, משה כּהן, אָשר מאַרגאָליס, מיכאל מירסקי, אפֿרים סאַרנע, פֿײַוול סיטאָ, שלמה סלוצקי, באָריס (בער) סמאָליאַר, שלמה פּערל (אַלמאַזאָוו), י. פֿייגעל, מלכּה קעלעריק, מרדכי ראָטענבערג, אַלעקסאַנדער שאַפּיראָ, נחום שטיף, שײַע שיכאַטאָוו",ראָוונע,Ukraine,50.6167,26.2500,,name_exact,name_exact,A_autolink,0.95,True,,1728,"Rivne (Rivnensʹka oblastʹ, Ukraine)","רובנו (מחוז רובנו, אוקראינה)",0.4,1728
Savran' (U),Savran' (R),,,eastern Ukraine,48° 8',30° 5',35,NE,Balta,/SAVRA'Ny/,יעקבֿ אײַזענשטיין,סאַווראַן,Ukraine,48.1333,30.0833,,name_exact,name_exact,A_autolink,0.95,True,,23399,Svaryn (Ukraine),סאווראן (אוקראינה),0.5,23399
Sevastopol' (U),Sevastopol' (R),,,Crimea,44° 37',33° 33',,,,/SEVASTOPL/?,באָריס אייסוראָוויטש,סעוואַסטאָפּאָל,Ukraine,44.6167,33.5500,,name_exact,name_exact,A_autolink,0.95,True,,652,Sevastopolʹ (Ukraine),סבסטופול (אוקראינה),2.5,652
Shpola (U),Shpola (R),,,eastern Ukraine,49° 2',31° 25',60,SW,Cherkasy,/ShPOLE/,"יעקבֿ אַפּטייקער, גרשון (הערמאַן) סוועט, איציק פֿעפֿער",שפּאָלע,Ukraine,49.0333,31.4167,,name_exact,name_exact,A_autolink,0.95,True,,18113,Shpola (Ukraine),שפולה (אוקראינה),0.0,18113
Shums'k (U),Shumskoye (R),Szumsk (P),,Volhynia,50° 7',26° 7',55,SSW,Rivne,/ShIMSK/,גרשון קראַקאָווער,שומסק,Ukraine,50.1167,26.1167,,name_exact,name_exact,A_autolink,0.95,True,,20463,Shumsʹk (Ukraine),שומסק (אוקראינה),10.0,20463
Skvyra (U),Skvira (R),,,eastern Ukraine,49° 44',29° 40',85,SSW,Kyiv,/SKVER/,"חיים וואַסערקוואַל, נפֿתּלי פֿײַנערמאַן, יוסף שאַפּיראָ",סקווער,Ukraine,49.7333,29.6667,,name_exact,name_exact,A_autolink,0.95,True,,18655,Skvyra (Ukraine),סקווירה (אוקראינה),1.2,18655
Stryy (U),Stryy (R),Stryj (P),,east Galicia,49° 15',23° 51',60,SSW,L'viv,/STRI:/,"אַבֿרהם אינזלער, צבֿי העלער, יעקבֿ־יהושה הערציג, שמואל (סאַמועל) יאַקאָבי, טולאָ (נפֿתּלי) נוסענבלאַט, לוי־יצחק פֿרענקעל, שמעון ראָזענבערג",סטרי,Ukraine,49.2500,23.8500,,name_exact,name_exact,A_autolink,0.95,True,,1743,Stryĭ (Ukraine),סטריי (אוקראינה),0.0,1743
Torchyn (U),Torchin (R),Torczyn (P),,Volhynia,50° 46',25° 00',15,WNW,Luts'k,/TORTShIN/ (stress?),אפֿרים שפּראַ,טאָרטשין,Ukraine,50.7667,25.0000,,name_exact,name_exact,A_autolink,0.95,True,,23561,Torczyn (Ukraine),טארטשין (אוקראינה),0.2,23561
Turiys'k (U),Turi(y)sk (R),Turzysk (P),,Volhynia,51° 6',24° 32',60,NW,Luts'k,/TRISK/,"אַבֿרהם ל. אַוונטאַל, ברוך אָליצקי, לייב אָליצקי, מאַטעס אָליצקי, ליבער ברענער, יעקבֿ־יוסף וואָהל, זישע ווײַנפּער, דוד ספֿאַרד, שלמה קײַזער",טריסק,Ukraine,51.1000,24.5333,,name_exact,name_exact,A_autolink,0.95,True,,20696,Turiĭsʹk (Ukraine),טריסק (אוקראינה),808.6,20696
Tyachiv (U),Tyachev (R),Ťačovo? (Cz),Técső (H),Transcarpathia,48° 1',23° 35',75,SE,Mukacheve,/TEyTSh/,---,טעטש,Ukraine,48.0167,23.5833,,name_exact,name_exact,A_autolink,0.95,True,,18423,Ti︠a︡chiv (Ukraine),טץ' (אוקראינה),1.0,18423
Vinnytsya (U),Vinnitsa (R),,,eastern Ukraine,49° 14',28° 29',,,,/VI'NITsE/,"יצחק (איגנאַץ) בערנשטיין, דוד דענק, הערש ייבין??, מחנם־נחום ליטינסקי, יצחק־יואל לינעצקי, הײַ??מאַן מאַנדעלשטאַם, אליעזר מיללער, שמריהו ניעמיראָווסקי",וויניצע,Ukraine,49.2333,28.4833,,name_exact,name_exact,A_autolink,0.95,True,,946,Vinnyt︠s︡i︠a︡ (Ukraine),ויניצה (אוקראינה),1.2,946
Volodymyr Volyns'kyy (U),Vladimir Volynskiy (R),Włodzimierz Wołyński (P),Vladimir Volynskiy (R),Volhynia,50° 51',24° 20',65,WNW,Luts'k,"/LUDMER, LUDMA/","בצלאל יוכט, אפֿרים־פֿישל מאַמעט, יוסף סיקאָלער (סיקולער), מרדכי פּערלמוטער, קהת קליגער, שלום־יוסף קרישטאַלקע",לודמיר,Ukraine,50.8500,24.3333,,name_exact,name_exact,A_autolink,0.95,True,,11456,Volodymyr-Volynsʹkyĭ (Ukraine),וולודימיר-ולינסקי (אוקראינה),0.8,11456
Vynohradiv (U),Vinogradov (R),Sevluš (Cz),"Nagyszőlős (H) [szőlős, vinograd, vynohrad all mean 'vineyard' ]",Transcarpathia,48° 9',23° 2',35,SSE,Mukacheve,/SEyLISh/,ליפּע פֿרידמאַן,סעליש,Ukraine,48.1500,23.0333,,name_exact,name_exact,A_autolink,0.95,True,,1690,Vynohradiv (Ukraine),וינוגרדוב (אוקראינה),1.1,1690
Będzin (P),,,,Congress Poland,50° 20',19° 7',70,NW,Kraków,/BENDI:'N/,"שׂרה בוים, יהודי?־לייב וואַלנערמאַן, ל. טענענבוים, ישעיה לעווקאָוויטש, גרשון סטאַווסקי",בענדין,Poland,50.3333,19.1167,,name_exact,name_exact,A_autolink,0.95,True,,621,Będzin (Poland),בנדין (פולין),1.5,621
Białystok (P),,,Belostok (R),Grodno,53° 08',23° 8',,,,/BYA'LISTOK/,"יוליוס אַדלער, דוד אוטקעס, חיים באָגאַן, שלמה בורשטיין, פּסח בינעצקי, זלמן בן־טובֿים, סאָניע בעריק, מאיר בראַון, חיים ברוידע, אָשר גאָלדבערג, מענדל גאָלדמאַן, שואל גאָלדמאַן, דוד י. גאַלטער, חיים־אַבא גאָמער, יעקבֿ (דזשעק) גאָרדאָן, זעליג (ג(ע)ווירצמאַן, אַהרן גוטמאַן, חיהלע גראָבער, (חיה) חײַקע גראָסמאַן, הערי גראַף, לייב גרינהויז, מנחם־מענדל דאָליצקי, אָסיפּ דימאָוו, חיים הורוויץ, נחמן העלער, הענעך הערשבערג, רודאָלף וואָלסאָנאָק, יעקבֿ וואַקס, צבֿי־הערש ווידער, יחיאל ווײַנטרויב, יצחק ווײַנשטאַט, יוסף ווײַנשטיין, יעקבֿ ווײַסליץ, לעאָ ווינער, חיים וויסאָצקי, משה וויסאָצקי, מאַקס וועבער, מיכל זאַבלודאָווסקי, מרדכי זאַבלודאָווסקי, נח זאַבלודאָווסקי, ישׂראל זאַדרונסקי, יוסף־יהודה זאַכאַריאַש, לאַזאַר (לודוויג) (לייב?) זאַמענהאָף, שלמה זיטנער, אַ?לי זילבערבלאַט, מרדכי זילבערבלאַט, לייב חזן, בנימין טאַבאַטשינסקי, פּנחס טיקאָטשינסקי, שׂרה טראָפּ, לוי טרעשטשאַנסקי, חיים־אַבֿרהם יאַכנוק, מרדכי־מאַנע כּעס, מרדכי כמעלניק, אַבֿרהם ליליענשטיין, אַבֿרהם ליס, מרדכי ליפּסאָן, הערמאַן ליפּשיץ, שכנא לעב(ע)נהאַרץ, ירוחם לעווין, שמואל־חיים (שח""ל) לעווין, חיים מאַטינקאָ, ל. (לונעאַנסקי) מאַטעס, יצחק־משה מעלאַמדאָוויטש (מעלאַמעד), נח מעלניק, אליהו־לייב מרגלית־מונטשיק, ראובֿן נאַכימאָווסקי, ראָזע (זעלדע־רייזל) נעוואַדאָווסקי, דוד סאָהן, דוד סאַפּיר, צבֿי(־הירש) סאַפּיר, לעאָן סוראַסקי, ס. סטאָון, מרדכי־זאבֿ סיראָטאַ, חיים סלאָוועס, וואָלף־הירש סעגאַלאָוויטש (סאַגאַלאָוויטש), זוסמאַן סעגאַלאָוויטש, יצחק עבֿרי, מרדכי פּאָגאָרעלסקי, יעקבֿ פּאַט, ד""ר עמנואל פּאַט, מאָטל פּאָסינסקי, אַלכּסנדר זיסקינד פּוניאַנסקי, חיים פּרעס, אליעזר־יצחק פֿייגין, חיים אַבֿרהם פֿינקעל, הערמאַן פֿראַנק בן־ציון צאַלעוויטש, שׂמחה צפֿת, פּוילינע קאָברין",ביאַליסטאָק,Poland,53.1333,23.1333,,name_exact,name_exact,A_autolink,0.95,True,,523,Białystok (Poland),ביאליסטוק (פולין),2.9,523
Frysztak (P),,,,west Galicia,49° 50',21° 37',35,SW,Rzeszów,/FRISTIK/,־־,פֿריסטיק,Poland,49.8333,21.6167,,name_exact,name_exact,A_autolink,0.95,True,,420,Frysztak (Poland),פריסטיק (פולין),0.0,420
Jaśliska (P),,,,west Galicia,49° 26',21° 49',70,SSW,Rzeszów,/YAShLI'SK/?,־־,יאַשליסק,Poland,49.4333,21.8167,,name_exact,name_exact,A_autolink,0.95,True,,20656,Jaśliska (Poland),יאשליסק (פולין),1.2,20656
Jedwabne (P),,,,Congress Poland,53° 17',22° 18',60,WNW,Białystok,/YEDVABNE/,"יוסף דאַנאָווסקי, פּנחס טורבערג, משה־אַריה צינאָוויטש, יוסף ראָזען",יעדוואַבנע,Poland,53.2833,22.3000,,name_exact,name_exact,A_autolink,0.95,True,,10355,Jedwabne (Poland),ידובנה (פולין),0.0,10355
Kalisz (P),,,,Congress Poland,51° 45',18° 5',95,W,Łódź,/KU:WISh/,"בנימין־זאבֿ הענדלעס, יהודה וואַרשאַוויאַק, ישעיה זאַנדבערג, מאיר פּאַקנטרעגער, לייב פֿוקס, זלמן קאַפּלאַן, חנוך רוסאַק",קאָליש,Poland,51.7500,18.0833,,name_exact,name_exact,A_autolink,0.95,True,,436,Kalisz (Poland),קליש (פולין),0.9,436
Kikół (P),,,,Congress Poland,52° 55',19° 7',30,ESE,Toruń,/KIKL/,אַבֿרהם־לייב פֿוקס,קיקל,Poland,52.9167,19.1167,,name_exact,name_exact,A_autolink,0.95,True,,26063,Kikół (Poland),קיקול (פולין),0.8,26063
Knyszyn (P),,,,Grodno,53° 19',22° 55',20,NW,Białystok,/KNIShIN/ (stress?),־־,קנישין,Poland,53.3167,22.9167,,name_exact,name_exact,A_autolink,0.95,True,,19795,Knyszyn (Poland),קנישין (פולין),0.4,19795
Kock (P),,,,Congress Poland,51° 38',22° 27',40,NNW,Lublin,/KOTsK/,"מנחם זאַקאַליק, שׂמחה פֿרואימס?, שלמה־לייב קאַוואַ",קאָצק,Poland,51.6333,22.4500,,name_exact,name_exact,A_autolink,0.95,True,,391,Kock (Poland),קוצק (פולין),0.9,391
Kraków (P),[Cracow (E)],,Krakau (G),west Galicia,50° 4',19° 56',,,,"/KROKE, KRU:KE/ [adjective: /KRO'KEVER/, /KRU:'KEVER/]","איגנאַצי אַלעקסאַנדראָוויטש, ווילהעלם אַלעקסאַנדראָוויטש, מאַקס אַלעקסאַנדראָוויטש, גרשם באַדער, יצחק־משה באַדער, מיכאַל באָרוויטש (באָרוכאָוויטש), משה בלאַט, וואָלף בלאַטבערג, שמעון בערמאַן, יעקבֿ בראָס, עזריאל גינציג, מרדכי געבירטיג, הענריק גראָסמאַן, יצחק דויטשער, יואל־דוד דעמביצער, סאָלאָמאָן (זלמן) דעמביצער, פּסח דעמביצער, יצחק האַמבורגער, מאיר ווינער, שכנא־אפֿרים זאַגאַן, דוד לאַזאַר, יוסף־הלל לעווי, אַרטור (אַבֿרהם=גרשון) לערמער, נתן־מנחם מאַנדעל, מענדל מאַרק, יוסף מעלער, מאיר־יהושע נירענבערגער, שמעון ערנסט, לעאָן פֿײַנער, ישעיה רעכטער, שׂרה שענירער, עמנואל שערער",קראָקע,Poland,50.0667,19.9333,,name_exact,name_exact,A_autolink,0.95,True,,489,Krakow (Poland),קרקוב (פולין),0.7,489
Krotoszyn (P),,,Krotoschin (G),Poznan-West Prussia,51° 42',17° 26',75,NNE,Wrocław,/KROTShI:'N/,־־,קראָטשין,Poland,51.7000,17.4333,,name_exact,name_exact,A_autolink,0.95,True,,474,"Krotoszyn (Kalisz, Poland)","קרוטושין (קליש, פולין)",0.4,474
Łask (P),,,,Congress Poland,51° 36',19° 8',30,SW,Łódź,/LU:SK/,"אליעזר אָלינער, מרדכי אָלעי??, ש. באַרבער, פּינחס־זעליג גליקסמאַן, חנה גערסאָן־ ראַבינאָוויטש, אַבֿרהם ווייץ, דוד קלין, יוסף־בעריש ראָזענבלום",לאָסק,Poland,51.6000,19.1333,,name_exact,name_exact,A_autolink,0.95,True,,22529,Lask (Poland),לאסק (פולין),0.8,22529
Lesko (P),,,,west Galicia,49° 28',22° 20',65,SSE,Rzeszów,/LIN(T)SK/,־־,לינסק,Poland,49.4667,22.3333,,name_exact,name_exact,A_autolink,0.95,True,,11393,Lesko (Poland),לסקו (פולין),0.3,11393
Lipsk (P),,,,Congress Poland,53° 44',23° 24',65,NNE,Białystok,/LIPSK/,"מאיר בערגער, סעם (שעפּסל) ליפּצין, הירש־מאיר קירשענבוים",ליפּסק,Poland,53.7333,23.4000,,name_exact,name_exact,A_autolink,0.95,True,,11775,Lipsk (Poland),ליפסק (פולין),0.0,11775
Lipsko (P),,,,Congress Poland,51° 9',21° 39',65,WSW,Lublin,/LIPSK/,־־,ליפּסק,Poland,51.1500,21.6500,,name_exact,name_exact,A_autolink,0.95,True,,11775,Lipsk (Poland),ליפסק (פולין),310.8,11775
Łosice (P),,,,Congress Poland,52° 13',22° 43',100,NNE,Lublin,/LOShITs/,"חיים־איצל גאָלדשטיין, משה ז. גאָלדשטיין, אַבֿרהם סלוכאָווסקי, מרדכי שנער (שינאַר?)",לאָשיץ,Poland,52.2167,22.7167,,name_exact,name_exact,A_autolink,0.95,True,,17758,Łosice (Poland),לושיץ (פולין),0.5,17758
Małkinia Górna (P),,,,Congress Poland,52° 42',22° 2',75,NE,Warszawa,/MALKI'N/,"לילי בערגער, יעקבֿ־יוסף צודיקער, מאַרק ראַקאָווסקי",מאַלקין,Poland,52.7000,22.0333,,name_exact,name_exact,A_autolink,0.95,True,,18408,Małkinia (Poland),מאלקין (פולין),1.1,18408
Olkusz (P),,,,Congress Poland,50° 17',19° 34',35,NW,Kraków,/ELKISh/,־־,עלקיש,Poland,50.2833,19.5667,,name_exact,name_exact,A_autolink,0.95,True,,12858,Olkusz (Poland),אולקוש (פולין),0.3,12858
Oświęcim (P),,,Auschwitz (G),west Galicia,50° 1',19° 15',50,W,Kraków,/OShPITsI:'N/,־־,אָשפּיצין,Poland,50.0167,19.2500,,name_exact,name_exact,A_autolink,0.95,True,,11759,Oświęcim (Poland),אושויץ (פולין),2.2,11759
Otwock (P),,,,Congress Poland,52° 7',21° 16',20,SE,Warszawa,/OTFO'TsK/,--,אָטוואָצק,Poland,52.1167,21.2667,,name_exact,name_exact,A_autolink,0.95,True,,741,Otwock (Poland),אוטבוצק (פולין),0.0,741
Piątek (P),,,,Congress Poland,52° 4',19° 29',30,N,Łódź,/PYONTKE/,־־,פּיאָנטקע,Poland,52.0667,19.4833,,name_exact,name_exact,A_autolink,0.95,True,,23825,Piątek (Poland),פיונטק (פולין),0.3,23825
Płock (P),,,,Congress Poland,52° 33',19° 41',80,SE,Toruń,/PLOTsK/,"יהודע אַבֿידע, = זלאָטניק?, י.ט. אַלטמאַן, ליעוו אָסטראָוויער, אַבֿרהם אָסטראָווער, יצחק בערנשטיין, יוליוס גאָלדע, שלמה גרינשפּאַן, פֿאַביאַן ש. הלוי, יעקבֿ וואַסערמאַן, ראובֿן־מיכל זיסקינד, אַבֿרהם־זעליג כאַנאַכאָוויטש, ישראל־גרשון כאַנאַכאָוויטש, זישע לאַנדוי [אַרויסגערעדט /LANDE/], שׂמחה מינץ, יחיאל־מאיר פּאָזנער, חיים פֿלאַקס, משה קאָוואַדלאָ, הערמאַן קרוק, פּנחס שוואַרץ",פּלאָצק,Poland,52.5500,19.6833,,name_exact,name_exact,A_autolink,0.95,True,,413,Płock (Poland),פלוצק (פולין),1.1,413
Przytyk (P),,,,Congress Poland,51° 28',20° 54',70,NNE,Kielce,/PShITIK/,־־,פּשיטיק,Poland,51.4667,20.9000,,name_exact,name_exact,A_autolink,0.95,True,,19228,Przytyk (Poland),פשיטיק (פולין),0.5,19228
Puńsk (P),,,,Congress Poland,54° 15',23° 11',125,N,Białystok,/PUNT?SK/,רבֿקה קאָגוט,פּונסק,Poland,54.2500,23.1833,,name_exact,name_exact,A_autolink,0.95,True,,19375,Punśk (Poland),פונסק (פולין),0.0,19375
Rawa Mazowiecka (P),,,,Congress Poland,51° 46',20° 15',55,E,Łódź,/RAVE/,היושה? ביעטש,ראַווע,Poland,51.7667,20.2500,,name_exact,name_exact,A_autolink,0.95,True,,20695,Rava-Rusʹka (Ukraine),ראווה רוסקה (אוקראינה),289.7,20695
Rawicz (P),,,Rawitsch (G),Poznan-West Prussia,51° 37',16° 52',55,N,Wrocław,/RAVITSh/,־־,ראַוויטש,Poland,51.6167,16.8667,,name_exact,name_exact,A_autolink,0.95,True,,12727,"Rawicz (Leszno, Poland)",רביץ' (פולין),1.1,12727
Sanok (P),,,,west Galicia,49° 33',22° 12',55,SSE,Rzeszów,/SU:NIK/,"ליפּע אבֿן־שיש, ישׂראל מאיר, חיים־יצחק מרידיק, שלמה נאָבל, קלמן סעגאַל, עוזר פּיפּע, שמואל־זײַנוול פּיפּע, אַבֿרהם־חיים שענבאַך",סאָניק,Poland,49.5500,22.2000,,name_exact,name_exact,A_autolink,0.95,True,,106,Sanok (Poland),סנוק (פולין),1.2,106
Siedlce (P),,,,Congress Poland,52° 10',22° 16',85,E,Warszawa,/ShE'DLITs/,"יוסף־חיים אײַזענבערג, ג. באָגען, אַלטער (בן־ציון) גאָטליב, מרדכי גאָטעסדינער, אַלטער גאָלד, יהושע גאָלדבערג, בעלאַ גאָלדווירט, לעבן ש', בערנאַרד (בערל) גאָלדשטיין, קלמן גאַליצקי, לוי גוטגעלט, שמואל גינזבורג, ישׂראל גראָהמאַן, יחיאל־פּינחס גרינבערג, דוד גרינפֿאַרב, ישׂראל דואַ, מיכאל (בן־אַבֿרהם) ווײַנאַפּעל, גרשון־הענעך זאַכאַק, אַבֿרהם זאָנשיין, ישׂראל טאַבאַקמאַן, יעקבֿ טענענבוים, אָשר טרזשאַנאָוויטש, מנשה טשאַרנבראָדע, שמאון טשאַרנאָבראָדע, טובֿיה יאַקובאָוויטש, בן־ציון ידידיה, שלום יעלין, יצחק כּספּי, געצל לוסטגאַרטן, אָשר ליוועראַנט, יצחק ב""ר מרדכי ליפּיעץ, משה מאַנדעלמאַן, דוד מייער, דוד־לייב („אַריה"") נײַמאַרק, חנה סאַפֿראַן, ברעה סטאָלאָווי, לייב סרעברעניק, יוסף פֿישמאַן, יעקבֿ־הירש פֿישמאַן, יהודה־אַריה צוקער",שעדליץ,Poland,52.1667,22.2667,,name_exact,name_exact,A_autolink,0.95,True,,294,Siedlce (Poland),שדלץ (פולין),2.2,294
Sierpc (P),,,,Congress Poland,52° 51',19° 39',70,ESE,Toruń,/ShEPS/,־־,שעפּס,Poland,52.8500,19.6500,,name_exact,name_exact,A_autolink,0.95,True,,16554,Sierpc (Poland : Powiat),שרפץ (פולין : מחוז),3.9,16554
