person_id	heading	subject	seq	place	place_kind	org	role	verb	date_start	date_end	certainty	t_start	t_end	t_inferred	res_status	qid	label_en	lat	lon	events	evidence
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	4	באַטאָשאָן	settlement		מלמד	settled			none	1826	1840	True	settlement	Q178855	Botoșani	47.748611	26.669444	"[{""event_type"": ""business"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""Attempted commerce but lost his dowry""}]"	געקומען אין באַטאָשאָן, רומעניע ... איז געוואָרן אַ מלמד, צוערשט אין באַטאַשאָן
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	5	מאָלדעוואָנישן דאָרף	unknown		מלמד	stay			none	1826	1840	True	unresolved					[]	דערנאָך ביי אַ מאָלדעוואָנישן דאָרפס-ייד
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	6	באַטאַשאָן	settlement		performer	stay	1840		approximate	1840	1840	False	settlement	Q178855	Botoșani	47.748611	26.669444	"[{""event_type"": ""performance"", ""play"": """", ""venue"": ""וויינשענקל"", ""date"": """", ""description"": ""Singing for young people in wine cellars""}]"	אין די 40-ער יאָרן אויפֿגעטראָטן מיט זיינע לידער און ניגונים אין באָטאָשאָן
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	7	יאָסי	settlement		performer	stay	1850		approximate	1850	1850	False	settlement	Q46852	Iași	47.162222	27.588889	[]	שפּעטער האָט ז. דערהויפּט זיך אויפֿגעהאָלטן אין יאָסי, מאָלדאָוויע
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	8	דרום-רוסלאַנד	region		performer	tour			none	1850	1868	True	region	דרום-רוסלאנד	Southern Russia	47.0	39.7	[]	פלעגט אָפֿט אַרומפֿאָרן איבער אַנדערע רומענישע שטעט און איבער דרום-רוסלאַנד
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	9	גאַליציע	region		performer	tour	1868	1869	explicit	1868	1869	False	region	גאליציע	Galicia	49.55	24.0	[]	סוף 1868 און אָנהויב 1869 האָט ז. אַרומגעוואַנדערט איבער בראָד, לעמבערג, דראָהאָביטש, טאָרנאָפּאָל און אַנדערע גאַליצישע שטעט
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	10	זבאַראַזש	settlement			visit	1869-05-18		explicit	1869	1869	False	settlement	Q156095	Zbarazh	49.663	25.775	[]	דעם 18 מאי (שבועות) 1869 איז ז. געווען צוגאַסט אין זיין געבוירןשטאָט זבאַראַזש
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	11	לעמבערג	settlement			pass_through	1869		approximate	1869	1869	False	settlement	Q36036	Lviv	49.8425	24.032222	[]	פֿון זבאַראָזש איז ז. געפֿאָרן קיין לעמבערג
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	12	וואַרשע	settlement			pass_through	1869		approximate	1869	1869	False	settlement	Q270	Warsaw	52.23	21.011111	[]	קיין וואַרשע
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	13	טשערנאָוויץ	settlement			pass_through	1869		approximate	1869	1869	False	settlement	Q157725	Chernivtsi	48.290833	25.934444	[]	דערנאָך קיין טשערנאָוויץ
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	14	באקאו	settlement			return	1869		approximate	1869	1869	False	settlement	Q173203	Bacău	46.567	26.914	[]	צוריק קיין רומעניע (באקאו)
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	15	ווין	settlement		performer	stay	1871	1871	explicit	1871	1871	False	settlement	Q1741	Vienna	48.208333	16.3725	"[{""event_type"": ""performance"", ""play"": """", ""venue"": ""יידישע רעסטאָראַציעס"", ""date"": ""1871"", ""description"": ""Performed in Jewish restaurants and taverns""}]"	אין 1871 איז ז. געווען אין ווין
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	16	קאָנסטאַנטינאָפּאָל	settlement			stay	1872-01		explicit	1872	1872	False	settlement	Q406	Istanbul	41.01	28.960278	[]	אין יאַנואַר 1872 טרעפן מיר ז. אין קאָנסטאַנטינאָפּאָל
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	17	לעמבערג	settlement			stay	1873-08		explicit	1873	1873	False	settlement	Q36036	Lviv	49.8425	24.032222	[]	אין אויגוסט 1873 איז ער ווידער אין לעמבערג
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	18	רומעניע	country			stay	1875	1875	explicit	1875	1875	False	region	רומעניע	Romania	45.94	24.97	[]	אין די זומער-חדשים 1875 אין רומעניע
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	19	טולטשאַ	settlement			flight	1875-04-25		explicit	1875	1875	False	settlement	Q16898	Tulcea	45.19	28.8	[]	אַנטלויפט ער קיין טולטשאַ (טערקיי)
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	20	גאַליציע	region		performer	tour	1878	1878	explicit	1878	1878	False	region	גאליציע	Galicia	49.55	24.0	"[{""event_type"": ""performance"", ""play"": """", ""venue"": """", ""date"": ""1878"", ""description"": ""Heard singing in Kolomyia""}]"	אין 1878 איז ז. ווידער אין גאַליציע (לעמבערג, טאָרנאָפּאָל, קאלאמיי א. א. וו.)
P-1-facs_395_r_6	זבאָרזשער, וועלוועל [בנימין וואָלף עהרענקראַנץ]	entry	21	קאָנסטאַנטינאָפּאָל	settlement		performer	settled		1883-06-02	explicit	1883	1883	False	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""marriage"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""Married his second wife, Malke'le""}, {""event_type"": ""death"", ""play"": """", ""venue"": """", ""date"": ""1883-06-02"", ""description"": ""Died of pneumonia (or possibly poisoned)""}]"	פֿאָרט ז. ווידער קיין קאָנסטאַנטינאָפּאָל, וואו ער האָט חתונה מיט זיין צווייטער פרוי ... דעם 2 יוני 1883 איז ז. געשטאָרבן אין קאָנסטאַנטינאָפּאָל
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	1	ווילנע	settlement			born	1899-08-15		explicit	1899	1899	False	settlement	Q216	Vilnius	54.687222	25.28	[]	געבוירן 15 אויגוסט 1899 אין ווילנע
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	2	ווילנע	settlement	רוסישע פֿאָלקס-שול	student	stay			none	1899	1918	True	settlement	Q216	Vilnius	54.687222	25.28	[]	געענדיקט אַ רוסישע פֿאָלקס-שול אין ווילנע
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	4	יעקאַטערינאָסלאָוו	settlement	טרופּע פֿון בראַנדעסקאָ און בראַסלאַווסקי	כאָריסטקע	stay	1918		explicit	1918	1918	False	settlement	Q48256	Dnipro	48.4675	35.04	"[{""event_type"": ""other"", ""play"": """", ""venue"": """", ""date"": ""1918"", ""description"": ""joined the troupe as a chorister""}]"	אין 1918 טרעט זי אַריין אַלס כאָריסטקע אין דער טרופּע פֿון בראַנדעסקאָ און בראַסלאַווסקי
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	5	קרים	region			pass_through			none	1918	1922	True	settlement	Q7835	Crimea	45.0	34.0	[]	פֿון דאָרט פֿאָרט זי איבער קרים
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	6	קאָנסטאַנטינאָפּאָל	settlement			stay			none	1918	1922	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""marriage"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""married actor Peter Amatin""}]"	קיין קאָנסטאַנטינאָפּאָל, וואו זיי האָט חתונה מיטן אַקטיאָר פּעטער אַמאַטיין
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	7	ווין	settlement		אַקטיאָר	stay	1922		explicit	1922	1922	False	settlement	Q1741	Vienna	48.208333	16.3725	"[{""event_type"": ""other"", ""play"": """", ""venue"": """", ""date"": ""1922"", ""description"": ""began playing roles in her husband's troupe""}]"	אין 1922, ווען זיי פֿאָרן קיין ווין, אָרגאַניזירט איר מאַן אַ טרופּע אין וועלכער זיי הייבט אָן שפּילן ראָלן
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	8	פּראָווינץ פֿון רומעניע	region			tour			none	1922	1927	True	unresolved					[]	דורכמאַכנדיק אייניקע טורנייען איבער דער פּראָווינץ פֿון רומעניע
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	9	טשערנאָוויץ	settlement	מ. רייש		stay	1927		explicit	1927	1927	False	settlement	Q157725	Chernivtsi	48.290833	25.934444	[]	אין 1927 אָנגאַזשירט צו מ. רייש אין טשערנאָוויץ
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	10	בוקאַרעשט	settlement	איציקל גאָלדענבורג		stay			none	1927	1927	True	settlement	Q19660	Bucharest	44.413361	26.097778	[]	פֿון דאָרט צו איציקל גאָלדענבורג אין בוקאַרעשט
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	11	רומעניע	country	אַנדערע טרופּעס		stay			none	1927	1927	True	region	רומעניע	Romania	45.94	24.97	[]	דערנאָך אין אַנדערע טרופּעס אין רומעניע
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	12	אַנדערע יידישע ישובים	unknown			stay			none	1927	1927	True	unresolved					[]	שפּעטער אין אַנדערע יידישע ישובים
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	entry	13	unknown	unknown			death			none	1927	1927	True	unresolved					"[{""event_type"": ""death"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""killed by the Nazis""}]"	אומגעבראַכט געוואָרן דורך די נאַציס
P-5-facs_568_r_2	אַמאַטין, סאָניאַ	די עלטערן	3	יעקאַטערינאָסלאָוו	settlement			settled			none			True	settlement	Q48256	Dnipro	48.4675	35.04	[]	פֿון וואַנען די עלטערן טראָגן זיך איבער קיין יעקאַטערינאָסלאָוו
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	1	קאָנסטאַנטינאָפּאָל	settlement			stay			none	1914	1914	True	settlement	Q406	Istanbul	41.01	28.960278	[]	די געשיכטע פֿון יידיש טעאַטער אין קאָנסטאַנטינאָפּאָל, טערקיי, ווו ער האָט געלעבט.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	4	רומעניע	country			emigration			none	1914	1914	True	region	רומעניע	Romania	45.94	24.97	[]	ק. פֿאָרט אָפּ קיין רומעניע, ווו ער פֿאַרהאָלט זיך 4 יאָר
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	5	קאָנסטאַנטינאָפּאָל	settlement		בוכהאַלטער	return			none	1914	1914	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""marriage"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""Married a daughter of a Russian Jew.""}, {""event_type"": ""performance"", ""play"": ""די באָבע מיטן אייניקל"", ""venue"": """", ""date"": """", ""description"": ""Charity performance with his wife.""}, {""event_type"": ""performance"", ""play"": ""די קאַפּריזנע טאָכטער"", ""venue"": ""קאַנקאָרדיאָ"", ""date"": """", ""description"": ""Directed and performed in several plays.""}]"	ווערט צוריקגערופֿן קיין קאָנסטאַנטינאָפּאָל פֿון זיין פעטער ביי וועמען ער ווערט אַ בוכהאַלטער
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	7	קאָנסטאַנטינאָפּאָל	settlement		director	stay			none	1914	1914	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""דער יידישער פּריץ"", ""venue"": """", ""date"": """", ""description"": ""Performed with amateurs and Roza Friedman for 8 months.""}]"	קערט זיך אָבער צוריק צו די פֿאַרשטעלונגען מיט די ליבהאָבער
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	8	קאָנסטאַנטינאָפּאָל	settlement	טרופּע פֿון אהרן ראָזענבלום	שותף צו דער דירעקציע	stay			none	1914	1914	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""season"", ""play"": """", ""venue"": """", ""date"": """", ""description"": ""Partner in management for 3 months.""}]"	קומט פֿון רומעניע אַהרן ראָזענבלום... ק. ווערט אַ שותף צו דער דירעקציע.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	10	קאָנסטאַנטינאָפּאָל	settlement	ראָזענבלום-זילבערט טרופּע	אַדמיניסטראַטאָר	stay			none	1914	1914	True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""עקדת יצחק"", ""venue"": """", ""date"": """", ""description"": ""Administrator for a combined troupe for 3 months.""}]"	ווידער קומט ראָזענבלום מיט זיין טרופּע... ק. איז געווען דער אַדמיניסטראַטאָר
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	11	רומעניע	country	איטאָליענישער ליליפּוטן אָפּערע טרופּע	manager	tour			none	1914	1914	True	region	רומעניע	Romania	45.94	24.97	[]	ק. גענומען אַרומפֿאָרן מיט אַן איטאָליענישער ליליפּוטן אָפּערע טרופּע מיט וועלכער קומט איך אין רומעניע.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	12	קאָנסטאַנטינאָפּאָל	settlement		director	return	1914		approximate	1914	1914	False	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""אַ שטריק אויפֿן האָלדז"", ""venue"": """", ""date"": """", ""description"": ""Staged a play with amateurs.""}, {""event_type"": ""performance"", ""play"": ""מירעלע אפרת"", ""venue"": """", ""date"": ""1914"", ""description"": ""Leopold Kanner's troupe performs Gordin.""}]"	צוריקגעקומען אין קאָנסטאַנטינאָפּאָל... אין 1914 קומט לעאַפּאָלד קאַנער
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	13	ווין	settlement		impresario	visit			none	1914	1914	True	settlement	Q1741	Vienna	48.208333	16.3725	[]	ק. ברענגט פון ווין אָפּערען-טרופן.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	entry	14	פּראָווידענס	settlement			settled			none	1914	1914	True	settlement	Q18383	Providence	41.82399	-71.41283	[]	ער וואַנדער אויס קיין אַמעריקע ווו ער האָט זיך באָזעצט אין פּראָווידענס.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	פּראָפעסאָר הורוויץ	2	קאָנסטאַנטינאָפּאָל	settlement	קליינער גרופּע ליבהאָבער	director	tour			none			True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""דאָן יצחק אַבאַרבאַנעל"", ""venue"": ""קאָפע-הויז"", ""date"": """", ""description"": ""Performed in a coffee house in the Galata district when Kornfeld was 10.""}]"	ווען ער איז געווען 10 יאָר אַלט, איז קיין קאָנסטאַנטינאָפּאָל געקומען פּראָפעסאָר הורוויץ און געשפּילט מיט אַ קליינער גרופּע ליבהאָבער אין דער גאָלאַטאָגעגנט
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	קלמן יאָליווער	3	קאָנסטאַנטינאָפּאָל	settlement	טרופּע פֿון בערך 12 פּערזאָן	director	tour			none			True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""performance"", ""play"": ""בר כוכבא"", ""venue"": """", ""date"": """", ""description"": ""Performed Goldfaden and Shaikewitz plays; Kornfeld was an extra.""}]"	ווען ק. איז אַלט גווען 15 יאָר, איז געקומען אין קאָנסטאַנטינאָפּאָל קלמן יאָליווער מיט אַ טרופּע... ק. איז דאָרט געווען בלויז אַ סטאָטיסט.
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	געליס	6	קאָנסטאַנטינאָפּאָל	settlement	יידישע טרופּע	director	tour			none			True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""season"", ""play"": ""מישקע און מאָשקע"", ""venue"": """", ""date"": """", ""description"": ""Played for one month.""}]"	דאָ קומט פֿון פאַריז אַ יידישע טרופּע אונטער דער אָנפֿירונג פֿון געליס
P-7-facs_81_r_7	קאָרנפעלד, לעאָן	סאָלאָמאָן קרויזע	9	קאָנסטאַנטינאָפּאָל	settlement	טרופּע פֿון 30 פּערזאָן	director	tour			none			True	settlement	Q406	Istanbul	41.01	28.960278	"[{""event_type"": ""season"", ""play"": ""גאָרדינס פּיעסן"", ""venue"": """", ""date"": """", ""description"": ""Played operettas and Gordin plays for 3 months.""}]"	קומט אַן סאָלאָמאָן קרויזע מיט אַ טרופּע פֿון 30 פּערזאָן
P-1-facs_110_r	בן-ציון, בענעדיקט דר.	entry	1	האַרנאַסטאָיפּאָליע, קיעוו. גוב., אוקראַאינע	settlement			born	1839		explicit	1839	1839	False	settlement	Q4143502	Hornostaipil	51.05	30.15	[]	געב. 1839 אין האַרנאַסטאָיפּאָליע, קיעוו. גוב., אוקראַאינע.
P-1-facs_110_r	בן-ציון, בענעדיקט דר.	entry	2	רומעניע	country			stay			none	1839	1863	True	region	רומעניע	Romania	45.94	24.97	[]	פֿאָרבראָכט אייניקע יאָר אין רומעניע
