rid,label_yi,label_en,qid,lat,lon,occurrences,fields
R54,וואַרש. קרייז,,,,,2,province
R55,וואָרליסט,,,,,2,settlements
R56,וואלדהיים,,,,,2,province;settlements
R57,וויניצער געגנט,,,,,2,province
R58,וויען-ברין,,,,,2,settlements
R59,וועלדל רומבולע,,,,,2,place;province
R60,ווענסרוסלאַנד,,,,,2,country
R61,זשאָלקיעוו,Zhovkva,Q205620,,,2,settlements
R62,טויטן לאַגער,,,,,2,place
R63,טעאַטער נועוואָ,,,,,2,place;venues
R64,טראַנסילוואַניע,,,,,2,province
R65,טרעבלינקאַ,,,,,2,place
R66,טשעכאָסלאָוואַקיע,,,,,2,countries;venues
R67,יאָהאָניסבורג,,,,,2,settlements
R68,יידישן שפּיטאָל,,,,,2,place;venues
R69,כאַרבין,,,,,2,settlements
R70,כארבין,,,,,2,settlements
R71,לאַגער אולינורמען,,,,,2,place;venues
R72,לאַנג איילאַנד,,,,,2,province
R73,לאָנג איילאַנד,,,,,2,province
R74,מאָלדאָוויע,,,,,2,province;settlements
R75,מעהרען,,,,,2,place;province
R76,משוגעים-הויז,,,,,2,place
R77,נעזשניווקע,,,,,2,place;settlements
R78,סאָוועט-רוסלאַנד,,,,,2,countries
R79,סטעטען איילאַנד,,,,,2,province
R80,פ. ס. ס. ר.,,,,,2,countries
R81,פּאָניאַטאָוו,Poniatowa,Q1132344,,,2,settlements
R82,פּאָרין,,,,,2,settlements
R83,פּויליש-רוסלאַנד,,,,,2,country;province
R84,פּיאַטריקאָוו,Piotrków Trybunalski,Q204130,,,2,settlements
R85,פּיעטראָקאָוו,,,,,2,settlements
R86,פיטסבורג,,,,,2,settlements
R87,קאַווקאַז,,,,,2,settlements;venues
R88,קאָוונער ליטע,,,,,2,province;venues
R89,קאָנצענטראַציע-לאַגער,,,,,2,place
R90,קעלצער קרייז,,,,,2,province
R91,ראַטן-רוסלאַנד,,,,,2,countries;venues
R92,ראַקאָוו,,,,,2,settlements
R93,ראָטנפֿאַרבאַנד,,,,,2,countries
R94,ראָמען,,,,,2,settlements
R95,רומפֿולער וואַלד,,,,,2,place;province
R96,פֿאַרייניקטע שטאָטן,,,,,2,countries
R97,րաճօմ,,,,,1,settlements
R98,քւյՠհ,,,,,1,countries
R99,אַוועזשאַנעדער,,,,,1,settlements
R100,אַלעסקאָ,,,,,1,settlements
R101,אַמעריקאַ,,,,,1,countries
R102,אַן אומבאַוואוסטן פלאַץ,,,,,1,place
R103,אַן אומבאַקאַנטן פלאַץ,,,,,1,place
R104,אַנדיזשאַן,,,,,1,settlements
R105,אַנהאָלט,,,,,1,province
R106,אַסי,,,,,1,settlements
R107,אַסיטניאָשקע,,,,,1,place
R108,אַסיניאָשקי,,,,,1,place
R109,אַסכאַבאַד,,,,,1,settlements
R110,אַרבעטסלאַגער ה. ק. פּ.,,,,,1,place
R111,אַרגענטיינע,,,,,1,countries
R112,אָדעסער קאַטאַקאָמבעס,,,,,1,place
R113,אָהאיאָ,,,,,1,settlements
R114,אָטאַקיי,,,,,1,settlements
R115,אָטען,,,,,1,settlements
R116,אָלעקסאָנדדיער קרייז,,,,,1,province
R117,אָלעקסאָנדראָוו,,,,,1,settlements
R118,אָנטאַריע,,,,,1,province
R119,אויף אַ ישוב לעבן ווילנע,,,,,1,place
R120,אויף אַ שייף,,,,,1,place
R121,אויף אַ שיף קיין דרום אַמעריקע,,,,,1,place
R122,אויף דער אַרישער זייט,,,,,1,place
R123,אויף דער רוסיש-עסטרייכישער גרענעץ,,,,,1,province
R124,אויפֿן וועג אַ היים,,,,,1,place
R125,אויפֿן וועג קיין דאַנציג,,,,,1,place
R126,אויפֿן וועג פֿון מינעאָפּאָלס קיין דענווער,,,,,1,place
R127,אומבאַקאַנטן פלאַץ,,,,,1,place
R128,אונגערן,,,,,1,countries
R129,אונטער נויטרויער קאָמיטאט,,,,,1,province
R130,אוקר.,,,,,1,province
R131,אוקראַאנא,,,,,1,countries
R132,אוקראייניש דערל קאָוואָליי,,,,,1,place
R133,איינער פֿון די יידישע געטאָס,,,,,1,place
R134,איכנאָוו,,,,,1,place
R135,אין אַ געטאָ,,,,,1,place
R136,אין אַ קעלער אויף סמאָטשע 1,,,,,1,place
R137,אין איינע פֿון די געטאָס,,,,,1,place
R138,אין די ווייסרוסישע וועלדער,,,,,1,place
R139,אין וואַגאָן,,,,,1,place
R140,אין שטוב,,,,,1,place
R141,אינזל סאָן-פֿראַנציסקאָ,,,,,1,place
R142,איעווער גוב.,,,,,1,province
R143,אלטשעווסק,,,,,1,settlements
R144,ב'א,,,,,1,settlements
R145,ב'אַ,,,,,1,settlements
R146,בּעסאַראַבּיע,,,,,1,province
R147,באַמבערג,,,,,1,settlements
R148,באַקוו,,,,,1,settlements
R149,באַקוויער דיסטריקט,,,,,1,province
R150,באַקי,,,,,1,settlements
R151,באַרקאָוו,,,,,1,settlements
R152,באָלטע,,,,,1,settlements
R153,באָסלעוו,,,,,1,settlements
R154,באָסקאָוויץ,,,,,1,settlements
R155,באָראַ פּאַרק,,,,,1,settlements
R156,באָראָ-פּאַרק,,,,,1,settlements
R157,באאליטק,,,,,1,place
R158,באנימאָלאָוואָווז,,,,,1,place
R159,באקאו,,,,,1,settlements
R160,בוכענוואָלד,,,,,1,place
R161,בוענאָס אַרעס,,,,,1,settlements
R162,בוענאָס-אַרעס,,,,,1,settlements
R163,בוענאָס-איידעס,,,,,1,settlements
R164,בוקאַווינע,,,,,1,province
R165,ביאַליסטאָקער געגנט,,,,,1,province
R166,ביז לעמבערג,,,,,1,province
R167,ביעלאַצערקאָוו,Bila Tserkva,Q33529,,,1,settlements
R168,ביעלאָ צערקאָוו,,,,,1,settlements
R169,ביראָ בידזשאַנער,,,,,1,settlements
R170,"בית ישראל"" האָספּיטאָל",,,,,1,place
R171,בית עלמין,,,,,1,place
R172,בעיאָן,,,,,1,settlements
R173,בעל[זשיץ,,,,,1,place
R174,בען,,,,,1,place
R175,בעסאַראַציע,,,,,1,province
R176,בעסאַראביער גוב.,,,,,1,province
R177,בעסאַרביע,,,,,1,province
R178,בעסאָיאָביע,,,,,1,province
R179,בעסאָראַביע,,,,,1,province
R180,בערעזאָווקע,,,,,1,settlements
R181,בערעזיין,,,,,1,settlements
R182,בערעזין,,,,,1,settlements
R183,בראַזיליע,,,,,1,countries
R184,בראַנוויל,,,,,1,settlements
R185,בראַנווילער,,,,,1,settlements
R186,בראַנסקער,Bronx,Q18426,,,1,settlements
R187,"בראַנקס, ניו-יאָרק",,,,,1,settlements
R188,בראָדער שפּיטאָל,,,,,1,place
R189,בראָזיליע,,,,,1,countries
R190,בראָנסקער,Bronx,Q18426,,,1,settlements
R191,"בראָנקס, ניו-יאָרק",,,,,1,settlements
R192,בראָסלעווער קרייז,,,,,1,province
R193,בראנסק,,,,,1,settlements
R194,ברוקליינער,,,,,1,settlements
R195,בריקלין,,,,,1,settlements
R196,ברעסלע,,,,,1,settlements
R197,בראָנקס,Bronx,Q18426,,,1,settlements
R198,גאַז-קאַמערן,,,,,1,place
R199,גאַליצוער,,,,,1,province
R200,גאַליציש-פּאָדאָליע,,,,,1,province
R201,גאָיציע,,,,,1,province
R202,גאָליליציע,,,,,1,province
R203,גאלאטי,,,,,1,settlements
R204,גדאַנסק,,,,,1,settlements
R205,גוט אַלכאָוואַ,,,,,1,place
R206,געוו. אונגאָרן,,,,,1,country
R207,געטאָ-וואַרשע,,,,,1,settlements
R208,געניטשעסק,,,,,1,settlements
R209,גענשער בית עלמין,,,,,1,place
R210,גראַד. גוב.,,,,,1,province
R211,גראָבין,,,,,1,settlements
R212,גראָדנער קרייז,,,,,1,province
R213,גראָזני,,,,,1,settlements
R214,דאָרט,,,,,1,place
R215,דואַרטי סאַנאַטאָריום,,,,,1,place
R216,דוווינסק,,,,,1,settlements
R217,דווקאַר,,,,,1,place
R218,דויטשלאַנד,,,,,1,countries
R219,דונסקאַ-וואָליאַ,,,,,1,place
R220,די פאַרייניקטע שטאַטן,,,,,1,countries
R221,דייטשאַנד,,,,,1,country
R222,דייטשישן קאַנצענטראַציע לאַגער,,,,,1,place
R223,דייטשישע טויט-לאַגערס,,,,,1,place
R224,דייטשן האָספּיטאָל,,,,,1,place
R225,דייטשן לאַגער דואַטמערגען,,,,,1,place
R226,דינאַבורג (דווינסק),,,,,1,settlements
R227,דיניוויץ,,,,,1,place
R228,דליטע,,,,,1,country
R229,דניעפּר-אינזל,,,,,1,province
R230,דניעפּראָפּעטראָווסק,,,,,1,settlements
R231,דעפאָרטאציע,,,,,1,place
R232,דער אָפּטיילונג פֿון דער סטריער סאָסייעט,,,,,1,province
R233,דער דאָרטיקער געטאָ,,,,,1,place
R234,דער וואַרשעווער געטאָ,,,,,1,place
R235,דערפל זאַאיטשע,,,,,1,place
R236,דרעזען,,,,,1,settlements
R237,האַדלעם,,,,,1,settlements
R238,האַרטעם,,,,,1,settlements
R239,האַרלעמער,,,,,1,settlements
R240,האָבלעם,,,,,1,settlements
R241,האָמלער געגנט,,,,,1,province
R242,האָראָדענקאָ,,,,,1,settlements
R243,האמלער גוב.,,,,,1,province
R244,היידעלבערג,,,,,1,settlements
R245,היים-שטאָט,,,,,1,place
R246,הינטער,,,,,1,province
R247,הינטערן פלויט,,,,,1,place
R248,הינטערשטע ליניעם פֿון פֿראָנט,,,,,1,place
R249,הר לבנון,,,,,1,place
R250,"הר-ציון, ראדאָמער סעקציע",,,,,1,place
R251,וואַלין,,,,,1,province
R252,וואַסער-קלאָזעט,,,,,1,place
R253,וואַרשאָו,,,,,1,settlements
R254,וואַרשעווער פּאַוויאַק,,,,,1,place
R255,וואַרשעווער פֿאַרשטאָט,,,,,1,province
R256,וואַשילישאָק,,,,,1,settlements
R257,"וואַשינגטאָן, ד. ק.",,,,,1,settlements
R258,וואָלבזשיך,,,,,1,settlements
R259,וואָליר גוב.,,,,,1,province
R260,וואָלסק,,,,,1,settlements
R261,וואָסלויאי,,,,,1,settlements
R262,וואָרששע,,,,,1,settlements
R263,וואודלאָן-כית-עולם,,,,,1,place
R264,וווין-בריין,,,,,1,settlements
R265,וויגאַנקאָ,,,,,1,place
R266,וויטעבק,,,,,1,settlements
R267,ווייטעבּסק,,,,,1,settlements
R268,ווייטעבסק,,,,,1,settlements
R269,ווייטערסק,,,,,1,settlements
R270,ווייטשעפּעל,,,,,1,settlements
R271,ווייסרוסישן,,,,,1,country
R272,ווייסרוסלאַנד און אוקראַאינע,,,,,1,country
R273,ווילנע-וואַרשע,,,,,1,settlements
R274,וויסקאָנסין,,,,,1,province
R275,וולאָדאַווע,,,,,1,settlements
R276,וולאָצלאַווקער,,,,,1,settlements
R277,וולאָצלאַווקער געגנט,,,,,1,province
R278,וועליש,,,,,1,settlements
R279,וועסרוסלאַנד,,,,,1,country
R280,וועראַ,,,,,1,place
R281,זאַגער,,,,,1,settlements
R282,זיין פֿאָרם,,,,,1,place
R283,זינאָוויאָווסק,,,,,1,settlements
R284,זלאַטאָפּאָל,,,,,1,settlements
R285,זלאטאָפּאָליע,,,,,1,settlements
R286,זשאַלודאָק,,,,,1,settlements
R287,זשיטאָמ. גוב.,,,,,1,province
R288,זשיטאָמירער גוב.,,,,,1,province
R289,זשיטאָמירער געגענט,,,,,1,province
R290,זשמערינקער געטאָ,,,,,1,place
R291,זשעזשאַני,,,,,1,place
R292,טאַווריטשעסקער גוּבּ,,,,,1,province
R293,טאַווריטשער גוב.,,,,,1,province
R294,טאַוורישער גוב.,,,,,1,province
R295,טאַמבאָווער גוב.,,,,,1,province
R296,טאָווריטש. גוב.,,,,,1,province
R297,טאָראַָטאָ,,,,,1,settlements
R298,טאָרנער געגנט,,,,,1,province
R299,טאוואָרעק,,,,,1,settlements
R300,טאמבאָווער גוב.,,,,,1,province
R301,טווערער גובערניע,,,,,1,place
R302,טוקום,,,,,1,settlements
R303,טורקעמניע,,,,,1,province
R304,טעקסאַס,,,,,1,province
R305,טראַנסניסטריאַ,,,,,1,place
R306,טראָי,,,,,1,settlements
R307,טריער,,,,,1,settlements
R308,טרעבלינקאָ,,,,,1,place
R309,טשולי,,,,,1,countries
R310,טשילי,,,,,1,countries
R311,טשעטשעלניק,,,,,1,settlements
R312,טשעלונקינסקאָיע,,,,,1,place
R313,טשעראָוויץ,,,,,1,settlements
R314,טשערנאָוויצער יידישן שפּיטאָל,,,,,1,place
R315,טשערפּאַנאָוו,,,,,1,settlements
R316,טשערקאָס,,,,,1,settlements
R317,טשקאַלאָוו,,,,,1,place
R318,יאַנאָווער וואַלד,,,,,1,place
R319,יאַסי-פּאָדאָלאָי,,,,,1,place
R320,יאָהאַניסבורג,,,,,1,settlements
R321,יאָראָסלאָוול,,,,,1,settlements
R322,יאָרוגע,,,,,1,place
R323,יאָשליקאָוו,,,,,1,place
R324,יוזעפקא,,,,,1,settlements
R325,יוזעפקאַ,,,,,1,settlements
R326,יוניאָן פֿילד,,,,,1,place
R327,יוניפעלד סעמעטער,,,,,1,place
R328,יידישער קאָלאָניע,,,,,1,place
R329,ים,,,,,1,place
R330,ינחלת נאָשעלסק,,,,,1,settlements
R331,יעליסאַ וועטגראַד,,,,,1,settlements
R332,יעקאַטערינאסלאַווער גוב.,,,,,1,province
R333,יעקאַטערינבורג,,,,,1,settlements
R334,יעקאָטעדינאָסלאָוו,,,,,1,settlements
R335,ירושלים ד'ליטע,,,,,1,province
R336,ירושלים ליטע,,,,,1,province
R337,כודאָפּעסט,,,,,1,settlements
R338,כוואַליעס פון באַלטישן ים,,,,,1,place
R339,כוקאָרעסט,,,,,1,settlements
R340,כמעלניק,,,,,1,settlements
R341,כערגען-כעלזען,,,,,1,settlements
R342,לאַגעדע,,,,,1,place
R343,לאַגער קיוויאָלי,,,,,1,place
R344,לאַגערן פֿון פעלדאַנפונג. מינכען. שטוטגאַרט,,,,,1,settlements
R345,לאַנגאיילאַנד,,,,,1,province
R346,לאָוויטש,,,,,1,settlements
R347,לאָזאַן,,,,,1,settlements
R348,לאָזשער גוב.,,,,,1,province
R349,לאָמזער גובערניע,,,,,1,province
R350,לאָס אַנדזשעלאַס,,,,,1,settlements
R351,לאָס-אַנדזשעלאָס,,,,,1,settlements
R352,לאָסאַנדזשעלעס,,,,,1,settlements
R353,לאָקשייווקע,,,,,1,place
R354,לאנג איילאַנד,,,,,1,province
R355,לובליז,,,,,1,settlements
R356,לוזיטאַניאַ,,,,,1,place
R357,לוכלינער גוב.,,,,,1,province
R358,לוקישקער תפיסה,,,,,1,place
R359,ליד,,,,,1,settlements
R360,ליובייטש,,,,,1,place
R361,ליווזנע,,,,,1,place
R362,ליטוויש,,,,,1,country
R363,ליניערס,,,,,1,place
R364,לינץ (עסטרייך),,,,,1,settlements
R365,ליפּנע,,,,,1,settlements
R366,ליפּקאָן,,,,,1,settlements
R367,ליפלאַנד,,,,,1,province
R368,ליפקאַן,,,,,1,settlements
R369,לישטין,,,,,1,place
R370,לעבן רימינאָוו,,,,,1,province
R371,לעטיטשעוו,,,,,1,settlements
R372,לעמיש,,,,,1,settlements
R373,לענינגראַדער געגנט,,,,,1,province
R374,מאַהיל. גוב.,,,,,1,province
R375,מאַהילעווער גוב.,,,,,1,province
R376,מאַנהיימער,,,,,1,settlements
R377,מאַנטרעאָל,,,,,1,settlements
R378,מאַסן-גריבער וועלדל רומבולע,,,,,1,place
R379,מאַסן-קבר,,,,,1,place
R380,"מאַסן-קבר פֿון די אומגעבראַכטע 30,000 ריגער יידן",,,,,1,place
R381,מאַסן-קבר פֿון סאָוויעטישע קעמפער,,,,,1,place
R382,מאַרמאַראָש סיגעט,,,,,1,settlements
R383,מאָהילנע,,,,,1,settlements
R384,מאָהילעווער קרייז,,,,,1,province
R385,מאָלדאַוויע,,,,,1,province
R386,מאָלטש,,,,,1,settlements
R387,מאָנהעטן,,,,,1,settlements
R388,מאָנטיווידאַ,,,,,1,settlements
R389,מאָנטרעאל,,,,,1,settlements
R390,מאָרמאַראָש סינעט,,,,,1,settlements
R391,מאונט היברו,,,,,1,place
R392,מאונט זייאָן,,,,,1,place
R393,מוראוויאָוו,,,,,1,settlements
R394,מזרח און מערב-אייראָפּע,,,,,1,settlements
R395,מזרח גאַליציע,,,,,1,country
R396,מזרח-גאַליצישע קאַרפּאַטן,,,,,1,province
R397,מזרח-גאָליציע,,,,,1,province
R398,מזרח-גאליציע,,,,,1,province
R399,מזרח-פּרייסן,,,,,1,province
R400,מזרחאַליציע,,,,,1,province
R401,מיאַמיביעטש,,,,,1,settlements
R402,מיאָמער,,,,,1,settlements
R403,מיטל-אַזיע,,,,,1,province
R404,מייאַ קליניק,,,,,1,place
R405,מימי,,,,,1,settlements
R406,מימי ביטש,,,,,1,settlements
R407,מינסק-מאַזאָוויעצק,,,,,1,province
R408,מינסקער גוּבּ,,,,,1,province
R409,מינעאָפּאָליס,,,,,1,settlements
R410,מינעאפּאָליס,,,,,1,settlements
R411,מיעדזשעשין,,,,,1,settlements
R412,מישיגען,,,,,1,province
R413,מלאווע,Mława,Q572394,,,1,settlements
R414,מעדיסאָן,,,,,1,settlements
R415,מעסעטשוסעטש,,,,,1,settlements
R416,מערב-אויסטראָליע,,,,,1,province
R417,מערב-פּרייסן,,,,,1,province
R418,מערבאַליציע,,,,,1,province
R419,נ. י,,,,,1,settlements
R420,נאַנסי,,,,,1,settlements
R421,נאַרוואַ,,,,,1,settlements
R422,נאָדינאָ,,,,,1,settlements
R423,נאָוו,,,,,1,province
R424,נאָוואָסיבירסק,,,,,1,settlements
R425,נאָוואָסעלץ,,,,,1,settlements
R426,נאָווגאָראָד,,,,,1,settlements
R427,נאָנסי,,,,,1,settlements
R428,ני-יאָרק,,,,,1,settlements
R429,ניאָרק,,,,,1,settlements
R430,נידערשלעזיע,,,,,1,settlements
R431,ניו אַרקער,,,,,1,settlements
R432,ניו דזשוירסי,,,,,1,settlements
R433,ניו-אַרלאַנס,,,,,1,settlements
R434,ניופּאָרט,,,,,1,settlements
R435,ניחומץ,,,,,1,place
R436,נייטס אָוו פּיטהיאָס,,,,,1,place
R437,נראָדנער גוב.,,,,,1,province
R438,סאַראַט,,,,,1,province
R439,סאָוויעטןפֿאַרבאַנד,,,,,1,settlements
R440,סאָוועט רוסלאַנד,,,,,1,countries
R441,סאָוט פֿאָלסבערג,,,,,1,settlements
R442,סאָליוואן קאונטי,,,,,1,province
R443,סאָלעטשניק,,,,,1,settlements
R444,סאָלק לייק סיטי,,,,,1,settlements
R445,סאָמאָראָ,,,,,1,settlements
R446,סאָסאָוו,,,,,1,settlements
R447,סאָפיע,,,,,1,settlements
R448,סאָקאָלאָוו,,,,,1,settlements
R449,סאוט העיווען,,,,,1,settlements
R450,סואַוואָלק,,,,,1,settlements
R451,סובאַלקער געגנט,,,,,1,province
R452,סובאלקער גוב,,,,,1,province
R453,סובאלקער קרייז,,,,,1,province
R454,סווואָלק,,,,,1,settlements
R455,סווערדלאָווסק,,,,,1,settlements
R456,סוילן,,,,,1,country
R457,"סט. אָלבענס, לאָנג איילאַנד",,,,,1,province
R458,סט. לואיז,,,,,1,settlements
R459,סטאַפּניצער,,,,,1,settlements
R460,סטאַראָ ביכל,,,,,1,place
R461,סטייט וויסקאַנסען,,,,,1,place
R462,סטעטן איילאַנד,,,,,1,province
R463,סטראַסאָלי,,,,,1,place
R464,סיגייט,,,,,1,settlements
R465,סידעלקאָוו,,,,,1,place
R466,סיריע,,,,,1,settlements
R467,סלאָבאָדקע,,,,,1,settlements
R468,סלאָנימער געטאָ,,,,,1,place
R469,סמאָלענסק,,,,,1,settlements
R470,ספּרינגפעלד,,,,,1,settlements
R471,סצבעזש,,,,,1,settlements
R472,סקאַדוויל,,,,,1,settlements
R473,סקאָמאַראַק,,,,,1,place
R474,עוואַקוואַציע,,,,,1,place
R475,ענטראָ כיאָס,,,,,1,province
R476,עניפּטן,,,,,1,countries
R477,עסטערגאָם,,,,,1,settlements
R478,עקראָן,,,,,1,settlements
R479,ערגעץ אין פעלד,,,,,1,place
R480,ערגעץ וואו,,,,,1,place
R481,ערגעץ וואו אויף די וועגן,,,,,1,place
R482,פּאַגעוועזש,,,,,1,settlements
R483,פּאַלס ספּרינג,,,,,1,settlements
R484,פּאָד.,,,,,1,province
R485,פּאָדאָל. גובּ.,,,,,1,province
R486,פּאָדהייצע,,,,,1,settlements
R487,פּאָוויאָט קאָלוש,,,,,1,province
R488,פּאָלט. גוב.,,,,,1,province
R489,פּאָלן,,,,,1,countries
R490,פּאָלן גוב.,,,,,1,province
R491,פּאָלעסיע,,,,,1,province
R492,פּאלטאַווער גוב.,,,,,1,province
R493,פּוולן,,,,,1,country
R494,פּויזן,,,,,1,settlements
R495,פּוילישן,,,,,1,country
R496,"פּט""ב",,,,,1,settlements
R497,פּיילן,,,,,1,country
R498,פּיעטריק. גוב.,,,,,1,province
R499,פּיער לאַשעיז,,,,,1,place
R500,פּלאָצקער קרייז,,,,,1,province
R501,פּסקאָוו,,,,,1,settlements
R502,פּסקאָווער געגנט,,,,,1,province
R503,פּעטראָגדאָד,,,,,1,settlements
R504,פּעטריקאָווער גוב.,,,,,1,province
R505,פּענזע,,,,,1,settlements
R506,פּענסילווייניע,,,,,1,province
R507,פּענסילוועניא,,,,,1,province
R508,פּערט,,,,,1,settlements
R509,פּעריעסלאָוו,,,,,1,settlements
R510,פּערם,,,,,1,settlements
R511,פּראַגע,,,,,1,settlements
R512,פּראָסקוראָוו,,,,,1,settlements
R513,פּריזשאָני,,,,,1,place
R514,פּרייסן,,,,,1,province
R515,פּרעסבורג (בראָטיסלאָוואַ),,,,,1,settlements
R516,פּרעסבורגער קאָמיטאַט,,,,,1,province
R517,פֿירט,,,,,1,settlements
R518,פֿראַנקרעך,,,,,1,countries
R519,פאַד. גוב.,,,,,1,province
R520,פאַנטשע,,,,,1,settlements
R521,פאָמאָרען,,,,,1,province
R522,פולאדעלפיע,,,,,1,settlements
R523,פילאדלפיע,,,,,1,settlements
R524,פלאָרידאָ,,,,,1,province
R525,פלעטבוש,,,,,1,settlements
R526,פלעינפילד,,,,,1,settlements
R527,פלעשטשעניץ,,,,,1,place
R528,פראַנצויזישן,,,,,1,country
R529,פרונזאַ,,,,,1,settlements
R530,פת,,,,,1,settlements
R531,צאַרישע רוסלאַנד,,,,,1,place
R532,צווישן יאָס און פּאָדאָלאָי,,,,,1,place
R533,צויזמער,,,,,1,settlements
R534,ציפּרעס-הילס עביי,,,,,1,place
R535,צענטראַלן פֿרידהאָף,,,,,1,place
R536,קאַליינע,,,,,1,place
R537,קאַנאַטאָפּ,,,,,1,settlements
R538,קאַנצלאַגער קלאַאַגע,,,,,1,place
R539,קאַרסען,,,,,1,settlements
R540,קאַרפּאַטן-רוס,,,,,1,province
R541,קאַרפּאָטרוסישן,,,,,1,province
R542,קאָוונ. געננט,,,,,1,province
R543,קאָוונער נעננט,,,,,1,province
R544,קאָינז-וויעלקי,,,,,1,place
R545,קאָכאָווקע,,,,,1,settlements
R546,קאָלאָמעע,,,,,1,settlements
R547,קאָלישער גוב.,,,,,1,province
R548,קאָלנע,,,,,1,settlements
R549,קאָלעראָדאָ,,,,,1,province
R550,קאָמטשאַטקאַ,,,,,1,settlements
R551,קאָמיטאָט מאַרמאַראָש,,,,,1,province
R552,קאָמעניעץ,,,,,1,settlements
R553,קאָנאַטאָפּ,,,,,1,settlements
R554,קאָנסטאַנטינאָווקע,,,,,1,settlements
R555,קאָנעדיקוט,,,,,1,province
R556,קאָנצענטראַציע לאַגער,,,,,1,place
R557,קאָקאַנד,,,,,1,settlements
R558,קאָקאנד,,,,,1,settlements
R559,קאָרלסרוע,,,,,1,settlements
R560,קאָרפּאָטן-גאַליציע,,,,,1,province
R561,קאמעניעץ-פּאָדאָלסק,,,,,1,settlements
R562,קאנאַטאָפּ,,,,,1,settlements
R563,קבר-גרוב,,,,,1,place
R564,"קווינס, לאַנג איילאַנד",,,,,1,province
R565,קופּישאַק,,,,,1,place
R566,קורסקער געגנט,,,,,1,province
R567,קינינסברג,,,,,1,settlements
R568,קיעוו. נוב.,,,,,1,province
R569,קיעווער גוב. אומאַנער קרייז,,,,,1,province
R570,קיעווער געגענט,,,,,1,province
R571,קירגיזע,,,,,1,province
R572,קלייוולאַנד,,,,,1,settlements
R573,קליין בוקאָווינער טעטל,,,,,1,place
R574,קליניק פֿון פּראָפ. באַרכאַרדט,,,,,1,place
R575,קעטסקיל-בערג,,,,,1,province
R576,קעמפּ דראַנסי,,,,,1,place
R577,קענינסבערג,,,,,1,settlements
R578,קענינסגערג,,,,,1,settlements
R579,קעשענ. גוב.,,,,,1,province
R580,קעשענער,,,,,1,settlements
R581,קראַקאָווע,,,,,1,settlements
R582,קראָנשטאַט,,,,,1,settlements
R583,קראָסנאַדאַרער געגנט,,,,,1,province
R584,קראָקאַווע,,,,,1,settlements
R585,קראָקעווער געטאָ,,,,,1,place
R586,קריוואָי-ראָג,,,,,1,settlements
R587,קריוואָיראָג,,,,,1,settlements
R588,קרימער ראַיאָן,,,,,1,place
R589,קרעמאַטאָריום,,,,,1,place
R590,קרעמאַטאָריע,,,,,1,place
R591,קרעמענשטוג,,,,,1,settlements
