qid	kima_id	kima_rom	kima_heb	match_method	confidence	source
Q153715	19618	Klint︠s︡y (Bri︠a︡nskai︠a︡ oblastʹ, Russia)	קלינצי (רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q155	7255	Brazil	ברזיל	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q155321	2501	Eretz Israel	ארץ ישראל	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q156812	13189	Uhniv (Ukraine)	היבניב (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q156818	1738	Sni︠a︡tyn (Ukraine)	שניאטין (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q156825	19848	Chervonohrad (Ukraine)	קריסנפוליו (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q157992	15758	Bełchatów (Poland)	בלכטוב (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q158923	1743	Stryĭ (Ukraine)	סטריי (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q159288	7837	Santa Barbara (Calif.)	סנטה ברברה (קליפורניה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q16	6476	Canada	קנדה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q174994	1775	Bessarabia (Moldova and Ukraine)	בסרביה (מולדובה-אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q180086	1473	Galicia (Poland and Ukraine)	גליציה (פולין-אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q180294	629	Jaffa (Tel Aviv-Yafo, Israel)	יפו (תל אביב-יפו, ישראל)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q183	87828	Germany	גרמניה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q184	17986	Belarus	בלארוס	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q185018	1400	Franz Josef Land (Russia)	ארץ פרנץ יוזף (רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1879003	20251	Lysi︠a︡nka (Ukraine)	ליסיאנקה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q191	13665	Estonia	אסטוניה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q191607	2226	Podillia (Ukraine)	פודיליה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q193264	2573	Marajó Island (Brazil)	מאראחו (ברזיל:אי)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q196483	22057	Starodub (Russia)	סטארודוב (רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q1973699	70470	Vovkovyntsi (Ukraine)	וובקובינצי (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2093899	19528	Lenin (Z︠H︡ytkavitski rai︠o︡n, Belarus)	לנין (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q21	12708	England	אנגליה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q211	9788	Latvia	לטביה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q212	9105	Ukraine	אוקראינה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q214	6136	Slovakia	סלובקיה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q216363	20984	Ribnitz (Germany)	ריבניץ (גרמניה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q217	17740	Moldova	מולדובה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q218	7537	Romania	רומניה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q219	9368	Bulgaria	בולגריה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2335805	83703	Dzi︠a︡rėchyn (Belarus)	דרצ'ין (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2341034	18415	Bobowa (Poland)	בובוב (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2439578	20224	Zguriţa (Moldova)	זגוריצה (מולדובה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q25409	393	Košice (Slovakia)	קושיצה (סלובקיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q258	2394	South Africa	דרום אפריקה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2653301	76730	Dashiv (Ukraine)	דאשב (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q28	7547	Hungary	הונגריה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q28516	17845	Tarnobrzeg (Poland)	טרנובז'ג (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q2920508	19671	Indura (Belarus)	אמדור (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q30	6421	United States	ארצות הברית	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q31	9530	Belgium	בלגיה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q324884	16514	Brzesko (Poland)	בריגל בז'סקו (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q334874	99	Sighet (Romania)	סיגט (רומניה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q33946	9369	Czechoslovakia	צ'כוסלובקיה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q35	6281	Denmark	דנמרק	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q36	7313	Poland	פולין	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q3646	10131	Krasnodarskii krai (Russia)	קרסנודאר (רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q37	12464	Lithuania	ליטא	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q391461	78155	Grójec (Województwo Mazowieckie, Poland)	גרוייץ (מחוז מזוביץ, פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q40	7645	Austria	אוסטריה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q40435	361	Buffalo (N.Y.)	באפלו (ניו יורק)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q408	6306	Australia	אוסטרליה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q41183	794	Aleppo (Syria)	חלב (סוריה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q414	7805	Argentina	ארגנטינה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q4272559	21831	Lyady (Belarus)	ליאדי (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q43	8120	Turkey	טורקיה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q4371769	71243	Pomori︠a︡ny (Lʹvivsʹka oblastʹ, Ukraine)	פומוז'אני (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q498777	420	Frysztak (Poland)	פריסטיק (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q51438	16093	Czarnków (Poland)	צרניקאו (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q52193	1674	Kolomyi︠a︡ (Ukraine)	קולומיה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q5384	76896	Kirov (Kaluzhskai︠a︡ oblastʹ, Russia)	קירוב (מחוז קלוז'סקאיה, רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q539012	19432	Pastavy (Belarus)	פסטאווי (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q586369	70729	Mogilevskaya gubernīi︠a︡ (Russia)	פלך מוהילב (רוסיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q615132	20849	Ruzhany (Belarus)	רוז'ינוי (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q628623	15018	Braslaŭ (Belarus)	בראסלאו (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q639830	20456	Bohorodchany (Ukraine)	בוהורודצ'ני (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q663482	80991	Maheriv (Ukraine)	מאגיירוב (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q665853	16904	Bodrogkeresztúr (Hungary)	קרסטיר (הונגריה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q688654	14528	Dubăsari (Moldova)	דובוסרי (מולדובה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q713750	9524	Germany (West)	גרמניה (מערבית)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q7248	80407	Fort de Kock (Dutch East Indies)	בוקיטינגי (הודו המזרחית ההולנדית)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q730175	262	Shkloŭ (Belarus)	שקלוב (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q734122	22731	Kapciamiestis (Lithuania)	קופצ'ווה (ליטא)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q738777	14862	Iŭe (Belarus)	איויה (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q739491	941	Vaŭkavysk (Belarus)	וולקוביסק (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q7835	17099	Crimea (Ukraine)	קרים (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q801	697	Israel	ישראל	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q813	17988	Kyrgyzstan	קירגיזסטן	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q815903	11230	Bochnia (Poland)	בוכניה (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q835843	72580	Varėna (Lithuania)	וריאנה (ליטא)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q864836	1703	Z︠H︡ovkva (Ukraine)	זולקוה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q867722	682	Chachėrsk (Belarus)	טשעטשערסק (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q903241	18550	Brat︠s︡lav (Ukraine)	ברסלב (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q913420	15756	Kiryas Joel (N.Y.)	קרית יואל (ניו יורק)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q9248	507	Baku (Azerbaijan)	באקו (אזרביג'ן)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q93323	165	Chrzanów (Poland)	כשנוב (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q955468	20822	Rahachoŭ (Belarus)	רוגצ'וב (בלארוס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q957530	20210	Molėtai (Lithuania)	מולטאי (ליטא)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q96	9063	Mexico	מקסיקו	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q975	7507	San Antonio (Tex.)	סן אנטוניו (טקסס)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q984857	17824	Andrychów (Poland)	אנדריחוב (פולין)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q986075	70349	Nové Město na Moravě (Czech Republic)	נובומסטא של מורביה (צ'כיה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q99	7652	California	קליפורניה	wikidata	0.99	kimatch wikidata_only run 2026-05-22
Q997343	20695	Rava-Rusʹka (Ukraine)	ראווה רוסקה (אוקראינה)	wikidata	0.99	kimatch wikidata_only run 2026-05-22
