kima_id	kima_rom	variant	variant_norm	n_datasets	datasets	sources	provenance	variant_type
16672	Bilhorod-Dnistrovsʹkyĭ (Ukraine)	עיר לבן	עירלבן	1	Fischer	Fischer:UA-00023	exact_geoverified	descriptor
16883	Dobrzyń nad Wisłą (Poland)	דאברין ביי דער ווייסל	דאבריןביידערווייסל	1	Fischer	Fischer:PL-00552	exact_geoverified	locator
174	Lublin (Poland)	לובלין און זאמאשטש	לובליןאוןזאמאשטש	1	Fischer	Fischer:PL-00006	exact_geoverified	conjunction
17476	Golub-Dobrzyń (Poland)	דאברין ביי דערווענצע	דאבריןביידערווענצע	1	Fischer	Fischer:PL-00179	exact_geoverified	locator
17568	Brandenburg (Germany)	מדינת מרק ברניבורק	מדינתמרקברניבורק	1	Fischer	Fischer:DE-00018	coord_rearbitrated	locator
180	Ludza (Latvia)	לוצין און אומגעגנט	לוציןאוןאומגעגנט	1	Fischer	Fischer:LV-00033	coord_rearbitrated	conjunction
18096	Staryĭ Sambir (Ukraine)	עיר ישן	עירישן	1	Fischer	Fischer:UA-00174	exact_geoverified	descriptor
18096	Staryĭ Sambir (Ukraine)	עיר ישן בקרייז סאמבור	עירישןבקרייזסאמבור	1	Fischer	Fischer:UA-00174	exact_geoverified	descriptor
18411	Storoz︠h︡ynet︠s︡ʹ (Ukraine)	סטראזשינעץ און אומגעגנט	סטראזשינעץאוןאומגעגנט	1	Fischer	Fischer:UA-00175	coord_rearbitrated	conjunction
19544	Novohrad-Volynsʹkyĭ (Ukraine)	נאָווגאָראָד-וואָלינסק (זוויהיל)	נאווגאראדוואלינסקזוויהיל	1	Zylbercweig	Zylbercweig:Q149024	2-facs_342_tr_1744365731	parenthetical
19544	Novohrad-Volynsʹkyĭ (Ukraine)	נאָוואָגראָדוואָלינסק (זוויהיל)	נאוואגראדוואלינסקזוויהיל	1	Zylbercweig	Zylbercweig:Q149024	3-facs_145_tr_1754213821	parenthetical
19871	Steinbach (Schwäbisch Hall, Germany)	שטיינבאך ביי האל	שטיינבאךבייהאל	1	Fischer	Fischer:DE-01253	exact_geoverified	locator
19921	Bützow (Güstrow, Germany)	ביטצא מדינת מעקיל בורג	ביטצאמדינתמעקילבורג	1	Fischer	Fischer:DE-00060	exact_geoverified	locator
20470	Kudirkos Naumiestis (Lithuania)	עיר חדש סמוך ליפרייסען	עירחדשסמוךליפרייסען	1	Fischer	Fischer:LT-00099	exact_geoverified	descriptor
20470	Kudirkos Naumiestis (Lithuania)	עיר חדש שירווינד	עירחדששירווינד	1	Fischer	Fischer:LT-00099	exact_geoverified	descriptor
22164	Wrocław (Poland : Voivodeship)	ברעסלוי און שלעזיע	ברעסלויאוןשלעזיע	1	Fischer	Fischer:PL-00004	exact_geoverified	conjunction
23817	Nowe Miasto nad Wartą (Poland)	ניישטאט ביי ווארטע	ניישטאטבייווארטע	1	Fischer	Fischer:PL-01074	exact_geoverified	locator
23937	Lwówek (Nowy Tomyśl County, Poland)	ניישטאט ביי פינע	ניישטאטבייפינע	1	Fischer	Fischer:PL-00785	exact_geoverified	locator
347	Berez︠h︡any (Ukraine)	ברזשעזשאַני (בערזשאַן)	ברזשעזשאניבערזשאן	1	Zylbercweig	Zylbercweig:Q793424	3-facs_12_tr_1752652594	parenthetical
400	Cluj-Napoca (Romania)	קלויזענבורג במדינת זיבענבערגען	קלויזענבורגבמדינתזיבענבערגען	1	Fischer	Fischer:RO-00002	exact_geoverified	locator
533	Istanbul (Turkey)	סטאַמבול (?)	סטאמבול?	1	Zylbercweig	Zylbercweig:Q406	1-facs_17_tr_1713546856	parenthetical
6093	Karlovy Vary (Czech Republic)	מרחץ קארלסבאד	מרחץקארלסבאד	1	Fischer	Fischer:CZ-00065	exact_geoverified	descriptor
617	Belgrade (Serbia)	עיר הלבן	עירהלבן	1	Fischer	Fischer:RS-00001	exact_geoverified	descriptor
6295	Oslo (Norway)	קריסטיאנא (נארוועגען)	קריסטיאנאנארוועגען	1	Fischer	Fischer:NO-00001	exact_geoverified	parenthetical
648	Płońsk (Poland)	פלאצק (כך)	פלאצקכך	1	Fischer	Fischer:PL-00106	coord_rearbitrated	parenthetical
656	Bucharest (Romania)	א קליינער שטאָט ביי בוקאַרעסט	אקליינערשטאטבייבוקארעסט	1	Zylbercweig	Zylbercweig:Q19660	1-facs_127_tr_1740521131	locator
6857	Baden-Baden (Germany)	מרחץ באדין	מרחץבאדין	1	Fischer	Fischer:DE-00075	exact_geoverified	descriptor
687	Tomaszów Lubelski (Poland)	טאמאשוב (לוב.)	טאמאשובלוב	1	Fischer	Fischer:PL-00411	coord_rearbitrated	parenthetical
7304	Carinthia (Austria)	מדינת קערנטן	מדינתקערנטן	1	Fischer	Fischer:AT-00081	exact_geoverified	locator
74000	Františkovy Lázně (Czech Republic)	מרחץ פראנצענסבאד	מרחץפראנצענסבאד	1	Fischer	Fischer:CZ-00071	coord_rearbitrated	descriptor
7645	Austria	מדינת בני חת	מדינתבניחת	1	Fischer	Fischer:AT-00000	exact_geoverified	locator
7745	Palermo (Italy)	מדינת סקליה	מדינתסקליה	1	Fischer	Fischer:IT-00070	exact_geoverified	locator
7918	Baden (Austria)	באדן ביי ווין	באדןבייווין	1	Fischer	Fischer:AT-00011	exact_geoverified	locator
9188	Moscow (Russia : Oblast)	פעטערבורג און מאסקווע	פעטערבורגאוןמאסקווע	1	Fischer	Fischer:RU-00001	exact_geoverified	conjunction
9254	Piešt̕any (Slovakia)	מרחץ ביסטשאן	מרחץביסטשאן	1	Fischer	Fischer:SK-00043	exact_geoverified	descriptor
9280	Brighton (England)	ברייטאן במדינת ענגילאנד	ברייטאןבמדינתענגילאנד	1	Fischer	Fischer:GB-00051	exact_geoverified	locator
943	Vilnius (Lithuania)	ווילנע (אין ביראָוו?)	ווילנעאיןביראוו?	1	Zylbercweig	Zylbercweig:Q216	1-facs_416_tr_1739715059	parenthetical
945	Vienna (Austria)	עיר הדמים	עירהדמים	1	Fischer	Fischer:AT-00001	coord_rearbitrated	descriptor
9467	Mödling (Austria)	מרחץ מיידלינג	מרחץמיידלינג	1	Fischer	Fischer:AT-00033	exact_geoverified	descriptor
951	Wrocław (Poland)	ווראָצלאַוו (ברעסלוי)	ווראצלאווברעסלוי	1	Zylbercweig	Zylbercweig:Q1799	6-facs_463_tr_1747930281	parenthetical
958	Kiev (Ukraine)	משוגעים-הויז אויף קירילאָווקע	משוגעיםהויזאויףקירילאווקע	1	Zylbercweig	Zylbercweig:Q1899	4-facs_101_r_1	locator
9583	Neustadt an der Weinstrasse (Germany)	ניישטאט ביי הארט	ניישטאטבייהארט	1	Fischer	Fischer:DE-00815	coord_rearbitrated	locator
96	Stockholm (Sweden)	שטקהלום	שטקהלום	1	Fischer	Fischer:SE-00001	coord_rearbitrated	descriptor
9693	Brăila (Romania)	בראילה במדינת רומאניען	בראילהבמדינתרומאניען	1	Fischer	Fischer:RO-00021	exact_geoverified	locator
