source_value	record_id	qid	action
הר-חברון	*	Q2341172	link
"בית עולם פון ""אַרבעטער-רינג"""	*	Q4285547	link
הר-הכרמל בית עולם	*	Q4285547	link
וואַשינגטאָן-בית עולם	*	Q7971720	link
באַראָן הירש בית עולם	*	Q4862481	link
ביתעולם פֿון די יידישע טעאַטריקל עלייענס	*	Q2341172	link
בית-עולם פֿון די יידישע טעאַטריקל-עליינס	*	Q2341172	link
וואַשינגטאָן-בית-עולם	*	Q7971720	link
וואַשינגטאָן-בּית-עולם	*	Q7971720	link
וואַשינגטאָן-סעמעטרי	*	Q7971720	link
"בית עולם פֿון „אַרבעטער-רינג"""	*	Q4285547	link
"בית-עלמין פֿון „אַרבעטער-רינג"""	*	Q4285547	link
בית עולם פֿון „אַרבעטער-רינג“	*	Q4285547	link
בית עולם פֿין יידישן טעאַטריקל עלייענס	*	Q2341172	link
אַרבעטער-רינג סעמעטערי	*	Q4285547	link
בית-עולם פֿין אַרבעטער-רינג (הר הכרמל)	*	Q4285547	link
בית-עולם פֿון די יידישע טעאַטריקל עלייענס אויפֿן הר חברון	*	Q2341172	link
בית עולם פֿון דער יידישער טעאַטריקל עלייענס	*	Q2341172	link
בית עולם פֿון די יידישע טעאַטריקל אַלייענסעס	*	Q2341172	link
בית עולם פֿון אַרבעטער רינג	*	Q4285547	link
בית עולם פֿון די יידישע טעאַטריקל אַלייענס	*	Q2341172	link
בית עולם פֿון די יידישע טעאַטריקל אַלייענס	*	Q2341172	link
בית-עולם פון די יידישע טעאַטריקל עלייענס	*	Q2341172	link
הר חברון-בית עולם	*	Q2341172	link
הר חברון ביתעולם	*	Q2341172	link
"בית עולם פון ""יידישע טעאַטריקל עלייענס"""	*	Q2341172	link
וואַרשעווער געטאָ	*	Q154607	link
לעמבערגער געטאָ	*	QLvov Ghetto	link
טויטןלאַגער בּעלזשעץ	*	Q160143	link
טרעבלינקע גאַז אויוונס	*	Q152010	link
בעלזשעץ	*	Q160143	link
בעלזשעק	*	Q160143	link
ריגער געטאָ	*	Q698342	link
מינסקער געטאָ	*	Q153336	link
קאָנצענטראַציע-לאַגער קלאָאַגע	*	Q693998	link
אָזיראן	*	Q30007506	link
לאזדיי	*	Q30007807	link
קאַשאַוואַטע	*	Q4225915	link
וויעזשכאָווצע	*	Q4107532	link
באָריסלאָוו	*	Q157525	link
קעלנאָוויץ	*	Q4209729	link
אָרעיעוו	*	Q2112462	link
דונאַיעוו	*	Q4170692	link
פּאנטשע	*	Q899454	link
קראַשנעוויץ	*	Q999644	link
טערליצע	*	Q4455853	link
אוסמאַן	*	Q196907	link
זיוויטיוו	*	Q4323960	link
דזשורקאָוו	*	Q4160644	link
ליפקאָן	*	Q1827367	link
קרושנעוויץ	*	Q999644	link
דמיטריעוו	*	Q72360	link
דוביאַנקע	*	Q2398279	link
אושאָמיר	*	Q12165058	link
פּיאַסיכאַטקאָ	*	Q640661	link
וואַמפּיעזשאָוו	*	Q2597195	link
קאָניעוו	*	Q925340	link
טראָיאנעץ	*	Q606706	link
וואָדזיסלאָוו	*	Q2917229	link
זופּראַן	*	Q3545343	link
דאָמבראָוונע	*	Q554580	link
איטשנע	*	Q149201	link
פּיראַטיין	*	Q269523	link
וויליאַמסבורג	*	Q771572	link
טראָי	*	Q600301	link
קובא	*	Q241	link
קובאַ	*	Q241	link
דרום-רוסלאַנד	*		unlink
מאָהילעוו	*	Q997469	link
מעזריטש	*	Q34267	link
ליבאַווע	*	Q167668	link
לובלין	*	Q37333	link
יאָסי	*	Q46852	link
ירושלים	*	Q1218	link
יאַסי	*	Q46852	link
יאסי	*	Q46852	link
תל אביב	*	Q33935	link
לייפּציג	*	Q2079	link
טאַרנאָוו	*	Q106281	link
סובאָלק	*	Q236083	link
חיפה	*	Q41621	link
לינץ	*	Q41329	link
לבוב	*	Q36036	link
פּראָג	*	Q1085	link
New York	*	Q60	link
ציריך	*	Q72	link
סידני	*	Q3130	link
