yiddish	occ	fields	proposed_qid	proposed_label	wikidata_desc	kima_fuzzy	recommendation
טשערקאָס	1	settlements	Q156733	Landsknecht	Mercenary footsoldiers in 16th century Europe	|cand:10937	REJECT-cand (non-place)
ים	1	place	Q165	sea	large body of saline water		REJECT-cand (non-place)
לאָוויטש	1	settlements	Q18642589	Łowicz Ghetto	Nazi ghetto in occupied Poland	|cand:23702|12727	LIKELY-ACCEPT
ליטוויש	1	country	Q9083	Lithuanian	Baltic language spoken in Lithuania		REJECT-cand (non-place)
ליפּנע	1	settlements	Q4262677	Lypne	village in Kivertsi Raion, Volyn Oblast, Ukraine		CHOOSE among candidates
ליפלאַנד	1	province	Q183464	Livonia	historic region along the eastern shores of the Baltic Sea		LIKELY-ACCEPT
מאָלטש	1	settlements	Q3917705	Malieč	agrotown in Belarus		LIKELY-ACCEPT
מימי	1	settlements	Q15303153	Mimi	female given name		REJECT-cand (non-place)
נ. י	1	settlements	Q60	New York City	most populous city in the United States	|cand:32	CHOOSE among candidates
נאַרוואַ	1	settlements	Q2835440	Norwood Junction railway station	railway station in Norwood Junction, London Borough of Croyd	|cand:10603|10743|7994	LIKELY-ACCEPT
נאָוו	1	province	Q1952	Nova Scotia	province of Canada		CHOOSE among candidates
סאַראַט	1	province	Q19945	Sarratt	village in Hertfordshire, England	|cand:19588|72718|73747|2069|89247	CHOOSE among candidates
סיגייט	1	settlements	Q705392	Seagate Technology	American data storage company		REJECT-cand (non-place)
עקראָן	1	settlements	Q5290	computer monitor	stand-alone electronic visual display for computers connecte	|cand:5826|21515|9105|2324|17492	REJECT-cand (non-place)
פּאָלעסיע	1	province	Q174187	Rivne Oblast	oblast of Ukraine		LIKELY-ACCEPT
פּעריעסלאָוו	1	settlements	Q849499	Kádár	Wikimedia disambiguation page	|cand:9019	REJECT-cand (non-place)
פאַנטשע	1	settlements	Q49359905				REJECT-cand (non-place)
פלאָרידאָ	1	province	Q884852	Florida Holocaust Museum	non-profit organization in the USA		REJECT-cand (non-place)
קאָנצענטראַציע לאַגער	1	place	Q152081	concentration camp	camp in which people are imprisoned or confined, commonly in		REJECT-cand (non-place)
קעטסקיל-בערג	1	province	Q630566	Catskill Mountains	mountain range in the southeastern portion of the U.S. state		LIKELY-ACCEPT
תפיסה	1	place	Q40357	prison	place in which people are, for legal reasons, physically con	|cand:251	REJECT-cand (non-place)
אַמעריקאַ	1	countries	Q8676	American Civil War	1861–1865 civil war in the United States between the North a		REJECT-cand (non-place)
