yiddish	occ	fields	qid	label_en	desc	n_place_cands	source	grade
יעקאַטערינאסלאַווער גוב.	1	province	Q49518	Yekaterinoslav Governorate	governorate of the Russian Empire and Soviet Union	1	internal	A_autolink
כמעלניק	1	settlements	Q991973	Chmielnik	city of Poland	1	internal	A_autolink
לאַנגאיילאַנד	1	province	Q60	New York City	most populous city in the United States	1	internal	A_autolink
לאָס אַנדזשעלאַס	1	settlements	Q65	Los Angeles	seat of Los Angeles County, and largest city in California, United States	1	internal	A_autolink
לאָס-אַנדזשעלאָס	1	settlements	Q65	Los Angeles	seat of Los Angeles County, and largest city in California, United States	1	internal	A_autolink
לאָסאַנדזשעלעס	1	settlements	Q65	Los Angeles	seat of Los Angeles County, and largest city in California, United States	1	internal	A_autolink
לאנג איילאַנד	1	province	Q60	New York City	most populous city in the United States	1	internal	A_autolink
ליד	1	settlements	Q21818619	near	"approximate location – should be used with qualifier P1480 to indicate the source specified a value and explicitly stated that value is close in proximity, but specify no precision information. For example, ""born near Dallas"""	1	yi_exact	A_autolink
ליפּקאָן	1	settlements	Q311867	Lipchani	village	1	internal	A_autolink
ליפקאַן	1	settlements	Q311867	Lipchani	village	1	internal	A_autolink
מאַהיל. גוב.	1	province	Q586369	Mogilev Governorate	governorate of the Russian Empire	1	internal	A_autolink
מאַהילעווער גוב.	1	province	Q586369	Mogilev Governorate	governorate of the Russian Empire	1	internal	A_autolink
מאַנטרעאָל	1	settlements	Q340	Montreal	largest city in Quebec, Canada	1	internal	A_autolink
מאָנהעטן	1	settlements	Q11299	Manhattan	borough of New York City, New York, United States	1	yi_exact	A_autolink
מאָנטרעאל	1	settlements	Q340	Montreal	largest city in Quebec, Canada	1	internal	A_autolink
מזרח גאַליציע	1	country	Q3573883	Eastern Galicia	geographical region in western Ukraine	1	internal	A_autolink
מזרח-גאָליציע	1	province	Q3573883	Eastern Galicia	geographical region in western Ukraine	1	internal	A_autolink
מזרח-גאליציע	1	province	Q3573883	Eastern Galicia	geographical region in western Ukraine	1	internal	A_autolink
מינסקער גוּבּ	1	province	Q593230	Minsk Governorate	governorate of the Russian Empire (1793–1921)	1	internal	A_autolink
מלאווע	1	settlements	Q983868	Mława	town in northern Poland, is the capital of Mława County	1	yi_exact	A_autolink
נאַנסי	1	settlements	Q40898	Nancy	city and commune in Meurthe-et-Moselle, Grand Est, France	1	yi_exact	A_autolink
נאָנסי	1	settlements	Q40898	Nancy	city and commune in Meurthe-et-Moselle, Grand Est, France	1	yi_exact	A_autolink
ניופּאָרט	1	settlements	Q101254	Newport	city in south east Wales, United Kingdom	1	yi_exact	A_autolink
סאָליוואן קאונטי	1	province	Q70979	Sullivan County	county in New York, United States	1	yi_exact	A_autolink
סאָמאָראָ	1	settlements	Q894	Samara	city in Samara Oblast, Russia	2	internal	A_autolink
סאָפיע	1	settlements	Q472	Sofia	capital city of Bulgaria	1	yi_exact	A_autolink
סווואָלק	1	settlements	Q236083	Suwałki	town in Poland	1	internal	A_autolink
סטעטן איילאַנד	1	province	Q18432	Staten Island	borough of New York City, New York, United States of America	1	yi_exact	A_autolink
סיריע	1	settlements	Q858	Syria	country in West Asia	1	yi_exact	A_autolink
סמאָלענסק	1	settlements	Q2337	Smolensk	city and administrative center of Smolensk Oblast in central Russia	1	yi_exact	A_autolink
פּאָדאָל. גובּ.	1	province	Q277861	Podolia Governorate	governorate of the Russian Empire	1	internal	A_autolink
פּאלטאַווער גוב.	1	province	Q1271216	Poltava Governorate	governorate of the Russian Empire	1	internal	A_autolink
פּויזן	1	settlements	Q268	Poznań	capital of the Greater Poland Voivodeship in west-central Poland	1	yi_exact	A_autolink
פּסקאָוו	1	settlements	Q2214	Pskov	city and administrative center of Pskov Oblast in northwestern Russia	1	yi_exact	A_autolink
פּערט	1	settlements	Q3829397	Leederville	suburb of Perth, Western Australia	1	internal	A_autolink
פּראַגע	1	settlements	Q1085	Prague	capital city of the Czech Republic	1	internal	A_autolink
פּראָסקוראָוו	1	settlements	Q156717	Khmelnytskyi	capital city of Khmelnytskyi Oblast in western Ukraine	1	internal	A_autolink
פּרייסן	1	province	Q38872	Prussia	common term for the Duchy, the Kingdom and the Free State of Prussia (1525–1947)	1	internal	A_autolink
פֿירט	1	settlements	Q3075	Fürth	town in Bavaria, Germany	1	internal	A_autolink
פאַד. גוב.	1	province	Q277861	Podolia Governorate	governorate of the Russian Empire	1	internal	A_autolink
פלעטבוש	1	settlements	Q840381	Flatbush	neighborhood in Brooklyn, New York City, New York, United States	1	yi_exact	A_autolink
פת	1	settlements	Q2904366	Pat	neighborhood in southwestern Jerusalem	2	yi_exact	A_autolink
צויזמער	1	settlements	Q193177	Sandomierz	city and urban gmina of Poland	1	yi_exact	A_autolink
קאַנאַטאָפּ	1	settlements	Q162083	Konotop	city in Ukraine	1	internal	A_autolink
קאָלישער גוב.	1	province	Q2531968	Kalisz Governorate	governorate of the Russian Empire	1	internal	A_autolink
קאָלנע	1	settlements	Q587155	Kolno	village in Warmian-Masurian Voivodeship, Poland	1	internal	A_autolink
קאָנאַטאָפּ	1	settlements	Q162083	Konotop	city in Ukraine	1	internal	A_autolink
קאָרלסרוע	1	settlements	Q1040	Karlsruhe	city in Baden-Württemberg, Germany	1	yi_exact	A_autolink
קאמעניעץ-פּאָדאָלסק	1	settlements	Q193965	Kamianets-Podilskyi	city in the Khmelnytskyi Oblast in western Ukraine	1	internal	A_autolink
קאנאַטאָפּ	1	settlements	Q162083	Konotop	city in Ukraine	1	internal	A_autolink
ראָדאָמער גוב.	1	province	Q2532795	Radom Governorate	governorate of the Russian Empire	1	internal	A_autolink
ראדאָמער גוב.	1	province	Q2532795	Radom Governorate	governorate of the Russian Empire	1	internal	A_autolink
ריאָ דע זשענייראָ	1	settlements	Q8678	Rio de Janeiro	city of Rio de Janeiro state, Brazil	1	internal	A_autolink
ריאָ-דע-זשענייראָ	1	settlements	Q8678	Rio de Janeiro	city of Rio de Janeiro state, Brazil	1	internal	A_autolink
פֿאָדאָלער גוב.	1	province	Q277861	Podolia Governorate	governorate of the Russian Empire	1	internal	A_autolink
